,Название,Гибридность,Спелость,"Срок созревания, дн",Детерминантность,Высота,Масса плода
0,Томат Блю Питтс (Blue Pitts),False,Раннеспелый,,Индетерминантный,150-180 см,От 50 до 100 г
1,Томат Сладкая ягодка,False,Ультраскороспелый,90-95,Супердетерминантный,около 30 см,
2,Томат Малиновый смак,True,Раннеспелый,95-100,Индетерминантный,180-200 см,От 150 до 250 г
3,Томат Хали-гали,True,Раннеспелый,105-112,Детерминантный,80-110 см,От 150 до 250 г
4,Томат Сливка-великан,False,Раннеспелый,105-115,Детерминантный,70-80 см,От 100 до 150 г
5,Томат Скороспелка розовая,False,Раннеспелый,103-109,Детерминантный,50-70 см,От 50 до 100 г
6,Томат Розовый налив,False,Раннеспелый,105-110,Индетерминантный,170-180 см,Более 250 г
7,Томат Розовый десертный,True,Раннеспелый,95-100,Детерминантный,100 см,От 100 до 150 г
8,Томат Розовый бегемот,False,Среднеспелый,110-115,Детерминантный,100-120 см,Более 250 г
9,Томат Розовая андромеда,True,Ультраскороспелый,80-87,Детерминантный,65-70 см,От 100 до 150 г
10,Томат Ранний красный,False,Ультраскороспелый,97-105,Детерминантный,40-50 см,От 50 до 100 г
11,Томат Прима дона,True,Раннеспелый,45-55,Детерминантный,70-90 см,От 150 до 250 г
12,Томат Пальчики оближешь,False,Раннеспелый,103-110,Индетерминантный,140-180 см,От 150 до 250 г
13,Томат Оля,True,Ультраскороспелый,85-95,Супердетерминантный,120 см,От 100 до 150 г
14,Томат Мишка на севере,True,Раннеспелый,105-115,Детерминантный,60-80 см,От 100 до 150 г
15,Томат Красная стрела,True,Раннеспелый,60-65,Детерминантный,120 см,От 100 до 150 г
16,Томат Изюминка,False,Раннеспелый,60-65,Детерминантный,50-60 см,От 50 до 100 г
17,Томат Золотой самородок,False,Среднеспелый,45-55,Детерминантный,50-60 см,От 100 до 150 г
18,Томат Забава,False,Раннеспелый,60-65,Детерминантный,60-70 см,От 50 до 100 г
19,Томат Бычье сердце персиковое,False,Раннеспелый,102-110,Индетерминантный,150-180 см,Более 250 г
20,Томат Бычье сердце,False,Среднеспелый,60-65,Индетерминантный,140-180 см,Более 250 г
21,Томат Букет сибири,True,Среднеспелый,111-115,Детерминантный,до 100 см,От 50 до 100 г
22,Томат Брат 2,True,Среднеспелый,105-110,Детерминантный,90-120 см,От 150 до 250 г
23,Томат Бочонок,True,Раннеспелый,60-65,Индетерминантный,,От 50 до 100 г
24,Томат Богата хата,True,Раннеспелый,95-105,Супердетерминантный,35-45 см,От 100 до 150 г
25,Томат Бобкат,True,Среднеспелый,45-55,Детерминантный,100-120 см,Более 250 г
26,Томат Блеск,True,Раннеспелый,105-110,Индетерминантный,180-200 см,От 150 до 250 г
27,Томат Белый налив 241,False,Раннеспелый,90-100,Детерминантный,около 50 см,От 50 до 100 г
28,Томат Бананчик,False,Среднеспелый,116-120,Индетерминантный,160-180 см,От 150 до 250 г
29,Томат Балконный красный,True,Ультраскороспелый,80-85,Супердетерминантный,15-20 см,
30,Томат Балконный желтый,True,Ультраскороспелый,80-85,Супердетерминантный,15-20 см,
31,Томат Андромеда,True,Раннеспелый,7-10,Детерминантный,70 см,От 50 до 100 г
32,Томат Амурский тигр,False,Среднеспелый,108-112,Индетерминантный,180-200 см,От 150 до 250 г
33,Томат Алешка,True,Раннеспелый,(90-95,Детерминантный,110-120 см,От 150 до 250 г
34,Томат Адъютант,False,Среднеспелый,60-65,Индетерминантный,160-180 см,От 50 до 100 г
35,Томат Агата,False,Раннеспелый,98-107,Детерминантный,33-45 см,От 50 до 100 г
36,Томат Марманде,False,Раннеспелый,95-100,Полудетерминантный,140-160 см,От 150 до 250 г
37,Томат Крымский,False,,100-113,Индетерминантный,До 200 см,От 150 до 250 г
38,Томат Атомный виноград Бреда,False,Среднеспелый,110-115,Индетерминантный,До 200 см,От 50 до 100 г
39,Томат Алпатьева 905 А,False,Раннеспелый,100-115,Супердетерминантный,35-45 см,От 50 до 100 г
40,Томат Веснушки,True,Ультраскороспелый,85-90,Детерминантный,80-100 см,От 25 до 50 г
41,Томат БИФ Кинг,True,Раннеспелый,96-100,Индетерминантный,160-180 см,От 150 до 250 г
42,Томат Зебра желтая,False,Среднеспелый,110-115,Индетерминантный,170-190 см,Более 250 г
43,Томат Буян желтый,False,Среднеспелый,110-115-й,Детерминантный,около 50 см,От 100 до 150 г
44,Томат Хурма,False,Среднеспелый,110-115,Детерминантный,70-100 см,Более 250 г
45,Томат Пузо карапуза,False,Среднеспелый,108-115,Детерминантный,,Более 250 г
46,Томат БИФ Пинк,True,Раннеспелый,,Индетерминантный,170-200 см,Более 250 г
47,Томат Биг хата,True,Среднеспелый,111-115,Индетерминантный,до 200 см,Более 250 г
48,Томат Уголек,False,Среднеспелый,108-115,Индетерминантный,,От 50 до 100 г
49,Томат Клюква в сахаре,False,Раннеспелый,100-110,Супердетерминантный,25-35 см,
50,Томат Ляна розовая,False,Ультраскороспелый,45-55,Детерминантный,50-60 см,От 50 до 100 г
51,Томат Ляна,False,Раннеспелый,90-110,Супердетерминантный,35-40 см,От 50 до 100 г
52,Томат Лимонные дольки,False,Среднеспелый,112-115,Индетерминантный,до 200 см,Более 250 г
53,Томат Лакомка,False,Раннеспелый,60-65,Детерминантный,55-60 см,От 100 до 150 г
54,Томат Красный бутон,False,Раннеспелый,95-100,Детерминантный,70-90 см,От 50 до 100 г
55,Томат Красное царство,True,Среднеспелый,105-115,Индетерминантный,180-200 см,От 150 до 250 г
56,Томат Красное море,False,Раннеспелый,105-110,Супердетерминантный,45-50 см,От 50 до 100 г
57,Томат Коразон,True,Среднеспелый,110-115,Индетерминантный,,Более 250 г
58,Томат Кавалер,False,Раннеспелый,95-98,Индетерминантный,,От 50 до 100 г
59,Томат Золотая бусинка,True,Ультраскороспелый,98-100,Индетерминантный,170-200 см,
60,Томат Земляк,False,Раннеспелый,95-98,Детерминантный,70-76 см,От 50 до 100 г
61,Томат Звездная россыпь,True,Ультраскороспелый,80,Индетерминантный,180-200 см,От 25 до 50 г
62,Томат Засолочное чудо,True,Раннеспелый,90,Детерминантный,60 см,От 50 до 100 г
63,Томат Жорик-обжорик,False,Раннеспелый,90-100,Супердетерминантный,35-45 см,От 100 до 150 г
64,Томат Дубрава,False,Ультраскороспелый,45-55,Детерминантный,40-50 см,От 100 до 150 г
65,Томат Дрова,False,Среднеспелый,107-115,Детерминантный,40-60 см,От 50 до 100 г
66,Томат Детки-конфетки,False,Ультраскороспелый,,Супердетерминантный,15-20 см,
