,Название,Срок созревания,Размер арбуза,Форма арбуза,Цвет мякоти арбуза
0,Арбуз Алый сладкий,Раннеспелый,3-5 кг,Овальный,Красный
1,Арбуз Экстра-77,Среднеспелый,более 5 кг,Круглый,Красный
2,Арбуз СахарОк,Раннеспелый,более 5 кг,Круглый,Красный
3,Арбуз Успех,Раннеспелый,1-3 кг,Овальный,Красный
4,Арбуз Медовый спас,Раннеспелый,3-5 кг,Круглый,Желтый
5,Арбуз Русская березка,Среднеспелый,3-5 кг,Круглый,Красный
6,Арбуз,Среднеспелый,более 5 кг,Круглый,Розовый
7,Арбуз Крем-карамель,Среднеспелый,,,
8,Арбуз Белые росы,Ультраскороспелый,1-3 кг,Круглый,Желтый
9,Арбуз Шуга Еллоу,Среднеспелый,1-3 кг,Круглый,Желтый
10,Арбуз Необычайный,Раннеспелый,более 5 кг,Овальный,Красный
11,Арбуз Триумф,Раннеспелый,более 5 кг,Круглый,Красный
12,Арбуз Волжанин,Раннеспелый,более 5 кг,Овальный,Розовый
13,Арбуз Сорбет,Среднеспелый,более 5 кг,Круглый,Красный
14,Арбуз Оранжело,Среднеспелый,1-3 кг,Круглый,Желтый
15,Арбуз Лимончино,Ультраскороспелый,1-3 кг,Круглый,Желтый
16,Арбуз Шуга Бейби,Раннеспелый,1-3 кг,Круглый,Красный
17,Арбуз Чудо ягода,Раннеспелый,3-5 кг,Овальный,Желтый
18,Арбуз Сладкий бриллиант,Раннеспелый,3-5 кг,Круглый,Красный
19,Арбуз Сладкая ягода,Раннеспелый,более 5 кг,Овальный,Красный
20,Арбуз Сахарный малыш,Ультраскороспелый,1-3 кг,Круглый,Красный
21,Арбуз Сангрия,Среднеспелый,3-5 кг,Овальный,Красный
22,Арбуз Рафинад,Раннеспелый,3-5 кг,Овальный,Красный
23,Арбуз Полосатый бок,Раннеспелый,3-5 кг,Овальный,Красный
24,Арбуз Оранжевый король,Среднеспелый,более 5 кг,Цилиндрический,Желтый
25,Арбуз Огонек,Раннеспелый,1-3 кг,Круглый,Красный
26,Арбуз Монастырский плюс,Среднеспелый,3-5 кг,Круглый,Красный
27,Арбуз Медовик,Раннеспелый,3-5 кг,Овальный,Красный
28,Арбуз Лакомый кусочек,Раннеспелый,1-3 кг,Круглый,Красный
29,Арбуз Кримсон свит,Раннеспелый,3-5 кг,Овальный,Красный
30,Арбуз Галактика,Раннеспелый,3-5 кг,Круглый,Красный
31,Арбуз Бочка меда,Среднеспелый,1-3 кг,Цилиндрический,Красный
32,Арбуз АУ Продюсер ПВП,Раннеспелый,3-5 кг,Круглый,Красный
