,Название,Срок созревания,Цвет баклажана,Высота растения,Высота,Форма баклажана
0,Баклажан Касатка,Среднеспелый,Фиолетовый,Высокорослое,до 160 см,Цилиндрическая
1,Баклажан Карлсон,Раннеспелый,Фиолетовый,Среднерослое,до 100 см,Грушевидная
2,Баклажан Икорный рай,Раннеспелый,Смесь,Среднерослое,70-120 см,Цилиндрическая
3,Баклажан Дракоша,Раннеспелый,Фиолетовый,Среднерослое,до 100 см,Грушевидная
4,Баклажан День и ночь,Раннеспелый,Смесь,Среднерослое,60-120 см,Цилиндрическая
5,Баклажан Вороной,Раннеспелый,Фиолетовый,Среднерослое,,Грушевидная
6,Баклажан Бычий лоб,Раннеспелый,Фиолетовый,Низкорослое,около 70 см,Грушевидная
7,Баклажан Боярин,Раннеспелый,Фиолетовый,Высокорослое,,Цилиндрическая
8,Баклажан Бомбовоз,Раннеспелый,Фиолетовый,Среднерослое,около 80 см,Грушевидная
9,Баклажан Белая груша,Среднеспелый,Белый,Низкорослое,50-60 см,Цилиндрическая
10,Баклажан Алмаз,Среднеспелый,Фиолетовый,Низкорослое,45-56 см,Цилиндрическая
11,Баклажан Мишутка,Раннеспелый,Фиолетовый,Высокорослое,,Грушевидная
12,Баклажан Черный великан,Раннеспелый,Фиолетовый,Среднерослое,до 100 см,Цилиндрическая
13,Баклажан Снежок,Раннеспелый,Белый,Среднерослое,110-120 см,Цилиндрическая
14,Баклажан Снежный,Раннеспелый,Белый,Среднерослое,90-100 см,Цилиндрическая
15,Баклажан Пучковое семейство,Раннеспелый,Фиолетовый,Высокорослое,120-150 см,Цилиндрическая
16,Баклажан Заморский полосатик,Раннеспелый,Полосатый,Среднерослое,110-120 см,Цилиндрическая
17,Баклажан Агат,Раннеспелый,Фиолетовый,Среднерослое,,Цилиндрическая
18,Баклажан Полосатая семейка,Раннеспелый,Полосатый,Среднерослое,90-120 см,Грушевидная
19,Баклажан Бульдог,Раннеспелый,Фиолетовый,Среднерослое,60-70 см,Грушевидная
20,Баклажан Мурмаш,Раннеспелый,Фиолетовый,Среднерослое,60-70 см,Грушевидная
21,Баклажан Ча-ча-ча,Ультраскороспелый,Полосатый,Низкорослое,30-35 см,Цилиндрическая
22,Баклажан Колобок,Среднеспелый,,Высокорослое,До 100 см,
23,Баклажан Черное золото,Среднеспелый,Фиолетовый,Среднерослое,45-60,Цилиндрическая
24,Баклажан Космос,Раннеспелый,Фиолетовый,Среднерослое,50-60 см,Цилиндрическая
25,Баклажан Северная долина,Раннеспелый,Фиолетовый,Среднерослое,50-60 см,Грушевидная
26,Баклажан Грин гриль,Раннеспелый,Зеленый,Среднерослое,40-50 см,Грушевидная
27,Баклажан Пришелец,Раннеспелый,Зеленый,Среднерослое,,Цилиндрическая
28,Баклажан Сиреневый туман,Раннеспелый,Фиолетовый,Среднерослое,,Цилиндрическая
29,Баклажан Королева Марго,Среднеспелый,Фиолетовый,Среднерослое,,Округлая
30,Баклажан Белый алмаз,Среднеспелый,Белый,Низкорослое,50-60 см,Цилиндрическая
31,Баклажан Патио-малыш,Раннеспелый,Фиолетовый,Низкорослое,55-70 см,Округлая
32,Баклажан Здоровячок,Раннеспелый,Фиолетовый,Среднерослое,65-75 см,Округлая
33,Баклажан Царская икра,Раннеспелый,Фиолетовый,Низкорослое,около 70 см,Цилиндрическая
34,Баклажан Грибной вкус,Среднеспелый,Фиолетовый,Низкорослое,60-70 см,Цилиндрическая
35,Баклажан Черный русский,Раннеспелый,Фиолетовый,Высокорослое,,Цилиндрическая
36,Баклажан Черный красавец,Позднеспелый,Фиолетовый,Низкорослое,,Грушевидная
37,Баклажан Хозяин-барин,Раннеспелый,Фиолетовый,Среднерослое,,Округлая
38,Баклажан Саламандра,Раннеспелый,Фиолетовый,Высокорослое,,Цилиндрическая
39,Баклажан Рог изобилия,Раннеспелый,Фиолетовый,Высокорослое,,Цилиндрическая
40,Баклажан Робин Гуд,Раннеспелый,Фиолетовый,Среднерослое,70-100 см,Грушевидная
41,Баклажан Разбойник,Раннеспелый,Фиолетовый,Среднерослое,до 100 см,Грушевидная
42,Баклажан Полосатый рейс,Среднеспелый,Полосатый,Высокорослое,,Цилиндрическая
43,Баклажан Офелия,Раннеспелый,Фиолетовый,Низкорослое,30-40 см,Цилиндрическая
44,Баклажан Мурзик,Раннеспелый,Фиолетовый,Среднерослое,,Цилиндрическая
45,Баклажан Мраморный,Раннеспелый,Полосатый,Высокорослое,,Цилиндрическая
46,Баклажан Маугли,Раннеспелый,Фиолетовый,Среднерослое,,Цилиндрическая
47,Баклажан Марафонец,Раннеспелый,Фиолетовый,Среднерослое,,Цилиндрическая
