,Название,Форма растения,Вид бобовых,Высота растения,Срок созревания
1,Фасоль обыкновенная Ласточка,Кустовая,Фасоль,Низкорослое,Раннеспелый
2,Фасоль обыкновенная Красная шапочка,Кустовая,Фасоль,Низкорослое,Среднеспелый
3,Горох овощной Окошкин дом,Кустовая,Горох,Низкорослое,Раннеспелый
4,Горох овощной Семейные радости,Плетистая,Горох,Среднерослое,Раннеспелый
5,Горох овощной Прима,Плетистая,Горох,Среднерослое,Ультраскороспелый
6,Бобы овощные Белые сахарные,Вьющаяся,Бобы,Высокорослое,Среднеспелый
7,Фасоль обыкновенная Горожанка,Кустовая,Фасоль,Низкорослое,Среднеспелый
8,Фасоль обыкновенная Косички,Кустовая,Фасоль,Низкорослое,Среднеспелый
9,Фасоль обыкновенная Пацанки,Кустовая,Фасоль,Низкорослое,Среднеспелый
10,Горох овощной Хаф Пинт,Кустовая,Горох,Низкорослое,Среднеспелый
11,Фасоль овощная Сакса без волокна 615,Кустовая,Фасоль,Низкорослое,Раннеспелый
12,Бобы овощные Белая гвардия,Кустовая,Бобы,Среднерослое,Среднеспелый
13,Горох овощной Сахарная семейка,Плетистая,Горох,Среднерослое,Раннеспелый
14,Горох овощной Молодо-зелено,Кустовая,Горох,Среднерослое,Среднеспелый
15,Горох овощной Дружные ребятки,Кустовая,Горох,Среднерослое,Среднеспелый
16,Фасоль вьющаяся Екатерина,Вьющаяся,Фасоль,Среднерослое,Среднеспелый
17,Фасоль овощная Амстер-дамстер,Кустовая,Фасоль,Среднерослое,Среднеспелый
18,Фасоль овощная Кетти,Кустовая,Фасоль,Среднерослое,Раннеспелый
19,Фасоль овощная Анастасия,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
20,Горох овощной Фиолетовый сахар,Вьющаяся,Горох,Высокорослое,Среднеспелый
21,Фасоль вьющаяся Ажурная беседка,Вьющаяся,Фасоль,Высокорослое,Позднеспелый
22,Фасоль вьющаяся Солнечный поток,Плетистая,Фасоль,Высокорослое,Раннеспелый
23,Фасоль обыкновенная Рубин,Кустовая,Фасоль,Низкорослое,Позднеспелый
24,Фасоль овощная Дружная семейка,Кустовая,Фасоль,Низкорослое,Раннеспелый
25,Фасоль вьющаяся Розалинда,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
26,Фасоль овощная Альбина,Кустовая,Фасоль,Низкорослое,Раннеспелый
27,Фасоль вьющаяся Златовласка,Вьющаяся,Фасоль,Высокорослое,Среднеспелый
28,Фасоль овощная Настенька,Кустовая,Фасоль,Низкорослое,Среднеспелый
29,Фасоль обыкновенная Ласточка,Кустовая,Фасоль,Низкорослое,Раннеспелый
30,Фасоль обыкновенная Красная шапочка,Кустовая,Фасоль,Низкорослое,Среднеспелый
31,Горох овощной Окошкин дом,Кустовая,Горох,Низкорослое,Раннеспелый
32,Горох овощной Семейные радости,Плетистая,Горох,Среднерослое,Раннеспелый
33,Горох овощной Прима,Плетистая,Горох,Среднерослое,Ультраскороспелый
34,Бобы овощные Белые сахарные,Вьющаяся,Бобы,Высокорослое,Среднеспелый
35,Фасоль обыкновенная Горожанка,Кустовая,Фасоль,Низкорослое,Среднеспелый
36,Фасоль обыкновенная Косички,Кустовая,Фасоль,Низкорослое,Среднеспелый
37,Фасоль обыкновенная Пацанки,Кустовая,Фасоль,Низкорослое,Среднеспелый
38,Горох овощной Хаф Пинт,Кустовая,Горох,Низкорослое,Среднеспелый
39,Фасоль овощная Сакса без волокна 615,Кустовая,Фасоль,Низкорослое,Раннеспелый
40,Бобы овощные Белая гвардия,Кустовая,Бобы,Среднерослое,Среднеспелый
41,Горох овощной Сахарная семейка,Плетистая,Горох,Среднерослое,Раннеспелый
