,Название,Спелость,"Срок созревания, дн",Высота,Масса плода,Форма растения,Вид,Цвет
0,Кабачок цуккини Паровозик,Раннеспелый,48-50,,,Кустовая,Цуккини,Зеленый
1,Кабачок цуккини Янтарное чудо,Раннеспелый,45-47,,,Кустовая,Цуккини,Желтый
2,Кабачок цуккини Касуми,Среднеспелый,40-43,,,Кустовая,Цуккини,Зеленый
3,Кабачок цуккини Кальмар,Раннеспелый,40-45,,,Кустовая,Цуккини,Зеленый
4,Кабачок цуккини Золотой осьминог,Раннеспелый,45-47,,,Кустовая,Цуккини,Желтый
5,Кабачок цуккини Багира,Раннеспелый,43-45,,,Кустовая,Цуккини,Зеленый
6,Кабачок цуккини Шкипер,Раннеспелый,40-45,,,Кустовая,Цуккини,Зеленый
7,Кабачок Хит сезона,Раннеспелый,38-43,,,Кустовая,Цуккини,Зеленый
8,Кабачок цуккини Сержант,Раннеспелый,45-50,,,Кустовая,Белоплодный,Зеленый
9,Кабачок Ураган,Раннеспелый,,,,Кустовая,Цуккини,Зеленый
10,Кабачок Блэк цуккини,Раннеспелый,40-45,,,Кустовая,Цуккини,Зеленый
11,Кабачок Солнечный мячик,Раннеспелый,42-45,,,Кустовая,Белоплодный,Желтый
12,Кабачок цуккини Золотой спрут,Раннеспелый,40-45,,,Кустовая,Цуккини,Желтый
13,Кабачок Спагетти,Среднеспелый,40-45,,,Кустовая,Цуккини,Смесь
14,Кабачок Белуга,Среднеспелый,35-45,,,Кустовая,Белоплодный,Белый
15,Кабачок белоплодный Белое море,Среднеспелый,38-50,,,Кустовая,Белоплодный,Белый
16,Кабачок цуккини Искандер,Раннеспелый,38-40,,,Кустовая,Цуккини,Белый
17,Кабачок цуккини Будулай,Раннеспелый,38-45,,,Кустовая,Цуккини,Зеленый
18,Кабачок цуккини Граффити,Раннеспелый,50-60,,,Кустовая,Цуккини,Полосатый
19,Кабачок цуккини Золотой краб,Ультраскороспелый,33-38,,,Кустовая,Цуккини,Желтый
