,Название,Вид капусты,Лёжкость,Срок созревания
1,Капуста цветная Снегурочка,Цветная,Кратковременное хранение,Раннеспелый
2,Капуста б/к Виктория,Белокачанная,Кратковременное хранение,Ультраскороспелый
3,Капуста цветная Мультибол,Цветная,Кратковременное хранение,Среднеспелый
4,Капуста листовая Мисс Розе,Листовая,Кратковременное хранение,Раннеспелый
5,Капуста цветная Бэби,Цветная,Кратковременное хранение,Раннеспелый
6,Капуста листовая Рубин,Листовая,Кратковременное хранение,Среднеспелый
7,Капуста японская Изумрудный узор,Японская,Кратковременное хранение,Среднеспелый
8,Капуста цветная Четыре сезона,Цветная,Длительное хранение,Среднеспелый
9,Капуста цветная Лиловый шар,Цветная,Кратковременное хранение,Среднеспелый
10,Капуста цветная Кокетка,Цветная,Кратковременное хранение,Среднеспелый
11,Капуста цветная Белое облако,Цветная,Кратковременное хранение,Раннеспелый
12,Капуста Пекинская Нежность,Пекинская,Кратковременное хранение,Раннеспелый
13,Капуста Пекинская Бокал,Пекинская,Кратковременное хранение,Среднеспелый
14,Капуста кольраби Гигант,Кольраби,Длительное хранение,Среднеспелый
15,Капуста к/к Жар-птица,Краснокочанная,Длительное хранение,Среднеспелый
16,Капуста брокколи Линда,Брокколи,Кратковременное хранение,Среднеспелый
17,Капуста брокколи Источник силы,Брокколи,Кратковременное хранение,Раннеспелый
18,Капуста китайская Шанхайская роза,Китайская,Кратковременное хранение,Среднеспелый
19,Капуста цветная Янка,Цветная,Кратковременное хранение,Раннеспелый
20,Капуста цветная Полярная ночь,Цветная,Кратковременное хранение,Раннеспелый
21,Капуста цветная Белая фея,Цветная,Кратковременное хранение,Раннеспелый
22,Капуста б/к Волшебные голубцы,Белокачанная,Кратковременное хранение,Раннеспелый
23,Капуста б/к Сто одежек,Белокачанная,Длительное хранение,Среднеспелый
24,Капуста к/к Фиолетта,Краснокочанная,Кратковременное хранение,Среднеспелый
25,Капуста б/к Барыня,Белокачанная,Длительное хранение,Позднеспелый
26,Капуста брокколи Зеленая фея,Брокколи,Длительное хранение,Раннеспелый
27,Капуста б/к Лежкий,Белокачанная,Длительное хранение,Позднеспелый
28,Капуста цветная Анфиса,Цветная,Кратковременное хранение,Среднеспелый
29,Капуста цветная Снегурочка,Цветная,Кратковременное хранение,Раннеспелый
30,Капуста б/к Виктория,Белокачанная,Кратковременное хранение,Ультраскороспелый
31,Капуста цветная Мультибол,Цветная,Кратковременное хранение,Среднеспелый
32,Капуста листовая Мисс Розе,Листовая,Кратковременное хранение,Раннеспелый
33,Капуста цветная Бэби,Цветная,Кратковременное хранение,Раннеспелый
34,Капуста листовая Рубин,Листовая,Кратковременное хранение,Среднеспелый
35,Капуста японская Изумрудный узор,Японская,Кратковременное хранение,Среднеспелый
36,Капуста цветная Четыре сезона,Цветная,Длительное хранение,Среднеспелый
37,Капуста цветная Лиловый шар,Цветная,Кратковременное хранение,Среднеспелый
38,Капуста цветная Кокетка,Цветная,Кратковременное хранение,Среднеспелый
39,Капуста цветная Белое облако,Цветная,Кратковременное хранение,Раннеспелый
40,Капуста Пекинская Нежность,Пекинская,Кратковременное хранение,Раннеспелый
41,Капуста Пекинская Бокал,Пекинская,Кратковременное хранение,Среднеспелый
42,Капуста кольраби Гигант,Кольраби,Длительное хранение,Среднеспелый
43,Капуста к/к Жар-птица,Краснокочанная,Длительное хранение,Среднеспелый
44,Капуста брокколи Линда,Брокколи,Кратковременное хранение,Среднеспелый
45,Капуста брокколи Источник силы,Брокколи,Кратковременное хранение,Раннеспелый
46,Капуста китайская Шанхайская роза,Китайская,Кратковременное хранение,Среднеспелый
47,Капуста цветная Янка,Цветная,Кратковременное хранение,Раннеспелый
48,Капуста цветная Полярная ночь,Цветная,Кратковременное хранение,Раннеспелый
49,Капуста цветная Белая фея,Цветная,Кратковременное хранение,Раннеспелый
50,Капуста б/к Волшебные голубцы,Белокачанная,Кратковременное хранение,Раннеспелый
51,Капуста б/к Сто одежек,Белокачанная,Длительное хранение,Среднеспелый
52,Капуста к/к Фиолетта,Краснокочанная,Кратковременное хранение,Среднеспелый
53,Капуста б/к Барыня,Белокачанная,Длительное хранение,Позднеспелый
54,Капуста брокколи Зеленая фея,Брокколи,Длительное хранение,Раннеспелый
55,Капуста б/к Лежкий,Белокачанная,Длительное хранение,Позднеспелый
56,Капуста цветная Анфиса,Цветная,Кратковременное хранение,Среднеспелый
57,Капуста цветная Снегурочка,Цветная,Кратковременное хранение,Раннеспелый
58,Капуста б/к Виктория,Белокачанная,Кратковременное хранение,Ультраскороспелый
59,Капуста цветная Мультибол,Цветная,Кратковременное хранение,Среднеспелый
60,Капуста листовая Мисс Розе,Листовая,Кратковременное хранение,Раннеспелый
61,Капуста цветная Бэби,Цветная,Кратковременное хранение,Раннеспелый
62,Капуста листовая Рубин,Листовая,Кратковременное хранение,Среднеспелый
63,Капуста японская Изумрудный узор,Японская,Кратковременное хранение,Среднеспелый
64,Капуста цветная Четыре сезона,Цветная,Длительное хранение,Среднеспелый
65,Капуста цветная Лиловый шар,Цветная,Кратковременное хранение,Среднеспелый
66,Капуста цветная Кокетка,Цветная,Кратковременное хранение,Среднеспелый
67,Капуста цветная Белое облако,Цветная,Кратковременное хранение,Раннеспелый
68,Капуста Пекинская Нежность,Пекинская,Кратковременное хранение,Раннеспелый
69,Капуста Пекинская Бокал,Пекинская,Кратковременное хранение,Среднеспелый
70,Капуста кольраби Гигант,Кольраби,Длительное хранение,Среднеспелый
71,Капуста к/к Жар-птица,Краснокочанная,Длительное хранение,Среднеспелый
72,Капуста брокколи Линда,Брокколи,Кратковременное хранение,Среднеспелый
73,Капуста брокколи Источник силы,Брокколи,Кратковременное хранение,Раннеспелый
74,Капуста китайская Шанхайская роза,Китайская,Кратковременное хранение,Среднеспелый
75,Капуста цветная Янка,Цветная,Кратковременное хранение,Раннеспелый
76,Капуста цветная Полярная ночь,Цветная,Кратковременное хранение,Раннеспелый
77,Капуста цветная Белая фея,Цветная,Кратковременное хранение,Раннеспелый
78,Капуста б/к Волшебные голубцы,Белокачанная,Кратковременное хранение,Раннеспелый
79,Капуста б/к Сто одежек,Белокачанная,Длительное хранение,Среднеспелый
80,Капуста к/к Фиолетта,Краснокочанная,Кратковременное хранение,Среднеспелый
81,Капуста б/к Барыня,Белокачанная,Длительное хранение,Позднеспелый
82,Капуста брокколи Зеленая фея,Брокколи,Длительное хранение,Раннеспелый
83,Капуста б/к Лежкий,Белокачанная,Длительное хранение,Позднеспелый
84,Капуста цветная Анфиса,Цветная,Кратковременное хранение,Среднеспелый
85,Капуста цветная Снегурочка,Цветная,Кратковременное хранение,Раннеспелый
86,Капуста б/к Виктория,Белокачанная,Кратковременное хранение,Ультраскороспелый
87,Капуста цветная Мультибол,Цветная,Кратковременное хранение,Среднеспелый
88,Капуста листовая Мисс Розе,Листовая,Кратковременное хранение,Раннеспелый
89,Капуста цветная Бэби,Цветная,Кратковременное хранение,Раннеспелый
90,Капуста листовая Рубин,Листовая,Кратковременное хранение,Среднеспелый
91,Капуста японская Изумрудный узор,Японская,Кратковременное хранение,Среднеспелый
92,Капуста цветная Четыре сезона,Цветная,Длительное хранение,Среднеспелый
93,Капуста цветная Лиловый шар,Цветная,Кратковременное хранение,Среднеспелый
94,Капуста цветная Кокетка,Цветная,Кратковременное хранение,Среднеспелый
95,Капуста цветная Белое облако,Цветная,Кратковременное хранение,Раннеспелый
96,Капуста Пекинская Нежность,Пекинская,Кратковременное хранение,Раннеспелый
97,Капуста Пекинская Бокал,Пекинская,Кратковременное хранение,Среднеспелый
98,Капуста кольраби Гигант,Кольраби,Длительное хранение,Среднеспелый
99,Капуста к/к Жар-птица,Краснокочанная,Длительное хранение,Среднеспелый
100,Капуста брокколи Линда,Брокколи,Кратковременное хранение,Среднеспелый
101,Капуста брокколи Источник силы,Брокколи,Кратковременное хранение,Раннеспелый
102,Капуста китайская Шанхайская роза,Китайская,Кратковременное хранение,Среднеспелый
103,Капуста цветная Янка,Цветная,Кратковременное хранение,Раннеспелый
104,Капуста цветная Полярная ночь,Цветная,Кратковременное хранение,Раннеспелый
105,Капуста цветная Белая фея,Цветная,Кратковременное хранение,Раннеспелый
106,Капуста б/к Волшебные голубцы,Белокачанная,Кратковременное хранение,Раннеспелый
107,Капуста б/к Сто одежек,Белокачанная,Длительное хранение,Среднеспелый
108,Капуста к/к Фиолетта,Краснокочанная,Кратковременное хранение,Среднеспелый
109,Капуста б/к Барыня,Белокачанная,Длительное хранение,Позднеспелый
110,Капуста брокколи Зеленая фея,Брокколи,Длительное хранение,Раннеспелый
111,Капуста б/к Лежкий,Белокачанная,Длительное хранение,Позднеспелый
112,Капуста цветная Анфиса,Цветная,Кратковременное хранение,Среднеспелый
113,Капуста цветная Снегурочка,Цветная,Кратковременное хранение,Раннеспелый
114,Капуста б/к Виктория,Белокачанная,Кратковременное хранение,Ультраскороспелый
115,Капуста цветная Мультибол,Цветная,Кратковременное хранение,Среднеспелый
116,Капуста листовая Мисс Розе,Листовая,Кратковременное хранение,Раннеспелый
117,Капуста цветная Бэби,Цветная,Кратковременное хранение,Раннеспелый
118,Капуста листовая Рубин,Листовая,Кратковременное хранение,Среднеспелый
119,Капуста японская Изумрудный узор,Японская,Кратковременное хранение,Среднеспелый
120,Капуста цветная Четыре сезона,Цветная,Длительное хранение,Среднеспелый
121,Капуста цветная Лиловый шар,Цветная,Кратковременное хранение,Среднеспелый
122,Капуста цветная Кокетка,Цветная,Кратковременное хранение,Среднеспелый
123,Капуста цветная Белое облако,Цветная,Кратковременное хранение,Раннеспелый
124,Капуста Пекинская Нежность,Пекинская,Кратковременное хранение,Раннеспелый
125,Капуста Пекинская Бокал,Пекинская,Кратковременное хранение,Среднеспелый
126,Капуста кольраби Гигант,Кольраби,Длительное хранение,Среднеспелый
127,Капуста к/к Жар-птица,Краснокочанная,Длительное хранение,Среднеспелый
128,Капуста брокколи Линда,Брокколи,Кратковременное хранение,Среднеспелый
129,Капуста брокколи Источник силы,Брокколи,Кратковременное хранение,Раннеспелый
130,Капуста китайская Шанхайская роза,Китайская,Кратковременное хранение,Среднеспелый
131,Капуста цветная Янка,Цветная,Кратковременное хранение,Раннеспелый
132,Капуста цветная Полярная ночь,Цветная,Кратковременное хранение,Раннеспелый
133,Капуста цветная Белая фея,Цветная,Кратковременное хранение,Раннеспелый
134,Капуста б/к Волшебные голубцы,Белокачанная,Кратковременное хранение,Раннеспелый
135,Капуста б/к Сто одежек,Белокачанная,Длительное хранение,Среднеспелый
136,Капуста к/к Фиолетта,Краснокочанная,Кратковременное хранение,Среднеспелый
137,Капуста б/к Барыня,Белокачанная,Длительное хранение,Позднеспелый
138,Капуста брокколи Зеленая фея,Брокколи,Длительное хранение,Раннеспелый
139,Капуста б/к Лежкий,Белокачанная,Длительное хранение,Позднеспелый
140,Капуста цветная Анфиса,Цветная,Кратковременное хранение,Среднеспелый
141,Капуста цветная Снегурочка,Цветная,Кратковременное хранение,Раннеспелый
142,Капуста б/к Виктория,Белокачанная,Кратковременное хранение,Ультраскороспелый
143,Капуста цветная Мультибол,Цветная,Кратковременное хранение,Среднеспелый
