,Название,Вид лука,Срок созревания
1,Лук порей Италико,Порей,Среднеспелый
2,Лук репчатый Гасконец,Репчатый,Среднеспелый
3,Лук шнитт Зимний кустовой,Шнитт,Раннеспелый
4,Лук шнитт Богемия,Шнитт,Раннеспелый
5,Лук шнитт на зелень Широколистный,Шнитт,Раннеспелый
6,Лук порей Элефант МС,Порей,Среднеспелый
7,Лук батун на зелень Ранний майский,Батун,Раннеспелый
8,Лук порей Болгарский великан,Порей,Среднеспелый
9,Лук шалот Семьянин,Шалот,Среднеспелый
10,Лук порей Танго,Порей,Среднеспелый
11,Лук репчатый Красный император,Репчатый,Раннеспелый
12,Лук репчатый Даниловский 301,Репчатый,Среднеспелый
13,Лук на зелень Русские богатыри,Лук на зелень,Среднеспелый
14,Лук на зелень Милано,Лук на зелень,Раннеспелый
15,Лук репчатый Румянец,Репчатый,Позднеспелый
16,Лук на перо Стрелы Амура,Лук на зелень,Раннеспелый
17,Лук репчатый Белый принц,Репчатый,Позднеспелый
18,Лук шнитт Домашний,Шнитт,Раннеспелый
19,Лук репчатый Король Артур,Репчатый,Среднеспелый
20,Лук репчатый Червонец,Репчатый,Среднеспелый
21,Лук порей Американский флаг,Порей,Среднеспелый
22,Лук батун Стражник,Батун,Раннеспелый
23,Лук репчатый Хулиган,Репчатый,Среднеспелый
24,Лук репчатый Глобо,Репчатый,Позднеспелый
25,Лук репчатый Авалон,Репчатый,Среднеспелый
26,Лук репчатый Красный-88,Репчатый,Среднеспелый
27,Лук порей Терминал,Порей,Среднеспелый
28,Лук шалот Монастырский,Шалот,Среднеспелый
29,Лук порей Италико,Порей,Среднеспелый
30,Лук репчатый Гасконец,Репчатый,Среднеспелый
31,Лук шнитт Зимний кустовой,Шнитт,Раннеспелый
32,Лук шнитт Богемия,Шнитт,Раннеспелый
33,Лук шнитт на зелень Широколистный,Шнитт,Раннеспелый
34,Лук порей Элефант МС,Порей,Среднеспелый
35,Лук батун на зелень Ранний майский,Батун,Раннеспелый
36,Лук порей Болгарский великан,Порей,Среднеспелый
37,Лук шалот Семьянин,Шалот,Среднеспелый
38,Лук порей Танго,Порей,Среднеспелый
39,Лук репчатый Красный император,Репчатый,Раннеспелый
40,Лук репчатый Даниловский 301,Репчатый,Среднеспелый
41,Лук на зелень Русские богатыри,Лук на зелень,Среднеспелый
42,Лук на зелень Милано,Лук на зелень,Раннеспелый
43,Лук репчатый Румянец,Репчатый,Позднеспелый
44,Лук на перо Стрелы Амура,Лук на зелень,Раннеспелый
45,Лук репчатый Белый принц,Репчатый,Позднеспелый
46,Лук шнитт Домашний,Шнитт,Раннеспелый
47,Лук репчатый Король Артур,Репчатый,Среднеспелый
48,Лук репчатый Червонец,Репчатый,Среднеспелый
49,Лук порей Американский флаг,Порей,Среднеспелый
50,Лук батун Стражник,Батун,Раннеспелый
51,Лук репчатый Хулиган,Репчатый,Среднеспелый
52,Лук репчатый Глобо,Репчатый,Позднеспелый
53,Лук репчатый Авалон,Репчатый,Среднеспелый
54,Лук репчатый Красный-88,Репчатый,Среднеспелый
55,Лук порей Терминал,Порей,Среднеспелый
56,Лук шалот Монастырский,Шалот,Среднеспелый
57,Лук порей Италико,Порей,Среднеспелый
58,Лук репчатый Гасконец,Репчатый,Среднеспелый
59,Лук шнитт Зимний кустовой,Шнитт,Раннеспелый
60,Лук шнитт Богемия,Шнитт,Раннеспелый
61,Лук шнитт на зелень Широколистный,Шнитт,Раннеспелый
