,Название,Срок созревания,Способ опыления,Размер огурца
1,Огурец Крепыш,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
2,Огурец Пучковый десант,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
3,Огурец Удача на даче,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
4,Огурец Веселая такса,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
5,Огурец Кречет,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
6,Огурец Паучок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
7,Огурец Клевый парень,Среднеспелый,Самоопыляемый,Длинноплодный (от 15 см)
8,Огурец Веселый паровозик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
9,Огурец Уйгур,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
10,Огурец Карасики,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
11,Огурец Алтайский пучок,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
12,Огурец Обыкновенное чудо,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
13,Огурец Осьминожка,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
14,Огурец Пальчик,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
15,Огурец Проказник,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
16,Огурец Сам самыч,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
17,Огурец Балкончик,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
18,Огурец Гигант из поднебесной,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
19,Огурец Кустик-хрустик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
20,Огурец Муравейник,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
21,Огурец Шустренок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
22,Огурец Белый адмирал,Среднеспелый,Самоопыляемый,Короткоплодный (9-14 см)
23,Огурец Размер 9-12,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
24,Огурец Заготовкин,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
25,Огурец Два Ивана,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
26,Огурец Пальчики,Среднеспелый,Самоопыляемый,Корнишон (до 9 см)
27,Огурец Ирина,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
28,Огурец Все гладко,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
30,Огурец Крепыш,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
31,Огурец Пучковый десант,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
32,Огурец Удача на даче,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
33,Огурец Веселая такса,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
34,Огурец Кречет,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
35,Огурец Паучок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
36,Огурец Клевый парень,Среднеспелый,Самоопыляемый,Длинноплодный (от 15 см)
37,Огурец Веселый паровозик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
38,Огурец Уйгур,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
39,Огурец Карасики,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
40,Огурец Алтайский пучок,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
41,Огурец Обыкновенное чудо,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
42,Огурец Осьминожка,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
43,Огурец Пальчик,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
44,Огурец Проказник,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
45,Огурец Сам самыч,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
46,Огурец Балкончик,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
47,Огурец Гигант из поднебесной,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
48,Огурец Кустик-хрустик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
49,Огурец Муравейник,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
50,Огурец Шустренок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
51,Огурец Белый адмирал,Среднеспелый,Самоопыляемый,Короткоплодный (9-14 см)
52,Огурец Размер 9-12,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
53,Огурец Заготовкин,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
54,Огурец Два Ивана,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
55,Огурец Пальчики,Среднеспелый,Самоопыляемый,Корнишон (до 9 см)
56,Огурец Ирина,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
57,Огурец Все гладко,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
59,Огурец Крепыш,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
60,Огурец Пучковый десант,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
61,Огурец Удача на даче,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
62,Огурец Веселая такса,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
63,Огурец Кречет,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
64,Огурец Паучок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
65,Огурец Клевый парень,Среднеспелый,Самоопыляемый,Длинноплодный (от 15 см)
66,Огурец Веселый паровозик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
67,Огурец Уйгур,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
68,Огурец Карасики,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
69,Огурец Алтайский пучок,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
70,Огурец Обыкновенное чудо,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
71,Огурец Осьминожка,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
72,Огурец Пальчик,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
73,Огурец Проказник,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
74,Огурец Сам самыч,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
75,Огурец Балкончик,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
76,Огурец Гигант из поднебесной,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
77,Огурец Кустик-хрустик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
78,Огурец Муравейник,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
79,Огурец Шустренок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
80,Огурец Белый адмирал,Среднеспелый,Самоопыляемый,Короткоплодный (9-14 см)
81,Огурец Размер 9-12,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
82,Огурец Заготовкин,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
83,Огурец Два Ивана,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
84,Огурец Пальчики,Среднеспелый,Самоопыляемый,Корнишон (до 9 см)
85,Огурец Ирина,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
86,Огурец Все гладко,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
88,Огурец Крепыш,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
89,Огурец Пучковый десант,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
90,Огурец Удача на даче,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
91,Огурец Веселая такса,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
92,Огурец Кречет,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
93,Огурец Паучок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
94,Огурец Клевый парень,Среднеспелый,Самоопыляемый,Длинноплодный (от 15 см)
95,Огурец Веселый паровозик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
96,Огурец Уйгур,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
97,Огурец Карасики,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
98,Огурец Алтайский пучок,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
99,Огурец Обыкновенное чудо,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
100,Огурец Осьминожка,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
101,Огурец Пальчик,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
102,Огурец Проказник,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
103,Огурец Сам самыч,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
104,Огурец Балкончик,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
105,Огурец Гигант из поднебесной,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
106,Огурец Кустик-хрустик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
107,Огурец Муравейник,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
108,Огурец Шустренок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
109,Огурец Белый адмирал,Среднеспелый,Самоопыляемый,Короткоплодный (9-14 см)
110,Огурец Размер 9-12,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
111,Огурец Заготовкин,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
112,Огурец Два Ивана,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
113,Огурец Пальчики,Среднеспелый,Самоопыляемый,Корнишон (до 9 см)
114,Огурец Ирина,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
115,Огурец Все гладко,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
117,Огурец Крепыш,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
118,Огурец Пучковый десант,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
119,Огурец Удача на даче,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
120,Огурец Веселая такса,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
121,Огурец Кречет,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
122,Огурец Паучок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
123,Огурец Клевый парень,Среднеспелый,Самоопыляемый,Длинноплодный (от 15 см)
124,Огурец Веселый паровозик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
125,Огурец Уйгур,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
126,Огурец Карасики,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
127,Огурец Алтайский пучок,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
128,Огурец Обыкновенное чудо,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
129,Огурец Осьминожка,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
130,Огурец Пальчик,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
131,Огурец Проказник,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
132,Огурец Сам самыч,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
133,Огурец Балкончик,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
134,Огурец Гигант из поднебесной,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
135,Огурец Кустик-хрустик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
136,Огурец Муравейник,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
137,Огурец Шустренок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
138,Огурец Белый адмирал,Среднеспелый,Самоопыляемый,Короткоплодный (9-14 см)
139,Огурец Размер 9-12,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
140,Огурец Заготовкин,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
141,Огурец Два Ивана,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
142,Огурец Пальчики,Среднеспелый,Самоопыляемый,Корнишон (до 9 см)
143,Огурец Ирина,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
144,Огурец Все гладко,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
146,Огурец Крепыш,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
147,Огурец Пучковый десант,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
148,Огурец Удача на даче,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
149,Огурец Веселая такса,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
150,Огурец Кречет,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
151,Огурец Паучок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
152,Огурец Клевый парень,Среднеспелый,Самоопыляемый,Длинноплодный (от 15 см)
153,Огурец Веселый паровозик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
154,Огурец Уйгур,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
155,Огурец Карасики,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
156,Огурец Алтайский пучок,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
157,Огурец Обыкновенное чудо,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
158,Огурец Осьминожка,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
159,Огурец Пальчик,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
160,Огурец Проказник,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
161,Огурец Сам самыч,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
162,Огурец Балкончик,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
163,Огурец Гигант из поднебесной,Раннеспелый,Самоопыляемый,Длинноплодный (от 15 см)
164,Огурец Кустик-хрустик,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
165,Огурец Муравейник,Раннеспелый,Самоопыляемый,Корнишон (до 9 см)
166,Огурец Шустренок,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
167,Огурец Белый адмирал,Среднеспелый,Самоопыляемый,Короткоплодный (9-14 см)
168,Огурец Размер 9-12,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
169,Огурец Заготовкин,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
170,Огурец Два Ивана,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
171,Огурец Пальчики,Среднеспелый,Самоопыляемый,Корнишон (до 9 см)
172,Огурец Ирина,Раннеспелый,Пчёлоопыляемый,Корнишон (до 9 см)
173,Огурец Все гладко,Раннеспелый,Самоопыляемый,Короткоплодный (9-14 см)
174,Огурец Жаворонки,Раннеспелый,Пчёлоопыляемый,Короткоплодный (9-14 см)
