,Название,Срок созревания,Толщина стенки,Высота растения,Высота
0,Перец острый Медвежий коготь,Раннеспелый,Тонкостенный,Среднерослое,
1,Перец острый Китайский фонарик,,Толстостенный,Высокорослое,130-160 см
2,Перец сладкий Д'Артаньян,Раннеспелый,Тонкостенный,Среднерослое,
3,Перец острый Хвандо,Раннеспелый,Тонкостенный,Высокорослое,140-155 см
4,Перец сладкий Паприка,Раннеспелый,Тонкостенный,Среднерослое,
5,Перец сладкий Желтый букет,Раннеспелый,Тонкостенный,Среднерослое,
6,Перец сладкий Гогошары,Раннеспелый,Толстостенный,Среднерослое,40-80 см
7,Перец сладкий Большое золото,Раннеспелый,Тонкостенный,Среднерослое,80-100 см
8,Перец сладкий Аэлита,Раннеспелый,Толстостенный,Среднерослое,75-95 см
9,Перец острый Калейдоскоп,Раннеспелый,Тонкостенный,Низкорослое,20-30 см
10,Перец острый Визирь,Раннеспелый,Толстостенный,Среднерослое,80-100 см
11,Перец острый Венгерский желтый,Раннеспелый,Толстостенный,Низкорослое,
12,Перец сладкий Богатырь,Среднеспелый,Толстостенный,Среднерослое,60-70 см
13,Перец сладкий Афродита,Раннеспелый,Толстостенный,Среднерослое,80-85 см
14,Перец острый Штопор,Раннеспелый,Толстостенный,Среднерослое,55-70 см
15,Перец острый Чудо Подмосковья,Раннеспелый,Тонкостенный,Высокорослое,135-150 см
16,Перец острый Тещин язык,Раннеспелый,Толстостенный,Низкорослое,около 50 см
17,Перец острый Копье индейца,Раннеспелый,Тонкостенный,Высокорослое,до 130 см
18,Перец острый Индийский слон,Среднеспелый,Тонкостенный,Высокорослое,
19,Перец острый Жгучий нос,Раннеспелый,Толстостенный,Среднерослое,70-80 см
20,Перец острый Джокер,Раннеспелый,Толстостенный,Среднерослое,75-80 см
21,Перец сладкий Биг Бой,Раннеспелый,Толстостенный,Среднерослое,60-80 см
22,Перец сладкий Вундеркинд,Раннеспелый,Толстостенный,Среднерослое,60-70 см
23,Перец сладкий Рыжий хвост,Раннеспелый,Тонкостенный,Среднерослое,До 90 см
24,Перец сладкий Желтый богатырь,Раннеспелый,Тонкостенный,Среднерослое,70-90 см
25,Перец острый Огненный букет,Раннеспелый,Толстостенный,Низкорослое,20-25 см
26,Перец острый Гарри,Раннеспелый,Тонкостенный,Низкорослое,20-25 см
27,Перец острый Маленький хитрец,Раннеспелый,Тонкостенный,Низкорослое,25-30 см
28,Перец острый Яркий пример,Раннеспелый,Тонкостенный,Низкорослое,25-30 см
29,Перец острый Хабанеро желтый,Раннеспелый,Тонкостенный,Среднерослое,60-70 см
30,Перец острый Хабанеро красный,Раннеспелый,Тонкостенный,Высокорослое,До 100 см
31,Перец сладкий Шашлычный,Раннеспелый,Толстостенный,Высокорослое,
32,Перец сладкий Тимия,Раннеспелый,Толстостенный,Среднерослое,
33,Перец сладкий Патриция,Раннеспелый,Толстостенный,Среднерослое,
34,Перец сладкий Гулливер,Раннеспелый,Толстостенный,Среднерослое,60-80 см
35,Перец сладкий Вкус лета,Раннеспелый,Толстостенный,Низкорослое,50-60 см
36,Перец сладкий Размер XXL,Раннеспелый,Толстостенный,Среднерослое,50-60 см
37,Перец сладкий Пизанская башня,Раннеспелый,Толстостенный,Среднерослое,90-110 см
38,Перец сладкий Дульче итальяно,Раннеспелый,Толстостенный,Высокорослое,100 см
39,Перец сладкий Красный великан,Раннеспелый,Толстостенный,Среднерослое,50-60 см
40,Перец сладкий Большая перемена,Раннеспелый,Толстостенный,Среднерослое,70-80 см
41,Перец сладкий Гвардеец,Среднеспелый,Толстостенный,Среднерослое,80 см
42,Перец кустарниковый Вспышка,Раннеспелый,Тонкостенный,Низкорослое,20-30 см
43,Перец острый Огненные шарики,Раннеспелый,,Среднерослое,
44,Перец китайский Бикиньо желтый,Раннеспелый,Тонкостенный,Среднерослое,60-80 см
45,Перец китайский Бикиньо красный,Раннеспелый,Тонкостенный,Среднерослое,60-80 см
46,Перец кустарниковый Рябиновые бусы,Раннеспелый,Тонкостенный,Низкорослое,20-30 см
47,Перец сладкий Семейный рецепт,Раннеспелый,Тонкостенный,Среднерослое,50-95 см
48,Перец сладкий Рубиновая лакомка,Раннеспелый,Толстостенный,Среднерослое,до 80 см
49,Перец сладкий Коричневый куб,Раннеспелый,Толстостенный,Среднерослое,80-100 см
50,Перец острый Горячее сердце,Раннеспелый,Тонкостенный,Среднерослое,
51,Перец кустарниковый Задира,Раннеспелый,Тонкостенный,Низкорослое,20-30 см
52,Перец сладкий Эксклюзив,Раннеспелый,Тонкостенный,Среднерослое,80-100 см
53,Перец сладкий Шоколадный красавец,Раннеспелый,Толстостенный,Среднерослое,70-80 см
54,Перец сладкий Чунга-чанга,Раннеспелый,Толстостенный,Низкорослое,30-40 см
55,Перец сладкий Чудо великан,Раннеспелый,Толстостенный,Среднерослое,70-150 см
56,Перец сладкий Чернобровка,Среднеспелый,Толстостенный,Высокорослое,80-120 см
57,Перец сладкий Царевич,Раннеспелый,Толстостенный,Низкорослое,
58,Перец сладкий Хозяюшка,Раннеспелый,Толстостенный,Среднерослое,до 100 см
59,Перец сладкий Силач,Раннеспелый,Толстостенный,Среднерослое,
60,Перец сладкий Огни,Раннеспелый,Толстостенный,Среднерослое,50-110 см
61,Перец сладкий Красные сапожки,Раннеспелый,Толстостенный,Среднерослое,70-80 см
62,Перец сладкий Кортик,Раннеспелый,Тонкостенный,Высокорослое,100-110 см
63,Перец сладкий Король севера,Раннеспелый,Толстостенный,Низкорослое,
64,Перец сладкий Калифорнийское чудо черное,Раннеспелый,Толстостенный,Высокорослое,90-110 см
65,Перец сладкий Калифорнийское чудо желтое,Среднеспелый,Толстостенный,Среднерослое,
66,Перец сладкий Калифорнийское чудо,Раннеспелый,Толстостенный,Среднерослое,80 см
67,Перец сладкий Золотой поток,Раннеспелый,Толстостенный,Среднерослое,80-90 см
68,Перец сладкий Здоровье,Раннеспелый,Тонкостенный,Высокорослое,100-150 см
69,Перец сладкий Жемчужина Сибири,Среднеспелый,Толстостенный,Среднерослое,60-70 см
70,Перец сладкий Екатерина,Раннеспелый,Тонкостенный,Высокорослое,
71,Перец сладкий Большая умница,Раннеспелый,Тонкостенный,Среднерослое,
72,Перец сладкий Марк,Раннеспелый,Толстостенный,Высокорослое,100 см
73,Перец сладкий Черный бриллиант,Раннеспелый,Толстостенный,Среднерослое,
74,Перец сладкий Экспресс-18,Раннеспелый,Толстостенный,Среднерослое,60-80 см
75,Перец сладкий Черная лакомка,Раннеспелый,Толстостенный,Среднерослое,
76,Перец сладкий Сиреневый куб,Раннеспелый,Толстостенный,Среднерослое,60-70 см
77,Перец сладкий Первая ласточка,Раннеспелый,Толстостенный,Среднерослое,60-70 см
78,Перец сладкий Дружные ребята,Раннеспелый,Толстостенный,Среднерослое,55-65 см
79,Перец острый Гриль черри,Раннеспелый,Тонкостенный,Высокорослое,115-125 см
80,Перец острый Острый язычок,Раннеспелый,Тонкостенный,Высокорослое,100-115 см
81,Перец сладкий Печеное яблочко,Раннеспелый,Толстостенный,Среднерослое,55-65 см
82,Перец сладкий Лазурный берег,Раннеспелый,Толстостенный,Низкорослое,60-70 см
83,Перец сладкий Енисей,Раннеспелый,Толстостенный,Среднерослое,до 80 см
84,Перец острый Коготь орла,Среднеспелый,Толстостенный,Среднерослое,100-120 см
85,Перец сладкий Оранжевый лев,Раннеспелый,Толстостенный,Среднерослое,
86,Перец острый Северное сияние,Раннеспелый,Тонкостенный,Среднерослое,25-35 см
87,Перец сладкий Толстячок,Среднеспелый,Толстостенный,Низкорослое,до 55 см
88,Перец сладкий Лидер-34,Раннеспелый,Толстостенный,Высокорослое,80-100 см
89,Перец сладкий Английский сапог,Раннеспелый,Толстостенный,Высокорослое,85-100 см
90,Перец острый Огонь-стручки,Раннеспелый,Тонкостенный,Среднерослое,
91,Перец сладкий Красный барон,Раннеспелый,Толстостенный,Среднерослое,100-120 см
92,Перец сладкий Гриль бомба,Среднеспелый,Толстостенный,Среднерослое,50-60 см
93,Перец сладкий Братья гриль,Раннеспелый,Толстостенный,,
94,Перец острый Зуб акулы,Раннеспелый,Тонкостенный,Среднерослое,до 80 см
95,Перец острый Жгучий блондин,Раннеспелый,,Среднерослое,до 110 см
96,Перец острый Жгучая радость,Раннеспелый,Тонкостенный,Среднерослое,до 110 см
97,Перец сладкий Фио-Лето,Раннеспелый,Толстостенный,Низкорослое,40-50 см
98,Перец острый Жгучие колобки,Раннеспелый,,Высокорослое,до 150 см
99,Перец острый Мачо,Раннеспелый,Толстостенный,Среднерослое,75-90 см
100,Перец сладкий Вася-василек,Раннеспелый,Толстостенный,Среднерослое,70-80 см
101,Перец сладкий Ингрид,Среднеспелый,Толстостенный,Среднерослое,50-60 см
102,Перец сладкий Дуняша,Раннеспелый,Толстостенный,Среднерослое,50-65 см
103,Перец сладкий Золотистый бочок,Раннеспелый,Толстостенный,Среднерослое,70-80 см
104,Перец сладкий Биг Герл,Раннеспелый,Толстостенный,Среднерослое,50-60 см
105,Перец сладкий Биг мама,Раннеспелый,Толстостенный,Среднерослое,50-100 см
106,Перец сладкий Талисман,Раннеспелый,Толстостенный,Среднерослое,До 100 см
107,Перец острый Красный толстяк,Среднеспелый,Толстостенный,Среднерослое,
108,Перец острый Жгучие красавцы,Раннеспелый,Толстостенный,Среднерослое,80-90 см
109,Перец острый Аджика,Среднеспелый,Тонкостенный,Высокорослое,
110,Перец сладкий Ратунда оранжевая,Среднеспелый,Толстостенный,Среднерослое,70-90 см
111,Перец сладкий Гогошар оранжевый,Среднеспелый,Толстостенный,Высокорослое,80-90 см
112,Перец острый Кроличьи уши,Среднеспелый,Тонкостенный,Высокорослое,80-90 см
113,Перец острый Джаспер,Среднеспелый,Тонкостенный,Среднерослое,65-80 см
114,Перец острый Пламенный привет,Раннеспелый,Тонкостенный,Среднерослое,до 100 см
115,Перец острый Ред Эмбер,Раннеспелый,Тонкостенный,Среднерослое,35-50 см
116,Перец острый Щучий хвост,Раннеспелый,Тонкостенный,Высокорослое,80-90 см
117,Перец острый Лихач,Среднеспелый,Толстостенный,Среднерослое,70-85 см
118,Перец острый Красная жара,Среднеспелый,Тонкостенный,Среднерослое,70-80 см
119,Перец острый Айджи Уайт Фэнтези,Среднеспелый,Тонкостенный,Высокорослое,Более 100 см
120,Перец острый Горилка,Раннеспелый,Тонкостенный,Высокорослое,85-100 см
121,Перец сладкий Медовый,Раннеспелый,Толстостенный,Высокорослое,80-90 см
122,Перец острый Дон Санчо,Раннеспелый,Тонкостенный,Высокорослое,80-100 см
123,Перец острый Дон Педро,Раннеспелый,Тонкостенный,Высокорослое,85-95 см
124,Перец острый Капитан Америка,Среднеспелый,Тонкостенный,Среднерослое,70-80 см
125,Перец сладкий Сибирский карлик,Раннеспелый,Толстостенный,Низкорослое,35-55 см
126,Перец острый Кайенский лонг слим,Раннеспелый,Тонкостенный,Высокорослое,90-100 см
127,Перец сладкий Здоровячок,Раннеспелый,Тонкостенный,Высокорослое,
128,Перец сладкий Большая семья,Раннеспелый,Толстостенный,Среднерослое,50 см
129,Перец сладкий Фатима,Среднеспелый,Толстостенный,Среднерослое,45-65 см
130,Перец острый Кайенский,Раннеспелый,Тонкостенный,Высокорослое,До 100 см
131,Перец сладкий Изабелла,Среднеспелый,Толстостенный,Среднерослое,65-85 см
132,Перец сладкий Испанский сладкий,Раннеспелый,Тонкостенный,Среднерослое,70-80 см
133,Перец острый Чилийская жара,Раннеспелый,Тонкостенный,Среднерослое,60-80 см
134,Перец острый Карабас Барабас,Раннеспелый,Тонкостенный,Среднерослое,70-80 см
135,Перец сладкий Подарок Молдовы,Среднеспелый,Тонкостенный,Низкорослое,Около 40 см
136,Перец сладкий Фиолетовый куб,Раннеспелый,Толстостенный,Среднерослое,
137,Перец сладкий Богатырское здоровье,Раннеспелый,Толстостенный,Среднерослое,50-60 см
138,Перец сладкий Болгарец,Среднеспелый,Толстостенный,Среднерослое,60-70 см
139,Перец сладкий Винни пух,Раннеспелый,Толстостенный,Низкорослое,25-30 см
140,Перец сладкий Везувий,Раннеспелый,Толстостенный,Среднерослое,60 см
141,Перец сладкий Вкусное лечо,Среднеспелый,Толстостенный,Среднерослое,45-65 см
142,Перец острый Ереванский,Раннеспелый,Тонкостенный,Среднерослое,70-80 см
143,Перец сладкий Лимонное чудо,Раннеспелый,Толстостенный,Высокорослое,
144,Перец сладкий Красная шапочка,Раннеспелый,Толстостенный,Среднерослое,70-80 см
145,Перец сладкий Черный конь,Раннеспелый,Толстостенный,Высокорослое,
146,Перец сладкий Оранжевое наслаждение,Раннеспелый,Толстостенный,Среднерослое,
147,Перец сладкий Емеля,Раннеспелый,Тонкостенный,Среднерослое,
148,Перец сладкий Кубышка,Раннеспелый,Толстостенный,Высокорослое,100-110 см
149,Перец сладкий Крепыш,Раннеспелый,Тонкостенный,Низкорослое,30-55 см
150,Перец сладкий Желтый бивень,Среднеспелый,Тонкостенный,Среднерослое,Около 60 см
151,Перец сладкий Царский пир,Раннеспелый,Толстостенный,Среднерослое,50-100 см
152,Перец острый Хабанеро оранжевый,Раннеспелый,Тонкостенный,Среднерослое,60-100 см
153,Перец острый Бенгальские огни,Раннеспелый,Тонкостенный,Среднерослое,
154,Перец сладкий Янтарь,Раннеспелый,Тонкостенный,Среднерослое,70-80 см
155,Перец острый Язык дракона,Среднеспелый,Тонкостенный,Высокорослое,90-100 см
156,Перец острый Бараний рог,Среднеспелый,Тонкостенный,Среднерослое,50-60 см
157,Перец острый Фитилек,Раннеспелый,Тонкостенный,Низкорослое,20-25 см
158,Перец острый Жгучий эксклюзив,Среднеспелый,Толстостенный,Среднерослое,До 90 см
159,Перец сладкий Оранжевая лакомка,Раннеспелый,Тонкостенный,Среднерослое,70-80 см
160,Перец сладкий 38 попугаев,Раннеспелый,Тонкостенный,Среднерослое,50-60 см
161,Перец сладкий Большой куш,Раннеспелый,Толстостенный,Среднерослое,70-85 см
