,Название,Вид салата,Срок созревания
1,Бэби салат Витаминное ассорти,Бэби салат,Раннеспелый
2,Салат 4 сезона кочанный,Кочанный,Среднеспелый
3,Салат Айсберг кочанный,Кочанный,Раннеспелый
4,Смесь салатных культур Краснолистный микс,Смесь,Среднеспелый
5,Салат Хрустящий лед,Кочанный,Среднеспелый
6,Салат Айс квин,Кочанный,Среднеспелый
7,Салат Физкульт-привет,Кочанный,Среднеспелый
8,Салат Кучерявенький сибирский,Листовой,Среднеспелый
9,Салат Кучерявец грибовский,Полукочанный,Среднеспелый
10,Салат Греческий вкус,Полукочанный,Среднеспелый
11,Салат Тосканский,Полукочанный,Среднеспелый
12,Салат Отличник,Листовой,Раннеспелый
13,Салат Тайфун листовой,Листовой,Среднеспелый
14,Бэби салат Леди Фит,Бэби салат,Раннеспелый
15,Смесь салатных культур Каталония,Смесь,Раннеспелый
16,Смесь салатных культур Санторини,Смесь,Раннеспелый
17,Смесь салатных культур Нормандия,Смесь,Раннеспелый
18,Смесь салатных культур Толедо,Смесь,Раннеспелый
19,Смесь салатных культур Неаполитанка,Смесь,Раннеспелый
20,Смесь салатных культур Флорида,Смесь,Раннеспелый
21,Бэби салат Фитнес фреш,Бэби салат,Среднеспелый
22,Бэби салат Эко стандарт,Бэби салат,Раннеспелый
23,Бэби салат Фитнес стиль,Бэби салат,Раннеспелый
24,Салат Изумрудный город,Полукочанный,Среднеспелый
25,Бэби салат Пикантная смесь,Бэби салат,Раннеспелый
26,Салат Гентилина,Полукочанный,Раннеспелый
27,Смесь салатных культур Мескулин,Смесь,Раннеспелый
28,Бэби салат Тосканская смесь,Бэби салат,Раннеспелый
29,Бэби салат Витаминное ассорти,Бэби салат,Раннеспелый
30,Салат 4 сезона кочанный,Кочанный,Среднеспелый
31,Салат Айсберг кочанный,Кочанный,Раннеспелый
32,Смесь салатных культур Краснолистный микс,Смесь,Среднеспелый
33,Салат Хрустящий лед,Кочанный,Среднеспелый
34,Салат Айс квин,Кочанный,Среднеспелый
35,Салат Физкульт-привет,Кочанный,Среднеспелый
36,Салат Кучерявенький сибирский,Листовой,Среднеспелый
37,Салат Кучерявец грибовский,Полукочанный,Среднеспелый
38,Салат Греческий вкус,Полукочанный,Среднеспелый
39,Салат Тосканский,Полукочанный,Среднеспелый
40,Салат Отличник,Листовой,Раннеспелый
41,Салат Тайфун листовой,Листовой,Среднеспелый
42,Бэби салат Леди Фит,Бэби салат,Раннеспелый
43,Смесь салатных культур Каталония,Смесь,Раннеспелый
44,Смесь салатных культур Санторини,Смесь,Раннеспелый
45,Смесь салатных культур Нормандия,Смесь,Раннеспелый
46,Смесь салатных культур Толедо,Смесь,Раннеспелый
47,Смесь салатных культур Неаполитанка,Смесь,Раннеспелый
48,Смесь салатных культур Флорида,Смесь,Раннеспелый
49,Бэби салат Фитнес фреш,Бэби салат,Среднеспелый
50,Бэби салат Эко стандарт,Бэби салат,Раннеспелый
51,Бэби салат Фитнес стиль,Бэби салат,Раннеспелый
52,Салат Изумрудный город,Полукочанный,Среднеспелый
53,Бэби салат Пикантная смесь,Бэби салат,Раннеспелый
54,Салат Гентилина,Полукочанный,Раннеспелый
55,Смесь салатных культур Мескулин,Смесь,Раннеспелый
56,Бэби салат Тосканская смесь,Бэби салат,Раннеспелый
57,Бэби салат Витаминное ассорти,Бэби салат,Раннеспелый
58,Салат 4 сезона кочанный,Кочанный,Среднеспелый
59,Салат Айсберг кочанный,Кочанный,Раннеспелый
60,Смесь салатных культур Краснолистный микс,Смесь,Среднеспелый
61,Салат Хрустящий лед,Кочанный,Среднеспелый
62,Салат Айс квин,Кочанный,Среднеспелый
63,Салат Физкульт-привет,Кочанный,Среднеспелый
64,Салат Кучерявенький сибирский,Листовой,Среднеспелый
65,Салат Кучерявец грибовский,Полукочанный,Среднеспелый
66,Салат Греческий вкус,Полукочанный,Среднеспелый
67,Салат Тосканский,Полукочанный,Среднеспелый
68,Салат Отличник,Листовой,Раннеспелый
69,Салат Тайфун листовой,Листовой,Среднеспелый
70,Бэби салат Леди Фит,Бэби салат,Раннеспелый
71,Смесь салатных культур Каталония,Смесь,Раннеспелый
72,Смесь салатных культур Санторини,Смесь,Раннеспелый
73,Смесь салатных культур Нормандия,Смесь,Раннеспелый
74,Смесь салатных культур Толедо,Смесь,Раннеспелый
75,Смесь салатных культур Неаполитанка,Смесь,Раннеспелый
76,Смесь салатных культур Флорида,Смесь,Раннеспелый
77,Бэби салат Фитнес фреш,Бэби салат,Среднеспелый
78,Бэби салат Эко стандарт,Бэби салат,Раннеспелый
79,Бэби салат Фитнес стиль,Бэби салат,Раннеспелый
80,Салат Изумрудный город,Полукочанный,Среднеспелый
81,Бэби салат Пикантная смесь,Бэби салат,Раннеспелый
82,Салат Гентилина,Полукочанный,Раннеспелый
83,Смесь салатных культур Мескулин,Смесь,Раннеспелый
84,Бэби салат Тосканская смесь,Бэби салат,Раннеспелый
85,Бэби салат Разноцветные кружева смесь,Бэби салат,Раннеспелый
