,Название,Вид свеклы,Форма свеклы,Срок созревания
1,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
2,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
3,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
4,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
5,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
6,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
7,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
8,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
9,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
10,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
11,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
12,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
13,Свекла столовая Джульетта,Столовая,Круглая,Среднеспелый
14,Свекла столовая Джулия,Столовая,Круглая,Среднеспелый
15,Свекла столовая Звезда Аделаиды,Столовая,Круглая,Среднеспелый
16,Свекла столовая Бона,Столовая,Круглая,Среднеспелый
17,Свекла столовая Брюнетка,Столовая,Круглая,Раннеспелый
18,Свекла столовая Золотой глобус,Столовая,Круглая,Раннеспелый
19,Свекла столовая Водан,Столовая,Круглая,Ультраскороспелый
20,Свекла столовая Боро,Столовая,Круглая,Среднеспелый
21,Свекла столовая Нобол,Столовая,Круглая,Раннеспелый
22,Свекла столовая Щец-борщец,Столовая,Круглая,Среднеспелый
23,Свекла столовая Шоколадница,Столовая,Круглая,Среднеспелый
24,Свекла столовая Чудо земли,Столовая,Цилиндрическая,Среднеспелый
25,Свекла столовая Цыганочка,Столовая,Круглая,Среднеспелый
26,Свекла столовая Цилиндра одноростковая,Столовая,Цилиндрическая,Раннеспелый
27,Свекла столовая Цилиндра,Столовая,Цилиндрическая,Среднеспелый
28,Свекла столовая Холодостойкая 19,Столовая,Круглая,Раннеспелый
29,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
30,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
31,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
32,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
33,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
34,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
35,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
36,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
37,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
38,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
39,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
40,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
