,Название,Срок созревания,Способ опыления,Размер огурца
2,Тыква крупноплодная Атлант,Среднеспелый,,
3,Тыква крупноплодная Карета для золушки,Среднеспелый,,
4,Тыква мускатная Цукарелло,Среднеспелый,,
5,Тыква крупноплодная Амбар,Среднеспелый,,
6,Тыква Оранжерейка,Среднеспелый,,
7,Тыква крупноплодная Добрая фея,Среднеспелый,,
8,Тыква крупноплодная Москвичка,Среднеспелый,,
9,Тыква мускатная Иришка,Среднеспелый,,
10,Тыква крупноплодная Учики кури,Среднеспелый,,
11,Тыква крупноплодная Ужин для гурмана,Среднеспелый,,
12,Тыква крупноплодная Оранжевое варенье,Раннеспелый,,
13,Тыква крупноплодная Лазурный берег,Среднеспелый,,
14,Тыква крупноплодная Лакомый кусочек,Среднеспелый,,
15,Тыква мускатная Авеню,Позднеспелый,,
16,Тыква крупноплодная Теремок,Среднеспелый,,
17,Тыква крупноплодная Хоккайдо,Среднеспелый,,
18,Тыква крупноплодная Розелла,Раннеспелый,,
19,Тыква крупноплодная Поваренок,Раннеспелый,,
20,Тыква твердокорая Спагетти,Раннеспелый,,
21,Тыква крупноплодная Золотая бочка,Среднеспелый,,
22,Тыква Светлая голова,Среднеспелый,,
23,Тыква мускатная Прикубанская,Раннеспелый,,
24,Тыква мускатная Мускатная Прованская,Среднеспелый,,
25,Тыква мускатная Гитара,Среднеспелый,,
26,Тыква мускатная Витаминная,Позднеспелый,,
27,Тыква мускатная Большой шлем,Среднеспелый,,
28,Тыква мускатная Арабатская,Среднеспелый,,
29,Тыква мускатная Августина,Раннеспелый,,
30,Тыква крупноплодная Атлант,Среднеспелый,,
31,Тыква крупноплодная Карета для золушки,Среднеспелый,,
32,Тыква мускатная Цукарелло,Среднеспелый,,
33,Тыква крупноплодная Амбар,Среднеспелый,,
34,Тыква Оранжерейка,Среднеспелый,,
35,Тыква крупноплодная Добрая фея,Среднеспелый,,
36,Тыква крупноплодная Москвичка,Среднеспелый,,
37,Тыква мускатная Иришка,Среднеспелый,,
38,Тыква крупноплодная Учики кури,Среднеспелый,,
39,Тыква крупноплодная Ужин для гурмана,Среднеспелый,,
40,Тыква крупноплодная Оранжевое варенье,Раннеспелый,,
41,Тыква крупноплодная Лазурный берег,Среднеспелый,,
42,Тыква крупноплодная Лакомый кусочек,Среднеспелый,,
43,Тыква мускатная Авеню,Позднеспелый,,
44,Тыква крупноплодная Теремок,Среднеспелый,,
45,Тыква крупноплодная Хоккайдо,Среднеспелый,,
46,Тыква крупноплодная Розелла,Раннеспелый,,
47,Тыква крупноплодная Поваренок,Раннеспелый,,
48,Тыква твердокорая Спагетти,Раннеспелый,,
49,Тыква крупноплодная Золотая бочка,Среднеспелый,,
50,Тыква Светлая голова,Среднеспелый,,
51,Тыква мускатная Прикубанская,Раннеспелый,,
52,Тыква мускатная Мускатная Прованская,Среднеспелый,,
53,Тыква мускатная Гитара,Среднеспелый,,
54,Тыква мускатная Витаминная,Позднеспелый,,
55,Тыква мускатная Большой шлем,Среднеспелый,,
56,Тыква мускатная Арабатская,Среднеспелый,,
57,Тыква мускатная Августина,Раннеспелый,,
58,Тыква крупноплодная Атлант,Среднеспелый,,
59,Тыква крупноплодная Карета для золушки,Среднеспелый,,
60,Тыква мускатная Цукарелло,Среднеспелый,,
61,Тыква крупноплодная Амбар,Среднеспелый,,
62,Тыква Оранжерейка,Среднеспелый,,
63,Тыква крупноплодная Добрая фея,Среднеспелый,,
64,Тыква крупноплодная Москвичка,Среднеспелый,,
65,Тыква мускатная Иришка,Среднеспелый,,
66,Тыква крупноплодная Учики кури,Среднеспелый,,
67,Тыква крупноплодная Ужин для гурмана,Среднеспелый,,
68,Тыква крупноплодная Оранжевое варенье,Раннеспелый,,
69,Тыква крупноплодная Лазурный берег,Среднеспелый,,
70,Тыква крупноплодная Лакомый кусочек,Среднеспелый,,
71,Тыква мускатная Авеню,Позднеспелый,,
72,Тыква крупноплодная Теремок,Среднеспелый,,
73,Тыква крупноплодная Хоккайдо,Среднеспелый,,
74,Тыква крупноплодная Розелла,Раннеспелый,,
75,Тыква крупноплодная Поваренок,Раннеспелый,,
76,Тыква твердокорая Спагетти,Раннеспелый,,
77,Тыква крупноплодная Золотая бочка,Среднеспелый,,
78,Тыква Светлая голова,Среднеспелый,,
79,Тыква мускатная Прикубанская,Раннеспелый,,
80,Тыква мускатная Мускатная Прованская,Среднеспелый,,
81,Тыква мускатная Гитара,Среднеспелый,,
82,Тыква мускатная Витаминная,Позднеспелый,,
