,feature,culture,min,max,chores
0,Скороспелый,Томат,30.0,40.0,Сбор урожая
1,Ультраскороспелый,Томат,30.0,40.0,Сбор урожая
2,Раннеспелый,Томат,40.0,55.0,Сбор урожая
3,Среднеспелый,Томат,60.0,70.0,Сбор урожая
4,Позднеспелый,Томат,75.0,90.0,Сбор урожая
5,Среднеспелый,Кабачок рассада,25.0,30.0,Сбор урожая рассада
6,Скороспелый,Кабачок рассада,20.0,25.0,Сбор урожая рассада
7,Раннеспелый,Кабачок рассада,20.0,25.0,Сбор урожая рассада
8,Ультраскороспелый,Кабачок рассада,15.0,20.0,Сбор урожая рассада
9,,Кабачок,-32.0,-27.0,Рассада
10,,Кабачок,0.0,7.0,Высадка
11,Позднеспелый,Кабачок рассада,30.0,35.0,Сбор урожая рассада
12,Ультраскороспелый,Кабачок,35.0,40.0,Сбор урожая семена
13,Раннеспелый,Кабачок,40.0,45.0,Сбор урожая семена
14,Среднеспелый,Кабачок,45.0,50.0,Сбор урожая семена
15,Позднеспелый,Кабачок,50.0,55.0,Сбор урожая семена
16,Среднеспелый,Перец,55.0,70.0,Сбор урожая
17,Скороспелый,Перец,25.0,35.0,Сбор урожая
18,Раннеспелый,Перец,35.0,55.0,Сбор урожая
19,Ультраскороспелый,Перец,25.0,35.0,Сбор урожая
20,,Перец,-75.0,-65.0,Рассада
21,Позднеспелый,Перец,56.0,63.0,Подкормка удобрениями
22,,Перец,0.0,7.0,Высадка
23,Позднеспелый,Перец,35.0,42.0,Подкормка удобрениями
24,Позднеспелый,Перец,75.0,85.0,Сбор урожая
25,,Перец,-81.0,-71.0,Подкормка после всходов
26,,Перец,-14.0,-10.0,Подкормка удобрениями
27,,Перец,14.0,21.0,Подкормка удобрениями
28,Среднеспелый,Перец,35.0,42.0,Подкормка удобрениями
29,Среднеспелый,Баклажан,60.0,70.0,Сбор урожая
30,Скороспелый,Баклажан,25.0,30.0,Сбор урожая
31,Раннеспелый,Баклажан,30.0,55.0,Сбор урожая
32,Ультраскороспелый,Баклажан,25.0,30.0,Сбор урожая
33,,Баклажан,-77.0,-67.0,Рассада
34,,Баклажан,14.0,19.0,Подкормка удобрениями
35,,Баклажан,0.0,7.0,Высадка и подкормка
36,Среднеспелый,Баклажан,28.0,30.0,Подкормка удобрениями
37,Позднеспелый,Баклажан,28.0,30.0,Подкормка удобрениями
38,Позднеспелый,Баклажан,70.0,85.0,Сбор урожая
39,,Баклажан,-68.0,-58.0,Подкормка после всходов
40,,Баклажан,-51.0,-41.0,Подкормка удобрениями
41,Позднеспелый,Баклажан,42.0,49.0,Подкормка удобрениями
42,Среднеспелый,Дыня,55.0,70.0,Сбор урожая
43,Скороспелый,Дыня,20.0,30.0,Сбор урожая
44,Раннеспелый,Дыня,40.0,50.0,Сбор урожая
45,Ультраскороспелый,Дыня,20.0,30.0,Сбор урожая
46,,Дыня,-42.0,-37.0,Рассада
47,,Дыня,14.0,21.0,Подкормка удобрениями
48,,Дыня,0.0,7.0,Высадка
49,,Дыня,35.0,42.0,Подкормка удобрениями
50,Позднеспелый,Дыня,70.0,90.0,Сбор урожая
51,Скороспелый,Дыня,43.0,49.0,Уменьшение полива
52,Ультраскороспелый,Дыня,43.0,49.0,Уменьшение полива
53,Раннеспелый,Дыня,63.0,69.0,Уменьшение полива
54,Среднеспелый,Дыня,78.0,84.0,Уменьшение полива
55,Позднеспелый,Дыня,93.0,99.0,Уменьшение полива
56,Среднеспелый,Арбуз,43.0,58.0,Сбор урожая
57,Скороспелый,Арбуз,23.0,28.0,Сбор урожая
58,Раннеспелый,Арбуз,33.0,48.0,Сбор урожая
59,Ультраскороспелый,Арбуз,23.0,28.0,Сбор урожая
60,,Арбуз,-42.0,-37.0,Рассада
61,,Арбуз,21.0,28.0,Подкормка удобрениями
62,,Арбуз,0.0,7.0,Высадка
63,,Арбуз,35.0,42.0,Подкормка удобрениями
64,Скороспелый,Арбуз,15.0,22.0,Уменьшение полива
65,Ультраскороспелый,Арбуз,15.0,22.0,Уменьшение полива
66,Раннеспелый,Арбуз,25.0,32.0,Уменьшение полива
67,Среднеспелый,Арбуз,50.0,57.0,Уменьшение полива
68,Позднеспелый,Томат,-73.0,-63.0,Рассада
69,Раннеспелый,Томат,-63.0,-53.0,Рассада
70,Среднеспелый,Томат,-68.0,-58.0,Рассада
71,Ультраскороспелый,Томат,-58.0,-48.0,Рассада
72,,Томат,14.0,19.0,Пасынкование
73,,Томат,28.0,33.0,Пасынкование
74,,Томат,42.0,47.0,Пасынкование
75,,Томат,0.0,7.0,Высадка
