,feature,culture,min,max,chores
0,Среднеспелый,Кабачок рассада,25.0,30.0,Сбор урожая рассада
1,Скороспелый,Кабачок рассада,20.0,25.0,Сбор урожая рассада
2,Раннеспелый,Кабачок рассада,20.0,25.0,Сбор урожая рассада
3,Ультраскороспелый,Кабачок рассада,15.0,20.0,Сбор урожая рассада
4,,Кабачок,-32.0,-27.0,Рассада
5,,Кабачок,0.0,7.0,Высадка
6,Позднеспелый,Кабачок рассада,30.0,35.0,Сбор урожая рассада
7,Ультраскороспелый,Кабачок,35.0,40.0,Сбор урожая семена
8,Раннеспелый,Кабачок,40.0,45.0,Сбор урожая семена
9,Среднеспелый,Кабачок,45.0,50.0,Сбор урожая семена
10,Позднеспелый,Кабачок,50.0,55.0,Сбор урожая семена
11,Среднеспелый,Перец,55.0,70.0,Сбор урожая
12,Скороспелый,Перец,25.0,35.0,Сбор урожая
13,Раннеспелый,Перец,35.0,55.0,Сбор урожая
14,Ультраскороспелый,Перец,25.0,35.0,Сбор урожая
15,,Перец,-75.0,-65.0,Рассада
16,Позднеспелый,Перец,56.0,63.0,Подкормка удобрениями
17,,Перец,0.0,7.0,Высадка
18,Позднеспелый,Перец,35.0,42.0,Подкормка удобрениями
19,Позднеспелый,Перец,75.0,85.0,Сбор урожая
20,,Перец,-81.0,-71.0,Подкормка после всходов
21,,Перец,-14.0,-10.0,Подкормка удобрениями
22,,Перец,14.0,21.0,Подкормка удобрениями
23,Среднеспелый,Перец,35.0,42.0,Подкормка удобрениями
24,Среднеспелый,Баклажан,60.0,70.0,Сбор урожая
25,Скороспелый,Баклажан,25.0,30.0,Сбор урожая
26,Раннеспелый,Баклажан,30.0,55.0,Сбор урожая
27,Ультраскороспелый,Баклажан,25.0,30.0,Сбор урожая
28,,Баклажан,-77.0,-67.0,Рассада
29,,Баклажан,14.0,19.0,Подкормка удобрениями
30,,Баклажан,0.0,7.0,Высадка и подкормка
31,Среднеспелый,Баклажан,28.0,30.0,Подкормка удобрениями
32,Позднеспелый,Баклажан,28.0,30.0,Подкормка удобрениями
33,Позднеспелый,Баклажан,70.0,85.0,Сбор урожая
34,,Баклажан,-68.0,-58.0,Подкормка после всходов
35,,Баклажан,-51.0,-41.0,Подкормка удобрениями
36,Позднеспелый,Баклажан,42.0,49.0,Подкормка удобрениями
37,Среднеспелый,Дыня,55.0,70.0,Сбор урожая
38,Скороспелый,Дыня,20.0,30.0,Сбор урожая
39,Раннеспелый,Дыня,40.0,50.0,Сбор урожая
40,Ультраскороспелый,Дыня,20.0,30.0,Сбор урожая
41,,Дыня,-42.0,-37.0,Рассада
42,,Дыня,14.0,21.0,Подкормка удобрениями
43,,Дыня,0.0,7.0,Высадка
44,,Дыня,35.0,42.0,Подкормка удобрениями
45,Позднеспелый,Дыня,70.0,90.0,Сбор урожая
46,Скороспелый,Дыня,43.0,49.0,Уменьшение полива
47,Ультраскороспелый,Дыня,43.0,49.0,Уменьшение полива
48,Раннеспелый,Дыня,63.0,69.0,Уменьшение полива
49,Среднеспелый,Дыня,78.0,84.0,Уменьшение полива
50,Позднеспелый,Дыня,93.0,99.0,Уменьшение полива
51,Среднеспелый,Арбуз,43.0,58.0,Сбор урожая
52,Скороспелый,Арбуз,23.0,28.0,Сбор урожая
53,Раннеспелый,Арбуз,33.0,48.0,Сбор урожая
54,Ультраскороспелый,Арбуз,23.0,28.0,Сбор урожая
55,,Арбуз,-42.0,-37.0,Рассада
56,,Арбуз,21.0,28.0,Подкормка удобрениями
57,,Арбуз,0.0,7.0,Высадка
58,,Арбуз,35.0,42.0,Подкормка удобрениями
59,Скороспелый,Арбуз,15.0,22.0,Уменьшение полива
60,Ультраскороспелый,Арбуз,15.0,22.0,Уменьшение полива
61,Раннеспелый,Арбуз,25.0,32.0,Уменьшение полива
62,Среднеспелый,Арбуз,50.0,57.0,Уменьшение полива
63,Позднеспелый,Томат,-73.0,-63.0,Рассада
64,Раннеспелый,Томат,-63.0,-53.0,Рассада
65,Среднеспелый,Томат,-68.0,-58.0,Рассада
66,Ультраскороспелый,Томат,-58.0,-48.0,Рассада
67,,Томат,14.0,19.0,Пасынкование
68,,Томат,28.0,33.0,Пасынкование
69,,Томат,42.0,47.0,Пасынкование
70,,Томат,0.0,7.0,Высадка
