city,lat,lon
Кандалакша,67.15,32.4
Няксимволь,62.43333333333333,60.85
Петропавловск,54.85,69.13333333333334
Воронеж,51.666666666666664,39.2
Хабаровск,48.483333333333334,135.06666666666666
Витим,59.4685,112.6013
Екатерино-Никольское,47.75,130.96666666666667
Актюбинск,50.3,57.166666666666664
Кишинев,47.016666666666666,28.833333333333332
Оймякон,63.45,142.78333333333333
Мыс Золотой,47.3169,138.9906
Курск,51.71666666666667,36.18333333333333
Атбасар,51.81666666666667,68.35
Семипалатинск,50.4,80.21666666666667
Могоча,53.733333333333334,119.76666666666667
Оренбург,51.766666666666666,55.1
Ижевск,56.85,53.2
Ташкент,41.3,69.25
Санкт-Петербург,59.95,30.316666666666666
Каменная Степь,51.03333333333333,40.71666666666667
Уфа,54.733333333333334,55.96666666666667
Феодосия,45.03333333333333,35.36666666666667
Сунтар,62.15,117.63333333333334
Василевичи,52.266666666666666,29.8
Винница,49.233333333333334,28.466666666666665
Черновцы,48.28333333333333,25.933333333333334
Вологда,59.21666666666667,39.9
Иртышск,53.33385,0
Красноуфимск,56.61666666666667,57.766666666666666
Якутск,62.016666666666666,129.71666666666667
Фергана,40.38333333333333,71.78333333333333
Минск,53.916666666666664,27.55
Южно-Курильск,44.016666666666666,145.85
Ванавара,60.333333333333336,102.28333333333333
Елатьма,54.96666666666667,41.75
Охотск,59.38333333333333,143.3
Магадан,59.56666666666667,150.8
Владивосток,43.11666666666667,131.9
Львов,49.833333333333336,24.0
Киев,50.45,30.516666666666666
Пятигорск,44.0499664,0
Чекунда,50.86666666666667,132.25
Харьков,50.0,36.166666666666664
Борзя,50.38333333333333,116.53333333333333
Ленинабад,40.28333333333333,69.61666666666666
Вилюйск,63.75,121.61666666666666
Кяхта,50.35,106.45
Реболы,63.833333333333336,30.8
Жиганск,66.76666666666667,123.36666666666666
Хоседа-Хард,67,29.7
Тбилиси,41.71666666666667,44.8
Петрозаводск,61.78333333333333,34.333333333333336
Ивдель,60.68333333333333,60.43333333333333
Караганда,49.8,73.11666666666666
Туруханск,65.78333333333333,87.95
Олекминск,60.38333333333333,120.43333333333334
Жигалово,54.8,105.13333333333334
Киренск,57.78333333333333,108.1
Мурманск,68.96666666666667,33.083333333333336
Таллинн,59.43333333333333,24.75
Чарджоу,39.1,63.56666666666667
Сретенск,52.25,117.71666666666667
Леуши,59.61666666666667,65.75
Терней,45.03333333333333,136.6
Алма-Ата,43.25,76.9
Ереван,40.18333333333333,44.516666666666666
Усть-Мая,60.4,134.53333333333333
Анадырь,64.73333333333333,177.51666666666668
Нижнеудинск,54.9,99.01666666666667
Лиепая,56.5,21.0
Улан-Уде,51.833333333333336,107.61666666666666
Смоленск,54.766666666666666,32.03333333333333
Александров Гай,50.13333333333333,48.55
Хорог,37.483333333333334,71.55
Ханты-Мансийск,61.0,69.0
Измаил,45.35,28.833333333333332
Остров Диксон,73.5167,80.3333
Кизыл-Арват,38.96666666666667,56.266666666666666
Норск,52.333333333333336,129.88333333333333
Самарканд,39.65,66.95
Октябрьский Городок,51,9.37
Кострома,57.766666666666666,40.93333333333333
Усть-Цильма,65.43333333333334,52.15
Дебальцево,48.333333333333336,38.416666666666664
Томск,56.483333333333334,84.95
Казань,55.78333333333333,49.1
Богучаны,58.36666666666667,97.43333333333334
Архангельск,64.55,40.53333333333333
Барабинск,55.35,78.35
Колпашево,58.31666666666667,82.91666666666667
Архара,49.416666666666664,130.06666666666666
Кушка,35.266666666666666,62.333333333333336
Балхаш,46.5408,74.8789
Саратов,51.53333333333333,46.0
Великие Луки,56.35,30.516666666666666
Котлас,61.25,46.65
Чита,52.03333333333333,113.5
Каменское,48,27.484885378828
Красноводск,40.016666666666666,52.96666666666667
Сургут,61.25,73.43333333333334
Геническ,46.166666666666664,34.78333333333333
Ростов-на-Дону,47.233333333333334,39.7
