,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
19900,1937-03-01,-22.7,-20,-11.1,0,Адамовка
19901,1937-03-02,-25.9,-22,-18,0,Адамовка
19902,1937-03-03,-35.7,-28.2,-21,0,Адамовка
19903,1937-03-04,-33.5,-26.6,-17.2,0,Адамовка
19904,1937-03-05,-28.1,-18.8,-12.2,0,Адамовка
19905,1937-03-06,-16.7,-10.5,-5.2,0,Адамовка
19906,1937-03-07,-18.2,-11.7,-6.8,0,Адамовка
19907,1937-03-08,-14.5,-9.7,-5.5,0,Адамовка
19908,1937-03-09,-8.6,-7.2,-5.1,0,Адамовка
19909,1937-03-10,-7.5,-3.6,-0.5,0.1,Адамовка
19910,1937-03-11,-5,-2,-0.2,0,Адамовка
19911,1937-03-12,-5.3,-2.4,-0.4,0.3,Адамовка
19912,1937-03-13,-6.1,-1.5,2.7,0,Адамовка
19913,1937-03-14,-8.2,-3.8,0,0,Адамовка
19914,1937-03-15,-15.2,-11.1,-1.5,0,Адамовка
19915,1937-03-16,-19,-13,-6.3,0,Адамовка
19916,1937-03-17,-9.7,-2.4,-0.2,0,Адамовка
19917,1937-03-18,-2.8,-1.8,-0.2,0,Адамовка
19918,1937-03-19,-2.6,-1.7,-0.5,0,Адамовка
19919,1937-03-20,-3.1,-2.2,-0.6,0,Адамовка
19920,1937-03-21,-6.2,-4,-2,0.2,Адамовка
19921,1937-03-22,-12.3,-9.9,-2.6,0,Адамовка
19922,1937-03-23,-14.8,-12.2,-8.3,0,Адамовка
19923,1937-03-24,-19.1,-12.7,-6.4,0,Адамовка
19924,1937-03-25,-15.7,-10,-4.4,0,Адамовка
19925,1937-03-26,-11.2,-5.2,0.7,0,Адамовка
19926,1937-03-27,-11.9,-4.9,1.5,0,Адамовка
19927,1937-03-28,-10.7,-4.3,2.3,0,Адамовка
19928,1937-03-29,-6.6,-1,6.1,0,Адамовка
19929,1937-03-30,-5.1,-0.9,4.5,0,Адамовка
19930,1937-03-31,-4,-0.8,2.8,0,Адамовка
21416,1937-04-01,-0.8,0.4,1.7,6,Адамовка
21417,1937-04-02,-1.6,2.9,8.5,0.2,Адамовка
21418,1937-04-03,-7.9,-2.4,4.3,5.3,Адамовка
21419,1937-04-04,-6.9,-4.4,-2,0.3,Адамовка
21420,1937-04-05,-8.8,-4.6,-1.5,0,Адамовка
21421,1937-04-06,-4.8,-2.8,-0.2,0,Адамовка
21422,1937-04-07,-9.3,-4.5,0,0,Адамовка
21423,1937-04-08,-8.8,-3.6,1.9,0,Адамовка
21424,1937-04-09,-7,-1.3,5.2,0,Адамовка
21425,1937-04-10,-3.2,1.8,8.5,1.8,Адамовка
21426,1937-04-11,-4.2,1.6,8,0,Адамовка
21427,1937-04-12,-3.6,2.8,7.8,0,Адамовка
21428,1937-04-13,-2,0.6,4.8,0,Адамовка
21429,1937-04-14,-9.2,-5,-0.5,0,Адамовка
21430,1937-04-15,-10.5,-0.6,9.4,0,Адамовка
21431,1937-04-16,0.5,4.7,11.2,0,Адамовка
21432,1937-04-17,-1.7,4.5,10.8,0,Адамовка
