,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
61935,1937-01-01,-34.7,-30.5,-27,0,Алдан
61936,1937-01-02,-28.3,-19.9,-16,0,Алдан
61937,1937-01-03,-20.4,-18.1,-15.6,0.9,Алдан
61938,1937-01-04,-26.6,-23.2,-19.4,1,Алдан
61939,1937-01-05,-30.4,-27,-25,0.7,Алдан
61940,1937-01-06,-32.5,-29.9,-28.1,0.5,Алдан
61941,1937-01-07,-32.8,-30.6,-29,0.6,Алдан
61942,1937-01-08,-33.7,-32,-30.4,0.2,Алдан
61943,1937-01-09,-32.7,-31.2,-29.6,0.4,Алдан
61944,1937-01-10,-32.2,-26.5,-24.1,0.4,Алдан
61945,1937-01-11,-26.8,-23.2,-21.1,1.1,Алдан
61946,1937-01-12,-24.5,-20.4,-19.3,1.5,Алдан
61947,1937-01-13,-20.2,-18.2,-17,1.6,Алдан
61948,1937-01-14,-20.5,-18.6,-17,2,Алдан
61949,1937-01-15,-21.4,-18.9,-17.6,0.9,Алдан
61950,1937-01-16,-24.7,-22,-19.4,0.1,Алдан
61951,1937-01-17,-25.1,-18.8,-16.3,1.6,Алдан
61952,1937-01-18,-26,-19.8,-14.7,0.7,Алдан
61953,1937-01-19,-34.6,-30.6,-24.9,0.1,Алдан
61954,1937-01-20,-30.2,-26.3,-24,0,Алдан
61955,1937-01-21,-28.9,-24.8,-22.5,0.6,Алдан
61956,1937-01-22,-25.6,-23.4,-21.7,0.6,Алдан
61957,1937-01-23,-29.1,-27.5,-24.5,1,Алдан
61958,1937-01-24,-31.7,-27.7,-25.7,0.6,Алдан
61959,1937-01-25,-25.9,-22.6,-21.3,1,Алдан
61960,1937-01-26,-26.8,-23.6,-19.1,1.4,Алдан
61961,1937-01-27,-26.9,-25.6,-24,2.5,Алдан
61962,1937-01-28,-27.3,-24.4,-22.3,1.5,Алдан
61963,1937-01-29,-29.8,-27.2,-24.8,0.7,Алдан
61964,1937-01-30,-32.4,-28.1,-25.6,1.5,Алдан
61965,1937-01-31,-25.9,-22.1,-20.5,2,Алдан
63744,1937-02-01,-24.5,-22,-20,0.5,Алдан
63745,1937-02-02,-28.3,-24.2,-21.5,0,Алдан
63746,1937-02-03,-27.2,-23.4,-20.7,0.1,Алдан
63747,1937-02-04,-25.4,-22.4,-20.1,0.7,Алдан
63748,1937-02-05,-25.8,-23.1,-21.1,1.3,Алдан
63749,1937-02-06,-29.8,-27.2,-22.4,0,Алдан
63750,1937-02-07,-32.5,-30,-27.3,0,Алдан
63751,1937-02-08,-31.2,-26.2,-22.9,0.5,Алдан
63752,1937-02-09,-34.2,-30.1,-27,0.2,Алдан
63753,1937-02-10,-33.1,-27.9,-22.8,2.3,Алдан
63754,1937-02-11,-23.7,-19.5,-16.6,5.1,Алдан
63755,1937-02-12,-18.9,-17,-15.5,0.5,Алдан
63756,1937-02-13,-19,-15,-13.4,1.6,Алдан
63757,1937-02-14,-25.1,-19,-15.3,0,Алдан
63758,1937-02-15,-25.3,-18.1,-12.2,0,Алдан
63759,1937-02-16,-16.2,-12.9,-11.2,0.1,Алдан
63760,1937-02-17,-18.3,-15.5,-13,0.6,Алдан
63761,1937-02-18,-22.4,-17.2,-13.2,0.4,Алдан
63762,1937-02-19,-24.2,-18.2,-14.2,0.9,Алдан
63763,1937-02-20,-15.9,-13.7,-12,1.1,Алдан
63764,1937-02-21,-17.7,-14.7,-12,0.8,Алдан
63765,1937-02-22,-23.6,-19,-12.6,0.1,Алдан
63766,1937-02-23,-21.9,-17.8,-14.4,0,Алдан
63767,1937-02-24,-24.5,-20.5,-15.8,1,Алдан
63768,1937-02-25,-33.1,-29.2,-22.6,0.6,Алдан
63769,1937-02-26,-34.7,-32,-27.9,0.7,Алдан
63770,1937-02-27,-36.3,-34.2,-29.3,0,Алдан
63771,1937-02-28,-37,-31.8,-27.9,0,Алдан
65360,1937-03-01,-34.4,-30,-25.1,0,Алдан
65361,1937-03-02,-37.9,-32.6,-28.2,0,Алдан
65362,1937-03-03,-34.3,-28.7,-23.6,0,Алдан
65363,1937-03-04,-29.6,-27,-22.6,0,Алдан
65364,1937-03-05,-31.7,-27.8,-22.8,0,Алдан
65365,1937-03-06,-32.1,-28,-21.3,0,Алдан
65366,1937-03-07,-31.2,-27.4,-21,0,Алдан
65367,1937-03-08,-29.7,-25.2,-18.7,0,Алдан
65368,1937-03-09,-30.9,-27.1,-21.7,0,Алдан
65369,1937-03-10,-32.7,-26.8,-21.8,0.3,Алдан
65370,1937-03-11,-29,-25.8,-21,0.1,Алдан
65371,1937-03-12,-31.5,-28,-22.9,0.4,Алдан
65372,1937-03-13,-30.8,-27.2,-21.3,0.4,Алдан
65373,1937-03-14,-31,-28.1,-23.7,0.1,Алдан
65374,1937-03-15,-32.9,-28.5,-22.8,0,Алдан
65375,1937-03-16,-32.3,-27.4,-21.9,0,Алдан
65376,1937-03-17,-29.6,-25.2,-19.5,0,Алдан
65377,1937-03-18,-27.3,-22.6,-16.5,0,Алдан
65378,1937-03-19,-24.1,-19.3,-12,0,Алдан
65379,1937-03-20,-22.5,-18.4,-11.5,0,Алдан
65380,1937-03-21,-23.6,-17.9,-10.5,0,Алдан
65381,1937-03-22,-21.7,-17.4,-11.5,0,Алдан
65382,1937-03-23,-24.1,-19.7,-13.5,0.2,Алдан
65383,1937-03-24,-23.5,-19.2,-12.7,0,Алдан
65384,1937-03-25,-24.4,-18.6,-11.4,0,Алдан
65385,1937-03-26,-22.1,-16.8,-11.9,0.4,Алдан
65386,1937-03-27,-16.4,-13,-9,0,Алдан
65387,1937-03-28,-20.2,-14.2,-8,0,Алдан
65388,1937-03-29,-19,-12.2,-6.4,0,Алдан
65389,1937-03-30,-13.9,-8.8,-4,0,Алдан
65390,1937-03-31,-13.2,-8.8,-3.4,0,Алдан
67138,1937-04-01,-17.5,-10.6,-4.6,0,Алдан
67139,1937-04-02,-12.8,-6.5,0.4,0,Алдан
67140,1937-04-03,-10,-6.2,-2.3,1,Алдан
67141,1937-04-04,-10.7,-4.3,-0.3,0,Алдан
67142,1937-04-05,-8.8,-5.2,-1.3,1,Алдан
67143,1937-04-06,-17.6,-12.8,-8.5,0.1,Алдан
67144,1937-04-07,-13.6,-10.3,-5.8,1.2,Алдан
67145,1937-04-08,-9.2,-6.8,-1.3,0,Алдан
67146,1937-04-09,-12.7,-5.8,0.8,0,Алдан
67147,1937-04-10,-8.8,-4.3,-0.7,3,Алдан
67148,1937-04-11,-17.6,-8.6,-3.8,0.5,Алдан
67149,1937-04-12,-9.4,-7.4,-3,0,Алдан
67150,1937-04-13,-15.1,-7.6,-2.6,0,Алдан
67151,1937-04-14,-10.1,-4.6,2.2,0,Алдан
67152,1937-04-15,-10.1,-6,-0.9,1.4,Алдан
67153,1937-04-16,-13.1,-11.5,-8.9,1,Алдан
67154,1937-04-17,-18.5,-11.5,-4.2,0,Алдан
67155,1937-04-18,-13.2,-6.5,-2,1,Алдан
67156,1937-04-19,-16.1,-9.6,-0.5,0.5,Алдан
67157,1937-04-20,-19.5,-13.7,-9.9,0,Алдан
67158,1937-04-21,-21.4,-13.3,-5.2,0,Алдан
67159,1937-04-22,-14.1,-5.9,2.3,0,Алдан
67160,1937-04-23,-7.2,-0.4,5,0,Алдан
67161,1937-04-24,-1.8,1,4.1,0,Алдан
67162,1937-04-25,-11.2,-5.2,0.3,0,Алдан
67163,1937-04-26,-9.8,-3,0,0,Алдан
67164,1937-04-27,-6.8,-5.2,-1,0.7,Алдан
67165,1937-04-28,-10.5,-5.4,-1.1,3.7,Алдан
67166,1937-04-29,-6.3,-3.1,1.7,0.8,Алдан
67167,1937-04-30,-10.6,-4.2,3.4,0,Алдан
68860,1937-05-01,-9.1,-3.7,0,0,Алдан
68861,1937-05-02,-8.1,-4,-0.6,0,Алдан
68862,1937-05-03,-7.1,-2.1,2.3,0,Алдан
68863,1937-05-04,-5.2,-2.6,1.5,0.3,Алдан
68864,1937-05-05,-2.9,1.3,5.7,0,Алдан
68865,1937-05-06,-2.2,2.6,7.5,0,Алдан
68866,1937-05-07,1.2,5.1,11.2,0.5,Алдан
68867,1937-05-08,0.1,2.2,8.6,0,Алдан
68868,1937-05-09,-2.7,2.3,5.4,0,Алдан
68869,1937-05-10,-2,1.1,4.7,7.2,Алдан
68870,1937-05-11,-0.7,1.9,5.5,1.8,Алдан
68871,1937-05-12,0.1,2.1,5.2,5.8,Алдан
68872,1937-05-13,-1.2,0.8,3,2.8,Алдан
68873,1937-05-14,-0.7,2,7.1,0.5,Алдан
68874,1937-05-15,0.8,3.9,6.6,0,Алдан
68875,1937-05-16,1.2,3,6.3,0,Алдан
68876,1937-05-17,-4.2,2.4,7.2,0,Алдан
68877,1937-05-18,-3.1,4.6,10.5,0,Алдан
68878,1937-05-19,0.3,6.3,11.6,0.8,Алдан
68879,1937-05-20,-0.1,4.6,9.9,0,Алдан
68880,1937-05-21,-1.1,6.6,11.6,0,Алдан
68881,1937-05-22,1,8.8,13.5,0,Алдан
68882,1937-05-23,1.9,9.1,14.6,0,Алдан
68883,1937-05-24,3,8.7,13.9,2.3,Алдан
68884,1937-05-25,1.6,6.5,11.6,0,Алдан
68885,1937-05-26,1.9,7,12,1,Алдан
68886,1937-05-27,-2.2,1.4,6.6,2.4,Алдан
68887,1937-05-28,-4.1,2.3,9.6,0,Алдан
68888,1937-05-29,0.6,7.9,13.8,0,Алдан
68889,1937-05-30,2.2,11.4,17.9,0,Алдан
68890,1937-05-31,4.1,13.6,19.9,0,Алдан
70659,1937-06-01,5.3,13.1,17.9,0,Алдан
70660,1937-06-02,4.1,13.8,19.5,0,Алдан
70661,1937-06-03,6.3,12.7,18.4,0,Алдан
70662,1937-06-04,5.9,14.8,21.9,0,Алдан
70663,1937-06-05,8.2,13.5,21.5,0,Алдан
70664,1937-06-06,8.3,16.2,21.5,0,Алдан
70665,1937-06-07,7,15.8,22.8,0,Алдан
70666,1937-06-08,5.7,16,21.4,0,Алдан
70667,1937-06-11,11.5,21,27.1,0,Алдан
70668,1937-06-12,12,19.7,27.3,0,Алдан
70669,1937-06-13,12.1,20.1,27.3,0,Алдан
70670,1937-06-14,11.6,15.9,19.8,0.1,Алдан
70671,1937-06-15,11.7,15.9,20.9,0,Алдан
70672,1937-06-16,11.5,20.5,26.6,0,Алдан
70673,1937-06-17,10.9,19.8,26.1,8.5,Алдан
70674,1937-06-18,12.7,19,27.4,4.4,Алдан
70675,1937-06-19,13.6,16.3,21.8,0.2,Алдан
70676,1937-06-20,2.8,6.1,15.7,7.4,Алдан
70677,1937-06-21,0.5,6.8,11.9,0,Алдан
70678,1937-06-22,2.4,13.2,21.9,2.3,Алдан
70679,1937-06-23,10.8,18,24.4,0,Алдан
70680,1937-06-24,15.4,20.7,26,14.2,Алдан
70681,1937-06-25,14.1,18.8,23.9,0,Алдан
70682,1937-06-26,13.6,17.3,23.1,4.8,Алдан
70683,1937-06-27,13.6,15.9,18.6,6.8,Алдан
70684,1937-06-28,10.3,12.8,16.5,0.1,Алдан
70685,1937-06-29,13,19.7,26.2,0,Алдан
70686,1937-06-30,16.7,20.5,26.6,0.6,Алдан
72397,1937-07-01,16.9,22.1,29.4,4.8,Алдан
72398,1937-07-02,15.9,22.3,26.4,0,Алдан
72399,1937-07-03,16.3,20.3,26.1,1.3,Алдан
72400,1937-07-04,15.7,20.2,24.6,12.2,Алдан
72401,1937-07-05,10.3,12.4,20.4,3,Алдан
72402,1937-07-06,9.2,13.2,16.3,0,Алдан
72403,1937-07-07,4.5,14.7,20.7,1.7,Алдан
72404,1937-07-08,10.7,14.3,17.3,9.2,Алдан
72405,1937-07-09,10.9,14.4,18.9,0,Алдан
72406,1937-07-10,9.6,11.2,17.6,0.1,Алдан
72407,1937-07-11,2.9,12.6,18.7,0,Алдан
72408,1937-07-12,8.6,12.4,20.1,7.8,Алдан
72409,1937-07-13,4.9,8,12.9,1.8,Алдан
72410,1937-07-14,3,8.9,14.1,0.5,Алдан
72411,1937-07-15,5.2,10.7,14.6,0,Алдан
72412,1937-07-16,6.9,14.2,20.6,0.6,Алдан
72413,1937-07-17,12.9,17,21.4,5.8,Алдан
72414,1937-07-18,14.9,19,23.3,0,Алдан
72415,1937-07-19,16.7,22.2,27.5,0,Алдан
72416,1937-07-20,18.6,22.4,27.6,0,Алдан
72417,1937-07-21,18.4,22,25.7,0,Алдан
72418,1937-07-22,17.8,22.7,28.6,0,Алдан
72419,1937-07-23,16.3,21.5,26.1,0,Алдан
72420,1937-07-24,7.5,14.8,22.3,0,Алдан
72421,1937-07-25,6.4,13.4,19,0,Алдан
72422,1937-07-26,6.2,17.1,26.1,0.3,Алдан
72423,1937-07-27,14.1,18.1,22.5,1,Алдан
72424,1937-07-28,13.3,18.4,23.8,0.3,Алдан
72425,1937-07-29,12.8,17.4,23.5,0.3,Алдан
72426,1937-07-30,12.5,17.1,22.8,4.1,Алдан
72427,1937-07-31,12.2,18.4,25,0,Алдан
74195,1937-08-01,12.9,20.4,27.6,0,Алдан
74196,1937-08-02,12.1,21.4,27.8,0,Алдан
74197,1937-08-03,12.9,21.2,27.6,0,Алдан
74198,1937-08-04,12.5,20.8,27.6,0.2,Алдан
74199,1937-08-05,13.6,18,22.8,0,Алдан
74200,1937-08-06,9.8,19.7,26.5,0,Алдан
74201,1937-08-07,16.4,26,32.5,0,Алдан
74202,1937-08-08,18.4,24.6,30.1,0,Алдан
74203,1937-08-09,15.3,18.4,25.6,1.2,Алдан
74204,1937-08-10,11.4,13,18.7,13,Алдан
74205,1937-08-11,7.5,12.5,17.6,22.8,Алдан
74206,1937-08-12,8.5,9.4,13.2,20.8,Алдан
74207,1937-08-13,7.2,9,12.6,2.2,Алдан
74208,1937-08-14,7.6,11.4,17.1,0.2,Алдан
74209,1937-08-15,5.5,13.5,18.9,0,Алдан
74210,1937-08-16,9.3,12.6,16.2,5.9,Алдан
74211,1937-08-17,7.1,12.1,18.2,0,Алдан
74212,1937-08-18,9.9,15.7,21.9,0,Алдан
74213,1937-08-19,8.6,12.4,18.4,14.4,Алдан
74214,1937-08-20,2.4,5.2,12,1.1,Алдан
74215,1937-08-21,-1.1,3.8,8.5,0,Алдан
74216,1937-08-22,-2.3,5.4,12.6,0,Алдан
74217,1937-08-23,2.8,10.8,18.3,2.3,Алдан
74218,1937-08-24,5.2,7.7,14.6,28.5,Алдан
74219,1937-08-25,-0.3,1.9,8.7,26.6,Алдан
74220,1937-08-26,1.4,4.8,7.5,14.1,Алдан
74221,1937-08-27,4.8,7.8,12.4,0.6,Алдан
74222,1937-08-28,8.3,14.5,21.3,0,Алдан
74223,1937-08-29,10.9,16.7,25.1,0,Алдан
74224,1937-08-30,3.8,12.8,24.2,4.4,Алдан
74225,1937-08-31,2,6.2,11.2,5,Алдан
75993,1937-09-01,3.9,8.2,15.3,4.8,Алдан
75994,1937-09-02,5.1,8.8,15.7,12,Алдан
75995,1937-09-03,3,5.6,9.6,1.2,Алдан
75996,1937-09-04,3.7,5.6,7.4,17.8,Алдан
75997,1937-09-05,6.1,7.7,9.5,12.1,Алдан
75998,1937-09-06,4.6,7.4,11,4.4,Алдан
75999,1937-09-07,3.8,7.8,12.4,0.6,Алдан
76000,1937-09-08,4.3,8.4,12.5,0,Алдан
76001,1937-09-09,0.6,8,16.7,0,Алдан
76002,1937-09-10,5.3,9,14.7,6.4,Алдан
76003,1937-09-11,2.1,7.4,14.1,5,Алдан
76004,1937-09-12,2.5,7.3,13,3,Алдан
76005,1937-09-13,2,7.6,12.8,17,Алдан
76006,1937-09-14,-0.1,2.7,6.6,0.5,Алдан
76007,1937-09-15,2.9,9.8,15.1,7.8,Алдан
76008,1937-09-16,4.9,8.4,14.3,6.6,Алдан
76009,1937-09-17,-0.3,2.7,5.3,4.3,Алдан
76010,1937-09-18,2.4,6.1,11.9,3.1,Алдан
76011,1937-09-19,-0.9,0.3,4.3,0.5,Алдан
76012,1937-09-20,-4.9,-0.2,4.2,0.3,Алдан
76013,1937-09-21,-3.4,-0.4,2.6,0,Алдан
76014,1937-09-22,-1.4,2.9,8.5,0,Алдан
76015,1937-09-23,1.1,3.3,8.9,0,Алдан
76016,1937-09-24,-0.6,3.8,6.9,0,Алдан
76017,1937-09-25,-1.1,1.5,6.5,7.3,Алдан
76018,1937-09-26,-1.9,-0.4,1.5,0.1,Алдан
76019,1937-09-27,-2.8,0.1,3.5,0,Алдан
76020,1937-09-28,-2.6,-0.3,3.6,0,Алдан
76021,1937-09-29,-2.8,2.6,8.7,4.8,Алдан
76022,1937-09-30,-5.6,-1.4,6.3,0.1,Алдан
77700,1937-10-01,-7.5,-4.3,0.6,0,Алдан
77701,1937-10-02,-8.7,-5.6,0.5,0.7,Алдан
77702,1937-10-03,-9,-2.8,1.4,0,Алдан
77703,1937-10-04,-4.8,-2.1,3.3,0.7,Алдан
77704,1937-10-05,-4.9,-2.4,1.4,0.1,Алдан
77705,1937-10-06,-3.8,-1.6,1.6,1,Алдан
77706,1937-10-07,-6.1,-2,2.4,0,Алдан
77707,1937-10-08,-6.9,-1.2,3,0,Алдан
77708,1937-10-09,-4.8,-2,1.5,2.9,Алдан
77709,1937-10-10,-4.9,-3.6,-1.7,0.2,Алдан
77710,1937-10-11,-3.9,-2.4,0.7,8.3,Алдан
77711,1937-10-12,-8,-7.1,-0.8,1.4,Алдан
