,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
113175,1936-01-01,-20.9,-15.8,-8.4,0,Александров Гай
113176,1936-01-02,-20.6,-14.6,-6.4,0,Александров Гай
113177,1936-01-03,-19.7,-13.4,-3.6,0,Александров Гай
113178,1936-01-04,-19.5,-14.3,-6,0,Александров Гай
113179,1936-01-05,-20.4,-16,-10.2,0,Александров Гай
113180,1936-01-06,-20.2,-14.2,-5.7,0.1,Александров Гай
113181,1936-01-07,-16.6,-12.2,-5.3,0,Александров Гай
113182,1936-01-08,-18.9,-12.6,-4.4,0,Александров Гай
113183,1936-01-09,-18.9,-15.2,-9.2,0,Александров Гай
113184,1936-01-10,-21.4,-16.8,-10.2,0,Александров Гай
113185,1936-01-11,-18.7,-13.6,-7.6,1.6,Александров Гай
113186,1936-01-12,-7.6,-3.8,-2.4,0.6,Александров Гай
113187,1936-01-13,-7.3,-4.7,-2.3,0.5,Александров Гай
113188,1936-01-14,-4,-1.6,0,0.3,Александров Гай
113189,1936-01-15,-4.2,-2.7,-1,1.5,Александров Гай
113190,1936-01-16,-12.8,-7.3,-3,0.1,Александров Гай
113191,1936-01-17,-9.9,-8.2,-5.2,0.1,Александров Гай
113192,1936-01-18,-20.2,-16,-7.5,0,Александров Гай
113193,1936-01-19,-21.9,-16.4,-11.7,0.3,Александров Гай
113194,1936-01-20,-21.8,-19,-13.4,0.1,Александров Гай
113195,1936-01-21,-22.3,-17.6,-12.6,0,Александров Гай
113196,1936-01-22,-23,-17.3,-11.1,0,Александров Гай
113197,1936-01-23,-20.5,-15.6,-10.6,0.1,Александров Гай
113198,1936-01-24,-20.8,-16.8,-11.2,0.2,Александров Гай
113199,1936-01-25,-23.9,-12.5,-5.2,0.9,Александров Гай
113200,1936-01-26,-11.4,-4.8,-2.9,0.1,Александров Гай
113201,1936-01-27,-11.4,-6.8,-4.3,2.4,Александров Гай
113202,1936-01-28,-12.9,-8.8,-5.8,0,Александров Гай
113203,1936-01-29,-10.6,-7,-4.8,4.4,Александров Гай
113204,1936-01-30,-7.3,-5.1,-3.4,2.3,Александров Гай
113205,1936-01-31,-22.2,-18.1,-7,1.3,Александров Гай
114997,1936-02-01,-21.6,-18.1,-12.4,0,Александров Гай
114998,1936-02-02,-25.3,-22.5,-18.5,0,Александров Гай
114999,1936-02-03,-21.8,-14.7,-8.8,0,Александров Гай
115000,1936-02-04,-16.3,-13.8,-8.8,0,Александров Гай
115001,1936-02-05,-20.5,-16.8,-12,0,Александров Гай
115002,1936-02-06,-20.1,-16.7,-13.5,0,Александров Гай
115003,1936-02-07,-18.8,-13.4,-9.5,0,Александров Гай
115004,1936-02-08,-15.1,-10.8,-8.5,0,Александров Гай
