,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
82970,1900-01-01,-22.5,-21.4,-18.1,4,Алекс.-Сахалинский
82971,1900-01-02,-29.5,-26,-20.5,11.3,Алекс.-Сахалинский
82972,1900-01-03,-29,-21,-16.3,18,Алекс.-Сахалинский
82973,1900-01-04,-23.2,-16.3,-13.8,19.2,Алекс.-Сахалинский
82974,1900-01-05,-21.8,-17.8,-14.6,17.4,Алекс.-Сахалинский
82975,1900-01-06,-24.6,-15.9,-11.7,10.7,Алекс.-Сахалинский
82976,1900-01-07,-16.2,-13.8,-11.6,0,Алекс.-Сахалинский
82977,1900-01-08,-23.6,-20.4,-14.1,0,Алекс.-Сахалинский
82978,1900-01-09,-26.8,-22.7,-15.6,0,Алекс.-Сахалинский
82979,1900-01-10,-28.5,-20.4,-13.4,0,Алекс.-Сахалинский
82980,1900-01-11,-17.8,-12.6,-8.6,0,Алекс.-Сахалинский
82981,1900-01-12,-16.2,-10.9,-7.1,0,Алекс.-Сахалинский
82982,1900-01-13,-17.1,-11.1,-6.8,0,Алекс.-Сахалинский
82983,1900-01-14,-10.4,-3.9,1,0.1,Алекс.-Сахалинский
82984,1900-01-15,-7,-5.7,-2.6,12.6,Алекс.-Сахалинский
82985,1900-01-16,-13.5,-9.6,-7,4,Алекс.-Сахалинский
82986,1900-01-17,-22.4,-18.6,-13.1,0,Алекс.-Сахалинский
82987,1900-01-18,-25.1,-18,-10.9,0,Алекс.-Сахалинский
82988,1900-01-19,-22.4,-16.4,-10.9,0.5,Алекс.-Сахалинский
82989,1900-01-20,-23.1,-20.1,-16.6,0,Алекс.-Сахалинский
82990,1900-01-21,-25.7,-22.7,-17.7,0,Алекс.-Сахалинский
82991,1900-01-22,-29.5,-24,-18.1,0,Алекс.-Сахалинский
82992,1900-01-23,-30.3,-26.4,-23.2,0,Алекс.-Сахалинский
82993,1900-01-24,-30.5,-25.8,-19,2.6,Алекс.-Сахалинский
82994,1900-01-25,-27.3,-21.2,-15.7,16.4,Алекс.-Сахалинский
82995,1900-01-26,-28.3,-21.6,-12.8,0,Алекс.-Сахалинский
82996,1900-01-27,-29.8,-20.3,-16.2,0,Алекс.-Сахалинский
82997,1900-01-28,-24.9,-19.7,-14.9,0,Алекс.-Сахалинский
82998,1900-01-29,-24.6,-20,-14.2,0,Алекс.-Сахалинский
82999,1900-01-30,-30,-24.6,-17.6,0,Алекс.-Сахалинский
83000,1900-01-31,-32.1,-22.6,-15.6,0,Алекс.-Сахалинский
85558,1900-02-01,-28.1,-20.8,-14.1,0,Алекс.-Сахалинский
85559,1900-02-02,-22.7,-15.7,-8.3,0,Алекс.-Сахалинский
85560,1900-02-03,-24.2,-17.1,-8.6,4.2,Алекс.-Сахалинский
85561,1900-02-04,-22,-17.5,-14.2,0,Алекс.-Сахалинский
85562,1900-02-05,-22.5,-19.2,-14.2,0,Алекс.-Сахалинский
85563,1900-02-06,-31.2,-25.7,-18.7,3.5,Алекс.-Сахалинский
85564,1900-02-07,-32.1,-23.6,-20.6,0,Алекс.-Сахалинский
85565,1900-02-08,-28.7,-22,-16.2,0,Алекс.-Сахалинский
85566,1900-02-09,-29.8,-20.8,-11.6,0,Алекс.-Сахалинский
85567,1900-02-10,-26.3,-21.6,-14.2,0,Алекс.-Сахалинский
85568,1900-02-11,-29.1,-20.5,-17.4,0,Алекс.-Сахалинский
85569,1900-02-12,-27.1,-20.5,-13.6,2.5,Алекс.-Сахалинский
85570,1900-02-13,-22.6,-17.7,-12.4,0.9,Алекс.-Сахалинский
85571,1900-02-14,-24.5,-20.2,-11.8,0,Алекс.-Сахалинский
85572,1900-02-15,-29.2,-23.5,-11.4,0,Алекс.-Сахалинский
85573,1900-02-16,-27.5,-23.2,-15.2,0,Алекс.-Сахалинский
85574,1900-02-17,-29,-21.3,-9.9,0,Алекс.-Сахалинский
85575,1900-02-18,-26.7,-16.2,-4.6,0,Алекс.-Сахалинский
85576,1900-02-19,-24.6,-18.5,-11.7,0,Алекс.-Сахалинский
85577,1900-02-20,-22.9,-15.9,-8.4,0,Алекс.-Сахалинский
85578,1900-02-21,-17.1,-13.8,-7.7,1.3,Алекс.-Сахалинский
85579,1900-02-22,-17,-11.5,-7.4,2,Алекс.-Сахалинский
85580,1900-02-23,-19.3,-14.5,-6.4,0,Алекс.-Сахалинский
85581,1900-02-24,-21.3,-15.6,-6.2,0,Алекс.-Сахалинский
85582,1900-02-25,-21.4,-17.3,-9.1,0,Алекс.-Сахалинский
85583,1900-02-26,-23.1,-16.3,-8.4,0.2,Алекс.-Сахалинский
85584,1900-02-27,-19.9,-15.7,-7.8,0,Алекс.-Сахалинский
85585,1900-02-28,-21.3,-18.2,-13.2,0,Алекс.-Сахалинский
87957,1900-03-01,-23.3,-14.9,-5.2,0,Алекс.-Сахалинский
87958,1900-03-02,-16.7,-11.2,-3.1,0,Алекс.-Сахалинский
87959,1900-03-03,-17.7,-14.1,-8.7,0,Алекс.-Сахалинский
87960,1900-03-04,-22.2,-15.3,-6.4,0,Алекс.-Сахалинский
87961,1900-03-05,-22.9,-11.8,-0.9,0,Алекс.-Сахалинский
87962,1900-03-06,-17.2,-7.9,-2.3,0,Алекс.-Сахалинский
87963,1900-03-07,-17.2,-4.2,-0.1,0,Алекс.-Сахалинский
87964,1900-03-08,-13,-9.9,-3.5,0,Алекс.-Сахалинский
87965,1900-03-09,-16.9,-13.7,-9.6,3.3,Алекс.-Сахалинский
87966,1900-03-10,-13.8,-8.7,-6.9,21.3,Алекс.-Сахалинский
87967,1900-03-11,-9.6,-7.4,-5,0.2,Алекс.-Сахалинский
87968,1900-03-12,-9.9,-7.5,-6.4,7,Алекс.-Сахалинский
87969,1900-03-13,-10.5,-8.3,-5.4,1.9,Алекс.-Сахалинский
87970,1900-03-14,-14.4,-10.7,-5.9,0,Алекс.-Сахалинский
87971,1900-03-15,-18.7,-11.4,-4.4,0,Алекс.-Сахалинский
87972,1900-03-16,-20.5,-12.2,-5.6,0,Алекс.-Сахалинский
87973,1900-03-17,-18.5,-10.4,-2.1,0,Алекс.-Сахалинский
87974,1900-03-18,-16.6,-9.8,-4.2,0,Алекс.-Сахалинский
87975,1900-03-19,-16.7,-9.4,-4.6,0,Алекс.-Сахалинский
87976,1900-03-20,-12.1,-8.6,0.9,0,Алекс.-Сахалинский
87977,1900-03-21,-12.1,-7.2,1.9,0,Алекс.-Сахалинский
87978,1900-03-22,-9.9,-1.1,2.1,1.1,Алекс.-Сахалинский
87979,1900-03-23,-9.7,-5.2,-1,1.2,Алекс.-Сахалинский
87980,1900-03-24,-11.7,-7.7,-2.9,1,Алекс.-Сахалинский
87981,1900-03-25,-13.4,-6,-1.2,0,Алекс.-Сахалинский
87982,1900-03-26,-15.8,-11.3,-5.6,0,Алекс.-Сахалинский
87983,1900-03-27,-19.2,-12.1,-4.9,0,Алекс.-Сахалинский
87984,1900-03-28,-18.3,-8.8,-0.1,0,Алекс.-Сахалинский
87985,1900-03-29,-17.1,-7.9,-1,0,Алекс.-Сахалинский
87986,1900-03-30,-14.9,-8.8,-3.1,0,Алекс.-Сахалинский
87987,1900-03-31,-13.7,-6.3,-0.6,0,Алекс.-Сахалинский
