,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
134712,1936-01-01,-15.5,-10.4,-7.7,2,Александровское
134713,1936-01-02,-26,-15.4,-6.5,0.1,Александровское
134714,1936-01-03,-26.8,-17.1,-10.6,0.8,Александровское
134715,1936-01-04,-21.2,-11.7,-6.9,1.5,Александровское
134716,1936-01-05,-26,-19,-12.6,0,Александровское
134717,1936-01-06,-12.6,-6.9,-4.6,0.7,Александровское
134718,1936-01-07,-7.5,-6.8,-5,1.3,Александровское
134719,1936-01-08,-10.8,-7.7,-5.6,1,Александровское
134720,1936-01-09,-16.4,-14.2,-10.5,0,Александровское
134721,1936-01-10,-24.8,-19.3,-16.2,1.2,Александровское
134722,1936-01-11,-25.2,-20.6,-16.8,1.1,Александровское
134723,1936-01-12,-37,-31.8,-19,0.4,Александровское
134724,1936-01-13,-34.8,-26.3,-19.2,0.2,Александровское
134725,1936-01-14,-19.4,-14.3,-12.2,0.2,Александровское
134726,1936-01-15,-21.2,-17.4,-12.9,0,Александровское
134727,1936-01-16,-23,-18.6,-14.6,0,Александровское
134728,1936-01-17,-25.6,-23.5,-18.5,0,Александровское
134729,1936-01-18,-28.8,-26.1,-25.2,0.2,Александровское
134730,1936-01-19,-28,-25.2,-24,0.1,Александровское
134731,1936-01-20,-25,-22.7,-21.1,0.4,Александровское
134732,1936-01-21,-22.6,-21.5,-20,0.2,Александровское
134733,1936-01-22,-20.2,-16.7,-15.1,1.1,Александровское
134734,1936-01-23,-29,-19.4,-12.5,1.1,Александровское
134735,1936-01-24,-32.5,-23,-10.1,0.6,Александровское
134736,1936-01-25,-36.7,-29.7,-10,0.1,Александровское
134737,1936-01-26,-37,-34.7,-32.4,0,Александровское
134738,1936-01-27,-37.5,-35.2,-32.2,0,Александровское
134739,1936-01-28,-34.2,-31.7,-29.6,0,Александровское
134740,1936-01-29,-29.6,-27.1,-24.7,0.5,Александровское
134741,1936-01-30,-29.3,-25.5,-24,0.3,Александровское
134742,1936-01-31,-30.3,-25.9,-24.2,1.2,Александровское
136539,1936-02-01,-37.4,-32,-26.5,0,Александровское
136540,1936-02-02,-27.8,-25.2,-24,1.1,Александровское
136541,1936-02-03,-33.1,-28.2,-24.1,0.4,Александровское
136542,1936-02-04,-24,-15.5,-11.7,2.4,Александровское
136543,1936-02-05,-13.4,-11.3,-9.6,3.1,Александровское
