,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
165528,1915-05-01,14.5,19.3,26.3,19.1,Алма-Ата
165529,1915-05-02,13.5,16.5,22.8,18.9,Алма-Ата
165530,1915-05-03,13.7,16.7,21.7,5.6,Алма-Ата
165531,1915-05-04,10.4,14.9,18.8,0,Алма-Ата
165532,1915-05-05,11,16.8,22.7,2.4,Алма-Ата
165533,1915-05-06,15.2,19,24.2,4.2,Алма-Ата
165534,1915-05-07,12.7,18,23,0,Алма-Ата
165535,1915-05-08,10.5,16.9,21.7,0,Алма-Ата
165536,1915-05-09,13.5,19,24.6,5.9,Алма-Ата
165537,1915-05-10,12.1,19,24.5,0,Алма-Ата
165538,1915-05-11,12.1,18.7,24.6,0,Алма-Ата
165539,1915-05-12,9.9,19.5,25.5,5.4,Алма-Ата
165540,1915-05-13,13.3,16.9,22.8,5.8,Алма-Ата
165541,1915-05-14,13.3,15.4,20.2,3.2,Алма-Ата
165542,1915-05-15,10.1,16.9,21.9,0,Алма-Ата
165543,1915-05-16,12.5,17.9,24.5,10.2,Алма-Ата
165544,1915-05-17,9.6,13.8,19.2,0.3,Алма-Ата
165545,1915-05-18,9.5,15.1,18.5,1.8,Алма-Ата
165546,1915-05-19,10.9,14.6,19.5,2.4,Алма-Ата
165547,1915-05-20,10.2,15.9,20.7,0,Алма-Ата
165548,1915-05-21,10.5,16,21.7,0,Алма-Ата
165549,1915-05-22,10.6,18.6,24.5,0,Алма-Ата
165550,1915-05-23,12.2,20.8,27.2,0,Алма-Ата
165551,1915-05-24,13.5,22.3,29,9.4,Алма-Ата
165552,1915-05-25,15.9,22.9,28,0,Алма-Ата
165553,1915-05-26,17.2,22.3,26,0,Алма-Ата
165554,1915-05-27,16,25.3,32.2,0,Алма-Ата
165555,1915-05-28,16.7,22.2,28.3,1.5,Алма-Ата
165556,1915-05-29,13.6,18.6,23.5,0,Алма-Ата
165557,1915-05-30,14.4,18.3,21.9,1.5,Алма-Ата
165558,1915-05-31,10.7,15.6,21.5,0,Алма-Ата
167878,1915-06-01,9.1,16.5,23.3,0,Алма-Ата
167879,1915-06-02,11.5,18.8,25,0,Алма-Ата
167880,1915-06-03,12.4,20.2,26.5,0,Алма-Ата
167881,1915-06-04,14.6,22.7,28.7,0,Алма-Ата
167882,1915-06-05,16.2,23,29.5,0,Алма-Ата
167883,1915-06-06,17.3,23.7,31.6,0,Алма-Ата
167884,1915-06-07,17.7,26.3,33.5,0,Алма-Ата
167885,1915-06-08,22.7,28.7,34.5,0,Алма-Ата
167886,1915-06-09,20.5,27.2,33.2,0.4,Алма-Ата
167887,1915-06-10,18.6,24.5,31.7,0,Алма-Ата
167888,1915-06-11,21,25.1,29.7,0.2,Алма-Ата
167889,1915-06-12,20.9,27.8,32.5,0,Алма-Ата
167890,1915-06-13,14.7,23.6,31,26.8,Алма-Ата
167891,1915-06-14,10.1,11.7,15.4,5,Алма-Ата
167892,1915-06-15,11,14.7,17.7,0,Алма-Ата
167893,1915-06-16,13.1,17.5,21,0,Алма-Ата
167894,1915-06-17,15.5,20.6,26,0,Алма-Ата
167895,1915-06-18,14.9,24.5,30.3,0,Алма-Ата
167896,1915-06-19,19.4,24.5,30.4,0,Алма-Ата
167897,1915-06-20,18.3,22.8,28.6,0.4,Алма-Ата
167898,1915-06-21,18.5,23.6,31,0,Алма-Ата
167899,1915-06-22,18.5,25.3,30,0,Алма-Ата
167900,1915-06-23,17.6,25.2,31.4,0,Алма-Ата
167901,1915-06-24,19.1,25.7,32.5,0,Алма-Ата
167902,1915-06-25,21.2,26.5,32,0,Алма-Ата
167903,1915-06-26,19,24.3,30.6,0,Алма-Ата
167904,1915-06-27,16.2,24.5,31.3,0,Алма-Ата
167905,1915-06-28,18.5,23.8,29.7,0.9,Алма-Ата
167906,1915-06-29,18,27,32.1,1.2,Алма-Ата
167907,1915-06-30,19.7,26.1,32.9,0,Алма-Ата
170125,1915-07-01,18.2,24,34.5,1.5,Алма-Ата
170126,1915-07-02,17.2,23.9,29.5,1.7,Алма-Ата
170127,1915-07-03,17.4,20.8,24.8,6.9,Алма-Ата
