,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
197909,1915-08-01,8,16.4,20.4,0,Анадырь
197910,1915-08-02,10.3,17.1,20,0,Анадырь
197911,1915-08-03,10.9,16,18.3,0,Анадырь
197912,1915-08-04,12.7,15.7,17.6,0,Анадырь
197913,1915-08-05,10.8,13.4,16.8,10.1,Анадырь
197914,1915-08-06,7.7,10.6,13,0.5,Анадырь
197915,1915-08-07,5.4,9.5,13.3,0,Анадырь
197916,1915-08-08,6.8,10.2,13.7,0,Анадырь
197917,1915-08-09,6.8,12.8,16.6,0,Анадырь
197918,1915-08-10,8.2,10,12.8,2.2,Анадырь
197919,1915-08-11,7.4,9.4,12.1,0.1,Анадырь
197920,1915-08-12,6.7,8.5,11,1.8,Анадырь
197921,1915-08-13,5,8.1,11.2,0,Анадырь
197922,1915-08-14,6,10.4,14.8,0,Анадырь
197923,1915-08-15,6,10.8,15.2,0,Анадырь
197924,1915-08-16,5,13.6,18.6,0,Анадырь
197925,1915-08-17,8.3,14.1,17.6,0,Анадырь
197926,1915-08-18,11.8,15.4,17.3,0,Анадырь
197927,1915-08-19,11.8,13.4,16.5,0,Анадырь
197928,1915-08-20,9.2,11.4,14.8,0,Анадырь
197929,1915-08-21,3,8.1,11.2,0,Анадырь
197930,1915-08-22,6.2,9.1,10.6,0,Анадырь
197931,1915-08-23,8.2,10.6,15,0,Анадырь
197932,1915-08-24,3.5,11.5,16.9,0,Анадырь
197933,1915-08-25,3.8,5.5,9.2,0,Анадырь
197934,1915-08-26,6,8,9.5,0,Анадырь
197935,1915-08-27,8,9.3,10.8,2.4,Анадырь
197936,1915-08-28,8.6,10.8,12.4,7.9,Анадырь
197937,1915-08-29,8.7,9.9,11.2,5.5,Анадырь
197938,1915-08-30,6.6,8.2,10,0,Анадырь
197939,1915-08-31,4.4,8.9,10.3,0.4,Анадырь
199942,1915-09-01,5.5,10.1,12.3,1.5,Анадырь
199943,1915-09-02,9.2,11.8,15.4,0,Анадырь
199944,1915-09-03,7.8,8.9,11,0,Анадырь
199945,1915-09-04,6.7,9.3,11,0.7,Анадырь
199946,1915-09-05,7.9,9.2,10.5,0,Анадырь
199947,1915-09-06,3.5,7.5,9.5,0,Анадырь
199948,1915-09-07,6,9.9,12,0,Анадырь
199949,1915-09-08,6.7,11.7,14,0,Анадырь
199950,1915-09-09,7.9,9.8,12,0,Анадырь
199951,1915-09-10,6.9,8.6,10,12.4,Анадырь
199952,1915-09-11,4.8,5.5,8.3,9,Анадырь
199953,1915-09-12,3.5,5.3,6.1,17.8,Анадырь
199954,1915-09-13,3.3,4.7,6.4,10.6,Анадырь
199955,1915-09-14,2.3,3.6,4.3,3,Анадырь
199956,1915-09-15,1.7,2.7,4.2,7.6,Анадырь
199957,1915-09-16,0.9,2,3,3.3,Анадырь
199958,1915-09-17,1,2.3,3.1,1.7,Анадырь
199959,1915-09-18,1.9,4.9,6,2.1,Анадырь
199960,1915-09-19,1.3,2.7,6.6,0.6,Анадырь
199961,1915-09-20,-0.2,1.4,3.4,0,Анадырь
199962,1915-09-21,-0.3,0.9,3.2,0,Анадырь
199963,1915-09-22,-1.1,1.1,2.8,0,Анадырь
199964,1915-09-23,-0.8,0.6,3.1,0,Анадырь
199965,1915-09-24,-3.9,-1.2,0.7,0,Анадырь
199966,1915-09-25,-6.2,-2.6,0.4,0,Анадырь
199967,1915-09-26,-3.9,-1.4,0.2,0,Анадырь
199968,1915-09-27,-6.3,-1.8,0.8,0.4,Анадырь
199969,1915-09-28,-3.5,-1.4,-0.1,0,Анадырь
199970,1915-09-29,-4.2,-2.8,-0.7,0,Анадырь
199971,1915-09-30,-5.9,-3,-1.5,0,Анадырь
201956,1915-10-01,-7,-2.8,-0.1,0,Анадырь
201957,1915-10-02,-7.8,-1.3,1.2,0,Анадырь
201958,1915-10-03,-1.6,1.7,3.9,0,Анадырь
201959,1915-10-04,-1,2.1,5,2.5,Анадырь
201960,1915-10-05,-5.6,-4.1,2.8,0,Анадырь
201961,1915-10-06,-8.8,-7,-4.5,0,Анадырь
201962,1915-10-07,-10.6,-5,-1.4,0,Анадырь
201963,1915-10-08,-3.4,-2.2,-0.2,0,Анадырь
201964,1915-10-09,-5.2,-4.3,-2.5,0,Анадырь
201965,1915-10-10,-8.8,-6.2,-3.3,0,Анадырь
201966,1915-10-11,-9.6,-8.3,-5.6,0,Анадырь
201967,1915-10-12,-11.1,-8.4,-5.6,0,Анадырь
201968,1915-10-13,-12.2,-9.8,-7.3,0,Анадырь
201969,1915-10-14,-12.9,-10.3,-8.6,0,Анадырь
201970,1915-10-15,-11.4,-9.5,-7.3,0.1,Анадырь
201971,1915-10-16,-17.6,-11.1,-6.5,0,Анадырь
201972,1915-10-17,-13.1,-4.5,-2.2,0,Анадырь
201973,1915-10-18,-4.3,-2.6,-0.2,0,Анадырь
201974,1915-10-19,-3.2,-0.9,-0.3,0.7,Анадырь
201975,1915-10-20,-5.1,-3.7,-1.1,0.2,Анадырь
201976,1915-10-21,-3,0.3,2,7.6,Анадырь
201977,1915-10-22,-5.9,-4.2,1.8,0.3,Анадырь
201978,1915-10-23,-10.2,-9.3,-5.7,0,Анадырь
201979,1915-10-24,-15.7,-10.6,-8.6,0,Анадырь
201980,1915-10-25,-13.9,-5.4,-3.5,0,Анадырь
201981,1915-10-26,-5.6,-3.8,-2.6,0,Анадырь
201982,1915-10-27,-5.1,-3.6,-2.5,0,Анадырь
201983,1915-10-28,-8.6,-6.8,-2.9,0,Анадырь
201984,1915-10-29,-13.7,-10.5,-8,0,Анадырь
201985,1915-10-30,-16.1,-8.9,-7.1,0,Анадырь
201986,1915-10-31,-12.1,-9.8,-7.2,0,Анадырь
204089,1915-11-01,-14.7,-12.7,-10,0,Анадырь
204090,1915-11-02,-12.1,-9.3,-8.4,0,Анадырь
204091,1915-11-03,-12.6,-11.6,-8.4,0.2,Анадырь
204092,1915-11-04,-21.7,-18.3,-12.2,0.3,Анадырь
204093,1915-11-05,-23.4,-22.6,-20.8,0,Анадырь
204094,1915-11-06,-25.2,-24.3,-22.8,0,Анадырь
204095,1915-11-07,-25.7,-12.3,-4.3,0,Анадырь
204096,1915-11-08,-8.7,-4.7,-0.3,0,Анадырь
204097,1915-11-09,-10.7,-7.5,-4.3,0.2,Анадырь
204098,1915-11-10,-19.9,-15.4,-10.4,0,Анадырь
204099,1915-11-11,-19.3,-10.8,-4.2,0,Анадырь
204100,1915-11-12,-4.3,-1.1,0,0,Анадырь
204101,1915-11-13,-10.9,-8.5,-0.2,0,Анадырь
204102,1915-11-14,-11.4,-9.3,-8,0,Анадырь
204103,1915-11-15,-19.3,-15.9,-11,0,Анадырь
204104,1915-11-16,-22.1,-19.3,-15.8,0,Анадырь
204105,1915-11-17,-19.9,-18.8,-16,0,Анадырь
204106,1915-11-18,-24.7,-18,-14.5,0,Анадырь
204107,1915-11-19,-15.6,-10.9,-9.6,0.2,Анадырь
204108,1915-11-20,-15.3,-12.9,-9.1,0.1,Анадырь
204109,1915-11-21,-16.6,-15.3,-12.9,0,Анадырь
204110,1915-11-22,-20.2,-18.5,-16,0.1,Анадырь
204111,1915-11-23,-20.7,-19.5,-18,0.5,Анадырь
