,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
233079,1936-01-01,-7,-3.2,3.9,0,Армавир
233080,1936-01-02,-4.5,-1.7,3,0,Армавир
233081,1936-01-03,-2.9,-0.7,4.1,0,Армавир
233082,1936-01-04,-3.8,-0.5,4.6,0,Армавир
233083,1936-01-05,-3.7,0,6.1,0,Армавир
233084,1936-01-06,-7,-1.7,7.4,0,Армавир
233085,1936-01-07,-10.4,-3.4,6.7,0,Армавир
233086,1936-01-08,-8.4,-4.2,4.3,0,Армавир
233087,1936-01-09,-8.4,-2.7,5.1,0,Армавир
233088,1936-01-10,-4.9,-1,4.5,0,Армавир
233089,1936-01-11,-2.2,2.6,8.2,0,Армавир
233090,1936-01-12,1.6,4.5,8.6,0.4,Армавир
233091,1936-01-13,-0.6,1.3,4.7,2.2,Армавир
233092,1936-01-14,-1,0.7,3.2,0,Армавир
233093,1936-01-15,-6,-2.1,0.2,8.4,Армавир
233094,1936-01-16,-12,-3.9,1.4,0.5,Армавир
233095,1936-01-17,-7.5,-5.4,0.5,0.8,Армавир
233096,1936-01-18,-9.2,-0.2,1.5,0.3,Армавир
233097,1936-01-19,-0.8,0.3,1.8,0,Армавир
233098,1936-01-20,-2,0,2.5,0,Армавир
233099,1936-01-21,-4.8,-0.8,2.7,0,Армавир
233100,1936-01-22,-4.2,-1.2,2.4,0.1,Армавир
233101,1936-01-23,-2.4,1.6,5.8,0,Армавир
233102,1936-01-24,-3.6,-0.1,4.9,0,Армавир
233103,1936-01-25,-2.1,0.3,3.5,0,Армавир
233104,1936-01-26,-3.1,0.5,4.8,0,Армавир
233105,1936-01-27,1.3,3.7,7.6,0,Армавир
233106,1936-01-28,0.7,5.1,16.4,0,Армавир
233107,1936-01-29,2,7.2,14.9,0,Армавир
233108,1936-01-30,3.2,6.9,10.3,9.8,Армавир
233109,1936-01-31,-7.6,-4.4,5.7,1.1,Армавир
234877,1936-02-01,-11.3,-7,-1.4,0,Армавир
234878,1936-02-02,-7.5,-4,0,0,Армавир
234879,1936-02-03,-2.3,1.5,9.1,0,Армавир
234880,1936-02-04,-1,1.2,6.6,0,Армавир
234881,1936-02-05,-1,2.2,7.4,0,Армавир
234882,1936-02-06,0.1,2.3,8.9,0,Армавир
234883,1936-02-07,0.3,1.8,6.2,0,Армавир
234884,1936-02-08,-0.2,1,4.1,5,Армавир
234885,1936-02-09,-0.5,1.6,4.8,0,Армавир
234886,1936-02-10,-0.8,2.4,7.8,0,Армавир
234887,1936-02-11,-1.8,0.1,4.2,0,Армавир
234888,1936-02-12,-1.2,1.8,2.7,0,Армавир
234889,1936-02-13,-6.5,-2.4,2.5,0,Армавир
234890,1936-02-14,-8.4,-4.1,4.1,1.8,Армавир
234891,1936-02-15,-13.3,-8.2,-3.5,0.8,Армавир
234892,1936-02-16,-13.6,-9.7,-4.6,0,Армавир
234893,1936-02-17,-14.2,-9,-4.8,0,Армавир
234894,1936-02-18,-10.4,-5.6,-1.3,0,Армавир
234895,1936-02-19,-5.9,-5.4,-3.5,0.1,Армавир
234896,1936-02-20,-8.2,-5.8,-3,0.9,Армавир
234897,1936-02-21,-3.9,-0.6,2.8,0,Армавир
234898,1936-02-22,-1.6,1,3.4,0,Армавир
234899,1936-02-23,-1.7,0.4,3.6,0,Армавир
234900,1936-02-24,-2.2,0,3.7,0,Армавир
234901,1936-02-25,-2.5,0.1,5.8,0,Армавир
234902,1936-02-26,-1.4,1,6.8,0,Армавир
234903,1936-02-27,-0.7,2.6,7.7,0,Армавир
234904,1936-02-28,0.2,3.8,9.9,0,Армавир
234905,1936-02-29,-1.3,0.9,7.9,0,Армавир
236512,1936-03-01,-1.6,2.3,6.9,0,Армавир
236513,1936-03-02,-1.7,2.7,8.2,0,Армавир
236514,1936-03-03,0.6,5.1,13.1,0,Армавир
236515,1936-03-04,-0.7,6.1,14.4,0,Армавир
236516,1936-03-05,-0.1,4.6,11.5,0,Армавир
236517,1936-03-06,-1.6,4.1,11.1,0,Армавир
236518,1936-03-07,-3.5,1.4,7.1,0,Армавир
236519,1936-03-08,-2.1,2.1,7.6,0,Армавир
236520,1936-03-09,-0.1,3,7.7,0,Армавир
236521,1936-03-10,0.3,4.2,11,0,Армавир
236522,1936-03-11,0.4,4.3,12.5,0,Армавир
236523,1936-03-12,-4.6,4.4,13,0,Армавир
236524,1936-03-13,-1.7,6.6,14.7,0,Армавир
236525,1936-03-14,0.4,8,17.9,0,Армавир
236526,1936-03-15,2.1,6.6,11.8,0,Армавир
236527,1936-03-16,0.4,5.6,11.5,0.5,Армавир
236528,1936-03-17,0.4,7.2,16.5,0,Армавир
236529,1936-03-18,1.9,7,13.1,0,Армавир
236530,1936-03-19,0.4,3.5,8.6,1.2,Армавир
236531,1936-03-20,-5.7,3.3,9.6,0,Армавир
