,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
254478,1913-01-01,-24.3,-20.8,-19.2,0.2,Архангельск
254479,1913-01-02,-19.2,-16,-14.3,0.6,Архангельск
254480,1913-01-03,-18.8,-10.1,-8.5,1.6,Архангельск
254481,1913-01-04,-13,-7.4,-4.2,0,Архангельск
254482,1913-01-05,-11.3,-5.2,-1.3,1.4,Архангельск
254483,1913-01-06,-1.4,0.6,1.3,2.9,Архангельск
254484,1913-01-07,0.2,0.5,0.8,1.3,Архангельск
254485,1913-01-08,-11.2,-7,0.7,0,Архангельск
254486,1913-01-09,-15.2,-11.5,-7.2,0,Архангельск
254487,1913-01-10,-13.3,-3.9,-2.5,0.8,Архангельск
254488,1913-01-11,-6,-2.7,-1.3,0,Архангельск
254489,1913-01-12,-10.3,-6.4,-3,0,Архангельск
254490,1913-01-13,-11.5,-6.1,-3.5,0,Архангельск
254491,1913-01-14,-8.4,-6.2,-3.8,0.9,Архангельск
254492,1913-01-15,-9.4,-7.9,-3.5,0.9,Архангельск
254493,1913-01-16,-12.6,-10.7,-6.7,0.3,Архангельск
254494,1913-01-17,-12.5,-10.4,-7.5,0.8,Архангельск
254495,1913-01-18,-22.4,-18.4,-8.5,0.2,Архангельск
254496,1913-01-19,-25.5,-24.5,-19.6,0,Архангельск
254497,1913-01-20,-26.4,-23.1,-20.5,0.2,Архангельск
254498,1913-01-21,-21,-15.4,-14,1,Архангельск
254499,1913-01-22,-15,-13.1,-12.2,0.2,Архангельск
254500,1913-01-23,-21.1,-17.5,-13.5,0,Архангельск
254501,1913-01-24,-20.6,-13.4,-11.1,0,Архангельск
254502,1913-01-25,-19.4,-17,-13.3,0.8,Архангельск
254503,1913-01-26,-18.1,-17.3,-14,1.5,Архангельск
254504,1913-01-27,-22.8,-20.4,-17.2,0,Архангельск
254505,1913-01-28,-18.7,-12.3,-8.6,0.3,Архангельск
254506,1913-01-29,-23,-15.6,-9,0,Архангельск
254507,1913-01-30,-26,-18,-12.1,0,Архангельск
254508,1913-01-31,-12,-6.6,-5,0,Архангельск
257001,1913-02-01,-16.9,-13.6,-5.5,0,Архангельск
257002,1913-02-02,-16.5,-14,-10.3,0.9,Архангельск
257003,1913-02-03,-13,-8.6,-6.8,0.6,Архангельск
257004,1913-02-04,-16.3,-11.8,-8.5,0.8,Архангельск
257005,1913-02-05,-19,-17.4,-14.8,0.9,Архангельск
257006,1913-02-06,-23.5,-19.9,-16.7,0,Архангельск
257007,1913-02-07,-19.7,-14.1,-12.7,0.1,Архангельск
257008,1913-02-08,-20,-18.4,-13,0.2,Архангельск
257009,1913-02-09,-18.5,-16.7,-15.7,0.4,Архангельск
257010,1913-02-10,-16.2,-15.4,-13.5,0,Архангельск
257011,1913-02-11,-20,-17.8,-15.8,0,Архангельск
257012,1913-02-12,-27.3,-23.5,-19,0,Архангельск
257013,1913-02-13,-27.5,-24.7,-23,0,Архангельск
257014,1913-02-14,-30.7,-24.3,-19.6,0.6,Архангельск
257015,1913-02-15,-24.5,-18.6,-12.2,0,Архангельск
257016,1913-02-16,-14.6,-8.2,-6.2,0,Архангельск
257017,1913-02-17,-6.5,-4,-1.6,0,Архангельск
257018,1913-02-18,-12.7,-9.2,-4.6,0.3,Архангельск
257019,1913-02-19,-13.6,-9.1,-5.8,1.3,Архангельск
257020,1913-02-20,-18,-11.8,-6.7,2.1,Архангельск
257021,1913-02-21,-20.2,-13,-6.7,0.3,Архангельск
257022,1913-02-22,-21.4,-15.9,-14.5,0,Архангельск
257023,1913-02-23,-16.5,-13.1,-10.5,0.1,Архангельск
257024,1913-02-24,-22.5,-16.8,-13.4,0.7,Архангельск
257025,1913-02-25,-17.4,-14.9,-13,0,Архангельск
