,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
284139,1936-01-01,-35,-28.2,-23.8,0,Архара
284140,1936-01-02,-38.8,-30.4,-23.8,0,Архара
284141,1936-01-03,-29.3,-25.2,-22.8,0.2,Архара
284142,1936-01-04,-32.6,-27.6,-23.3,0.3,Архара
284143,1936-01-05,-32.8,-30.7,-28.3,1,Архара
284144,1936-01-06,-32.8,-30.4,-26.7,0.9,Архара
284145,1936-01-07,-34.3,-28.9,-24.4,0.8,Архара
284146,1936-01-08,-31.2,-26.9,-22.9,0.1,Архара
284147,1936-01-09,-35.8,-29.8,-21.1,0,Архара
284148,1936-01-10,-34.7,-26.8,-20.4,0,Архара
284149,1936-01-11,-25.8,-17,-12.8,0,Архара
284150,1936-01-12,-25,-18.7,-14.4,1.6,Архара
284151,1936-01-13,-31.6,-25.9,-19.9,0.3,Архара
284152,1936-01-14,-37.6,-30.5,-25.4,0,Архара
284153,1936-01-15,-33.4,-27.8,-22.5,0.6,Архара
284154,1936-01-16,-25.5,-23,-21.9,0.6,Архара
284155,1936-01-17,-31.6,-26.6,-20.5,0,Архара
284156,1936-01-18,-29.9,-24.9,-20.7,0.1,Архара
284157,1936-01-19,-27.3,-23.7,-19.7,0.2,Архара
284158,1936-01-20,-24.5,-18.5,-14.3,1.6,Архара
284159,1936-01-21,-27.2,-17.6,-13.9,0,Архара
284160,1936-01-22,-32.1,-24.1,-15.9,0,Архара
284161,1936-01-23,-33.5,-26.8,-19.8,0,Архара
284162,1936-01-24,-36.4,-27.4,-21.1,0,Архара
284163,1936-01-25,-36.4,-29.9,-18.5,0,Архара
284164,1936-01-26,-36.2,-28.4,-19.4,0,Архара
284165,1936-01-27,-35.9,-29.6,-19.6,0,Архара
284166,1936-01-28,-34.6,-29.4,-24.8,0.1,Архара
284167,1936-01-29,-31.8,-27.7,-22.6,0.2,Архара
284168,1936-01-30,-33.5,-29.4,-22.2,0,Архара
284169,1936-01-31,-34.7,-28.2,-22.9,0,Архара
