,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
301833,1900-09-01,8.4,14.5,19.8,0,Астрахань
301834,1900-09-02,11.7,14.7,18,0.3,Астрахань
301835,1900-09-03,10.6,15.7,21.8,0,Астрахань
301836,1900-09-04,13.5,17.8,21.5,0,Астрахань
301837,1900-09-05,11.8,18,26,0.2,Астрахань
301838,1900-09-06,12.8,15.5,20,0,Астрахань
301839,1900-09-07,11.2,16.1,19,0,Астрахань
301840,1900-09-08,13.7,20.2,26.5,0,Астрахань
301841,1900-09-09,11.2,17.1,23,0,Астрахань
301842,1900-09-10,10.4,14.3,20,0,Астрахань
301843,1900-09-11,8.4,15.6,21.8,0,Астрахань
301844,1900-09-12,13.2,21.1,29,0,Астрахань
301845,1900-09-13,11.2,15.1,18.5,1.2,Астрахань
301846,1900-09-14,10.2,13.6,18,1.3,Астрахань
301847,1900-09-15,11.7,15.7,19.5,8,Астрахань
301848,1900-09-16,10.7,14.3,18,0,Астрахань
301849,1900-09-17,9.2,12.9,17,0,Астрахань
301850,1900-09-18,7.6,8.7,12.5,0.6,Астрахань
301851,1900-09-19,3.7,8.1,12.8,0,Астрахань
301852,1900-09-20,5.2,10.4,15,0,Астрахань
301853,1900-09-21,5.8,10.7,15.4,0,Астрахань
301854,1900-09-22,5.7,11.8,18.5,0,Астрахань
301855,1900-09-23,6.7,12.7,20,0.2,Астрахань
301856,1900-09-24,6.7,13.5,20.6,0,Астрахань
301857,1900-09-25,11,17.3,20,0,Астрахань
301858,1900-09-26,10.4,15.9,22.8,0,Астрахань
301859,1900-09-27,10.2,16.3,23.8,0,Астрахань
301860,1900-09-28,11.7,17.1,24.2,0,Астрахань
301861,1900-09-29,10.7,16.7,24,0,Астрахань
301862,1900-09-30,9.2,16,24.8,0,Астрахань
304592,1900-10-01,8.2,16.6,26,0.1,Астрахань
304593,1900-10-02,8.7,16.2,25.8,0.1,Астрахань
304594,1900-10-03,9.2,16.8,25.8,0,Астрахань
304595,1900-10-04,9,16.7,24.8,0,Астрахань
304596,1900-10-05,11.5,17.8,25.2,0,Астрахань
304597,1900-10-06,12.5,17.5,24.5,0,Астрахань
304598,1900-10-07,11.9,17.9,25.6,0.1,Астрахань
304599,1900-10-08,10.8,17.1,24,0,Астрахань
304600,1900-10-09,9.8,11.6,16.8,0,Астрахань
304601,1900-10-10,6,12.1,15.8,0.2,Астрахань
304602,1900-10-11,11.9,17.3,22.8,0,Астрахань
304603,1900-10-12,11.2,16.2,23.8,0,Астрахань
304604,1900-10-13,9.6,14.3,22.2,0,Астрахань
304605,1900-10-14,7.4,14.3,22.5,0,Астрахань
304606,1900-10-15,8.2,14.8,24.2,0,Астрахань
304607,1900-10-16,9.5,16,22.6,0,Астрахань
304608,1900-10-17,12.2,15,18.5,0,Астрахань
304609,1900-10-18,7.2,12.8,21,1.2,Астрахань
