,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
312930,1936-01-01,-14.6,-12.3,-10.4,0,Атбасар
312931,1936-01-02,-14.7,-12.9,-10.7,0.2,Атбасар
312932,1936-01-03,-18.2,-15.2,-11.5,0,Атбасар
312933,1936-01-04,-22.2,-16.3,-11.3,0,Атбасар
312934,1936-01-05,-12.3,-11.4,-11,0.9,Атбасар
312935,1936-01-06,-20.6,-16,-11,0,Атбасар
312936,1936-01-07,-24.2,-18.4,-14.9,0,Атбасар
312937,1936-01-08,-25.8,-21.2,-15.6,0,Атбасар
312938,1936-01-09,-28.3,-24.7,-21.3,0,Атбасар
312939,1936-01-10,-24.1,-19.3,-12.6,0,Атбасар
312940,1936-01-11,-21.6,-16.2,-12.5,0,Атбасар
312941,1936-01-12,-21.3,-19.2,-15.5,0,Атбасар
312942,1936-01-13,-23.8,-22,-16.6,0,Атбасар
312943,1936-01-14,-27.4,-22.8,-15.5,0,Атбасар
312944,1936-01-15,-25.2,-18.3,-12,0,Атбасар
312945,1936-01-16,-22.6,-13.6,-9.6,3.3,Атбасар
312946,1936-01-17,-23.8,-16.9,-12.6,0.3,Атбасар
312947,1936-01-18,-15.2,-12.8,-10.5,2.1,Атбасар
312948,1936-01-19,-23.1,-20.2,-15,2.3,Атбасар
312949,1936-01-20,-29.5,-26.1,-20.6,0.6,Атбасар
312950,1936-01-21,-36.7,-32.6,-28.4,0,Атбасар
312951,1936-01-22,-34.7,-21.8,-17.1,0,Атбасар
312952,1936-01-23,-23.1,-19.4,-15.2,0,Атбасар
312953,1936-01-24,-17,-15,-13.5,0,Атбасар
312954,1936-01-25,-19.5,-15.6,-11,0,Атбасар
312955,1936-01-26,-21.6,-15.6,-9,0,Атбасар
312956,1936-01-27,-18.7,-14.7,-10.3,0,Атбасар
312957,1936-01-28,-21,-15.9,-10.3,1.9,Атбасар
312958,1936-01-29,-25.6,-20.6,-17,0.1,Атбасар
312959,1936-01-30,-28.7,-16.3,-9,2.2,Атбасар
312960,1936-01-31,-9.7,-4,0.1,3.4,Атбасар
314726,1936-02-01,-20.3,-8.9,1.7,0.8,Атбасар
314727,1936-02-02,-29.3,-24,-20.3,0.6,Атбасар
314728,1936-02-03,-34.6,-27.7,-23,0,Атбасар
314729,1936-02-04,-34,-27,-22,0,Атбасар
314730,1936-02-05,-30.6,-25.4,-16.2,0,Атбасар
314731,1936-02-06,-26.4,-18,-9.7,0,Атбасар
314732,1936-02-07,-15.7,-12.1,-4.1,0,Атбасар
314733,1936-02-08,-18.7,-10.8,-6,0,Атбасар
314734,1936-02-09,-8.4,-5.4,-3.6,1.6,Атбасар
314735,1936-02-10,-29.3,-20.8,-8.4,0,Атбасар
314736,1936-02-11,-21.3,-7.9,0.1,0.5,Атбасар
314737,1936-02-12,-6.4,-2.7,-0.9,0,Атбасар
314738,1936-02-13,-6.2,-3.3,-1,1.4,Атбасар
314739,1936-02-14,-7.2,-3.9,0.2,0,Атбасар
314740,1936-02-15,-3,0.5,2.2,0,Атбасар
314741,1936-02-16,-7.5,-2.4,3,0,Атбасар
314742,1936-02-17,-6.2,-2.6,-0.2,0,Атбасар
314743,1936-02-18,-13.2,-8.4,-2.3,0,Атбасар
314744,1936-02-19,-20.4,-14.8,-7.1,0,Атбасар
314745,1936-02-20,-22.4,-18.6,-14,0,Атбасар
314746,1936-02-21,-24,-19,-11.7,0,Атбасар
314747,1936-02-22,-22.6,-18.4,-11.1,0,Атбасар
314748,1936-02-23,-26.9,-21.2,-13.5,0,Атбасар
314749,1936-02-24,-28.2,-23.4,-16.3,0,Атбасар
314750,1936-02-25,-31.6,-24.2,-17.7,0,Атбасар
314751,1936-02-26,-26.2,-19.7,-13,0,Атбасар
314752,1936-02-27,-16.5,-14.8,-9.3,0,Атбасар
314753,1936-02-28,-25.1,-18.4,-10.3,0,Атбасар
314754,1936-02-29,-28.6,-22.1,-12.3,0,Атбасар
316393,1936-03-01,-25.2,-17.5,-8.1,0,Атбасар
316394,1936-03-02,-29,-21.3,-14.2,0,Атбасар
316395,1936-03-03,-23.2,-15.5,-7.9,0,Атбасар
316396,1936-03-04,-11.3,-8,-3.5,0,Атбасар
316397,1936-03-05,-7.8,-6.6,-3.6,0,Атбасар
316398,1936-03-06,-17.1,-8,-4.2,0,Атбасар
316399,1936-03-07,-11.3,-8,-3.5,0,Атбасар
316400,1936-03-08,-16.2,-8.6,-5,0,Атбасар
316401,1936-03-09,-26.5,-19,-9.8,0,Атбасар
316402,1936-03-10,-17.2,-11.2,-4.2,0.2,Атбасар
316403,1936-03-11,-15.2,-9.6,-6.4,0,Атбасар
316404,1936-03-12,-15.3,-11.4,-4,0,Атбасар
316405,1936-03-13,-23.4,-14,-3.5,0,Атбасар
316406,1936-03-14,-25,-14.9,-4,0,Атбасар
316407,1936-03-15,-22.7,-13.8,-3.6,0,Атбасар
316408,1936-03-16,-18.2,-14.6,-7.5,0,Атбасар
316409,1936-03-17,-22.6,-15.8,-9,0.4,Атбасар
316410,1936-03-18,-25.2,-16.6,-7,0,Атбасар
316411,1936-03-19,-22.3,-14.9,-5.5,0,Атбасар
316412,1936-03-20,-16.2,-9.9,-3,0,Атбасар
316413,1936-03-21,-15.1,-6.5,-1,0,Атбасар
316414,1936-03-22,-7,-2.9,1.4,6.7,Атбасар
316415,1936-03-23,-10.9,-9.3,-7,0,Атбасар
316416,1936-03-24,-12.8,-7.8,-3,0.8,Атбасар
316417,1936-03-25,-7.1,-4.3,-1,2.6,Атбасар
316418,1936-03-26,-11,-6.3,-1.5,3.5,Атбасар
316419,1936-03-27,-26,-17.6,-11,0,Атбасар
316420,1936-03-28,-30.5,-21,-13,0,Атбасар
316421,1936-03-29,-29.5,-19.6,-11.4,0,Атбасар
316422,1936-03-30,-16.4,-7.6,1,0.5,Атбасар
316423,1936-03-31,-10.3,-6.3,1.3,0.9,Атбасар
318252,1936-04-01,-18.5,-14,-10,1.1,Атбасар
318253,1936-04-02,-20.4,-14.1,-5.5,0,Атбасар
318254,1936-04-03,-19.4,-9.2,-1.5,0,Атбасар
318255,1936-04-04,-11,-7.2,-2.5,0,Атбасар
318256,1936-04-05,-10.6,-5.7,-0.7,0,Атбасар
318257,1936-04-06,-14.8,-6.8,1.9,0,Атбасар
