,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
342491,1937-06-01,22.2,30.5,37.8,0,Ашгабад (Ашхабад)
342492,1937-06-02,20.1,27.8,33.9,0,Ашгабад (Ашхабад)
342493,1937-06-03,19.7,29,36.2,0,Ашгабад (Ашхабад)
342494,1937-06-04,19.6,26,32.5,0,Ашгабад (Ашхабад)
342495,1937-06-05,18.1,24.5,30.2,0,Ашгабад (Ашхабад)
342496,1937-06-06,18.5,25.6,31.1,0,Ашгабад (Ашхабад)
342497,1937-06-07,19.2,28.4,35.4,0,Ашгабад (Ашхабад)
342498,1937-06-08,19.8,30.8,37.3,0,Ашгабад (Ашхабад)
342499,1937-06-09,19.8,27.7,33.6,0,Ашгабад (Ашхабад)
342500,1937-06-10,20.5,28.1,34.6,0,Ашгабад (Ашхабад)
342501,1937-06-11,22.4,28,34.5,0,Ашгабад (Ашхабад)
342502,1937-06-12,23.4,30,36.7,0,Ашгабад (Ашхабад)
342503,1937-06-13,22.7,31.5,39.9,0,Ашгабад (Ашхабад)
342504,1937-06-14,22.5,29.9,36.6,0,Ашгабад (Ашхабад)
342505,1937-06-15,22.2,28.2,33.7,0,Ашгабад (Ашхабад)
342506,1937-06-16,22.3,31.2,38.7,0,Ашгабад (Ашхабад)
342507,1937-06-17,23.3,27.6,35.6,0,Ашгабад (Ашхабад)
342508,1937-06-18,21,26.2,30.1,0,Ашгабад (Ашхабад)
342509,1937-06-19,19.4,24.1,28.8,0,Ашгабад (Ашхабад)
342510,1937-06-20,18.9,23,26.9,0.1,Ашгабад (Ашхабад)
342511,1937-06-21,18.6,23.6,28.9,0,Ашгабад (Ашхабад)
342512,1937-06-22,17.3,25.4,31.1,0,Ашгабад (Ашхабад)
342513,1937-06-23,18.8,27.5,34.5,0,Ашгабад (Ашхабад)
342514,1937-06-24,20.3,29.7,37.2,0,Ашгабад (Ашхабад)
342515,1937-06-25,21.6,28.8,33.6,0,Ашгабад (Ашхабад)
342516,1937-06-26,23.4,29.1,34.8,0,Ашгабад (Ашхабад)
342517,1937-06-27,21,30.4,36,0,Ашгабад (Ашхабад)
342518,1937-06-28,22.2,30.8,36.6,0,Ашгабад (Ашхабад)
342519,1937-06-29,22.4,30.8,36.8,0,Ашгабад (Ашхабад)
342520,1937-06-30,19.8,30.8,36.9,0,Ашгабад (Ашхабад)
344081,1937-07-01,21.4,29.9,35.8,0,Ашгабад (Ашхабад)
344082,1937-07-02,21.3,29.9,36.4,0,Ашгабад (Ашхабад)
344083,1937-07-03,23,31.3,37.8,0,Ашгабад (Ашхабад)
344084,1937-07-04,21,33.4,39.4,0,Ашгабад (Ашхабад)
344085,1937-07-05,28.4,34,38.5,0,Ашгабад (Ашхабад)
344086,1937-07-06,26.8,33.1,38.6,0,Ашгабад (Ашхабад)
344087,1937-07-07,24.8,33.7,39.6,0,Ашгабад (Ашхабад)
344088,1937-07-08,26.4,34.4,39.8,0,Ашгабад (Ашхабад)
344089,1937-07-09,25.3,32,36.9,0,Ашгабад (Ашхабад)
344090,1937-07-10,25.7,32.1,38.1,0,Ашгабад (Ашхабад)
344091,1937-07-11,23.4,31,37.7,0.5,Ашгабад (Ашхабад)
344092,1937-07-12,22.7,34.9,43.1,0,Ашгабад (Ашхабад)
344093,1937-07-13,28.2,35.6,43.8,0,Ашгабад (Ашхабад)
344094,1937-07-14,27.2,36.4,42.7,0,Ашгабад (Ашхабад)
344095,1937-07-15,30.1,36.4,43.1,0,Ашгабад (Ашхабад)
344096,1937-07-16,23.8,35.2,42.3,0,Ашгабад (Ашхабад)
344097,1937-07-17,25.8,36.1,43.5,0,Ашгабад (Ашхабад)
344098,1937-07-18,30.2,37.8,45.3,0,Ашгабад (Ашхабад)
344099,1937-07-19,28.1,34.1,39.7,0,Ашгабад (Ашхабад)
344100,1937-07-20,25.9,32.8,37.6,0,Ашгабад (Ашхабад)
344101,1937-07-21,27.9,32.8,38.3,0,Ашгабад (Ашхабад)
344102,1937-07-22,24.6,31.7,36.8,0,Ашгабад (Ашхабад)
344103,1937-07-23,21.5,29.8,36.2,0,Ашгабад (Ашхабад)
344104,1937-07-24,21.3,30.8,38,0,Ашгабад (Ашхабад)
