,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
378455,1936-02-01,-42.4,-37.3,-27.8,0,Байкит
378456,1936-02-02,-45.3,-38.5,-31,0,Байкит
378457,1936-02-03,-37.5,-30.2,-26.3,1.1,Байкит
378458,1936-02-04,-38,-34.5,-32.2,0.6,Байкит
378459,1936-02-05,-33.3,-27.8,-22.4,2,Байкит
378460,1936-02-06,-26.9,-21.8,-11.9,2,Байкит
378461,1936-02-07,-32.7,-25.8,-19.3,0.9,Байкит
378462,1936-02-08,-33.2,-26.4,-21.2,1.7,Байкит
378463,1936-02-09,-22,-16.8,-12.3,2,Байкит
378464,1936-02-10,-21.9,-15.7,-10.5,0.6,Байкит
378465,1936-02-11,-25.1,-14.4,-4.1,1.8,Байкит
378466,1936-02-12,-35.1,-26,-18.2,0,Байкит
378467,1936-02-13,-24.4,-18.8,-12.7,0,Байкит
378468,1936-02-14,-12.9,-10.3,-6.8,1.5,Байкит
378469,1936-02-15,-28.1,-19.2,-11.3,0,Байкит
378470,1936-02-16,-36.4,-29.7,-17.3,0,Байкит
378471,1936-02-17,-34.6,-27.7,-20,0.2,Байкит
378472,1936-02-18,-29.5,-22.9,-14.6,0,Байкит
378473,1936-02-19,-30.5,-23.3,-13.4,0.5,Байкит
378474,1936-02-20,-35.6,-28.6,-21.1,0.1,Байкит
378475,1936-02-21,-36.1,-25.8,-16,0.2,Байкит
378476,1936-02-22,-30.4,-24.9,-18.1,0.9,Байкит
378477,1936-02-23,-39.9,-31.9,-18.2,0,Байкит
378478,1936-02-24,-43.8,-34.9,-26,0,Байкит
378479,1936-02-25,-26.1,-20.2,-12.7,0.4,Байкит
378480,1936-02-26,-30.5,-23.5,-10.7,0,Байкит
378481,1936-02-27,-35.9,-27.8,-12.1,0,Байкит
378482,1936-02-28,-39.8,-30.5,-14.2,0,Байкит
378483,1936-02-29,-35.5,-27.4,-12.3,0,Байкит
380150,1936-03-01,-35.3,-26.1,-9.1,0,Байкит
380151,1936-03-02,-32,-22.6,-6.1,0,Байкит
380152,1936-03-03,-33.2,-22.5,-6.1,0,Байкит
380153,1936-03-04,-31.7,-23.7,-7.1,0,Байкит
380154,1936-03-05,-36.7,-26.8,-10.5,0,Байкит
380155,1936-03-06,-36.3,-24.2,-11,0.2,Байкит
380156,1936-03-07,-26,-17.7,-8.2,1.1,Байкит
380157,1936-03-08,-25,-16.8,-7.6,2.4,Байкит
380158,1936-03-09,-19.2,-16.4,-6.7,0.5,Байкит
380159,1936-03-10,-26,-22.2,-16.3,0,Байкит
380160,1936-03-11,-40.6,-29.6,-14.1,0,Байкит
380161,1936-03-12,-40.7,-29.8,-15.3,0,Байкит
380162,1936-03-13,-37,-26,-13.7,0,Байкит
380163,1936-03-14,-33.5,-22.6,-14.3,0,Байкит
380164,1936-03-15,-40.2,-27.5,-11,0,Байкит
380165,1936-03-16,-38.9,-25.5,-8,0,Байкит
380166,1936-03-17,-37.3,-23.3,-6.2,0,Байкит
