,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
397980,1902-01-01,2.2,5.6,11.4,0,Байрам-Али
397981,1902-01-02,-3.2,4.3,14.3,0,Байрам-Али
397982,1902-01-03,-5.3,3.2,12.8,0,Байрам-Али
397983,1902-01-04,-2.3,7.7,19,0,Байрам-Али
397984,1902-01-05,4.7,11.5,21.5,0,Байрам-Али
397985,1902-01-06,3.7,6.7,11,0,Байрам-Али
397986,1902-01-07,1.8,6.1,14.5,0,Байрам-Али
397987,1902-01-08,0.2,10,20.5,0,Байрам-Али
397988,1902-01-10,1.8,11.4,23,0,Байрам-Али
397989,1902-01-11,6.7,7,12.8,0,Байрам-Али
397990,1902-01-12,4.7,6.2,8.2,4.3,Байрам-Али
397991,1902-01-13,4.6,5.8,8,0,Байрам-Али
397992,1902-01-14,0.2,3.8,7.6,0,Байрам-Али
397993,1902-01-15,-0.3,4.6,12.3,0,Байрам-Али
397994,1902-01-16,-4,5,15,0,Байрам-Али
397995,1902-01-17,3.7,14.1,20,0,Байрам-Али
397996,1902-01-18,12.2,15.1,21.6,0.2,Байрам-Али
397997,1902-01-19,11.9,16.9,27,7.8,Байрам-Али
397998,1902-01-20,3,4.9,12,23.6,Байрам-Али
397999,1902-01-21,0.4,2.3,4,0,Байрам-Али
398000,1902-01-22,-0.8,4.2,9.6,0,Байрам-Али
398001,1902-01-23,-0.3,5.6,14.2,0,Байрам-Али
398002,1902-01-24,-1.5,5,14.8,0,Байрам-Али
398003,1902-01-25,-2.8,-0.6,11.2,0.6,Байрам-Али
398004,1902-01-26,-5.8,-3.8,0,0,Байрам-Али
398005,1902-01-27,-8.1,-3.9,1,0,Байрам-Али
398006,1902-01-28,-6.3,-3.8,1.7,0,Байрам-Али
398007,1902-01-29,-10,-5.2,1,0,Байрам-Али
398008,1902-01-30,-7.8,-3.7,1.4,0,Байрам-Али
398009,1902-01-31,-11,-6,0.6,0,Байрам-Али
400405,1902-02-03,-10.3,-3,5.3,0,Байрам-Али
400406,1902-02-04,-7.3,1.6,6.2,0,Байрам-Али
400407,1902-02-05,-5.8,-0.5,7.5,0,Байрам-Али
400408,1902-02-06,-6.1,2.6,14.5,0,Байрам-Али
400409,1902-02-07,-1.8,7.4,18.5,0,Байрам-Али
400410,1902-02-08,-2,1.6,6.6,0,Байрам-Али
400411,1902-02-09,-4.2,2.5,9,0,Байрам-Али
400412,1902-02-10,-1.6,5.8,14.5,0,Байрам-Али
400413,1902-02-11,-0.5,6.9,17.4,0,Байрам-Али
400414,1902-02-12,-1.3,8.2,17.7,0,Байрам-Али
400415,1902-02-13,1.7,9.9,19.5,0,Байрам-Али
400416,1902-02-14,4.2,9.7,17.2,0,Байрам-Али
400417,1902-02-15,1.6,10.1,18.7,0,Байрам-Али
400418,1902-02-16,6.2,10.6,16,15,Байрам-Али
400419,1902-02-17,5.9,8.9,13.7,0,Байрам-Али
400420,1902-02-18,2.4,4.9,8.5,0,Байрам-Али
400421,1902-02-19,0.7,7.5,14.5,0,Байрам-Али
400422,1902-02-20,1.4,11.8,18.8,0,Байрам-Али
400423,1902-02-21,9,15.6,23,0,Байрам-Али
400424,1902-02-22,0.6,3.2,6.5,0,Байрам-Али
400425,1902-02-23,-0.8,-0.2,2.5,6.5,Байрам-Али
400426,1902-02-24,-3,-1.7,1,0,Байрам-Али
400427,1902-02-25,-2.8,0.1,3.8,0,Байрам-Али
400428,1902-02-26,0.2,3.7,7.6,0,Байрам-Али
400429,1902-02-27,0.1,4.4,11,0,Байрам-Али
400430,1902-02-28,0.2,5.6,11.7,0,Байрам-Али
402587,1902-03-01,-2.8,3,9.5,0,Байрам-Али
402588,1902-03-02,-3.8,5.9,14,0,Байрам-Али
402589,1902-03-03,4.7,11.1,17.7,0,Байрам-Али
402590,1902-03-04,5.8,8.6,12.3,5.5,Байрам-Али
402591,1902-03-05,5.7,8.5,12.5,0,Байрам-Али
402592,1902-03-06,2.5,10.6,18,0,Байрам-Али
402593,1902-03-07,7,15.8,25.6,0,Байрам-Али
402594,1902-03-08,7.2,14.5,28.6,0,Байрам-Али
402595,1902-03-09,4,5.1,8,3.8,Байрам-Али
402596,1902-03-10,2.2,11.7,19,0,Байрам-Али
402597,1902-03-11,11,21.1,30.6,0,Байрам-Али
402598,1902-03-12,14.2,19.5,28.2,0,Байрам-Али
402599,1902-03-13,13,20.5,30.5,3,Байрам-Али
402600,1902-03-14,10.2,18.7,27.3,0,Байрам-Али
402601,1902-03-15,9.7,13.5,19.8,0,Байрам-Али
402602,1902-03-16,0.2,1.8,10,4,Байрам-Али
402603,1902-03-17,-2.3,-1.5,1.9,3.8,Байрам-Али
402604,1902-03-18,-6.1,-0.3,4.3,0,Байрам-Али
402605,1902-03-19,-3.8,1.7,10,0,Байрам-Али
402606,1902-03-20,-1.8,9.5,22,0,Байрам-Али
402607,1902-03-21,4.6,7.3,11.5,3.8,Байрам-Али
402608,1902-03-22,0.3,4.7,11.2,0,Байрам-Али
402609,1902-03-23,0.2,9.5,15.6,0,Байрам-Али
402610,1902-03-24,6.7,10,12.9,0,Байрам-Али
402611,1902-03-26,5.2,5.4,14.6,5,Байрам-Али
402612,1902-03-27,0.2,10.5,18.7,0,Байрам-Али
402613,1902-03-28,7.2,15.4,25,0,Байрам-Али
402614,1902-03-29,6.2,17.4,27,0,Байрам-Али
402615,1902-03-30,8.2,20.3,30,0,Байрам-Али
402616,1902-03-31,11.2,19.2,31.7,0,Байрам-Али
405031,1902-04-01,10.1,22.1,31.5,0,Байрам-Али
405032,1902-04-02,14.3,23.7,34.5,0,Байрам-Али
405033,1902-04-03,12.6,25.3,36.2,0,Байрам-Али
405034,1902-04-04,15.9,21.4,28,0.6,Байрам-Али
