,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
430073,1936-03-01,-20.3,-15.1,-8.4,0,Балхаш
430074,1936-03-02,-20,-16.5,-12.1,0,Балхаш
430075,1936-03-03,-23.5,-18.9,-15.6,0,Балхаш
430076,1936-03-04,-22.4,-17.2,-12.8,0,Балхаш
430077,1936-03-05,-19,-14.8,-11,0,Балхаш
430078,1936-03-06,-20.5,-15.8,-9.8,0,Балхаш
430079,1936-03-07,-19.8,-13.3,-6.4,0,Балхаш
430080,1936-03-08,-17.8,-11,-3.1,0,Балхаш
430081,1936-03-09,-19.8,-14.1,-5.2,0,Балхаш
430082,1936-03-10,-26.5,-20,-12.2,0,Балхаш
430083,1936-03-11,-21.2,-15.2,-9.8,0,Балхаш
430084,1936-03-12,-21.8,-16.2,-9.2,0,Балхаш
430085,1936-03-13,-19,-13.6,-7.5,0,Балхаш
430086,1936-03-14,-18.2,-11.6,-5,0,Балхаш
430087,1936-03-15,-10.9,-6.4,-2.2,0,Балхаш
430088,1936-03-16,-4.1,-1.4,0.5,0,Балхаш
430089,1936-03-17,-14.1,-10.2,-0.8,0,Балхаш
430090,1936-03-18,-19.8,-14.3,-9.8,0,Балхаш
430091,1936-03-19,-22.2,-16.6,-12,0,Балхаш
430092,1936-03-20,-18.2,-11.2,-4.5,0.1,Балхаш
430093,1936-03-21,-6.2,-1.4,0.8,0.8,Балхаш
430094,1936-03-22,-1.3,-0.4,0.2,0,Балхаш
430095,1936-03-23,-3.8,-1.5,2,0,Балхаш
430096,1936-03-24,-7.1,-6.4,-3.8,0.2,Балхаш
430097,1936-03-25,-10.5,-7.2,-5,0.2,Балхаш
430098,1936-03-26,-14.1,-9.2,-4.1,0,Балхаш
430099,1936-03-27,-11.4,-5.9,2.7,0,Балхаш
430100,1936-03-28,-11,-7.2,-2,0,Балхаш
430101,1936-03-29,-15,-10.6,-6.5,0,Балхаш
430102,1936-03-30,-13.6,-5.9,2.2,0,Балхаш
430103,1936-03-31,-1.2,0.5,3,2.3,Балхаш
431809,1936-04-01,-5.7,-3.6,0.4,0,Балхаш
431810,1936-04-02,-13.2,-9.3,-4.1,0,Балхаш
431811,1936-04-03,-9.3,-6.2,-0.4,0,Балхаш
431812,1936-04-04,-12.5,-6.6,-1.1,0,Балхаш
431813,1936-04-05,-7.5,-2.8,2.5,0,Балхаш
