,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
449180,1910-02-19,-19,-16.8,-8.5,0,Барабинск
453122,1925-04-02,-24.8,-14.5,-7,0,Барабинск
453123,1925-04-03,-20.8,-13.3,-5.5,0,Барабинск
453124,1925-04-04,-19.4,-9.5,-1.5,0,Барабинск
453125,1925-04-05,-17.6,-8.1,-0.5,0,Барабинск
453126,1925-04-06,-14.3,-5.9,0.2,0,Барабинск
453127,1925-04-07,-10,-2.5,3.3,0,Барабинск
453128,1925-04-08,-6.8,-1.8,1,0,Барабинск
453129,1925-04-09,-4.3,-0.8,2.5,0,Барабинск
453130,1925-04-10,-7.5,-2.3,2,0,Барабинск
453131,1925-04-11,-5.3,-2.7,1,0.4,Барабинск
453132,1925-04-12,-11.6,-5.6,1,0,Барабинск
453133,1925-04-13,-14,-8.9,-5,0,Барабинск
453134,1925-04-14,-13.4,-7.8,-2.6,0,Барабинск
453135,1925-04-15,-16,-9.5,-3.6,0.8,Барабинск
453136,1925-04-16,-16.6,-12.8,-7.4,0.4,Барабинск
453137,1925-04-17,-15.4,-3.4,1.5,0,Барабинск
453138,1925-04-18,-6.1,-1.7,4,0,Барабинск
453139,1925-04-19,-8.8,-1.6,4.3,0,Барабинск
453140,1925-04-20,-2.8,1.4,5,0,Барабинск
453141,1925-04-21,-2.3,2.3,7.5,0.8,Барабинск
453142,1925-04-22,-0.6,5.8,10.6,0,Барабинск
453143,1925-04-23,1.2,5.1,10.2,0.2,Барабинск
453144,1925-04-24,2.4,9.5,16.5,0.7,Барабинск
453145,1925-04-25,-0.8,3.9,8,0,Барабинск
453146,1925-04-26,-8.8,-5.5,0,0,Барабинск
453147,1925-04-27,-8.6,0.4,4.5,5.1,Барабинск
453148,1925-04-28,3.8,6.8,10.6,1.6,Барабинск
453149,1925-04-29,2.7,7.9,13,0,Барабинск
453150,1925-04-30,-1.6,0.9,9,0.5,Барабинск
455158,1925-05-01,-5.4,-3.7,0,0,Барабинск
455159,1925-05-02,-5.9,-3.5,0.5,1.6,Барабинск
455160,1925-05-03,-3.6,-1,1,0.1,Барабинск
455161,1925-05-04,-3.3,2.1,5,1.6,Барабинск
455162,1925-05-05,1.5,7.1,14.6,0.2,Барабинск
455163,1925-05-06,-1.3,3.8,8,0,Барабинск
455164,1925-05-07,1.2,8.3,14,2.6,Барабинск
455165,1925-05-08,-0.2,3.3,7.6,0,Барабинск
455166,1925-05-09,-3.6,0.5,3.8,0,Барабинск
455167,1925-05-10,-4.3,-0.3,2.6,0,Барабинск
455168,1925-05-11,-2.4,-0.1,3.5,0.3,Барабинск
455169,1925-05-12,-1.4,2.7,6.5,0.1,Барабинск
455170,1925-05-13,-3.3,5.7,10.5,0,Барабинск
455171,1925-05-14,1,6.9,11.5,0,Барабинск
455172,1925-05-15,3.2,7.7,11,1.9,Барабинск
455173,1925-05-16,3.4,7.6,14.8,3.8,Барабинск
455174,1925-05-17,2.7,8.3,13.2,0,Барабинск
455175,1925-05-18,5.6,8.5,11,2.4,Барабинск
455176,1925-05-19,4.2,15.7,26,5.7,Барабинск
455177,1925-05-20,0.3,5.7,11.4,0,Барабинск
455178,1925-05-21,1.6,12.1,17.5,0,Барабинск
455179,1925-05-22,7.3,11.4,16.2,0,Барабинск
455180,1925-05-23,3.6,14.9,22,0,Барабинск
455181,1925-05-24,9,18.2,27,0,Барабинск
455182,1925-05-25,9.4,21.5,30.6,0,Барабинск
455183,1925-05-26,8.4,19.9,33,0,Барабинск
455184,1925-05-27,3.8,6.4,10.2,0,Барабинск
455185,1925-05-28,-0.8,10.2,17,0,Барабинск
455186,1925-05-29,9.8,13.3,19.5,2.9,Барабинск
455187,1925-05-30,5.4,8.3,15,0.6,Барабинск
455188,1925-05-31,1.7,4.1,7.6,1.6,Барабинск
457262,1925-06-01,-1.4,4.2,9.5,0,Барабинск
457263,1925-06-02,-0.8,5.4,9.2,1.4,Барабинск
457264,1925-06-03,-3.3,4.5,11,0,Барабинск
457265,1925-06-04,-0.3,9.5,15.6,4.4,Барабинск
457266,1925-06-05,5.2,7.1,14,0,Барабинск
457267,1925-06-06,0.2,12.6,18.2,0,Барабинск
457268,1925-06-07,14,19.6,26.5,3,Барабинск
457269,1925-06-08,9.4,16.4,26,0.2,Барабинск
457270,1925-06-09,6.5,10.8,15.5,0,Барабинск
457271,1925-06-10,3.2,11.8,16.6,0,Барабинск
457272,1925-06-11,4.9,15.5,21.5,0,Барабинск
457273,1925-06-12,13.7,20.6,28.2,0,Барабинск
457274,1925-06-13,12.8,23.2,29,1.5,Барабинск
457275,1925-06-14,16,18.6,23.3,0,Барабинск
457276,1925-06-15,10,16.5,22.2,0,Барабинск
457277,1925-06-16,7.1,17.2,23.5,0,Барабинск
457278,1925-06-17,9.5,17.2,23.1,0.4,Барабинск
457279,1925-06-18,11.5,19,25.2,0,Барабинск
457280,1925-06-19,12.2,22.9,27.6,0,Барабинск
457281,1925-06-20,12.4,22.5,28,0,Барабинск
457282,1925-06-21,15.3,24.4,30.6,0,Барабинск
457283,1925-06-22,14.8,24.8,30.6,0,Барабинск
457284,1925-06-23,13,23.5,29,0,Барабинск
457285,1925-06-24,16,24.5,30.8,0.2,Барабинск
457286,1925-06-25,11.4,18.5,25,6.5,Барабинск
457287,1925-06-26,5.9,10.1,16.4,1.2,Барабинск
457288,1925-06-27,5.9,14.2,18.8,0,Барабинск
457289,1925-06-28,5.1,16.3,21.5,0,Барабинск
457290,1925-06-29,11.5,18.8,24.6,4.6,Барабинск
457291,1925-06-30,13.8,22.5,28.8,17.4,Барабинск
459347,1925-07-01,17.2,20.5,25.4,4.6,Барабинск
459348,1925-07-02,15.4,17.6,20.5,0,Барабинск
459349,1925-07-03,9.8,15.1,19.8,0,Барабинск
459350,1925-07-04,8.5,14.1,18.2,0,Барабинск
459351,1925-07-05,8.5,12.7,16.2,0,Барабинск
459352,1925-07-06,6.5,15.7,20.5,0,Барабинск
459353,1925-07-07,10.4,14.3,18.6,3.6,Барабинск
459354,1925-07-08,8.8,12.8,17.6,1.3,Барабинск
459355,1925-07-09,7.6,13.8,18.8,8.6,Барабинск
459356,1925-07-10,9.2,10.8,13.7,4.6,Барабинск
459357,1925-07-11,8.3,11.1,17.8,0.7,Барабинск
459358,1925-07-12,7.3,13.8,18.6,3.6,Барабинск
459359,1925-07-13,9,13.3,19,5.4,Барабинск
459360,1925-07-14,12.6,16.5,23,0.2,Барабинск
459361,1925-07-15,8.4,15.4,20,2.4,Барабинск
459362,1925-07-16,11,17.4,22.8,0.8,Барабинск
459363,1925-07-17,11.4,19.7,25.2,1.9,Барабинск
459364,1925-07-18,14.8,19.6,25,0,Барабинск
459365,1925-07-19,14.8,23,27.5,0,Барабинск
459366,1925-07-20,15,16.9,24,8.2,Барабинск
459367,1925-07-21,14.4,17.9,22,0,Барабинск
459368,1925-07-22,12.4,17.7,23.4,0,Барабинск
459369,1925-07-23,11,18.7,24.8,3.4,Барабинск
459370,1925-07-24,10.2,18.8,24.4,0,Барабинск
459371,1925-07-25,11.4,20,26,3.1,Барабинск
459372,1925-07-26,11.8,18,23.2,0.2,Барабинск
459373,1925-07-27,11,17.3,23,0,Барабинск
459374,1925-07-28,8,11.2,16.5,0,Барабинск
459375,1925-07-29,3,15,22,0,Барабинск
459376,1925-07-30,11.3,20.9,27.3,0,Барабинск
459377,1925-07-31,12.5,21.3,28.5,0.1,Барабинск
461427,1925-08-01,12.5,20.2,27,3.9,Барабинск
461428,1925-08-02,14.1,20.3,27.5,0,Барабинск
461429,1925-08-03,12.3,22.2,29.4,0,Барабинск
461430,1925-08-04,14,23.7,30.4,0,Барабинск
461431,1925-08-05,14.4,23.9,32.1,0,Барабинск
461432,1925-08-06,14.1,22.1,28.3,0,Барабинск
461433,1925-08-07,17.3,23.8,30.5,0,Барабинск
461434,1925-08-08,15,23.6,30.2,0,Барабинск
461435,1925-08-09,14,23.6,30.5,0,Барабинск
461436,1925-08-10,14.6,19,25.6,0,Барабинск
461437,1925-08-11,9.3,13.1,19.6,0,Барабинск
461438,1925-08-12,7,16.5,21.5,0,Барабинск
461439,1925-08-13,9.8,16.6,22.7,0.1,Барабинск
461440,1925-08-14,6.5,16.9,23,3.6,Барабинск
461441,1925-08-15,10,15.1,20.4,0,Барабинск
461442,1925-08-16,6.9,14.7,21.5,0,Барабинск
461443,1925-08-17,8.4,18.8,24.4,0,Барабинск
461444,1925-08-18,6.4,10,19.8,0.2,Барабинск
461445,1925-08-19,2.2,10.6,18,0,Барабинск
461446,1925-08-20,3,14.1,21.6,0,Барабинск
461447,1925-08-21,9.7,19.7,27.3,0,Барабинск
461448,1925-08-22,12,22.2,29.1,0,Барабинск
461449,1925-08-23,13.2,22,29.4,0,Барабинск
461450,1925-08-24,12.4,19.4,26.6,0,Барабинск
461451,1925-08-25,11.4,21.3,27.8,1,Барабинск
461452,1925-08-26,9,16.4,23.4,0,Барабинск
461453,1925-08-27,5.2,12.7,17.6,0,Барабинск
461454,1925-08-28,11,15.5,22,0,Барабинск
461455,1925-08-29,8.5,12,14.3,20.2,Барабинск
461456,1925-08-30,7.5,10.1,13,1.5,Барабинск
461457,1925-08-31,5,7.9,13.5,0,Барабинск
463504,1925-09-01,1,7.9,13.2,0,Барабинск
463505,1925-09-02,7,11.1,16.9,0,Барабинск
463506,1925-09-03,6.8,15.3,22.3,1,Барабинск
463507,1925-09-04,13.8,17.5,21.9,0,Барабинск
463508,1925-09-05,10.8,16.1,24.3,14.4,Барабинск
463509,1925-09-06,7,11.5,16,0.1,Барабинск
463510,1925-09-07,6.2,14,20.4,0,Барабинск
463511,1925-09-08,8.5,15.9,23.8,0,Барабинск
463512,1925-09-09,9.2,12.5,17.7,1,Барабинск
463513,1925-09-10,5.4,12.6,20.1,0,Барабинск
463514,1925-09-11,4.9,14.2,22.5,0,Барабинск
463515,1925-09-12,9,14.8,20.6,2.3,Барабинск
463516,1925-09-13,5.2,7.9,13.5,0,Барабинск
463517,1925-09-14,3,11.9,19,0,Барабинск
463518,1925-09-15,4.5,16.2,23.1,0,Барабинск
463519,1925-09-16,5.4,9.4,18.6,0,Барабинск
463520,1925-09-17,1.7,8.4,12.3,2.9,Барабинск
463521,1925-09-18,2.4,6.9,10.4,2.6,Барабинск
463522,1925-09-19,1.9,7.3,11.5,3.3,Барабинск
463523,1925-09-20,7.3,11.9,18,0,Барабинск
463524,1925-09-21,6.5,10.5,16.2,0,Барабинск
463525,1925-09-22,7.2,10.4,14.6,4.2,Барабинск
463526,1925-09-23,4.8,6,11.5,1.6,Барабинск
463527,1925-09-24,1.1,6.7,11.6,2.5,Барабинск
463528,1925-09-25,3.5,7.3,11.1,0.9,Барабинск
463529,1925-09-26,3.9,6.4,9.5,0.5,Барабинск
463530,1925-09-27,5.5,8.7,12,0.1,Барабинск
463531,1925-09-28,4.1,11.7,18.2,0,Барабинск
463532,1925-09-29,7.9,12.6,19,1,Барабинск
463533,1925-09-30,0.7,2.3,11,0,Барабинск
465514,1925-10-01,-1.2,2.1,6.5,0,Барабинск
465515,1925-10-02,-2.2,2.9,7.7,0,Барабинск
465516,1925-10-03,-2.3,1.4,5.2,0,Барабинск
465517,1925-10-04,-2.3,7.1,10.5,5.5,Барабинск
465518,1925-10-05,7.9,10.2,16,0.1,Барабинск
465519,1925-10-06,6.9,14.5,21,0,Барабинск
465520,1925-10-07,5.1,9.1,16.5,0,Барабинск
465521,1925-10-08,2.3,8,14.7,1.7,Барабинск
465522,1925-10-09,-2.9,5.5,9.6,1.6,Барабинск
465523,1925-10-10,0.1,4.3,9.4,4,Барабинск
465524,1925-10-11,-3.9,2,6.5,0,Барабинск
465525,1925-10-12,2.1,4.6,8,0,Барабинск
465526,1925-10-13,1.3,6.7,11,0,Барабинск
465527,1925-10-14,-3.2,1.7,10.6,0,Барабинск
465528,1925-10-15,-5.4,-1.7,4.6,0,Барабинск
465529,1925-10-16,0.6,5,9.6,0,Барабинск
465530,1925-10-17,-0.9,6.4,15,0,Барабинск
465531,1925-10-18,1.6,8,17,0,Барабинск
465532,1925-10-19,-1.6,7.5,18.3,0,Барабинск
465533,1925-10-20,-0.4,8.8,18.5,0,Барабинск
465534,1925-10-21,3.4,6.9,10,1.3,Барабинск
465535,1925-10-22,0.6,3.7,7.6,0,Барабинск
465536,1925-10-23,-1.4,1.6,4,10,Барабинск
465537,1925-10-24,-3.1,-1.3,3.5,0.3,Барабинск
465538,1925-10-25,-5.2,-2.8,0,0.1,Барабинск
465539,1925-10-26,-6.9,-3.7,0.6,0,Барабинск
465540,1925-10-27,-6.9,-2.9,-1,2.5,Барабинск
465541,1925-10-28,-3.9,1.4,3.4,0,Барабинск
465542,1925-10-29,-0.9,0.9,2,0.2,Барабинск
465543,1925-10-30,-0.1,1.7,2.8,1.2,Барабинск
465544,1925-10-31,0.3,1.8,3,0.2,Барабинск
467590,1925-11-01,-0.7,2.3,6,0,Барабинск
467591,1925-11-02,-1.3,4.4,7.6,0,Барабинск
467592,1925-11-03,-6.8,-3.5,6.6,0,Барабинск
467593,1925-11-04,-7.3,-3.1,-2,2.3,Барабинск
467594,1925-11-05,-7.3,-5.4,-3.5,0.3,Барабинск
467595,1925-11-06,-7.1,-4.6,-3.4,0,Барабинск
467596,1925-11-07,-7.2,-5.3,-3,0.2,Барабинск
467597,1925-11-08,-9.6,-4.9,-1.5,0,Барабинск
467598,1925-11-09,-12,-4.1,0.3,3.6,Барабинск
467599,1925-11-10,-0.8,1.5,3.2,7.7,Барабинск
467600,1925-11-11,-0.2,2.7,6,0,Барабинск
467601,1925-11-12,-7.2,-4.3,0,1.8,Барабинск
467602,1925-11-13,-4.2,1.5,4.5,8.3,Барабинск
467603,1925-11-14,-8.8,-7.5,-1,0.1,Барабинск
467604,1925-11-15,-12.3,-11.1,-8,0.7,Барабинск
467605,1925-11-16,-11.5,-6.7,-4.5,0.9,Барабинск
467606,1925-11-17,-7.3,-3.7,-0.5,1.1,Барабинск
467607,1925-11-18,-7.4,-3.7,-0.3,4.7,Барабинск
467608,1925-11-19,-25.6,-21.5,-7.4,0,Барабинск
467609,1925-11-20,-24.8,-10.7,-2.5,3.6,Барабинск
467610,1925-11-21,-10,-7.6,-4.8,0,Барабинск
467611,1925-11-22,-10.1,-1.5,1.1,7.6,Барабинск
467612,1925-11-23,-14.7,-4.8,1.1,3.3,Барабинск
467613,1925-11-24,-20.6,-14.5,-10,0.9,Барабинск
467614,1925-11-25,-17.8,-15.5,-10,0.6,Барабинск
467615,1925-11-26,-14.6,-7.6,-4,5.8,Барабинск
467616,1925-11-27,-6.2,-4.4,-2.6,3.7,Барабинск
467617,1925-11-28,-15.2,-12,-5,0,Барабинск
467618,1925-11-29,-11.5,-9.8,-7.5,0,Барабинск
467619,1925-11-30,-13.8,-9.4,-7.5,0,Барабинск
469628,1925-12-01,-10.4,-4.9,-0.8,0.4,Барабинск
469629,1925-12-02,-4.3,-1.7,-0.2,0.8,Барабинск
469630,1925-12-03,-17.9,-16.1,-1.4,0,Барабинск
469631,1925-12-04,-20.2,-17.4,-15.7,0,Барабинск
469632,1925-12-05,-17.2,-9.8,-8.4,2.2,Барабинск
