,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
478810,1928-05-01,-0.1,5.4,12.1,0,Баргузин
478811,1928-05-02,-0.1,9.3,18.1,0,Баргузин
478812,1928-05-03,-1.1,0.5,10,0.1,Баргузин
478813,1928-05-04,-1.6,0.3,3,0,Баргузин
478814,1928-05-05,-1.3,1.6,4.5,0,Баргузин
478815,1928-05-06,-4.2,3.7,9,0,Баргузин
478816,1928-05-07,-0.1,4.3,8.5,0,Баргузин
478817,1928-05-08,-1.7,8.5,13.1,1.1,Баргузин
478818,1928-05-09,5.3,7.9,13.2,0,Баргузин
478819,1928-05-10,1.9,6.4,9.3,0,Баргузин
478820,1928-05-11,-1.7,5.2,8.5,0,Баргузин
478821,1928-05-12,-2.1,5.6,9.5,1.7,Баргузин
478822,1928-05-13,2.1,5.7,9.6,4.8,Баргузин
478823,1928-05-14,-0.6,0.5,5.5,0,Баргузин
478824,1928-05-15,-2.4,0.4,4.6,0,Баргузин
478825,1928-05-16,-6.9,2.1,9,0,Баргузин
478826,1928-05-17,-5.4,8.5,14.3,0,Баргузин
478827,1928-05-18,4.9,6.7,10.6,0,Баргузин
478828,1928-05-19,2.9,8.9,14.1,0,Баргузин
478829,1928-05-20,0,12.3,19.2,0,Баргузин
478830,1928-05-21,2.4,10.7,16.1,1.4,Баргузин
478831,1928-05-22,2.3,8.3,11.7,0,Баргузин
478832,1928-05-23,3.9,6.8,10.3,0.3,Баргузин
478833,1928-05-24,5.8,7.8,11.6,3.7,Баргузин
478834,1928-05-25,3.4,6.7,11.2,0,Баргузин
478835,1928-05-26,-2.9,11.7,18.6,0.3,Баргузин
478836,1928-05-27,5.9,12.1,18.5,0,Баргузин
478837,1928-05-28,2.4,9.7,12,0.9,Баргузин
478838,1928-05-29,4.9,8.7,12.1,1.1,Баргузин
478839,1928-05-30,2.4,6.4,9.5,0,Баргузин
478840,1928-05-31,-0.7,8.9,14.7,0,Баргузин
480763,1928-06-01,4.2,9.8,14.2,0,Баргузин
480764,1928-06-02,3,13.4,19.1,0,Баргузин
480765,1928-06-03,5.6,14.4,20.1,0,Баргузин
480766,1928-06-04,8.8,14.7,22,0,Баргузин
480767,1928-06-05,5.9,17.4,24.1,0,Баргузин
480768,1928-06-06,10.5,17.4,22.4,0,Баргузин
480769,1928-06-07,2,13.2,21.1,0,Баргузин
480770,1928-06-08,2,7.2,13,2.2,Баргузин
480771,1928-06-09,7.3,11.6,16.6,1.7,Баргузин
480772,1928-06-10,7.5,12.7,17.2,0,Баргузин
480773,1928-06-11,3.2,15.8,22.9,0,Баргузин
480774,1928-06-12,8.6,18.7,24.1,2.9,Баргузин
480775,1928-06-13,12.6,17.6,21.1,0,Баргузин
480776,1928-06-14,9.9,18.8,25.2,0,Баргузин
480777,1928-06-15,9,21.4,27.5,0,Баргузин
480778,1928-06-16,15.6,21.1,27.5,0.1,Баргузин
480779,1928-06-17,12.4,12.7,16.1,39.4,Баргузин
480780,1928-06-18,10.4,11.4,13.6,14.9,Баргузин
480781,1928-06-19,9,13,15.6,0,Баргузин
480782,1928-06-20,11.5,17.1,22.6,0,Баргузин
480783,1928-06-21,9.8,18.8,23.1,0,Баргузин
480784,1928-06-22,12.5,20.1,25.1,0,Баргузин
480785,1928-06-23,12.5,20.2,26.5,0,Баргузин
480786,1928-06-24,13.5,21.6,28,0,Баргузин
480787,1928-06-25,12.2,19.5,27.1,0,Баргузин
480788,1928-06-26,14.5,18.3,23.1,0,Баргузин
480789,1928-06-27,9.5,19.2,24.8,0.1,Баргузин
480790,1928-06-28,14.5,19,23.1,0.1,Баргузин
480791,1928-06-29,12.1,21.3,26.5,0,Баргузин
480792,1928-06-30,10.9,21.1,26,0,Баргузин
482683,1928-07-01,15,21.6,26,15.7,Баргузин
482684,1928-07-02,12.5,15.1,22,5.2,Баргузин
482685,1928-07-03,11.1,12.2,14.6,0.6,Баргузин
482686,1928-07-04,12.3,15.7,20.2,0,Баргузин
482687,1928-07-05,9.5,18.3,24.1,0,Баргузин
482688,1928-07-06,12.6,18.3,22.7,0,Баргузин
482689,1928-07-07,13.9,19.3,24.7,0,Баргузин
482690,1928-07-08,13.2,17.2,21.9,1.7,Баргузин
482691,1928-07-09,12.5,15.1,20.1,0.8,Баргузин
482692,1928-07-10,9.8,17.1,22.1,0.4,Баргузин
482693,1928-07-11,12.8,17.5,23.7,0,Баргузин
482694,1928-07-12,12.5,19.4,25.4,0,Баргузин
482695,1928-07-13,14.5,18,22.1,0,Баргузин
482696,1928-07-14,9,19,25.1,0,Баргузин
482697,1928-07-15,13.5,18.1,23.1,0,Баргузин
482698,1928-07-16,10.4,19,24.6,0,Баргузин
482699,1928-07-17,12,20.3,26.5,0,Баргузин
482700,1928-07-18,13.9,19.9,25.1,0,Баргузин
482701,1928-07-19,14.7,21.5,26,0,Баргузин
482702,1928-07-20,14.9,20.1,26.1,0,Баргузин
482703,1928-07-21,8.9,17.3,23.6,0,Баргузин
482704,1928-07-22,11,14.1,18.6,0.8,Баргузин
482705,1928-07-23,9.5,14.1,19.8,0,Баргузин
482706,1928-07-24,9,18.4,24.1,0,Баргузин
482707,1928-07-25,8.8,19.5,27,0,Баргузин
482708,1928-07-26,10.2,22.3,29.3,0,Баргузин
482709,1928-07-27,13.2,21.4,28.5,0,Баргузин
482710,1928-07-28,11.6,20.6,27.9,0,Баргузин
482711,1928-07-29,14.5,19.5,24.1,0,Баргузин
482712,1928-07-30,14.3,17.7,23.7,0,Баргузин
482713,1928-07-31,7.7,16.6,21.1,3,Баргузин
484650,1928-08-01,12.8,16.2,19.7,0,Баргузин
484651,1928-08-02,14.5,17.5,22.6,0,Баргузин
484652,1928-08-03,10.8,19.1,24.1,0,Баргузин
484653,1928-08-04,14.1,18.1,22.1,0.3,Баргузин
484654,1928-08-05,13,19.5,24.6,0,Баргузин
484655,1928-08-06,11.4,20.1,26.1,0,Баргузин
484656,1928-08-07,15,23.3,27.5,0,Баргузин
484657,1928-08-08,17.9,20.4,24.1,1.6,Баргузин
484658,1928-08-09,12.9,18.9,22.1,0.9,Баргузин
484659,1928-08-10,15,20.9,26.1,0,Баргузин
484660,1928-08-11,13,23.8,28.5,0,Баргузин
484661,1928-08-12,17.7,25.6,31,0,Баргузин
484662,1928-08-13,19,22,26.6,7.2,Баргузин
484663,1928-08-14,16.6,17.8,22.1,0.3,Баргузин
484664,1928-08-15,15,18.1,23.1,0,Баргузин
484665,1928-08-16,12.9,16.7,22.6,11.7,Баргузин
484666,1928-08-17,13,14.5,16.5,0.1,Баргузин
484667,1928-08-18,11.9,15,20.7,0,Баргузин
484668,1928-08-19,10.5,14.7,22.2,1.2,Баргузин
484669,1928-08-20,7.8,14.8,21.6,0.1,Баргузин
484670,1928-08-21,7.1,15.3,22.6,0,Баргузин
484671,1928-08-22,7.5,14.5,20.1,0.5,Баргузин
484672,1928-08-23,10,16.1,20.7,0,Баргузин
484673,1928-08-24,8.6,14.9,20.9,0,Баргузин
484674,1928-08-25,4.9,13.4,19.1,0,Баргузин
484675,1928-08-26,7,12.8,17.2,2.6,Баргузин
484676,1928-08-27,5.2,12.8,16.6,0.2,Баргузин
484677,1928-08-28,11.6,14.4,16.1,3.8,Баргузин
484678,1928-08-29,13,15.1,19.5,12.5,Баргузин
484679,1928-08-30,13,14,15.2,11.9,Баргузин
484680,1928-08-31,10.2,13.6,17.6,0.5,Баргузин
486601,1928-09-01,10.4,12.3,15.1,0.5,Баргузин
486602,1928-09-02,10.5,13.5,18.6,0.4,Баргузин
486603,1928-09-03,10.8,14.4,19,0.1,Баргузин
486604,1928-09-04,11,15.2,18.1,0.5,Баргузин
486605,1928-09-05,9.6,15.7,21.1,0,Баргузин
