,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
494157,1959-01-01,-34.2,-31.4,-29.4,0,Барнаул
494158,1959-01-02,-33.1,-30,-26.2,0,Барнаул
494159,1959-01-03,-28.8,-23.2,-18.4,0,Барнаул
494160,1959-01-04,-25.6,-22.8,-18.8,0,Барнаул
494161,1959-01-05,-23,-18.4,-13,1.3,Барнаул
494162,1959-01-06,-30.6,-28.4,-18,0.4,Барнаул
494163,1959-01-07,-30.8,-25,-19.3,0.4,Барнаул
494164,1959-01-08,-25.2,-22.6,-19.1,0,Барнаул
494165,1959-01-09,-28.7,-22.6,-18.3,0,Барнаул
494166,1959-01-10,-18.6,-13.2,-11.4,0.4,Барнаул
494167,1959-01-11,-18.7,-15.1,-12.6,0.2,Барнаул
494168,1959-01-12,-21.6,-17.1,-11.9,0,Барнаул
494169,1959-01-13,-23.8,-21,-15.5,0,Барнаул
494170,1959-01-14,-31.1,-21.9,-17.4,0,Барнаул
494171,1959-01-15,-22.1,-17.2,-13.3,0,Барнаул
494172,1959-01-16,-17,-12.6,-7.9,0,Барнаул
494173,1959-01-17,-18.7,-15,-10.4,0,Барнаул
494174,1959-01-18,-25.2,-13.4,-8,0,Барнаул
494175,1959-01-19,-15.8,-5.9,-4.8,0.7,Барнаул
494176,1959-01-20,-8.9,-6.6,-4.2,0,Барнаул
494177,1959-01-21,-12.8,-8.6,0.7,1.2,Барнаул
494178,1959-01-22,-17.4,-13.4,-10.7,0.3,Барнаул
494179,1959-01-23,-23.5,-19,-14.5,0,Барнаул
494180,1959-01-24,-16,-9,-6.1,1.4,Барнаул
494181,1959-01-25,-8.2,-7.4,-6.4,0.4,Барнаул
494182,1959-01-26,-19.9,-8.8,-5.8,0,Барнаул
494183,1959-01-27,-18.9,-13.7,-5.8,0,Барнаул
494184,1959-01-28,-12.8,-9.9,-8.9,0,Барнаул
494185,1959-01-29,-16.7,-12.4,-7.2,0,Барнаул
494186,1959-01-30,-12.4,-7.8,-5.5,0.4,Барнаул
494187,1959-01-31,-14.7,-11.8,-5.5,1.3,Барнаул
495273,1959-02-01,-16.5,-11.3,-9.2,0.8,Барнаул
495274,1959-02-02,-16.5,-13.4,-10.4,0.3,Барнаул
495275,1959-02-03,-19.8,-15.3,-12.9,1,Барнаул
495276,1959-02-04,-24.4,-18.6,-12.5,0,Барнаул
495277,1959-02-05,-13.7,-9.7,-6.9,0,Барнаул
495278,1959-02-06,-11.9,-9.6,-5.3,0.8,Барнаул
495279,1959-02-07,-15.3,-12.4,-8.5,0,Барнаул
495280,1959-02-08,-12.9,-6.8,-3.2,1.1,Барнаул
495281,1959-02-09,-15.5,-9,-3.4,7.9,Барнаул
495282,1959-02-10,-21.6,-18,-12.8,0,Барнаул
495283,1959-02-11,-22.6,-17,-12.2,0.2,Барнаул
495284,1959-02-12,-20.5,-15.5,-9.5,0,Барнаул
495285,1959-02-13,-22,-16.9,-12.6,0.5,Барнаул
495286,1959-02-14,-17,-10.7,-8.5,0.7,Барнаул
495287,1959-02-15,-17.6,-13,-8.8,0,Барнаул
495288,1959-02-16,-18.5,-14.4,-10.8,0.6,Барнаул
495289,1959-02-17,-22,-18.2,-13.7,0.3,Барнаул
495290,1959-02-18,-26.1,-16.3,-12.4,0.1,Барнаул
495291,1959-02-19,-22.8,-15.6,-8,0,Барнаул
495292,1959-02-20,-25.1,-19.4,-11,0,Барнаул
495293,1959-02-21,-27.2,-15.6,-10.7,0.1,Барнаул
495294,1959-02-22,-22.5,-14,-9.1,0.5,Барнаул
495295,1959-02-23,-13.7,-9.6,-5.7,1.3,Барнаул
495296,1959-02-24,-11.9,-9.6,-6,0.4,Барнаул
495297,1959-02-25,-15.8,-10,-3.4,0,Барнаул
495298,1959-02-26,-10.7,-6.1,0.4,0,Барнаул
495299,1959-02-27,-12.9,-7.5,-1.1,0,Барнаул
495300,1959-02-28,-11.4,-6.8,0.1,0,Барнаул
496289,1959-03-01,-8.2,-4.1,-0.3,0,Барнаул
496290,1959-03-02,-10.4,-7.6,-2,0.4,Барнаул
496291,1959-03-03,-10.6,-8.9,-7,0.4,Барнаул
496292,1959-03-04,-7.4,-6.3,-4.6,1.6,Барнаул
496293,1959-03-05,-10.3,-7,-3.7,0.3,Барнаул
496294,1959-03-06,-20.2,-13.7,-7.2,0,Барнаул
496295,1959-03-07,-12.5,-7.7,-3.2,0,Барнаул
496296,1959-03-08,-11.2,-9.1,-4.8,0,Барнаул
496297,1959-03-09,-14.8,-8.5,-1.7,0.2,Барнаул
496298,1959-03-10,-9.8,-4.8,1.2,0,Барнаул
496299,1959-03-11,-10.7,-6,1.1,0,Барнаул
496300,1959-03-12,-8.3,-4,-0.3,0.1,Барнаул
496301,1959-03-13,-5.8,-2.8,1.6,0.1,Барнаул
496302,1959-03-14,-5.1,-2.8,0.4,1,Барнаул
496303,1959-03-15,-5.8,-2.6,1.4,0.1,Барнаул
496304,1959-03-16,-9.7,-6,0.2,0.3,Барнаул
496305,1959-03-17,-15.8,-11.4,-4.3,0.1,Барнаул
496306,1959-03-18,-17.9,-13.1,-6.7,0,Барнаул
496307,1959-03-19,-17.8,-12.5,-5.8,0,Барнаул
496308,1959-03-20,-14.4,-8,-0.7,0,Барнаул
496309,1959-03-21,-3.8,-1.3,-0.7,0.2,Барнаул
496310,1959-03-22,-9.7,-4.6,-0.4,1,Барнаул
496311,1959-03-23,-15.4,-10,-4.6,0,Барнаул
496312,1959-03-24,-7.9,-4.6,-0.7,1,Барнаул
496313,1959-03-25,-9.3,-7.1,-2.2,0.6,Барнаул
496314,1959-03-26,-9,-6.4,-3.3,2,Барнаул
496315,1959-03-27,-15.3,-7.6,0.7,0,Барнаул
496316,1959-03-28,-2.3,-0.7,1.9,1.3,Барнаул
496317,1959-03-29,-8.4,-2,3.9,0,Барнаул
496318,1959-03-30,-3,1.6,7.5,0,Барнаул
496319,1959-03-31,-1.3,0.7,3.3,1,Барнаул
497404,1959-04-01,-4.7,-1.2,2.1,2.1,Барнаул
497405,1959-04-02,-8.4,-3.9,0.8,0,Барнаул
497406,1959-04-03,-3.9,0.7,6.3,0,Барнаул
497407,1959-04-04,0.4,2.1,5.7,1.6,Барнаул
497408,1959-04-05,-0.9,0.8,2.9,0,Барнаул
497409,1959-04-06,-2.2,0.8,5.5,0,Барнаул
497410,1959-04-07,-7.3,-1.5,3.7,0.2,Барнаул
497411,1959-04-08,-2.7,-1.2,1.4,2,Барнаул
497412,1959-04-09,-1.9,0.4,4.3,1.5,Барнаул
497413,1959-04-10,-6.9,-3.3,0.4,0.3,Барнаул
497414,1959-04-11,-3.4,1.1,6.8,1.1,Барнаул
497415,1959-04-12,-1.6,0.5,3.3,1.3,Барнаул
497416,1959-04-13,-3.3,-0.4,3.8,3.4,Барнаул
497417,1959-04-14,-3.3,1.2,6.9,0,Барнаул
497418,1959-04-15,3.1,8.7,14.8,0,Барнаул
497419,1959-04-16,3.4,6.6,12.3,5.1,Барнаул
497420,1959-04-17,2.6,4.8,8.9,0,Барнаул
497421,1959-04-18,-3.2,-1.6,2.9,0,Барнаул
497422,1959-04-19,-7.2,-3.4,-0.2,0,Барнаул
497423,1959-04-20,-4.6,1.4,7.7,0,Барнаул
497424,1959-04-21,0.9,7,14.4,0,Барнаул
497425,1959-04-22,2.9,9.7,14.3,0,Барнаул
497426,1959-04-23,7,12.2,18.1,0,Барнаул
497427,1959-04-24,6.8,12.3,19.8,0,Барнаул
497428,1959-04-25,3.4,10.2,18.3,2.4,Барнаул
497429,1959-04-26,0.3,4.2,9.1,0,Барнаул
497430,1959-04-27,5.8,7.4,11.6,12.8,Барнаул
497431,1959-04-28,1.8,5.8,10.8,0,Барнаул
497432,1959-04-29,2.3,6.8,11.2,0,Барнаул
497433,1959-04-30,0.7,3.2,9.4,0.5,Барнаул
498483,1959-05-01,-0.1,4.6,9.9,0,Барнаул
498484,1959-05-02,-0.9,3.6,8.4,0.5,Барнаул
498485,1959-05-03,0.6,4.5,8.5,0.2,Барнаул
498486,1959-05-04,0.2,6.9,13.2,0,Барнаул
498487,1959-05-05,4.8,6.7,11,0.3,Барнаул
498488,1959-05-06,-1,2.6,5.7,3.8,Барнаул
498489,1959-05-07,-2.4,1.2,5.4,0,Барнаул
498490,1959-05-08,-1,6.1,14.9,0.8,Барнаул
498491,1959-05-09,5.9,9.3,14.8,2.2,Барнаул
498492,1959-05-10,5.1,12.4,17.7,0.2,Барнаул
