,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
508830,1936-02-01,-44.9,-39.2,-34.2,0.3,Березово
508831,1936-02-02,-36.8,-34,-29.9,0,Березово
508832,1936-02-03,-30.3,-20.6,-14.1,2.9,Березово
508833,1936-02-04,-25.2,-21.8,-14.1,1.5,Березово
508834,1936-02-05,-24.8,-16.5,-15.4,2.3,Березово
508835,1936-02-06,-26.3,-18.4,-15.1,2.9,Березово
508836,1936-02-07,-25.4,-22.2,-15.1,5.5,Березово
508837,1936-02-08,-29.3,-27.9,-25.2,2.1,Березово
508838,1936-02-09,-28.2,-25,-23,4.5,Березово
508839,1936-02-10,-32.1,-28.7,-23.4,1.8,Березово
508840,1936-02-11,-35,-30,-22.6,1.7,Березово
508841,1936-02-12,-26.3,-23.2,-21.4,1.5,Березово
508842,1936-02-13,-33.8,-29.6,-25.6,0,Березово
508843,1936-02-14,-31.2,-24.4,-18,0,Березово
508844,1936-02-15,-19,-14.5,-8.1,1,Березово
508845,1936-02-16,-11.8,-8.8,-7.2,0.5,Березово
508846,1936-02-17,-17.7,-15.4,-7,0,Березово
508847,1936-02-18,-19.2,-12.4,-9.1,0,Березово
508848,1936-02-19,-14.7,-10.5,-8.1,0.1,Березово
508849,1936-02-20,-16.9,-14.2,-9.1,0.3,Березово
508850,1936-02-21,-24.6,-20.9,-17.8,0.3,Березово
508851,1936-02-22,-24.8,-23,-17.8,0.3,Березово
508852,1936-02-23,-27.9,-25,-23.2,0,Березово
508853,1936-02-24,-25.3,-18.2,-11.3,0,Березово
508854,1936-02-25,-23.8,-16.3,-10.5,0.2,Березово
508855,1936-02-26,-20.7,-18.2,-14,0.1,Березово
508856,1936-02-27,-25.6,-19.6,-16.6,0.7,Березово
508857,1936-02-28,-25.4,-19.2,-11.2,0.3,Березово
508858,1936-02-29,-29.8,-27,-24,0,Березово
510466,1936-03-01,-33,-26.2,-21,0,Березово
510467,1936-03-02,-21.2,-14.8,-10.1,0.7,Березово
510468,1936-03-03,-10.2,-5.8,-2,0.1,Березово
510469,1936-03-04,-5.9,-2.7,1.2,0,Березово
510470,1936-03-05,-7,-3,-0.5,0.4,Березово
510471,1936-03-06,-19.5,-12.3,-1.8,0.1,Березово
510472,1936-03-07,-19.6,-12.2,-7.3,0.3,Березово
510473,1936-03-08,-25.7,-16.8,-7,0,Березово
510474,1936-03-09,-23.2,-15,-6.9,1.2,Березово
510475,1936-03-10,-27.8,-25.4,-21.8,0,Березово
510476,1936-03-11,-25.3,-18.9,-15.7,2.4,Березово
510477,1936-03-12,-16.4,-13.2,-9.3,1.5,Березово
510478,1936-03-13,-23.3,-21,-14.6,0.1,Березово
510479,1936-03-14,-30,-25.8,-23,0.2,Березово
510480,1936-03-15,-27.4,-20.5,-16.8,0,Березово
510481,1936-03-16,-21.6,-15.7,-9.8,0,Березово
510482,1936-03-17,-19.2,-14.5,-8.4,0,Березово
510483,1936-03-18,-18.2,-13.6,-8.2,0,Березово
510484,1936-03-19,-13.9,-8.2,-4.4,0,Березово
510485,1936-03-20,-10.7,-6.7,-3.3,0,Березово
510486,1936-03-21,-7.8,-6.7,-5.4,0.5,Березово
510487,1936-03-22,-13.3,-10.5,-5.9,0.9,Березово
510488,1936-03-23,-23.3,-15.6,-11.6,0.1,Березово
510489,1936-03-24,-23.3,-16.1,-13.9,0.5,Березово
510490,1936-03-25,-18.3,-16.4,-14.8,0.3,Березово
510491,1936-03-26,-19.5,-17,-12.8,0.2,Березово
510492,1936-03-27,-27.8,-23.8,-17.2,0,Березово
510493,1936-03-28,-31.5,-21.6,-13.1,0,Березово
510494,1936-03-29,-17.2,-9.5,-3,0,Березово
510495,1936-03-30,-11.7,-9.4,-4.9,0.5,Березово
510496,1936-03-31,-20.7,-16.2,-11.2,0,Березово
512295,1936-04-01,-17.8,-12.9,-8.2,0.2,Березово
512296,1936-04-02,-19.1,-11.1,-5.2,0,Березово
512297,1936-04-03,-9.8,-1.2,4.3,0,Березово
512298,1936-04-04,-6.2,-0.5,5.5,0,Березово
512299,1936-04-05,-2.7,0.9,5,0,Березово
512300,1936-04-06,-4.8,-0.7,3.8,0,Березово
512301,1936-04-07,-1.9,0.4,2.8,0,Березово
512302,1936-04-08,0.8,2,2.8,0,Березово
512303,1936-04-09,-1.6,0.9,4.3,0.1,Березово
512304,1936-04-10,-7,-1.8,3.5,0,Березово
512305,1936-04-11,-7,-1.4,3.5,0,Березово
512306,1936-04-12,-4.2,0,4.5,0,Березово
512307,1936-04-13,-5.7,-0.9,3,0,Березово
512308,1936-04-14,-8.2,-1.3,7.3,0,Березово
512309,1936-04-15,-4.3,-2.4,0.1,0.1,Березово
512310,1936-04-16,-9.3,-4.7,0,0,Березово
512311,1936-04-17,-5.1,-2.9,0.2,4.2,Березово
512312,1936-04-18,-13.3,-7.9,-2.7,0.2,Березово
512313,1936-04-19,-13.8,-5,1.2,0.9,Березово
512314,1936-04-20,-8.2,-5.1,1,0,Березово
512315,1936-04-21,-13.8,-9.7,-5.3,0,Березово
512316,1936-04-22,-9.3,-3,1.3,0,Березово
512317,1936-04-23,-7.6,-1.3,4.2,0,Березово
512318,1936-04-24,0.9,2,3.7,0.6,Березово
512319,1936-04-25,0,3.4,10.6,0,Березово
512320,1936-04-26,-3.5,-1,4.1,0,Березово
512321,1936-04-27,-8.7,-4.2,-0.5,0.2,Березово
512322,1936-04-28,-12.5,-8.5,-3.4,0,Березово
512323,1936-04-29,-13.2,-6.8,-1.3,0,Березово
512324,1936-04-30,-5.7,1.4,7.9,0,Березово
514064,1936-05-01,-1,1.4,4.8,0,Березово
514065,1936-05-02,-3.6,-0.4,2.8,0,Березово
514066,1936-05-03,-5.5,-3.5,0.6,0,Березово
