,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
534190,1926-04-01,-7.6,-4.6,7.3,0.8,Бисер
534191,1926-04-02,-7.4,-6.8,7,0.7,Бисер
534192,1926-04-03,-11.6,-5.7,7.7,0.4,Бисер
534193,1926-04-04,-10.1,-7,9.4,0.6,Бисер
534194,1926-04-05,-11,-7.3,9.7,1.1,Бисер
534195,1926-04-06,-13.4,-8.6,12.1,5.8,Бисер
534196,1926-04-07,-7.1,-2.4,3.6,16.7,Бисер
534197,1926-04-08,-3.1,-1.4,2.1,5.3,Бисер
534198,1926-04-09,-7.2,-3.7,7.2,12.6,Бисер
534199,1926-04-10,-8.1,-4,6.2,6,Бисер
534200,1926-04-11,-8,-3.1,4,0.3,Бисер
534201,1926-04-12,-4.3,-0.6,2.9,0.1,Бисер
534202,1926-04-13,-3,1.4,5.2,3.2,Бисер
534203,1926-04-14,-1.6,0.5,1.8,0.8,Бисер
534204,1926-04-15,-3.7,-1.5,3.7,0.2,Бисер
534205,1926-04-16,-7.2,-4.6,7,0.7,Бисер
534206,1926-04-17,-10.8,-7.5,9.2,0,Бисер
534207,1926-04-18,-12.6,-4.4,8.1,0,Бисер
534208,1926-04-19,-6.6,-0.4,4.8,0,Бисер
534209,1926-04-20,-6.3,3.7,9.8,0,Бисер
534210,1926-04-21,-0.9,6.7,11.8,0,Бисер
534211,1926-04-22,0.5,7.3,13.6,0,Бисер
534212,1926-04-23,0.3,4,5.8,9.2,Бисер
534213,1926-04-24,1.6,7.9,12.2,0,Бисер
534214,1926-04-25,0,9.2,13.8,0,Бисер
534215,1926-04-26,-0.7,1.5,3,0,Бисер
534216,1926-04-27,-2.5,2.6,5.6,0,Бисер
534217,1926-04-28,-2.1,3.1,5.7,0,Бисер
534218,1926-04-29,-3.5,4.6,8.3,0,Бисер
534219,1926-04-30,-0.4,6.2,9.1,0,Бисер
545564,1933-10-01,-1.3,4.2,9.8,0,Бисер
545565,1933-10-02,0.2,5.2,12.5,0,Бисер
545566,1933-10-03,2.2,6,15,0,Бисер
545567,1933-10-04,0,6.4,13.4,0,Бисер
545568,1933-10-05,1.7,4.6,7,0.6,Бисер
545569,1933-10-06,1.2,2.4,4.5,1,Бисер
545570,1933-10-07,2.2,3.4,4.5,4.5,Бисер
545571,1933-10-08,-1.3,-0.4,9.3,0.1,Бисер
545572,1933-10-09,-1.3,0.3,1,3.6,Бисер
545573,1933-10-10,-5.2,-3.7,0.1,1.3,Бисер
545574,1933-10-11,-5.2,-3,-1.2,2,Бисер
545575,1933-10-12,-3.8,-0.8,0.6,0.9,Бисер
545576,1933-10-13,0.5,1.5,3.7,3.9,Бисер
545577,1933-10-14,1.4,5.5,6.4,10,Бисер
545578,1933-10-15,-0.4,0.6,5.9,0.5,Бисер
545579,1933-10-16,-3.7,-2.6,-0.4,0,Бисер
545580,1933-10-17,-10.1,-3.4,4.5,0,Бисер
545581,1933-10-18,-2.7,1.3,4.4,0,Бисер
545582,1933-10-19,-1.2,3.1,6.3,0,Бисер
545583,1933-10-20,-0.9,1,3.5,0.2,Бисер
545584,1933-10-21,-2.5,-0.4,2,0,Бисер
545585,1933-10-22,-6.3,-2.8,-0.7,0.2,Бисер
545586,1933-10-23,-4.6,-2.9,-1.6,0.6,Бисер
545587,1933-10-24,-6.8,-3.9,-2.3,0.4,Бисер
545588,1933-10-25,-3.3,-2.7,-1.5,0.2,Бисер
545589,1933-10-26,-5.3,-4,-2.4,0,Бисер
545590,1933-10-27,-5.8,-4.3,-2.9,3.2,Бисер
545591,1933-10-28,-3.3,-1.8,-1,0.3,Бисер
545592,1933-10-29,-2.3,-1.6,0.2,0.9,Бисер
545593,1933-10-30,-2.3,-0.7,0.1,0.8,Бисер
545594,1933-10-31,0,2.8,5,0.5,Бисер
547515,1933-11-01,-1.2,0.6,3.2,0.3,Бисер
547516,1933-11-02,0.9,3.1,4,0,Бисер
547517,1933-11-03,-2.7,1.3,5.7,0,Бисер
547518,1933-11-04,-0.8,1.5,3.5,0,Бисер
547519,1933-11-05,-0.5,-0.1,1.6,5.5,Бисер
547520,1933-11-06,-2.5,-1.7,-0.1,0.3,Бисер
547521,1933-11-07,-4.2,-2.8,-1.1,2,Бисер
547522,1933-11-08,-3.4,-1.2,0.5,4,Бисер
547523,1933-11-09,-5.7,-4.6,0.4,5.2,Бисер
547524,1933-11-10,-13.2,-8.5,-4.9,0.4,Бисер
547525,1933-11-11,-14.8,-8.9,-5.3,2.6,Бисер
547526,1933-11-12,-5.7,-3.9,-0.9,2.3,Бисер
547527,1933-11-13,-5.7,-2.6,-1,0.7,Бисер
547528,1933-11-14,-11.3,-8,-4.2,3.8,Бисер
547529,1933-11-15,-18.3,-13.1,-7.4,0,Бисер
547530,1933-11-16,-19.4,-13.8,-10.4,0,Бисер
547531,1933-11-17,-20.8,-13.9,-9,0.1,Бисер
547532,1933-11-18,-23.2,-19.2,-13.5,0,Бисер
547533,1933-11-19,-27.1,-18.5,-13.5,1,Бисер
547534,1933-11-20,-13.8,-7.2,-5.6,1.8,Бисер
547535,1933-11-21,-16.6,-11.2,-5.7,0.6,Бисер
547536,1933-11-22,-23.5,-19.9,-16.2,0.8,Бисер
547537,1933-11-23,-19.8,-11.8,-8,2.1,Бисер
547538,1933-11-24,-23.7,-15.7,-5.3,1,Бисер
547539,1933-11-25,-24.2,-15.7,-14.3,5.4,Бисер
547540,1933-11-26,-23.8,-19.5,-15.4,0.2,Бисер
547541,1933-11-27,-20.8,-16.7,-11.7,1.2,Бисер
547542,1933-11-28,-29.2,-26.7,-20.5,0,Бисер
547543,1933-11-29,-29.9,-24.7,-20.5,0.2,Бисер
547544,1933-11-30,-29.8,-22,-21,0.3,Бисер
549405,1933-12-01,-28.2,-21.9,-17.7,0.2,Бисер
549406,1933-12-02,-34.4,-32.9,-28.2,0.2,Бисер
549407,1933-12-03,-33.4,-30.5,-27.1,0,Бисер
549408,1933-12-04,-37.8,-32.1,-28,0.9,Бисер
549409,1933-12-05,-28,-19.2,-16.7,2.8,Бисер
549410,1933-12-06,-19.8,-16.9,-14.4,2.2,Бисер
549411,1933-12-07,-25.6,-23.7,-19,1.6,Бисер
549412,1933-12-08,-29.5,-25,-23.7,0.2,Бисер
549413,1933-12-09,-28.7,-24.2,-23.3,0.6,Бисер
549414,1933-12-10,-25,-19.6,-13.9,0.9,Бисер
549415,1933-12-11,-16.4,-14.9,-13,0.9,Бисер
549416,1933-12-12,-17.8,-15.4,-14.3,2.1,Бисер
549417,1933-12-13,-20.7,-17,-12.7,0.6,Бисер
549418,1933-12-14,-29.5,-27.6,-20.5,0.4,Бисер
549419,1933-12-15,-25.8,-16.9,-13.9,0.8,Бисер
549420,1933-12-16,-21.9,-18.9,-14.5,0.2,Бисер
549421,1933-12-17,-22.3,-18.7,-17.3,0.2,Бисер
549422,1933-12-18,-20.1,-18.2,-16.6,0.9,Бисер
549423,1933-12-19,-19.3,-16.9,-13.4,0,Бисер
549424,1933-12-20,-20.1,-14.9,-13.8,0.5,Бисер
549425,1933-12-21,-13.9,-11.3,-10.4,0.3,Бисер
549426,1933-12-22,-17.9,-16.4,-12.2,0,Бисер
549427,1933-12-23,-22.9,-20.5,-17.5,0.8,Бисер
549428,1933-12-24,-23.2,-22.1,-21.2,0.7,Бисер
549429,1933-12-25,-26.6,-24.7,-21.4,0.3,Бисер
549430,1933-12-26,-30.6,-28.8,-23.5,0,Бисер
549431,1933-12-27,-31.9,-29.9,-29.2,0,Бисер
549432,1933-12-28,-29.5,-26.7,-24.4,0,Бисер
549433,1933-12-29,-27.3,-25.7,-24,0,Бисер
549434,1933-12-30,-31.5,-25.7,-22.2,0,Бисер
549435,1933-12-31,-26.1,-20.3,-15.1,0,Бисер
528598,1934-01-01,-20.2,-14.5,-13.6,1,Бисер
528599,1934-01-02,-16.8,-13.3,-12.5,0.9,Бисер
528600,1934-01-03,-18.3,-17,-13.5,0,Бисер
528601,1934-01-04,-18.3,-17.3,-16.4,0.5,Бисер
528602,1934-01-05,-16.8,-13.5,-12.5,0.1,Бисер
528603,1934-01-06,-16.5,-14.8,-11.5,0,Бисер
528604,1934-01-07,-19.6,-16,-13.8,0.4,Бисер
528605,1934-01-08,-17.2,-15,-14.4,0.3,Бисер
528606,1934-01-09,-16.3,-14.7,-13.6,0.1,Бисер
528607,1934-01-10,-18.1,-16.4,-15.1,0.1,Бисер
528608,1934-01-11,-17.6,-14.4,-13.4,0,Бисер
528609,1934-01-12,-16.2,-14.7,-13.3,0.4,Бисер
