,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
551327,1936-01-01,-13,-7.7,-1.1,0,Бишкек (Фрунзе)
551328,1936-01-02,-13.8,-10,-3.6,0,Бишкек (Фрунзе)
551329,1936-01-03,-16.6,-9.3,-5.1,0,Бишкек (Фрунзе)
551330,1936-01-04,-9.9,-7.2,-3,0,Бишкек (Фрунзе)
551331,1936-01-05,-12.7,-7.2,-0.6,0,Бишкек (Фрунзе)
551332,1936-01-06,-13.1,-6.9,-1,0,Бишкек (Фрунзе)
551333,1936-01-07,-13.3,-8.6,-2,0,Бишкек (Фрунзе)
551334,1936-01-08,-15.4,-7.6,-1.2,0,Бишкек (Фрунзе)
551335,1936-01-09,-13.9,-8.6,-2.4,0,Бишкек (Фрунзе)
551336,1936-01-10,-17.7,-11.9,-5,0,Бишкек (Фрунзе)
551337,1936-01-11,-14.9,-7.8,-0.2,0,Бишкек (Фрунзе)
551338,1936-01-12,-17.2,-9.5,-6,0,Бишкек (Фрунзе)
551339,1936-01-13,-15.6,-7.7,-1.3,0,Бишкек (Фрунзе)
551340,1936-01-14,-14,-6.1,0.9,0,Бишкек (Фрунзе)
551341,1936-01-15,-13.1,-0.2,3.7,0,Бишкек (Фрунзе)
551342,1936-01-16,-4.3,-2.4,2.4,0,Бишкек (Фрунзе)
551343,1936-01-17,-6.9,-1.6,2.7,12.5,Бишкек (Фрунзе)
551344,1936-01-18,-8.9,-5.6,-1,2.5,Бишкек (Фрунзе)
551345,1936-01-19,-14.7,-2.7,1.4,0,Бишкек (Фрунзе)
551346,1936-01-20,-12.7,-9.8,-3.4,1,Бишкек (Фрунзе)
551347,1936-01-21,-16.3,-13.1,-7.4,1,Бишкек (Фрунзе)
551348,1936-01-22,-21.4,-15.3,-8,0,Бишкек (Фрунзе)
551349,1936-01-23,-17.8,-11.4,-5.4,0,Бишкек (Фрунзе)
551350,1936-01-24,-21.2,-10.9,-5.7,0,Бишкек (Фрунзе)
551351,1936-01-25,-15.3,-6.4,-0.4,0,Бишкек (Фрунзе)
551352,1936-01-26,-13,-2.1,3,0,Бишкек (Фрунзе)
551353,1936-01-27,-4.2,-2,1.6,0.1,Бишкек (Фрунзе)
551354,1936-01-28,-7,-2.3,1,0,Бишкек (Фрунзе)
551355,1936-01-29,-4.7,-2.1,3.2,0,Бишкек (Фрунзе)
551356,1936-01-30,-5,3.3,6.1,0,Бишкек (Фрунзе)
551357,1936-01-31,-1.7,4.2,10.9,0,Бишкек (Фрунзе)
553062,1936-02-01,2.2,4.3,12.1,0,Бишкек (Фрунзе)
553063,1936-02-02,-2.4,-0.8,3.5,3.6,Бишкек (Фрунзе)
553064,1936-02-03,-20.2,-16.5,-2.1,3.1,Бишкек (Фрунзе)
553065,1936-02-04,-20.8,-6.9,0.3,0,Бишкек (Фрунзе)
553066,1936-02-05,-16.6,-11.6,-5.4,0,Бишкек (Фрунзе)
553067,1936-02-06,-13.9,-6.5,-1,0,Бишкек (Фрунзе)
553068,1936-02-07,-12.9,-3.6,2.8,0,Бишкек (Фрунзе)
553069,1936-02-08,-8.2,3,9.7,0,Бишкек (Фрунзе)
553070,1936-02-09,-1,5.4,11.9,0,Бишкек (Фрунзе)
553071,1936-02-10,0.2,2.5,6.6,0,Бишкек (Фрунзе)
553072,1936-02-11,-2.5,3.4,9.5,0,Бишкек (Фрунзе)
553073,1936-02-12,1.2,7,13.4,0,Бишкек (Фрунзе)
553074,1936-02-13,1.7,5.8,12.5,0,Бишкек (Фрунзе)
553075,1936-02-14,-1.4,6.9,14.3,0,Бишкек (Фрунзе)
553076,1936-02-15,4.7,9.3,14.1,0,Бишкек (Фрунзе)
553077,1936-02-16,1.5,3.6,11,7.7,Бишкек (Фрунзе)
553078,1936-02-17,-0.8,0.7,2.9,0,Бишкек (Фрунзе)
553079,1936-02-18,-3,-0.7,4.7,0,Бишкек (Фрунзе)
553080,1936-02-19,-7.1,-4.4,0.6,3.8,Бишкек (Фрунзе)
553081,1936-02-20,-10.4,-4.2,-0.8,0,Бишкек (Фрунзе)
