,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
618945,1930-10-01,9.6,14.3,18.5,0,Богучаны
618946,1930-10-02,9.1,15.4,19.5,0,Богучаны
618947,1930-10-03,11.1,14.5,17.8,0,Богучаны
618948,1930-10-04,6.3,14.4,21,0,Богучаны
618949,1930-10-05,5.1,10.1,20.5,0,Богучаны
618950,1930-10-06,-1.9,1.5,6,0,Богучаны
618951,1930-10-07,-1.9,1.2,3,0.7,Богучаны
618952,1930-10-08,0.1,1.5,4,0,Богучаны
618953,1930-10-09,0.6,3.5,6,0,Богучаны
618954,1930-10-10,1.6,6.5,9,1.4,Богучаны
618955,1930-10-11,2.6,4.1,9,0,Богучаны
618956,1930-10-12,-3.4,1,6,0,Богучаны
618957,1930-10-13,1.1,6.9,9.5,0,Богучаны
618958,1930-10-14,0.6,10.5,19,0,Богучаны
618959,1930-10-15,3.6,4.5,11,0,Богучаны
601531,1931-01-28,-25.8,-24.6,-22.4,0,Богучаны
601532,1931-01-29,-36.6,-33,-25.5,0,Богучаны
603460,1931-02-01,-39.5,-37.7,-35.2,0,Богучаны
603461,1931-02-02,-47.1,-44.9,-39.4,0,Богучаны
603462,1931-02-03,-51.7,-43.1,-34.4,1.1,Богучаны
603463,1931-02-04,-36.1,-33.6,-32.4,0,Богучаны
603464,1931-02-05,-36.1,-30.7,-28.4,0.8,Богучаны
603465,1931-02-06,-28.6,-23.3,-21.5,1.6,Богучаны
603466,1931-02-07,-24.8,-22.3,-21.5,0.9,Богучаны
603467,1931-02-08,-26.5,-23,-20,0.7,Богучаны
603468,1931-02-09,-30.7,-28,-24,0,Богучаны
603469,1931-02-10,-37.4,-33.2,-29.2,0,Богучаны
603470,1931-02-11,-39.1,-36,-31.2,0,Богучаны
603471,1931-02-12,-46.3,-40,-35.2,0,Богучаны
603472,1931-02-13,-42.9,-32.9,-26.4,0,Богучаны
603473,1931-02-14,-37.1,-24.3,-20,1.2,Богучаны
603474,1931-02-15,-21.1,-16.5,-14.2,0,Богучаны
603475,1931-02-16,-14.2,-9.7,-8,0,Богучаны
603476,1931-02-17,-11.9,-11.1,-9,0,Богучаны
603477,1931-02-18,-14.4,-13.8,-11.8,0.8,Богучаны
603478,1931-02-19,-19.9,-14.1,-11,0.7,Богучаны
603479,1931-02-20,-18.9,-16.5,-12.5,1.1,Богучаны
603480,1931-02-21,-31.2,-24.8,-19,0,Богучаны
603481,1931-02-22,-39.6,-31.1,-22,0,Богучаны
603482,1931-02-23,-36.1,-20.8,-14.2,0.5,Богучаны
603483,1931-02-24,-16.4,-12.7,-10.5,0.2,Богучаны
603484,1931-02-25,-10.9,-9.8,-7,0,Богучаны
603485,1931-02-26,-20.3,-14.2,-8,0,Богучаны
