,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
628027,1937-03-01,-45.9,-37.2,-28.6,0,Бодайбо
628028,1937-03-02,-42.2,-34.8,-26.3,0,Бодайбо
628029,1937-03-03,-32.5,-27.7,-21.4,0.6,Бодайбо
628030,1937-03-04,-35.1,-27.7,-20.4,0,Бодайбо
628031,1937-03-05,-28.8,-25.2,-17.2,0.2,Бодайбо
628032,1937-03-06,-30.4,-24.8,-17.1,0,Бодайбо
628033,1937-03-07,-31.1,-25.1,-13.2,0,Бодайбо
628034,1937-03-08,-35.1,-27.7,-17.6,0,Бодайбо
628035,1937-03-09,-33.3,-25.8,-15.4,0,Бодайбо
628036,1937-03-10,-29.1,-23,-12.5,0.5,Бодайбо
628037,1937-03-11,-36.1,-27.7,-20.5,0,Бодайбо
628038,1937-03-12,-39.1,-29.8,-16.1,0,Бодайбо
628039,1937-03-13,-38.9,-29,-16.8,0,Бодайбо
628040,1937-03-14,-36.2,-26.1,-13,0,Бодайбо
628041,1937-03-15,-26.8,-21.5,-14.2,0.5,Бодайбо
628042,1937-03-16,-36.3,-26.5,-14.8,0,Бодайбо
628043,1937-03-17,-37.8,-28.4,-15.4,0,Бодайбо
628044,1937-03-18,-38.7,-27.7,-13.5,0,Бодайбо
628045,1937-03-19,-25.8,-20,-10.4,0,Бодайбо
628046,1937-03-20,-33.6,-23.5,-9.9,0,Бодайбо
628047,1937-03-21,-25.8,-18.5,-9,0,Бодайбо
628048,1937-03-22,-29.2,-20.5,-8.5,0,Бодайбо
628049,1937-03-23,-20.9,-14,-6,0.5,Бодайбо
628050,1937-03-24,-17.9,-12.2,-5.1,0.4,Бодайбо
628051,1937-03-25,-15.9,-11,-3.3,0,Бодайбо
628052,1937-03-26,-23.3,-13.2,-3.2,0,Бодайбо
628053,1937-03-27,-23.3,-14,-2.8,0,Бодайбо
628054,1937-03-28,-22.6,-13.4,-0.3,0,Бодайбо
628055,1937-03-29,-25.1,-13.6,-0.3,0,Бодайбо
628056,1937-03-30,-26.9,-15.4,-2.2,0,Бодайбо
628057,1937-03-31,-26.2,-14.4,-1.4,0,Бодайбо
629856,1937-04-01,-24.8,-11.1,2.5,0,Бодайбо
629857,1937-04-02,-2.3,-0.6,3.3,0,Бодайбо
629858,1937-04-03,-15.1,-5.8,2.9,0,Бодайбо
629859,1937-04-04,-9.7,-1.5,6.2,0,Бодайбо
629860,1937-04-05,-7.4,-5,3.9,0.5,Бодайбо
629861,1937-04-06,-22.4,-11.3,-1.9,0,Бодайбо
629862,1937-04-07,-21.3,-9.3,1.8,0,Бодайбо
629863,1937-04-08,-18.4,-7.6,2.1,0.5,Бодайбо
629864,1937-04-09,-6,-0.6,5.9,0.4,Бодайбо
629865,1937-04-10,-4.8,-1,3.5,0,Бодайбо
629866,1937-04-11,-4.7,-0.3,11.4,0,Бодайбо
629867,1937-04-12,-9.1,-1.8,3.6,0,Бодайбо
629868,1937-04-13,-12.5,-4.3,6.4,0.3,Бодайбо
629869,1937-04-14,-12.1,-4.4,0.6,2,Бодайбо
629870,1937-04-15,-13.3,-9.5,-1.1,0.5,Бодайбо
629871,1937-04-16,-25.3,-12.4,-3.1,0.2,Бодайбо
629872,1937-04-17,-10.4,-4.6,2.5,0,Бодайбо
629873,1937-04-18,-6,-3.1,0.8,0.9,Бодайбо
629874,1937-04-19,-16.6,-9.4,-2.5,0,Бодайбо
629875,1937-04-20,-14.6,-8.5,-2.4,0.1,Бодайбо
629876,1937-04-21,-11,-2.4,6.3,0.4,Бодайбо
629877,1937-04-22,-15.8,-3.8,7.7,0,Бодайбо
629878,1937-04-23,-10,-6,5.3,0.5,Бодайбо
629879,1937-04-24,-9.6,-8.3,-6,1.3,Бодайбо
629880,1937-04-25,-15.5,-7.8,-1.2,0,Бодайбо
629881,1937-04-26,-21.4,-9,5.1,0,Бодайбо
629882,1937-04-27,-17.5,-6,3.8,0,Бодайбо
629883,1937-04-28,-9.4,-0.8,6.8,0,Бодайбо
629884,1937-04-29,-11,-2.4,5.6,0,Бодайбо
629885,1937-04-30,-11.5,-2.2,6.7,0.2,Бодайбо
631624,1937-05-01,-11.2,-1.2,6.9,0,Бодайбо
631625,1937-05-02,-10.5,-0.7,8.2,0,Бодайбо
631626,1937-05-03,-1.3,3.4,9.2,0.3,Бодайбо
631627,1937-05-04,-1.5,4,9.5,0,Бодайбо
631628,1937-05-05,-6.2,3.9,12.2,0,Бодайбо
631629,1937-05-06,-5.1,5.1,14.6,0,Бодайбо
631630,1937-05-07,0.6,9.2,18.1,0,Бодайбо
631631,1937-05-08,4.1,9.2,14.2,0,Бодайбо
631632,1937-05-09,-1.5,8.2,18.8,0,Бодайбо
631633,1937-05-10,-0.1,8,15.7,0,Бодайбо
631634,1937-05-11,0,3.8,13.8,0.6,Бодайбо
631635,1937-05-12,1.7,4.2,9.3,1.4,Бодайбо
631636,1937-05-13,0.1,5,11.4,0.7,Бодайбо
631637,1937-05-14,2.1,6.4,11.2,4.9,Бодайбо
631638,1937-05-15,0.3,6.2,14.6,0,Бодайбо
631639,1937-05-16,-2.9,6.4,17.1,0,Бодайбо
631640,1937-05-17,-2.3,8.2,17.2,0,Бодайбо
631641,1937-05-18,-3.3,8.1,18,0,Бодайбо
631642,1937-05-19,-1.7,9.5,19.5,0,Бодайбо
631643,1937-05-20,-1.3,10.2,20.2,0,Бодайбо
631644,1937-05-21,-1.1,10.4,21.1,0,Бодайбо
631645,1937-05-22,-0.9,10.3,24.4,0,Бодайбо
631646,1937-05-23,4.4,6.4,12.4,1.3,Бодайбо
631647,1937-05-24,0.3,7.4,11.7,0.3,Бодайбо
631648,1937-05-25,1.5,8.8,17.4,0,Бодайбо
631649,1937-05-26,4.2,7.3,14,6,Бодайбо
631650,1937-05-27,4.1,14.2,23.2,0.2,Бодайбо
