,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
656923,1909-06-21,9,11.5,15.5,3,Бомнак
656924,1909-06-22,9.4,17.4,24.6,0,Бомнак
656925,1909-06-23,7.4,15.6,24,0,Бомнак
656926,1909-06-24,5.8,15.5,23,0,Бомнак
656927,1909-06-25,5.4,16.1,22.5,0,Бомнак
656928,1909-06-26,7.8,20.9,30.3,0,Бомнак
656929,1909-06-27,13.4,22.6,29.5,17.6,Бомнак
656930,1909-06-28,11.4,21.4,26.9,1.2,Бомнак
656931,1909-06-29,12,18.5,25.6,0,Бомнак
656932,1909-06-30,11.5,17.3,22.7,0,Бомнак
659182,1909-07-01,9.5,15.3,20.3,0,Бомнак
659183,1909-07-02,8.6,18.3,26,4.2,Бомнак
659184,1909-07-03,9.6,19.9,26.9,0,Бомнак
659185,1909-07-04,12.1,19.5,25.5,0,Бомнак
659186,1909-07-05,14.6,22.3,31,0,Бомнак
659187,1909-07-06,13.4,24.2,31.8,0,Бомнак
659188,1909-07-07,14.7,24.2,32,0,Бомнак
659189,1909-07-08,14,22.9,31.2,25.5,Бомнак
659190,1909-07-09,14.7,22.7,25,14.4,Бомнак
659191,1909-07-10,12.9,13.6,18.4,11.6,Бомнак
659192,1909-07-11,10.4,17.9,25,0,Бомнак
659193,1909-07-12,6.1,18.9,25.1,0,Бомнак
659194,1909-07-13,15.4,21.1,27.2,0,Бомнак
659195,1909-07-14,10.6,21.7,29,0,Бомнак
659196,1909-07-15,12.6,18.7,23.4,0,Бомнак
659197,1909-07-16,12.9,17.4,21.5,2,Бомнак
659198,1909-07-17,14,18.1,23.5,0.2,Бомнак
659199,1909-07-18,11.5,18.1,24.8,0,Бомнак
659200,1909-07-19,11.5,17.1,21.3,46.2,Бомнак
659201,1909-07-21,9.9,15.7,20.5,0,Бомнак
659202,1909-07-22,8.7,17.6,24.2,0,Бомнак
659203,1909-07-23,6.1,16.2,25,6.1,Бомнак
659204,1909-07-24,8.1,17,24.9,0,Бомнак
659205,1909-07-25,11.1,15.4,21.2,0,Бомнак
659206,1909-07-26,6.4,16.3,23.9,0,Бомнак
659207,1909-07-27,9.6,16.8,22.2,7.1,Бомнак
659208,1909-07-28,12.8,15.4,19.4,2.7,Бомнак
659209,1909-07-29,13.8,16.3,23.2,0,Бомнак
659210,1909-07-30,9.9,17.5,26.2,0,Бомнак
659211,1909-07-31,10.6,19.4,25.2,2,Бомнак
661470,1909-08-01,12.3,17.4,24.8,3.1,Бомнак
661471,1909-08-02,9.4,14.7,17.5,3.1,Бомнак
661472,1909-08-03,15.7,18.8,23.5,10.1,Бомнак
661473,1909-08-04,14.2,18,25,4.5,Бомнак
661474,1909-08-05,12.7,17.8,23.6,0,Бомнак
661475,1909-08-06,8.2,16.7,23.2,0,Бомнак
661476,1909-08-07,11.2,16.9,22.5,0,Бомнак
661477,1909-08-08,5.3,15.9,24.9,0,Бомнак
661478,1909-08-09,5.8,18.5,26.9,0,Бомнак
661479,1909-08-10,8.2,19,25.8,0,Бомнак
661480,1909-08-11,10,17.5,23.2,0,Бомнак
661481,1909-08-12,12.5,19.1,26,0,Бомнак
