,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
676347,1901-03-01,-25.6,-20.2,-12.5,0,Борзя
676348,1901-03-02,-29.8,-21.2,-12,0,Борзя
676349,1901-03-04,-25.4,-15.4,-5,0,Борзя
676350,1901-03-05,-22.3,-18.1,-11.1,0,Борзя
676351,1901-03-06,-28.9,-16.1,-7,0,Борзя
676352,1901-03-07,-20,-12.3,-4.6,0,Борзя
676353,1901-03-08,-23.3,-18.3,-12.4,0,Борзя
676354,1901-03-09,-23.3,-18.8,-12.7,0,Борзя
676355,1901-03-10,-30,-21.2,-14.1,0,Борзя
676356,1901-03-11,-29.2,-21.2,-15.4,0,Борзя
676357,1901-03-12,-29.5,-20.3,-13.6,0,Борзя
676358,1901-03-13,-30.9,-19.4,-10,0,Борзя
676359,1901-03-14,-26.6,-15.7,-5.6,0,Борзя
676360,1901-03-15,-21.3,-12.8,-2.4,0,Борзя
676361,1901-03-16,-28.1,-10.5,0,0,Борзя
676362,1901-03-17,-19.4,-4.7,3.9,0,Борзя
676363,1901-03-18,-11,-1.7,4.8,0,Борзя
676364,1901-03-19,-10.3,-6.7,-1.5,0,Борзя
676365,1901-03-20,-10.7,-7.9,-5.4,0,Борзя
676366,1901-03-21,-14.7,-9.1,-3.8,0,Борзя
676367,1901-03-22,-15.1,-5.1,1,2.7,Борзя
676368,1901-03-23,-8.5,-2.3,2.4,0,Борзя
676369,1901-03-24,-3.3,-0.9,6,0,Борзя
676370,1901-03-25,-11.3,-1.6,5.4,0,Борзя
676371,1901-03-26,-4.8,-1.9,6.8,0,Борзя
676372,1901-03-27,-12.2,-10.4,-0.6,0,Борзя
676373,1901-03-28,-15.6,-9.2,-4,0,Борзя
676374,1901-03-29,-13.1,-3.7,2.8,0,Борзя
676375,1901-03-30,-13.6,-3.6,3.2,0,Борзя
676376,1901-03-31,-7.5,-0.8,8.2,0,Борзя
678403,1901-04-01,-7.5,-2.2,5.4,0,Борзя
678404,1901-04-02,-11.5,-7.4,-3.5,0,Борзя
678405,1901-04-03,-8,0.3,6.1,0,Борзя
678406,1901-04-04,-8.4,-6.1,2.6,0,Борзя
678407,1901-04-05,-13.6,-5.9,-2,0,Борзя
678408,1901-04-06,-13.2,0.8,10.6,0,Борзя
678409,1901-04-07,-3.4,-0.7,2.5,0.4,Борзя
678410,1901-04-08,-11.7,-8.6,-2.3,0,Борзя
678411,1901-04-09,-15.7,-11.6,-7.5,0,Борзя
678412,1901-04-10,-18.2,-3.4,1.5,0.1,Борзя
678413,1901-04-11,-8.2,-4.1,0.2,0,Борзя
678414,1901-04-12,-11.5,-1,5,0,Борзя
678415,1901-04-13,-7.1,-0.4,4.1,0,Борзя
678416,1901-04-14,-9.6,-0.5,3.9,0,Борзя
678417,1901-04-15,-10.6,-0.4,4.9,0,Борзя
678418,1901-04-16,-5.8,2.2,7.8,0,Борзя
678419,1901-04-17,-5.2,4.4,10.5,0.3,Борзя
678420,1901-04-18,-1.5,3.4,9.8,0,Борзя
678421,1901-04-19,-6.7,4.2,12.4,0,Борзя
678422,1901-04-20,-0.1,9.9,15.4,0,Борзя
678423,1901-04-21,2.5,5.8,11.2,0,Борзя
678424,1901-04-22,-6.9,7.9,13.4,0,Борзя
678425,1901-04-23,-1.1,14.5,22.5,0,Борзя
678426,1901-04-24,-0.6,1.5,16.2,0,Борзя
678427,1901-04-25,-10,7.1,14,0,Борзя
678428,1901-04-26,-1.1,3.1,9,0,Борзя
678429,1901-04-27,-6.2,-3.1,1.2,0.9,Борзя
678430,1901-04-28,-7.2,-0.1,6.6,0,Борзя
678431,1901-04-29,-6.7,4,11.5,0,Борзя
678432,1901-04-30,-6.7,6.8,11.3,4.7,Борзя
680441,1901-05-01,0,6.5,12.6,0,Борзя
680442,1901-05-02,-2.4,14.3,20.5,0,Борзя
680443,1901-05-03,5.5,7.5,13.4,0,Борзя
680444,1901-05-04,-2.4,-0.9,6.8,2.6,Борзя
680445,1901-05-05,-1,1.8,4,0.4,Борзя
680446,1901-05-06,1.3,5.7,12,0,Борзя
680447,1901-05-07,-0.4,9.2,16.5,0,Борзя
680448,1901-05-08,-0.5,7.6,14.5,4.1,Борзя
680449,1901-05-09,-2.7,-0.8,2.1,7.7,Борзя
680450,1901-05-10,-1.7,8.7,14.4,0.8,Борзя
680451,1901-05-11,1,10.9,16.9,0,Борзя
680452,1901-05-12,4.6,14.9,22.4,0,Борзя
680453,1901-05-13,4.4,19.3,23.5,0,Борзя
680454,1901-05-14,7,14.6,19.2,0,Борзя
680455,1901-05-15,4.1,7.1,9.8,0,Борзя
680456,1901-05-16,-2.5,4.8,9.6,0,Борзя
680457,1901-05-17,-5.2,8.8,14.5,0,Борзя
680458,1901-05-18,6.7,11.8,15.5,0,Борзя
680459,1901-05-19,0.7,5.3,13.5,0,Борзя
680460,1901-05-20,-0.3,6.9,10.3,0,Борзя
680461,1901-05-21,1.8,11.9,17.9,0,Борзя
680462,1901-05-22,1.7,4.2,11.8,0,Борзя
