,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
709119,1944-09-01,12.4,20,23.3,0,Брест
709120,1944-09-02,9.5,16.5,23.5,0,Брест
709121,1944-09-03,12.6,20,29.8,0,Брест
709122,1944-09-04,10.6,14,18,16.6,Брест
709123,1944-09-05,9.7,15.9,23,0,Брест
709124,1944-09-06,12,18.7,26.2,0,Брест
709125,1944-09-07,13.3,20,26.8,0,Брест
709126,1944-09-08,12.9,18.6,25,0,Брест
709127,1944-09-09,9.5,15.4,20,0.1,Брест
709128,1944-09-10,9.5,13.7,20.4,0,Брест
709129,1944-09-11,4,12.8,20.4,0,Брест
709130,1944-09-12,4,11.2,18,0,Брест
709131,1944-09-13,2.9,8.9,15.2,0,Брест
709132,1944-09-14,-2,9,15,0,Брест
709133,1944-09-15,-2,6.6,14.5,0,Брест
709134,1944-09-16,0,8,15,0,Брест
709135,1944-09-17,0.2,8.1,16,0,Брест
709136,1944-09-18,-1,8.5,18.5,0,Брест
709137,1944-09-19,4.4,12,20,0,Брест
709138,1944-09-20,2.4,11.6,20.6,0,Брест
709139,1944-09-21,3.1,9.3,17.3,0,Брест
709140,1944-09-22,6.2,12.8,20,0,Брест
709141,1944-09-23,8.3,13.8,19.2,0,Брест
709142,1944-09-24,9.2,20.1,20.5,0,Брест
709143,1944-09-25,6.7,13.4,18.7,5.6,Брест
709144,1944-09-26,6.8,10,14.5,16,Брест
709145,1944-09-27,7.5,11.2,14.5,0.4,Брест
709146,1944-09-28,6.6,10.3,13.3,0,Брест
709147,1944-09-29,3.4,10.8,15.2,0.2,Брест
709148,1944-09-30,2.5,9.1,15.4,0,Брест
710649,1944-10-01,5,10.3,16.2,0,Брест
710650,1944-10-02,11.4,13.8,17.8,0.1,Брест
710651,1944-10-03,11.9,13.2,16,10,Брест
710652,1944-10-04,11.4,13.1,15,8.2,Брест
710653,1944-10-05,9.3,11.5,15.1,1.6,Брест
710654,1944-10-06,6.3,9.3,12.6,0,Брест
710655,1944-10-07,3,7.8,13.8,0,Брест
710656,1944-10-08,3.4,10.4,19.7,0,Брест
710657,1944-10-09,7.4,13.2,19.7,0,Брест
710658,1944-10-10,11,13.9,18.1,0,Брест
710659,1944-10-11,12.5,14.2,19.5,0,Брест
710660,1944-10-12,10.6,13.8,20.1,0,Брест
710661,1944-10-13,6.6,11.3,16.5,0,Брест
710662,1944-10-14,4.7,10.6,17.3,0,Брест
710663,1944-10-15,4,9.4,16,0,Брест
710664,1944-10-16,7,10.1,14.5,0,Брест
710665,1944-10-17,7.5,11.6,16.2,0,Брест
710666,1944-10-18,10,13.4,16.5,0.6,Брест
710667,1944-10-19,11,13,15,0.5,Брест
710668,1944-10-20,7.9,10.2,14.3,0,Брест
710669,1944-10-21,8.3,9.4,11.4,0.3,Брест
710670,1944-10-22,7,9.1,11,1.3,Брест
710671,1944-10-23,6.6,10,15.7,0,Брест
710672,1944-10-24,5.3,9,15.1,0,Брест
710673,1944-10-25,4.3,5.1,10.5,0,Брест
710674,1944-10-26,-2.5,1.1,7.4,0,Брест
710675,1944-10-27,-2.3,0.4,5,0,Брест
710676,1944-10-28,-2.4,0.3,6.5,0,Брест
710677,1944-10-29,0.5,1.8,3.5,2.5,Брест
710678,1944-10-30,-1,0.9,5.1,0,Брест
710679,1944-10-31,-1.4,1.7,4.2,0,Брест
