,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
715227,1936-01-01,-13.5,-12,-9.4,0,Бухта Провидения
715228,1936-01-02,-15.4,-12.8,-10.9,0,Бухта Провидения
715229,1936-01-03,-17.9,-13.6,-11,0,Бухта Провидения
715230,1936-01-04,-15.3,-12,-10.4,0,Бухта Провидения
715231,1936-01-05,-17.2,-15.6,-12.4,0,Бухта Провидения
715232,1936-01-06,-17.7,-14.4,-10.9,0,Бухта Провидения
715233,1936-01-07,-23.2,-20.5,-12.9,0,Бухта Провидения
715234,1936-01-08,-23.2,-21.9,-19.5,0,Бухта Провидения
715235,1936-01-09,-26.9,-24.9,-21.9,0,Бухта Провидения
715236,1936-01-10,-27.5,-26.1,-24.4,0,Бухта Провидения
715237,1936-01-11,-25.4,-21.9,-20.7,0.5,Бухта Провидения
715238,1936-01-12,-26.4,-23.6,-20.7,0,Бухта Провидения
715239,1936-01-13,-28.4,-26.4,-23,0,Бухта Провидения
715240,1936-01-14,-25.2,-22.2,-18.5,0,Бухта Провидения
715241,1936-01-15,-23.1,-19.7,-17,0,Бухта Провидения
715242,1936-01-16,-26,-23.3,-17.8,0,Бухта Провидения
715243,1936-01-17,-25.8,-22.6,-16.6,0,Бухта Провидения
715244,1936-01-18,-25.8,-22.3,-18.9,0,Бухта Провидения
715245,1936-01-19,-19.7,-14.7,-13.8,0,Бухта Провидения
715246,1936-01-20,-16.4,-12.9,-10.4,0,Бухта Провидения
715247,1936-01-21,-18,-12,-8.9,0,Бухта Провидения
715248,1936-01-22,-18,-14.3,-11.3,0,Бухта Провидения
715249,1936-01-23,-20.9,-19.6,-15,0,Бухта Провидения
715250,1936-01-24,-19.4,-16.7,-14,0.9,Бухта Провидения
715251,1936-01-25,-18.9,-15,-12.5,0.7,Бухта Провидения
715252,1936-01-26,-27,-22.4,-17.6,0,Бухта Провидения
715253,1936-01-27,-28,-20.8,-16,0,Бухта Провидения
715254,1936-01-28,-16.2,-12.2,-8.4,0.1,Бухта Провидения
715255,1936-01-29,-9.9,-8,-6.4,0,Бухта Провидения
715256,1936-01-30,-12.3,-10.5,-7.4,0.6,Бухта Провидения
715257,1936-01-31,-14.3,-12,-10.1,0.4,Бухта Провидения
717025,1936-02-01,-15.7,-11.6,-7.1,1,Бухта Провидения
717026,1936-02-02,-10.4,-8.1,-6.7,0.2,Бухта Провидения
717027,1936-02-03,-16.1,-14.4,-9.6,0,Бухта Провидения
717028,1936-02-04,-18.6,-17.1,-13.9,0,Бухта Провидения
717029,1936-02-05,-22.9,-19.6,-17.5,0,Бухта Провидения
717030,1936-02-06,-22.9,-21.4,-19.3,0,Бухта Провидения
717031,1936-02-07,-23.4,-18.3,-16.2,0,Бухта Провидения
717032,1936-02-08,-27.2,-24.1,-16.8,0,Бухта Провидения
717033,1936-02-09,-28.2,-22.7,-17.5,0,Бухта Провидения
717034,1936-02-10,-24.9,-22.8,-20.1,0,Бухта Провидения
717035,1936-02-11,-25.4,-18,-14.7,0,Бухта Провидения
717036,1936-02-12,-16.4,-12.1,-9.8,0.3,Бухта Провидения
717037,1936-02-13,-10.7,-9.6,-8.4,0,Бухта Провидения
717038,1936-02-14,-11.9,-10.3,-8.3,0.1,Бухта Провидения
717039,1936-02-15,-14.4,-11.5,-9.2,0.3,Бухта Провидения
717040,1936-02-16,-20.8,-18.5,-10.8,0,Бухта Провидения
717041,1936-02-17,-21.4,-16.3,-14.1,0.1,Бухта Провидения
717042,1936-02-18,-16.2,-14.4,-12.7,0,Бухта Провидения
717043,1936-02-19,-16.9,-14.9,-12.6,0,Бухта Провидения
717044,1936-02-20,-20.4,-17.9,-14.3,0,Бухта Провидения
717045,1936-02-21,-18.9,-16.7,-15.4,0,Бухта Провидения
717046,1936-02-22,-17.7,-16.5,-14.9,0,Бухта Провидения
717047,1936-02-23,-16.4,-10.9,-8.4,0.3,Бухта Провидения
