,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
759595,1914-02-15,-4.8,-1.8,0.6,0,Василевичи
759596,1914-02-16,-1.1,2.9,5,0,Василевичи
759597,1914-02-17,1.3,2.9,5.5,0.5,Василевичи
759598,1914-02-18,0.8,2.1,3.6,0,Василевичи
759599,1914-02-19,0.3,2.6,6.2,0.8,Василевичи
759600,1914-02-20,-0.1,1.6,3,1.8,Василевичи
759601,1914-02-21,-0.7,0.4,1,1.2,Василевичи
759602,1914-02-22,-3.7,-2.5,0,0.5,Василевичи
759603,1914-02-23,-4.7,-3.8,-3,17,Василевичи
759604,1914-02-24,-7.1,-4,-1.5,18,Василевичи
759605,1914-02-25,-3.2,-0.7,1.4,0.5,Василевичи
759606,1914-02-26,-0.7,1.3,3.4,0.4,Василевичи
759607,1914-02-27,0.7,2.5,4.1,3.3,Василевичи
759608,1914-02-28,-1.7,-0.6,2.2,0.1,Василевичи
761187,1914-03-01,-4.1,-2.8,-1,0,Василевичи
761188,1914-03-02,-3.8,-3.2,-2,0,Василевичи
761189,1914-03-03,-4.4,-2.6,0,0.2,Василевичи
761190,1914-03-04,-3.6,-1.5,2,0.4,Василевичи
761191,1914-03-05,-4.1,0.5,4.4,4.4,Василевичи
761192,1914-03-06,0.2,1.5,3.4,1.3,Василевичи
761193,1914-03-07,0.8,3.9,6,2.5,Василевичи
761194,1914-03-08,-1.4,0.5,3.5,0.7,Василевичи
761195,1914-03-09,-2.2,1,3.1,1.6,Василевичи
761196,1914-03-10,2,8.8,14,0.4,Василевичи
761197,1914-03-11,1.4,5.3,9,1.5,Василевичи
761198,1914-03-12,-3.1,-0.9,1.7,0,Василевичи
761199,1914-03-13,-3.6,0.1,4.3,1.6,Василевичи
761200,1914-03-14,-7.7,-3.8,0.2,0.2,Василевичи
761201,1914-03-15,-6.1,0.1,5.5,0,Василевичи
761202,1914-03-16,1.4,3.8,7.2,2.2,Василевичи
761203,1914-03-17,2.4,4.3,8.5,3.7,Василевичи
761204,1914-03-18,0.6,2.4,6,0,Василевичи
761205,1914-03-19,-1.8,2.2,7.9,0,Василевичи
761206,1914-03-20,-3.8,2.2,7.5,0,Василевичи
761207,1914-03-21,0.9,2.7,4.7,0,Василевичи
761208,1914-03-22,2.6,3.9,6,8,Василевичи
761209,1914-03-23,3.6,4.8,6.7,4.5,Василевичи
761210,1914-03-24,2.7,4.2,9.5,3.6,Василевичи
761211,1914-03-25,3.4,5.7,8.3,0,Василевичи
761212,1914-03-26,3,9.4,14.7,2.1,Василевичи
761213,1914-03-27,7.7,9,10.5,6,Василевичи
761214,1914-03-28,7.2,7.8,9.5,4.5,Василевичи
761215,1914-03-29,5.4,8.2,10.5,0.7,Василевичи
761216,1914-03-30,0.1,2.3,8.2,0.6,Василевичи
761217,1914-03-31,-3,-0.4,4,0,Василевичи
763012,1914-04-01,-4.5,0.5,3.4,0,Василевичи
763013,1914-04-02,2.7,3.9,6,0.7,Василевичи
763014,1914-04-03,-0.6,3.3,5.8,12.5,Василевичи
763015,1914-04-04,0.4,1.4,3,5,Василевичи
763016,1914-04-05,0.7,1.6,3,0.3,Василевичи
763017,1914-04-06,-0.9,3.5,8.5,0,Василевичи
763018,1914-04-07,-0.1,4.8,9.4,3.5,Василевичи
763019,1914-04-08,3.6,3.9,6.6,6.4,Василевичи
763020,1914-04-09,3.3,4.6,6.5,6.3,Василевичи
763021,1914-04-10,2.8,5.7,7.9,0.2,Василевичи
763022,1914-04-11,1,5.7,9.4,0.1,Василевичи
763023,1914-04-12,3.4,12.3,18.9,2,Василевичи
763024,1914-04-13,6.5,9.2,13.7,0,Василевичи
763025,1914-04-14,5.3,12,18,0,Василевичи
763026,1914-04-15,7.8,9.6,13.6,0,Василевичи
763027,1914-04-16,2.8,5.2,9.5,0.1,Василевичи
763028,1914-04-17,-0.3,3.8,8.6,0,Василевичи
763029,1914-04-18,2.4,5.5,8,0,Василевичи
763030,1914-04-19,-0.8,9.3,16.1,0,Василевичи
763031,1914-04-20,2.8,8.6,15,0,Василевичи
763032,1914-04-21,4,10.1,17,0,Василевичи
763033,1914-04-22,2.8,11.7,16.6,0,Василевичи
763034,1914-04-23,9.7,16.1,22.5,0,Василевичи
763035,1914-04-24,7.4,15.6,23,0,Василевичи
763036,1914-04-25,8.3,10.7,15.5,1.4,Василевичи
763037,1914-04-26,3.9,6.9,10.6,2.3,Василевичи
763038,1914-04-27,3.8,6.3,9.6,4.5,Василевичи
763039,1914-04-28,2.8,6.5,10.5,0.3,Василевичи
763040,1914-04-29,1.8,12.4,19,0,Василевичи
763041,1914-04-30,10.1,13,17.5,0,Василевичи
764777,1914-05-01,7.9,14.5,21.7,15.4,Василевичи
764778,1914-05-02,4.8,6.7,10.6,3.6,Василевичи
764779,1914-05-03,2.9,5.7,8.4,0,Василевичи
764780,1914-05-04,1.3,9.4,14.5,0,Василевичи
764781,1914-05-05,4.1,13.6,20,0,Василевичи
764782,1914-05-06,7.9,14.5,21,0,Василевичи
764783,1914-05-07,8.6,15,21.5,0,Василевичи
764784,1914-05-08,6.1,16.4,23.5,0.7,Василевичи
764785,1914-05-09,10,14.3,21.5,0,Василевичи
764786,1914-05-10,10,17.7,24,0.1,Василевичи
764787,1914-05-11,10.6,12.1,15.4,13.5,Василевичи
