,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
779354,1900-01-01,-2.4,1,3,0.3,Великие Луки
779355,1900-01-02,-2.4,-0.8,0.5,2.5,Великие Луки
779356,1900-01-03,-6.9,-2.6,0.5,0,Великие Луки
779357,1900-01-04,-10.5,-10.1,-3.6,2.8,Великие Луки
779358,1900-01-05,-9.9,-7.8,-6.8,3,Великие Луки
779359,1900-01-06,-15.5,-12,-6,0.2,Великие Луки
779360,1900-01-07,-22.9,-19.8,-12.8,0,Великие Луки
779361,1900-01-08,-29.4,-26.8,-22,0,Великие Луки
779362,1900-01-09,-31.5,-24.5,-19,0,Великие Луки
779363,1900-01-10,-22.9,-19.6,-11,0,Великие Луки
779364,1900-01-11,-25.1,-21.4,-13.5,0,Великие Луки
779365,1900-01-12,-26.9,-16.5,-10,1.3,Великие Луки
779366,1900-01-13,-16.9,-14.8,-11.2,0.6,Великие Луки
779367,1900-01-14,-19.9,-13.3,-8.1,0,Великие Луки
779368,1900-01-15,-12.6,-11.5,-9.5,0,Великие Луки
779369,1900-01-16,-16.4,-11.8,-8.5,0.1,Великие Луки
779370,1900-01-17,-12.4,-10.2,-7.5,1.7,Великие Луки
779371,1900-01-18,-14.4,-12.9,-9.5,1.2,Великие Луки
779372,1900-01-19,-13.4,-11.3,-10,1.2,Великие Луки
779373,1900-01-20,-14.9,-9.2,-6.5,0.6,Великие Луки
779374,1900-01-21,-7.8,-3.2,0.3,0.2,Великие Луки
779375,1900-01-22,-0.9,-0.1,1.4,0,Великие Луки
779376,1900-01-23,-5.1,-4,-0.3,6.3,Великие Луки
779377,1900-01-24,-5.1,0.7,1.2,0,Великие Луки
779378,1900-01-25,-2.9,-1.8,0.1,0,Великие Луки
779379,1900-01-26,-8.4,-4.3,-1,0,Великие Луки
779380,1900-01-27,-7.7,-2.7,1.8,0.1,Великие Луки
779381,1900-01-28,-4.1,-2.6,-0.7,2,Великие Луки
779382,1900-01-29,-3.3,-2.2,0.2,0.6,Великие Луки
779383,1900-01-30,-5.9,-4.7,-2.8,1.2,Великие Луки
779384,1900-01-31,-6.4,-3.7,0,3.7,Великие Луки
781346,1900-02-01,-6.4,1.4,2.5,0.3,Великие Луки
781347,1900-02-02,-1.9,-0.3,2,0.6,Великие Луки
781348,1900-02-03,-6.5,-3.3,-0.5,0,Великие Луки
781349,1900-02-04,-2.5,-0.4,0.2,2.2,Великие Луки
781350,1900-02-05,-2,-0.4,0.9,0,Великие Луки
781351,1900-02-06,-3.4,-1.9,-0.2,0,Великие Луки
781352,1900-02-07,-3.4,-2.3,-1.7,2.1,Великие Луки
781353,1900-02-08,-3.9,-2.4,-0.5,1.4,Великие Луки
781354,1900-02-09,-13.4,-8.2,-3.5,1.6,Великие Луки
781355,1900-02-10,-13.9,-9.5,-5.5,0,Великие Луки
781356,1900-02-11,-10.2,-3.9,-1.6,11.7,Великие Луки
781357,1900-02-12,-4.8,-3.7,-1.3,6.7,Великие Луки
781358,1900-02-13,-5.1,-1.8,0.3,0.6,Великие Луки
781359,1900-02-14,-5.6,-2.9,-1.8,0.2,Великие Луки
781360,1900-02-15,-20.1,-17.3,-3.9,0,Великие Луки
781361,1900-02-16,-27.3,-23.5,-18.9,0,Великие Луки
781362,1900-02-19,-22.9,-11.5,-5.6,6,Великие Луки
781363,1900-02-20,-8.7,-6.1,-3.2,0,Великие Луки
