,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
803267,1936-01-01,-0.2,0.8,1.1,6,Веребье
803268,1936-01-02,0.2,0.8,1.4,1.9,Веребье
803269,1936-01-03,0.4,1,1.1,1.6,Веребье
803270,1936-01-04,0,0.4,1.1,3.1,Веребье
803271,1936-01-05,0.5,1.3,1.7,1.7,Веребье
803272,1936-01-06,-4.9,-0.8,1.4,1.4,Веребье
803273,1936-01-07,-6.5,-5.3,-4,0,Веребье
803274,1936-01-08,-6.7,-3.4,0.3,4.2,Веребье
803275,1936-01-09,-1,-0.2,0.6,0.4,Веребье
803276,1936-01-10,-2,-1.4,-0.3,0,Веребье
803277,1936-01-11,-2.6,-0.9,0.3,1.2,Веребье
803278,1936-01-12,-1.8,-0.2,0.9,1.2,Веребье
803279,1936-01-13,-5.8,-4.4,-1.7,0.5,Веребье
803280,1936-01-14,-11.2,-8.6,-5.7,1.8,Веребье
803281,1936-01-15,-11.3,-8.1,-5.9,2.3,Веребье
803282,1936-01-16,-6.9,-5,-4,2.6,Веребье
803283,1936-01-17,-8.3,-7.5,-4.1,0.7,Веребье
803284,1936-01-18,-13.6,-8.6,-5.3,0.3,Веребье
803285,1936-01-19,-5.4,-3.6,-2,5.2,Веребье
803286,1936-01-20,-2.3,-1.2,-0.3,2.1,Веребье
803287,1936-01-21,-4.3,-2.5,-0.6,0,Веребье
803288,1936-01-22,-1.6,0.6,2,4.1,Веребье
803289,1936-01-23,0,0.6,1.3,0.7,Веребье
803290,1936-01-24,-1.4,-0.8,0.7,5.9,Веребье
803291,1936-01-25,-5.3,-3.2,-1.2,0,Веребье
803292,1936-01-26,-5.6,-4.6,-4,0.6,Веребье
803293,1936-01-27,-8.9,-4.7,-3,4.7,Веребье
803294,1936-01-28,-21.5,-16.6,-8.4,0,Веребье
803295,1936-01-29,-16.9,-11,-8.8,0.1,Веребье
803296,1936-01-30,-29.1,-23,-11.9,0,Веребье
803297,1936-01-31,-27.1,-21.2,-15.2,0,Веребье
804817,1936-02-01,-17.7,-12.2,-7.9,0.9,Веребье
804818,1936-02-02,-8.9,-6.9,-4.9,4.6,Веребье
804819,1936-02-03,-6,-1.2,0,0.3,Веребье
804820,1936-02-04,-0.6,2.1,2.9,3.2,Веребье
804821,1936-02-05,0.4,1,2.3,2.7,Веребье
804822,1936-02-06,-3.4,-1,0.7,6.2,Веребье
804823,1936-02-07,-12.3,-9.5,-3.3,2.9,Веребье
804824,1936-02-08,-10.9,-8.8,-5.9,5.5,Веребье
804825,1936-02-09,-20.1,-15.1,-4.3,4.3,Веребье
804826,1936-02-10,-28.5,-25.3,-19.6,0.1,Веребье
804827,1936-02-11,-29.1,-18.5,-14.2,0.1,Веребье
804828,1936-02-12,-16.3,-12.8,-9.3,1.8,Веребье
804829,1936-02-13,-11,-8.6,-5.3,3.5,Веребье
804830,1936-02-14,-13.7,-11.7,-6.8,0.7,Веребье
804831,1936-02-15,-17.6,-16,-12.4,2.7,Веребье
804832,1936-02-16,-21.6,-19.1,-14.4,1.4,Веребье
804833,1936-02-17,-29.9,-22.5,-13.7,0,Веребье
804834,1936-02-18,-27.8,-20.3,-15.3,0,Веребье
804835,1936-02-19,-27.7,-20.4,-13.3,0,Веребье
804836,1936-02-20,-19.8,-16.1,-13,0,Веребье
