,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
821250,1900-01-01,-55.2,-52.3,-51.7,0,Верхоянск
821251,1900-01-02,-52.4,-42.9,-39.5,0,Верхоянск
821252,1900-01-04,-52.4,-45.7,-39.5,0,Верхоянск
821253,1900-01-05,-56.7,-55.5,-54.7,0,Верхоянск
821254,1900-01-07,-53.7,-46.5,-45.3,0,Верхоянск
821255,1900-01-08,-51.2,-49.8,-48.7,1,Верхоянск
821256,1900-01-09,-52.2,-48,-45.6,0,Верхоянск
821257,1900-01-10,-52.7,-51,-49.7,0,Верхоянск
821258,1900-01-11,-57.1,-54.9,-53.2,0,Верхоянск
821259,1900-01-12,-59.1,-58.3,-58.1,0,Верхоянск
821260,1900-01-13,-58.1,-57.6,-57.1,0,Верхоянск
821261,1900-01-14,-59.1,-58.5,-58.3,0,Верхоянск
821262,1900-01-15,-59.6,-58.7,-58.1,0,Верхоянск
821263,1900-01-16,-59.1,-53.5,-51.2,0,Верхоянск
821264,1900-01-17,-59.1,-57.4,-56.4,0,Верхоянск
821265,1900-01-18,-60.6,-60,-59.1,0.4,Верхоянск
821266,1900-01-19,-61.1,-58.7,-57.5,0,Верхоянск
821267,1900-01-20,-63.9,-63,-62.1,0,Верхоянск
821268,1900-01-21,-64.6,-63.5,-62.2,0,Верхоянск
821269,1900-01-22,-64.4,-62.9,-61.9,0,Верхоянск
821270,1900-01-23,-63.6,-60.4,-58.7,0,Верхоянск
821271,1900-01-24,-58.7,-56.9,-56.2,0,Верхоянск
821272,1900-01-25,-59.1,-57.3,-56.2,0,Верхоянск
821273,1900-01-26,-60.3,-58.7,-57.1,0,Верхоянск
821274,1900-01-27,-60.2,-57.8,-56.2,0,Верхоянск
821275,1900-01-28,-56.2,-50.8,-50,0,Верхоянск
821276,1900-01-29,-53.2,-50.8,-49.6,0.7,Верхоянск
821277,1900-01-30,-52.2,-45.1,-43,0.6,Верхоянск
821278,1900-01-31,-48.7,-46.3,-44.6,0.5,Верхоянск
823548,1900-02-01,-53.6,-50.5,-50.2,0,Верхоянск
823549,1900-02-02,-50.8,-45,-41.5,2.6,Верхоянск
823550,1900-02-03,-41.5,-38.1,-36.6,1.8,Верхоянск
823551,1900-02-04,-44.6,-41.9,-40,1.3,Верхоянск
823552,1900-02-05,-46.6,-44.7,-44.3,0.5,Верхоянск
823553,1900-02-06,-52.6,-49.3,-46.4,0,Верхоянск
823554,1900-02-07,-57.4,-54.6,-51.4,0,Верхоянск
823555,1900-02-08,-55.5,-53,-51.2,0,Верхоянск
823556,1900-02-09,-55.5,-52.6,-49.8,0,Верхоянск
823557,1900-02-10,-56.2,-49.3,-44.1,0,Верхоянск
823558,1900-02-11,-51,-47.5,-44.1,0,Верхоянск
823559,1900-02-12,-52.2,-49,-47.2,0,Верхоянск
823560,1900-02-13,-52.7,-47.9,-45.6,0,Верхоянск
823561,1900-02-14,-52.5,-49.3,-45.6,0,Верхоянск
823562,1900-02-15,-55.2,-51.3,-47.5,0,Верхоянск
823563,1900-02-16,-53.7,-49.3,-45.1,0,Верхоянск
823564,1900-02-17,-50.2,-45.3,-42.2,0,Верхоянск
823565,1900-02-18,-50.2,-44.8,-41.1,0.6,Верхоянск
823566,1900-02-20,-47.2,-43.4,-40.5,0,Верхоянск
823567,1900-02-21,-50.6,-46.3,-41.1,0,Верхоянск
823568,1900-02-22,-50.3,-45.3,-42.2,0.3,Верхоянск
823569,1900-02-23,-52.8,-48.4,-43.5,0,Верхоянск
823570,1900-02-24,-54.3,-43.1,-37.8,0.2,Верхоянск
823571,1900-02-25,-53.8,-45.4,-42.1,0,Верхоянск
823572,1900-02-27,-50.2,-45.6,-40,0,Верхоянск
823573,1900-02-28,-55.6,-46.5,-43.7,0.3,Верхоянск
825582,1900-03-01,-48.2,-43.6,-38.6,0,Верхоянск
825583,1900-03-02,-52.2,-46.8,-41.2,0,Верхоянск
825584,1900-03-03,-52.7,-45.1,-37.7,0,Верхоянск
825585,1900-03-04,-53.5,-45.7,-39.4,0,Верхоянск
836148,1900-08-01,5.3,6.8,8,0,Верхоянск
836149,1900-08-02,4.1,8.1,10,0,Верхоянск
836150,1900-08-03,6.8,10.7,13.4,0.3,Верхоянск
836151,1900-08-04,8.2,10.9,13.2,0,Верхоянск
836152,1900-08-05,4.6,8.5,10.7,0,Верхоянск
836153,1900-08-06,6.1,9.1,12.2,0,Верхоянск
836154,1900-08-07,5,12.5,15.1,0,Верхоянск
836155,1900-08-08,8.8,12.5,15.6,0,Верхоянск
836156,1900-08-09,6.7,12.5,16.5,0,Верхоянск
836157,1900-08-10,4.6,13,19.8,0,Верхоянск
836158,1900-08-11,4.6,13.6,18.7,0,Верхоянск
836159,1900-08-12,6.5,16.1,24,0,Верхоянск
836160,1900-08-13,10.2,12.6,16.5,2.6,Верхоянск
836161,1900-08-14,10.1,13.6,16.4,0,Верхоянск
836162,1900-08-15,5.1,9.8,14.1,0,Верхоянск
842486,1900-11-02,-47,-43,-39.4,0.1,Верхоянск
842487,1900-11-03,-43,-40.7,-37.7,0,Верхоянск
842488,1900-11-04,-47,-44.6,-40.5,0,Верхоянск
842489,1900-11-05,-47.7,-43.4,-40.7,0,Верхоянск
842490,1900-11-09,-43.1,-41.4,-38.5,0,Верхоянск
842491,1900-11-10,-44.7,-42.7,-41.5,0.7,Верхоянск
842492,1900-11-12,-44.6,-43,-40.2,0,Верхоянск
842493,1900-11-13,-43,-40.4,-38.5,0,Верхоянск
842494,1900-11-19,-45.4,-41.3,-36.6,1.5,Верхоянск
842495,1900-11-23,-42.3,-39.1,-36.2,0.1,Верхоянск
842496,1900-11-26,-43,-40.6,-36.5,0,Верхоянск
842497,1900-11-27,-50.2,-45.2,-41.7,0,Верхоянск
842498,1900-11-30,-55.3,-52.1,-48.4,0,Верхоянск
844641,1900-12-01,-58.1,-57.7,-57.4,0,Верхоянск
844642,1900-12-02,-61.6,-60.3,-59.3,0,Верхоянск
844643,1900-12-03,-62.3,-61.9,-61.5,0,Верхоянск
844644,1900-12-04,-59.1,-56,-53.3,0,Верхоянск
844645,1900-12-05,-53.2,-49.9,-46.1,0,Верхоянск
844646,1900-12-06,-44.1,-41.1,-38.3,0.4,Верхоянск
844647,1900-12-07,-51.2,-46.1,-41,0.1,Верхоянск
844648,1900-12-08,-53.9,-49.7,-46.1,0,Верхоянск
844649,1900-12-09,-59.1,-58.4,-57.9,0,Верхоянск
844650,1900-12-10,-53.6,-47.7,-40.8,0,Верхоянск
844651,1900-12-12,-52.2,-51.6,-50.7,0,Верхоянск
844652,1900-12-13,-50.2,-48.6,-46.5,0,Верхоянск
844653,1900-12-14,-45.4,-40.9,-36.9,0,Верхоянск
844654,1900-12-16,-44.8,-43.3,-42.3,0,Верхоянск
844655,1900-12-17,-40.2,-39.8,-39.5,0.5,Верхоянск
844656,1900-12-19,-56.9,-55.9,-55.3,0,Верхоянск
844657,1900-12-20,-57.6,-57.2,-57,0,Верхоянск
844658,1900-12-21,-54.2,-52.4,-51.4,0.2,Верхоянск
844659,1900-12-22,-59.6,-57.9,-56.7,0,Верхоянск
844660,1900-12-23,-59.1,-49.3,-42.4,0,Верхоянск
844661,1900-12-24,-47.5,-43,-40.6,0,Верхоянск
844662,1900-12-25,-57,-51.7,-45.1,0.3,Верхоянск
844663,1900-12-26,-63.3,-60.3,-58,0,Верхоянск
844664,1900-12-27,-64.1,-62.6,-61.6,0,Верхоянск
844665,1900-12-28,-63.1,-55.4,-53.2,0,Верхоянск
844666,1900-12-29,-58.1,-53.8,-51.2,0,Верхоянск
844667,1900-12-30,-59.1,-57,-55.2,0,Верхоянск
844668,1900-12-31,-58.6,-55.9,-53.6,0,Верхоянск
821279,1901-01-01,-58.2,-57.8,-57.7,0,Верхоянск
821280,1901-01-02,-58.7,-56.8,-54.3,0,Верхоянск
821281,1901-01-03,-57.6,-56.7,-55.9,0,Верхоянск
821282,1901-01-04,-58.6,-58,-57.9,0,Верхоянск
821283,1901-01-05,-58.7,-58.1,-57.8,0,Верхоянск
821284,1901-01-06,-57.8,-47.7,-43.9,0,Верхоянск
821285,1901-01-07,-45.4,-42.6,-39.1,1,Верхоянск
821286,1901-01-08,-57,-52.8,-48.3,0,Верхоянск
821287,1901-01-09,-59.5,-58.7,-58.2,0,Верхоянск
821288,1901-01-10,-58.9,-54.4,-52.8,0.2,Верхоянск
821289,1901-01-11,-57.8,-56.9,-56.2,0,Верхоянск
821290,1901-01-12,-59.2,-55.7,-50.6,0,Верхоянск
821291,1901-01-13,-54.6,-50.7,-49.3,0,Верхоянск
821292,1901-01-14,-51.9,-47,-42.8,1.5,Верхоянск
821293,1901-01-16,-56.4,-49.7,-46.3,0,Верхоянск
821294,1901-01-18,-56.5,-53.7,-50.9,0,Верхоянск
821295,1901-01-19,-61.7,-60.5,-59.7,0,Верхоянск
821296,1901-01-20,-59.7,-54.1,-52.9,0,Верхоянск
821297,1901-01-21,-52.9,-50.8,-49.8,0,Верхоянск
821298,1901-01-22,-50.8,-49.7,-49.3,0,Верхоянск
821299,1901-01-23,-49.4,-40.2,-37.3,1.3,Верхоянск
821300,1901-01-24,-45.4,-41,-37.9,0.8,Верхоянск
821301,1901-01-25,-58.7,-56.8,-56.2,0,Верхоянск
821302,1901-01-26,-56.9,-54.8,-52.8,0,Верхоянск
821303,1901-01-27,-61.2,-59.1,-57.4,0,Верхоянск
821304,1901-01-28,-60.8,-57.3,-53.1,0,Верхоянск
821305,1901-01-29,-53.1,-42,-38.6,0.5,Верхоянск
821306,1901-01-31,-46.4,-42.9,-39.7,0.1,Верхоянск
823574,1901-02-01,-52.1,-49.6,-47.6,0,Верхоянск
823575,1901-02-02,-54.1,-51.2,-47.9,0,Верхоянск
823576,1901-02-03,-51.9,-48.5,-47,0,Верхоянск
823577,1901-02-04,-52.3,-46.8,-43.8,0,Верхоянск
823578,1901-02-05,-56.1,-53.7,-50,0,Верхоянск
823579,1901-02-06,-56.9,-53.6,-50.9,0,Верхоянск
823580,1901-02-07,-57,-54.8,-51.7,0,Верхоянск
823581,1901-02-08,-58.5,-55.1,-52.4,0,Верхоянск
823582,1901-02-09,-56.4,-53.7,-51.1,0,Верхоянск
823583,1901-02-10,-53.9,-47.7,-41.6,0,Верхоянск
823584,1901-02-21,-46,-41.3,-38.1,0.2,Верхоянск
823585,1901-02-22,-53.5,-48.3,-41.8,0,Верхоянск
823586,1901-02-25,-50.3,-44.1,-38,0,Верхоянск
823587,1901-02-26,-49.4,-42.4,-38.6,0,Верхоянск
823588,1901-02-27,-46.5,-40,-37.3,0,Верхоянск
842499,1901-11-08,-44.7,-42.1,-38.8,0,Верхоянск
842500,1901-11-10,-45.2,-43.1,-39.3,0,Верхоянск
842501,1901-11-11,-45.9,-44,-40.8,0,Верхоянск
842502,1901-11-12,-47.5,-45.9,-43.3,0,Верхоянск
842503,1901-11-17,-44,-41.7,-39.3,0,Верхоянск
842504,1901-11-18,-44.6,-42.5,-40.9,0,Верхоянск
842505,1901-11-19,-43.8,-42.8,-41,0,Верхоянск
842506,1901-11-20,-45.1,-44,-42.6,0,Верхоянск
842507,1901-11-21,-46.1,-45,-43.8,0,Верхоянск
842508,1901-11-22,-45.6,-40.2,-36.2,0,Верхоянск
842509,1901-11-23,-41.1,-40.4,-39.6,0,Верхоянск
842510,1901-11-24,-43.4,-41.9,-40.8,0,Верхоянск
842511,1901-11-25,-44.8,-40.8,-39.4,0,Верхоянск
842512,1901-11-26,-43.4,-38.6,-36,0.5,Верхоянск
842513,1901-11-27,-46.9,-45.5,-44.7,0,Верхоянск
842514,1901-11-28,-49,-43.9,-36.3,0,Верхоянск
842515,1901-11-30,-44.3,-43.6,-43.3,0,Верхоянск
844669,1901-12-01,-43.8,-40.7,-38.2,0,Верхоянск
844670,1901-12-14,-43.7,-40.3,-38.8,0.4,Верхоянск
844671,1901-12-16,-45.6,-40.4,-36.4,0,Верхоянск
844672,1901-12-18,-44.7,-41.1,-37.2,0,Верхоянск
844673,1901-12-19,-46,-45.5,-45.3,0,Верхоянск
844674,1901-12-20,-45.3,-41.8,-38.3,0,Верхоянск
844675,1901-12-25,-43.9,-40.8,-40.2,0,Верхоянск
844676,1901-12-26,-42.1,-40.7,-39.1,0.1,Верхоянск
844677,1901-12-27,-49.3,-47,-45.1,0,Верхоянск
844678,1901-12-28,-50.8,-50.2,-49.6,0,Верхоянск
844679,1901-12-29,-49.6,-48,-47.6,0,Верхоянск
844680,1901-12-30,-50.4,-49.9,-49.7,0,Верхоянск
844681,1901-12-31,-50.9,-45.8,-43.8,0,Верхоянск
821307,1902-01-01,-50.5,-49.5,-49.1,0,Верхоянск
821308,1902-01-02,-50.5,-45.7,-42.4,0,Верхоянск
821309,1902-01-03,-50.7,-49.4,-48.3,0,Верхоянск
821310,1902-01-04,-54.1,-53.5,-53.2,0,Верхоянск
821311,1902-01-05,-53.9,-52.6,-52.4,0,Верхоянск
821312,1902-01-06,-53.1,-52.5,-52.4,0,Верхоянск
821313,1902-01-07,-54.1,-54,-53.7,0,Верхоянск
821314,1902-01-08,-54.1,-54,-53.9,0,Верхоянск
821315,1902-01-09,-55.1,-53.9,-53.2,0,Верхоянск
821316,1902-01-10,-55.9,-55.4,-55.2,0,Верхоянск
821317,1902-01-11,-56.7,-55.9,-55.3,0,Верхоянск
821318,1902-01-12,-57,-56.3,-56,0,Верхоянск
821319,1902-01-13,-57,-56,-55.7,0,Верхоянск
821320,1902-01-14,-57.1,-56.5,-56.2,0,Верхоянск
821321,1902-01-15,-57.2,-56.5,-56.2,0,Верхоянск
821322,1902-01-16,-56.9,-53.5,-50.3,0,Верхоянск
821323,1902-01-17,-50.7,-48.6,-48.1,0,Верхоянск
821324,1902-01-18,-54.7,-52.8,-51.4,0,Верхоянск
821325,1902-01-19,-56.5,-55.4,-54.2,0,Верхоянск
821326,1902-01-20,-57.7,-55.9,-54.7,0,Верхоянск
821327,1902-01-21,-56.6,-50.7,-47,0,Верхоянск
821328,1902-01-22,-48.2,-45,-44.4,0,Верхоянск
821329,1902-01-23,-44.8,-42.5,-41.4,0,Верхоянск
821330,1902-01-24,-51,-48.2,-45.9,0,Верхоянск
821331,1902-01-25,-52.2,-47.8,-45.4,0.2,Верхоянск
821332,1902-01-26,-51,-48.1,-46.9,0,Верхоянск
821333,1902-01-27,-49,-46,-44.8,0,Верхоянск
821334,1902-01-28,-46.6,-43.6,-41,0.4,Верхоянск
821335,1902-01-29,-47.7,-42.2,-39.2,0.3,Верхоянск
821336,1902-01-30,-40.8,-39.2,-38.5,0.4,Верхоянск
821337,1902-01-31,-43.4,-38.7,-36.1,0.1,Верхоянск
823589,1902-02-06,-51.1,-48.2,-44.9,0.1,Верхоянск
823590,1902-02-07,-54.4,-51.7,-48.4,0,Верхоянск
823591,1902-02-08,-54,-44.9,-40.5,0.2,Верхоянск
823592,1902-02-12,-49.8,-46.3,-41.1,0,Верхоянск
823593,1902-02-13,-53.3,-49.6,-44.5,0,Верхоянск
823594,1902-02-14,-53.9,-50.1,-44.7,0,Верхоянск
823595,1902-02-15,-55.2,-51.1,-45.5,0,Верхоянск
823596,1902-02-16,-56.3,-48.9,-44.8,0,Верхоянск
823597,1902-02-18,-49.6,-43.3,-39.6,0.1,Верхоянск
823598,1902-02-21,-50.6,-45,-38.9,0.7,Верхоянск
823599,1902-02-24,-45.2,-40.3,-36.4,0.4,Верхоянск
823600,1902-02-25,-45.3,-42,-36.3,0.1,Верхоянск
823601,1902-02-26,-49.8,-41.2,-37.8,0.8,Верхоянск
825586,1902-03-01,-52.4,-45,-42,0.5,Верхоянск
825587,1902-03-03,-52.6,-45.7,-39,0,Верхоянск
825588,1902-03-04,-51.2,-44.7,-39.9,0,Верхоянск
842516,1902-11-15,-44.1,-42.5,-41.2,0,Верхоянск
842517,1902-11-16,-44.4,-40.5,-37.2,0,Верхоянск
842518,1902-11-17,-44.8,-42.7,-41.2,0,Верхоянск
842519,1902-11-18,-44.6,-42.4,-40.2,0,Верхоянск
842520,1902-11-19,-46.1,-43.8,-42.3,0,Верхоянск
842521,1902-11-22,-49,-46.9,-45,0,Верхоянск
842522,1902-11-23,-49.7,-48.8,-47.5,0,Верхоянск
842523,1902-11-24,-50.3,-49.4,-48.6,0,Верхоянск
842524,1902-11-25,-50.9,-49.9,-48.8,0,Верхоянск
842525,1902-11-26,-51.9,-50.5,-49.4,0,Верхоянск
842526,1902-11-27,-53.9,-53.1,-52.2,0,Верхоянск
842527,1902-11-28,-54.3,-52.9,-52.1,0,Верхоянск
842528,1902-11-29,-53.1,-51.6,-51.2,0,Верхоянск
842529,1902-11-30,-52.7,-52.1,-51.8,0,Верхоянск
844682,1902-12-01,-55.5,-54.3,-53.7,0,Верхоянск
844683,1902-12-02,-56.8,-56.5,-56.1,0,Верхоянск
844684,1902-12-03,-57,-48.5,-41.3,0.8,Верхоянск
844685,1902-12-04,-54.2,-48.5,-41.8,0.4,Верхоянск
844686,1902-12-07,-41.1,-38.5,-36.3,0,Верхоянск
844687,1902-12-08,-52.5,-49.3,-46.6,0,Верхоянск
844688,1902-12-09,-54.1,-52.1,-50.5,0,Верхоянск
844689,1902-12-10,-51.4,-46.8,-42.8,0,Верхоянск
844690,1902-12-11,-51.5,-49.4,-46.1,0,Верхоянск
844691,1902-12-12,-49.4,-47.1,-43.5,0,Верхоянск
844692,1902-12-16,-49.5,-46.5,-44.8,0,Верхоянск
844693,1902-12-17,-53.8,-47.6,-40.7,0.5,Верхоянск
844694,1902-12-18,-58.3,-54.7,-53,0,Верхоянск
844695,1902-12-19,-57.5,-54,-52.1,0.2,Верхоянск
844696,1902-12-20,-57.8,-54.1,-53.4,0.1,Верхоянск
