,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
846875,1918-01-01,-6.8,-4.9,-4.5,0.9,Вильнюс
846876,1918-01-02,-6.4,-4.7,-3.4,9.8,Вильнюс
846877,1918-01-03,-9.2,-7.5,-5,0.4,Вильнюс
846878,1918-01-04,-13.8,-12.1,-9.8,0.9,Вильнюс
846879,1918-01-05,-14.8,-11.1,-5.1,3.2,Вильнюс
846880,1918-01-06,-14.2,-0.1,2,3.7,Вильнюс
846881,1918-01-07,-1.8,-0.2,1.2,0.6,Вильнюс
846882,1918-01-08,-1.4,0.1,1.8,0.1,Вильнюс
846883,1918-01-09,-10.5,-7.1,-3,0.3,Вильнюс
846884,1918-01-10,-15,-12.7,-8.3,1.4,Вильнюс
846885,1918-01-11,-7.6,-3.8,-0.4,1.2,Вильнюс
846886,1918-01-12,-8.2,-6.3,-2.5,1,Вильнюс
846887,1918-01-13,-18.4,-12.5,-7.8,0,Вильнюс
846888,1918-01-14,-22.5,-13.9,-11,0.8,Вильнюс
846889,1918-01-15,-16.8,-9.4,-6.6,6.5,Вильнюс
846890,1918-01-16,-9.9,-0.6,2.2,0.9,Вильнюс
846891,1918-01-17,-4.3,-2.7,-1.6,3.2,Вильнюс
846892,1918-01-18,-15.2,-6.4,-1.7,3.5,Вильнюс
846893,1918-01-19,-3.5,0.8,4.2,1.7,Вильнюс
846894,1918-01-20,-11.2,-3.3,0,6,Вильнюс
846895,1918-01-21,0,2.4,5.2,0,Вильнюс
846896,1918-01-22,-0.5,1.1,3.8,0,Вильнюс
846897,1918-01-23,-2.5,-1.7,0.8,0,Вильнюс
846898,1918-01-24,-2.2,0.3,1.3,0.5,Вильнюс
846899,1918-01-25,0.8,1.7,2.4,0,Вильнюс
846900,1918-01-26,1.3,2,2.9,0.1,Вильнюс
846901,1918-01-27,-0.2,0.5,1.8,0,Вильнюс
846902,1918-01-28,0,0.7,1.3,0,Вильнюс
846903,1918-01-29,0.1,1.3,3.7,0.2,Вильнюс
846904,1918-01-30,0.2,0.8,1.3,0.2,Вильнюс
846905,1918-01-31,0.3,0.9,1.9,0,Вильнюс
849197,1918-02-01,-1.3,-0.3,1,0,Вильнюс
849198,1918-02-02,-1.3,-0.4,0.7,0,Вильнюс
849199,1918-02-03,-5.2,-4.2,-0.8,0,Вильнюс
849200,1918-02-04,-5.4,-4.5,-3.3,0,Вильнюс
849201,1918-02-05,-8.5,-6,-4.7,0,Вильнюс
849202,1918-02-06,-6.4,-4.9,-4.3,0,Вильнюс
849203,1918-02-07,-4.3,-0.4,0.8,5.2,Вильнюс
849204,1918-02-08,0.5,0.9,1.5,3.2,Вильнюс
849205,1918-02-09,0.4,2.5,3.7,0.3,Вильнюс
849206,1918-02-10,1.3,2.8,3.6,5.1,Вильнюс
849207,1918-02-11,0.4,1.4,3.6,0.5,Вильнюс
