,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
873796,1900-01-01,-57.6,-50.9,-43,0.5,Вилюйск
873797,1900-01-02,-45.1,-42.3,-39.9,0.3,Вилюйск
873798,1900-01-03,-52.6,-51.5,-51,0,Вилюйск
873799,1900-01-04,-53.1,-51.6,-50.6,0,Вилюйск
873800,1900-01-05,-51.6,-49.2,-47.8,0,Вилюйск
873801,1900-01-06,-52.2,-49.3,-47.7,0,Вилюйск
873802,1900-01-07,-48.2,-47.4,-47,0,Вилюйск
873803,1900-01-08,-53.6,-52.1,-50.8,0,Вилюйск
873804,1900-01-09,-55.1,-52.6,-51.6,0,Вилюйск
873805,1900-01-10,-53.6,-51.6,-51.3,0.4,Вилюйск
873806,1900-01-11,-54.1,-50.4,-48.5,0,Вилюйск
873807,1900-01-12,-55.1,-48.9,-47.4,0,Вилюйск
873808,1900-01-13,-51,-49.4,-48.5,0,Вилюйск
873809,1900-01-14,-51.6,-48.6,-46.5,0,Вилюйск
873810,1900-01-16,-43.9,-40.6,-39.5,0,Вилюйск
873811,1900-01-17,-44.9,-43.4,-42,0,Вилюйск
873812,1900-01-18,-46.1,-44.7,-44.1,0,Вилюйск
873813,1900-01-19,-47.6,-46.5,-45.1,0,Вилюйск
873814,1900-01-20,-50,-48.6,-47.3,0,Вилюйск
873815,1900-01-21,-52.6,-50.3,-47.8,0,Вилюйск
873816,1900-01-22,-55.1,-46.9,-45.5,0,Вилюйск
873817,1900-01-23,-54,-51.9,-50,0.6,Вилюйск
873818,1900-01-24,-52.7,-48.4,-46,0,Вилюйск
873819,1900-01-25,-46,-42.1,-40,0,Вилюйск
873820,1900-01-26,-47.6,-45.2,-43.4,0,Вилюйск
873821,1900-01-27,-50.1,-44.8,-42.1,0,Вилюйск
873822,1900-01-31,-49.6,-45.6,-45,0,Вилюйск
876123,1900-02-01,-53.6,-49.4,-47.9,0,Вилюйск
876124,1900-02-02,-48.7,-45.4,-42.9,0.4,Вилюйск
876125,1900-02-03,-48.6,-45.2,-42.9,0,Вилюйск
876126,1900-02-04,-45.4,-43.2,-40.9,0,Вилюйск
876127,1900-02-05,-47.1,-42.9,-40.6,0,Вилюйск
876128,1900-02-06,-43.5,-40.4,-38.8,0,Вилюйск
876129,1900-02-07,-47.5,-45.7,-43.6,0,Вилюйск
876130,1900-02-08,-51.6,-48.5,-45.1,0.5,Вилюйск
876131,1900-02-09,-48.6,-46.1,-44.1,0,Вилюйск
876132,1900-02-10,-48.6,-44.1,-42.1,0,Вилюйск
876133,1900-02-11,-46,-39.8,-36,1,Вилюйск
876134,1900-02-14,-42.9,-39.6,-36.5,0,Вилюйск
876135,1900-02-15,-44.2,-40.8,-38.5,0,Вилюйск
876136,1900-02-16,-43.4,-39.7,-37.6,0,Вилюйск
876137,1900-02-17,-45,-40.2,-36.9,0,Вилюйск
895770,1900-12-01,-50.9,-49,-47,0,Вилюйск
895771,1900-12-02,-52.3,-46.9,-44.8,0,Вилюйск
895772,1900-12-03,-46.5,-44.7,-43.3,0,Вилюйск
895773,1900-12-04,-50,-48.1,-46.2,0,Вилюйск
895774,1900-12-05,-49.5,-46.7,-44.5,0.7,Вилюйск
895775,1900-12-08,-46,-42.5,-39.5,0,Вилюйск
895776,1900-12-09,-48.5,-44,-41,0,Вилюйск
895777,1900-12-10,-43.4,-40.3,-39.5,0,Вилюйск
895778,1900-12-11,-45.9,-43,-41.7,0,Вилюйск
895779,1900-12-12,-43.6,-40,-37.6,0,Вилюйск
895780,1900-12-25,-45.4,-42.7,-40,0,Вилюйск
895781,1900-12-26,-51.6,-49.1,-48.3,0.2,Вилюйск
895782,1900-12-27,-48.9,-46.4,-44.6,0,Вилюйск
895783,1900-12-28,-54.4,-53.6,-52.3,0,Вилюйск
895784,1900-12-29,-55.3,-54.3,-53.1,0,Вилюйск
895785,1900-12-30,-55.5,-51.3,-50.2,0,Вилюйск
895786,1900-12-31,-50.2,-44.3,-43.3,0,Вилюйск
873823,1901-01-01,-42.1,-41.5,-40.5,0,Вилюйск
873824,1901-01-04,-45.5,-41.8,-39.2,0,Вилюйск
873825,1901-01-07,-44.6,-41.1,-38.7,0,Вилюйск
873826,1901-01-08,-49.7,-45.8,-44.8,0,Вилюйск
873827,1901-01-09,-47.5,-45.4,-44.5,0,Вилюйск
873828,1901-01-10,-44.5,-38.8,-37.4,0.1,Вилюйск
873829,1901-01-15,-43.2,-40.7,-38.5,0,Вилюйск
873830,1901-01-18,-47.7,-41.9,-36.3,0,Вилюйск
873831,1901-01-19,-50,-45.3,-40.8,0,Вилюйск
873832,1901-01-24,-41.5,-40.1,-39.3,0,Вилюйск
873833,1901-01-25,-44.7,-42.3,-41.5,0,Вилюйск
873834,1901-01-26,-48.5,-46.6,-45.1,0,Вилюйск
873835,1901-01-27,-53.9,-50.3,-49,0,Вилюйск
873836,1901-01-28,-52.8,-50.6,-48.5,0,Вилюйск
873837,1901-01-29,-53.3,-45.1,-40.5,0,Вилюйск
873838,1901-01-30,-41.3,-39.9,-37.7,0,Вилюйск
876138,1901-02-01,-41.7,-35.9,-28.1,0.1,Вилюйск
876139,1901-02-02,-49.3,-44.9,-43.8,0,Вилюйск
876140,1901-02-03,-43.9,-37.3,-34.4,0,Вилюйск
876141,1901-02-04,-40.9,-39.2,-37.4,0,Вилюйск
876142,1901-02-05,-39.8,-38.5,-35.7,0,Вилюйск
876143,1901-02-06,-39.8,-36,-33.2,0,Вилюйск
876144,1901-02-07,-36.8,-32.6,-30.2,0,Вилюйск
876145,1901-02-08,-38.8,-34.5,-30.9,0,Вилюйск
876146,1901-02-09,-46.5,-39,-32.8,0,Вилюйск
876147,1901-02-10,-36.6,-26.1,-19.9,0,Вилюйск
876148,1901-02-11,-22.7,-19.6,-16.3,0,Вилюйск
876149,1901-02-12,-25.6,-19.1,-14.4,0.4,Вилюйск
876150,1901-02-13,-31.4,-24.3,-19,0,Вилюйск
876151,1901-02-14,-24.2,-19.7,-16,0,Вилюйск
876152,1901-02-15,-23.3,-12.7,-8.1,0.3,Вилюйск
876153,1901-02-16,-21.3,-14.4,-6.9,0,Вилюйск
876154,1901-02-17,-23.4,-21.7,-20.6,0,Вилюйск
876155,1901-02-18,-23.3,-19.4,-16.1,0,Вилюйск
876156,1901-02-19,-19.4,-15.2,-11.1,0,Вилюйск
876157,1901-02-20,-32.8,-30.1,-26.1,0,Вилюйск
876158,1901-02-21,-45.2,-30,-22.8,0,Вилюйск
876159,1901-02-22,-26.7,-19.9,-14.9,0.8,Вилюйск
876160,1901-02-23,-21.1,-16.5,-10.8,0.6,Вилюйск
876161,1901-02-24,-38,-35.8,-33.6,0,Вилюйск
876162,1901-02-25,-45.1,-38.1,-31.6,0,Вилюйск
876163,1901-02-26,-42.1,-35.2,-28.1,0,Вилюйск
876164,1901-02-27,-46.9,-30.7,-21.6,0.1,Вилюйск
876165,1901-02-28,-23,-19.1,-15.4,0,Вилюйск
878051,1901-03-01,-30.4,-21.3,-12.9,0,Вилюйск
878052,1901-03-02,-17.4,-12.5,-8,0,Вилюйск
878053,1901-03-03,-29.7,-20.5,-13.6,0,Вилюйск
878054,1901-03-04,-22.2,-19.2,-14.7,0.2,Вилюйск
878055,1901-03-05,-26.6,-20.3,-14.1,0,Вилюйск
878056,1901-03-06,-21.6,-14.9,-10.7,0,Вилюйск
878057,1901-03-07,-23.2,-18.7,-12.6,0,Вилюйск
878058,1901-03-08,-33.1,-24.7,-16.5,0,Вилюйск
878059,1901-03-09,-31.2,-26.5,-18.9,0,Вилюйск
878060,1901-03-10,-36.5,-27.2,-18.9,0,Вилюйск
878061,1901-03-11,-39.1,-28.2,-15.7,0,Вилюйск
878062,1901-03-12,-37.4,-25.7,-14.6,0,Вилюйск
