,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
924653,1930-04-13,-8.4,2.4,4.5,0,Витим
924654,1930-04-15,-24.9,-17.3,-9.9,0,Витим
924655,1930-04-16,-32.7,-21.3,-13,0,Витим
924656,1930-04-17,-35.5,-20,-7.6,0,Витим
924657,1930-04-18,-29.5,-6.9,-1.2,0,Витим
924658,1930-04-19,-7,-3.9,1.5,0,Витим
924659,1930-04-20,-13.4,-2.5,2.1,0.2,Витим
924660,1930-04-21,-7.4,-1.2,1.3,0,Витим
924661,1930-04-22,-6.9,-5.9,-1.6,1,Витим
924662,1930-04-23,-8.2,-7.1,-6.2,1,Витим
924663,1930-04-24,-14.3,-6.3,0.1,0,Витим
924664,1930-04-25,-16.8,-5.7,0.2,0,Витим
924665,1930-04-26,-9.7,-3.2,1.4,0.2,Витим
924666,1930-04-27,-15.3,-2.3,3.4,0,Витим
924667,1930-04-28,-9.6,-1.2,5.4,0,Витим
924668,1930-04-29,-11.3,3.4,6.9,0,Витим
924669,1930-04-30,2.4,4.2,7.5,0,Витим
926600,1930-05-01,-2.5,3.9,7.8,0,Витим
926601,1930-05-02,-8.8,0.9,6.5,0,Витим
926602,1930-05-03,-7.8,3.1,6,0.5,Витим
926603,1930-05-04,-3.4,3.6,6.6,0,Витим
926604,1930-05-05,-2.4,1.2,5.7,0,Витим
926605,1930-05-06,-2.3,2.9,6.5,0,Витим
926606,1930-05-07,-5.3,3.8,10.9,0,Витим
926607,1930-05-08,-1.8,7.4,16,1.2,Витим
926608,1930-05-09,-0.4,4.1,9.5,0,Витим
926609,1930-05-10,-1.3,5.5,14.9,0,Витим
926610,1930-05-11,-3.2,3.1,10.3,0,Витим
926611,1930-05-12,-3.9,6.1,9.7,0,Витим
926612,1930-05-13,-4.2,3.6,6.5,0,Витим
926613,1930-05-14,-2,4.9,7.7,0,Витим
926614,1930-05-15,-2.1,4.9,15.1,0,Витим
926615,1930-05-16,-1.3,3.1,8.4,0,Витим
926616,1930-05-17,-4.2,3.2,8,0,Витим
926617,1930-05-18,-3.6,8,11,1.2,Витим
926618,1930-05-19,0.5,1.5,7,0,Витим
926619,1930-05-20,-1.8,3,6.5,0,Витим
926620,1930-05-21,0.2,6.1,11.7,0,Витим
926621,1930-05-22,-4.5,9.8,16.1,0,Витим
926622,1930-05-23,-7.4,12.5,20.5,0,Витим
926623,1930-05-24,-1.5,16,24.8,0.4,Витим
926624,1930-05-25,8.2,11.3,15.4,5.5,Витим
926625,1930-05-26,2.9,7.1,9.8,0.2,Витим
926626,1930-05-27,5.3,7.1,9.4,0.8,Витим
926627,1930-05-28,3.2,6.3,9.3,0,Витим
926628,1930-05-29,-2.2,8.4,11.5,0,Витим
926629,1930-05-30,-1.8,9.8,13.6,0,Витим
926630,1930-05-31,3.7,7.5,13.1,0.8,Витим
928592,1930-06-01,5.2,12.8,21.4,0,Витим
928593,1930-06-02,2.7,12.7,16,0,Витим
928594,1930-06-03,3.9,11,18,0,Витим
928595,1930-06-04,0.7,17.1,25,0,Витим
928596,1930-06-05,1.6,14.3,26.5,0,Витим
928597,1930-06-06,5.2,16.5,27.8,0,Витим
928598,1930-06-07,4.9,21.5,30.2,0,Витим
928599,1930-06-08,5.5,16.2,30,0,Витим
928600,1930-06-09,6.2,8.8,14.5,1.8,Витим
928601,1930-06-10,4.6,8.7,14,1.7,Витим
928602,1930-06-11,8,12.8,16.5,0,Витим
928603,1930-06-12,8.1,11.7,15.5,0,Витим
928604,1930-06-13,5.7,10.1,14.3,0,Витим
928605,1930-06-14,5.3,9.5,17.3,0,Витим
928606,1930-06-15,5.2,14.8,18.6,0.9,Витим
928607,1930-06-16,7.9,12.9,18.1,0,Витим
928608,1930-06-17,7.9,14.2,23.6,0,Витим
928609,1930-06-18,4.3,7.9,14,0,Витим
928610,1930-06-19,4.3,9.3,13,0,Витим
928611,1930-06-20,2.5,9.4,13.8,0,Витим
928612,1930-06-21,2.3,11.5,21,0,Витим
928613,1930-06-22,3.4,12.1,30.1,0,Витим
928614,1930-06-23,1.2,17.8,22,0,Витим
928615,1930-06-24,4.3,20.1,25,0,Витим
928616,1930-06-25,10.2,22.2,25,0,Витим
928617,1930-06-26,7.2,19.3,27.5,0,Витим
928618,1930-06-27,7.2,22.6,33.1,0,Витим
