,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
942578,1917-01-01,-21.6,-19.7,-16.3,0,Владивосток
942579,1917-01-02,-24.1,-22.3,-20,0,Владивосток
942580,1917-01-03,-24.2,-20.3,-17.6,2.2,Владивосток
942581,1917-01-04,-17.7,-13,-12.5,8.1,Владивосток
942582,1917-01-05,-15,-14.4,-12.7,6.1,Владивосток
942583,1917-01-06,-19,-17,-14.8,1,Владивосток
942584,1917-01-07,-24.6,-22.6,-19,0,Владивосток
942585,1917-01-08,-25.7,-23.3,-20.5,0,Владивосток
942586,1917-01-09,-24.7,-22.2,-18.5,0,Владивосток
942587,1917-01-10,-25.3,-22,-18.6,0,Владивосток
942588,1917-01-11,-22.4,-15.6,-11,0,Владивосток
942589,1917-01-12,-15,-9,-5.2,0,Владивосток
942590,1917-01-13,-7.9,-4.3,-1.6,0.7,Владивосток
942591,1917-01-14,-13,-9.1,-3.3,0,Владивосток
942592,1917-01-15,-19.4,-15.3,-11.8,0,Владивосток
942593,1917-01-16,-18,-11.5,-8.7,0.2,Владивосток
942594,1917-01-17,-9.2,-2.4,-1,6.5,Владивосток
942595,1917-01-18,-19.1,-15.7,-1,0,Владивосток
942596,1917-01-19,-20.5,-17,-10.3,4.4,Владивосток
942597,1917-01-20,-22.6,-18.9,-16.1,0,Владивосток
942598,1917-01-21,-26.9,-22.7,-20,0,Владивосток
942599,1917-01-22,-25.3,-19.3,-15.7,0.2,Владивосток
942600,1917-01-23,-16,-11.5,-9.6,0,Владивосток
942601,1917-01-24,-16,-13.4,-10.3,0,Владивосток
942602,1917-01-25,-19.5,-15.3,-10.5,0,Владивосток
942603,1917-01-26,-19.9,-16.6,-13,0,Владивосток
942604,1917-01-27,-20.9,-18.2,-14,0,Владивосток
942605,1917-01-28,-20.4,-17.2,-13.3,0,Владивосток
942606,1917-01-29,-19.3,-16,-12.7,0,Владивосток
942607,1917-01-30,-17.9,-16,-14.3,0,Владивосток
