,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
987534,1938-11-01,2.8,6,8.9,6.1,Вологда
987535,1938-11-02,1.9,3.4,8.2,0,Вологда
987536,1938-11-03,2.4,6.9,9.5,1.1,Вологда
987537,1938-11-04,4.3,7.6,10.7,7.7,Вологда
987538,1938-11-05,2.8,4.5,5.7,1,Вологда
987539,1938-11-06,3.5,4.3,4.8,2.1,Вологда
987540,1938-11-07,-0.9,-0.4,3.8,9.8,Вологда
987541,1938-11-08,-2.5,-1.6,-0.4,1.4,Вологда
987542,1938-11-09,-9.7,-6.1,-1.6,0,Вологда
987543,1938-11-10,-10,-6.6,-3.3,0,Вологда
987544,1938-11-11,-5.7,-3.1,-0.7,0.3,Вологда
987545,1938-11-12,-9.7,-7.6,-3.9,0,Вологда
987546,1938-11-13,-7.6,-1.6,1.7,3.8,Вологда
987547,1938-11-14,0.5,1.2,2.5,2.5,Вологда
987548,1938-11-15,1.6,4,6.4,2.8,Вологда
987549,1938-11-16,2.6,4.3,6.9,8,Вологда
987550,1938-11-17,0.4,1.6,3.5,1.3,Вологда
987551,1938-11-18,-4,-1.9,0.5,2.7,Вологда
987552,1938-11-19,-8.8,-7.6,-3.9,0.9,Вологда
987553,1938-11-20,-13.9,-9.3,-7,0,Вологда
987554,1938-11-21,-7.3,-2.8,1.5,24,Вологда
987555,1938-11-22,-3.2,0.4,1.8,0,Вологда
987556,1938-11-23,-1.3,1.4,2.4,0,Вологда
987557,1938-11-24,1.5,4.8,7.2,1.8,Вологда
987558,1938-11-25,4.5,5,7.3,1,Вологда
987559,1938-11-26,1.5,4.2,6.1,0.7,Вологда
987560,1938-11-27,0.9,1.8,2.5,0,Вологда
987561,1938-11-28,0.3,0.9,1.8,0,Вологда
987562,1938-11-29,0.1,0.9,1.4,0,Вологда
987563,1938-11-30,0,0.8,1.3,0,Вологда
989212,1938-12-01,-1.6,-0.4,0.9,0.2,Вологда
989213,1938-12-02,-1.5,0.4,1.2,0.3,Вологда
989214,1938-12-03,0.7,1.1,1.5,0.2,Вологда
989215,1938-12-04,0.7,1.6,2.6,0.5,Вологда
989216,1938-12-05,-0.7,-0.4,1.4,0,Вологда
989217,1938-12-06,-1.9,-1.1,-0.1,0.4,Вологда
989218,1938-12-07,-6.9,-4.6,-1.9,0,Вологда
989219,1938-12-08,-6.9,-3.8,-2.1,0.2,Вологда
