,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1001984,1918-06-01,7.4,15.2,19.1,0,Воронеж
1001985,1918-06-02,8.6,11.5,17.3,19.6,Воронеж
1001986,1918-06-03,5.4,9.7,13.7,3.8,Воронеж
1001987,1918-06-04,4.6,9.9,11.7,4,Воронеж
1001988,1918-06-05,5.8,9.9,14.7,0.1,Воронеж
1001989,1918-06-06,6.2,10.6,15.4,1.6,Воронеж
1001990,1918-06-07,6.1,10.3,14.5,6.5,Воронеж
1001991,1918-06-08,7.1,11,14,8.2,Воронеж
1001992,1918-06-09,7.5,10.1,14.9,13.8,Воронеж
1001993,1918-06-10,7.4,14.4,18.9,3.1,Воронеж
1001994,1918-06-11,5.8,14.1,19,0.2,Воронеж
1001995,1918-06-12,10.1,14.2,17.9,1,Воронеж
1001996,1918-06-14,11.7,16.7,20.5,0,Воронеж
1001997,1918-06-15,10.7,17.1,22.5,0,Воронеж
1001998,1918-06-16,9.4,21.9,27.6,0,Воронеж
1001999,1918-06-17,16.4,24,28.2,0,Воронеж
1002000,1918-06-18,16.1,23.9,29.4,0,Воронеж
1002001,1918-06-19,15.8,23.9,29.4,0,Воронеж
1002002,1918-06-20,11.4,26.5,31.1,0,Воронеж
1002003,1918-06-21,19.1,24.7,30.4,0,Воронеж
1002004,1918-06-22,19.8,26.9,32.8,0,Воронеж
1002005,1918-06-23,20.9,27,32.4,0,Воронеж
1002006,1918-06-26,14.1,16,23.1,10.1,Воронеж
1002007,1918-06-27,11.6,17.4,21.8,0,Воронеж
1002008,1918-06-28,10.9,20.1,25.3,0,Воронеж
1002009,1918-06-29,12.3,22.2,26.2,0,Воронеж
1002010,1918-06-30,16.8,23.1,27.5,0,Воронеж
1004257,1918-07-01,17,23,27.6,0,Воронеж
1004258,1918-07-02,15.7,23.6,27.7,0,Воронеж
1004259,1918-07-03,14.7,21.6,26.5,0,Воронеж
1004260,1918-07-04,15.8,21.9,28.5,0,Воронеж
1004261,1918-07-05,15.8,23.1,29.3,0,Воронеж
1004262,1918-07-06,14.2,23.6,30.1,0,Воронеж
1004263,1918-07-07,16.8,21.1,28.1,5.2,Воронеж
1004264,1918-07-08,14.6,19.2,24,0.3,Воронеж
1004265,1918-07-09,15.3,17,20.3,1.1,Воронеж
1004266,1918-07-11,14.6,21.6,26.6,0,Воронеж
1004267,1918-07-12,14.6,20.8,25.6,0,Воронеж
1004268,1918-07-13,16.4,21.3,26.5,0,Воронеж
1004269,1918-07-14,12.6,21.2,26.2,0,Воронеж
1004270,1918-07-15,12.3,23.8,28,0,Воронеж
1004271,1918-07-16,16.7,19.8,24.3,0.9,Воронеж
1004272,1918-07-17,11.8,16.1,21,3.7,Воронеж
1004273,1918-07-18,12.1,14.2,19.3,2.1,Воронеж
1004274,1918-07-19,10.1,11.5,13.6,1.3,Воронеж
1004275,1918-07-20,11.3,16.2,20.5,0,Воронеж
1004276,1918-07-21,12.8,15.5,20.5,0,Воронеж
1004277,1918-07-22,9.3,14.9,22.9,5.3,Воронеж
1004278,1918-07-23,11.3,16,22,14.3,Воронеж
1004279,1918-07-24,12,14.9,20.6,0,Воронеж
1004280,1918-07-25,12.6,17.6,22.7,2.6,Воронеж
1004281,1918-07-26,13.3,19.1,24.2,6.6,Воронеж
1004282,1918-07-27,13.3,18.4,23.4,0,Воронеж
1004283,1918-07-29,15.1,21.9,26.9,1,Воронеж
1004284,1918-07-30,17.1,20.3,25.6,2.7,Воронеж
1004285,1918-07-31,13.7,19.5,24.7,0,Воронеж
1006601,1918-08-01,11.3,18.1,24.7,2.7,Воронеж
1006602,1918-08-02,13.5,20.2,25.3,0,Воронеж
1006603,1918-08-03,12.7,20.4,25.8,0,Воронеж
1006604,1918-08-04,13.2,17.2,24.1,0.6,Воронеж
1006605,1918-08-05,15.1,18.7,22.9,7.6,Воронеж
1006606,1918-08-06,17.8,24.2,29.5,0,Воронеж
1006607,1918-08-07,14.1,18.4,23.2,0.5,Воронеж
1006608,1918-08-08,14.1,16.6,21.3,0,Воронеж
1006609,1918-08-09,10.6,16.3,20.7,0,Воронеж
