,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1024218,1910-04-01,-3.4,1.5,4.7,0,Вытегра
1024219,1910-04-02,-10.1,-5.2,0.4,0,Вытегра
1024220,1910-04-03,-5.7,0.7,6.3,0,Вытегра
1024221,1910-04-04,-4.2,3.7,8.9,0,Вытегра
1024222,1910-04-05,-3.8,-0.1,4.9,0,Вытегра
1024223,1910-04-06,-9.6,-0.7,5.1,0,Вытегра
1024224,1910-04-07,-6.1,0.5,5.4,0.3,Вытегра
1024225,1910-04-08,-7.2,-2.9,4.5,0,Вытегра
1024226,1910-04-09,-9.2,0.4,7.4,0,Вытегра
1024227,1910-04-10,-2.4,1.9,7.7,0.3,Вытегра
1024228,1910-04-11,-8.2,-6.7,-1.4,0,Вытегра
1024229,1910-04-12,-9.6,2.3,7.9,0,Вытегра
1024230,1910-04-13,4,7.5,12.9,0,Вытегра
1024231,1910-04-14,2.8,6.1,9.9,0,Вытегра
1024232,1910-04-15,2.4,5.4,9.1,0,Вытегра
1024233,1910-04-16,3.2,7.2,14.1,0,Вытегра
1024234,1910-04-17,-0.9,5.3,14.4,0,Вытегра
1024235,1910-04-18,0.9,8.5,15.9,0,Вытегра
1024236,1910-04-19,4.2,8.1,11.4,0.6,Вытегра
1024237,1910-04-21,5,6.9,8.9,3.5,Вытегра
1024238,1910-04-22,3.2,4.8,6,11.2,Вытегра
1024239,1910-04-23,2,6.5,10.9,3.9,Вытегра
1024240,1910-04-24,2.7,5.3,10.1,0.3,Вытегра
1024241,1910-04-25,-0.7,7.2,12.4,0,Вытегра
1024242,1910-04-26,2.6,10.5,16.4,0.7,Вытегра
1024243,1910-04-27,2.8,11.1,17.4,1.8,Вытегра
1024244,1910-04-28,7.5,14.3,20.4,0,Вытегра
1024245,1910-04-29,7.7,14.5,21.9,0,Вытегра
1024246,1910-04-30,4.4,14.3,22.4,0,Вытегра
1026340,1910-05-01,4.6,11.2,15.9,0.4,Вытегра
1026341,1910-05-02,3,7.3,16.7,0.3,Вытегра
1026342,1910-05-03,1.5,6.8,10.4,0.3,Вытегра
1026343,1910-05-04,0.9,6.5,11.4,0,Вытегра
1026344,1910-05-05,2.1,11.1,18.4,0,Вытегра
1026345,1910-05-06,0.6,14.7,20.4,0,Вытегра
1026346,1910-05-07,6.4,15.4,21.4,0.5,Вытегра
1026347,1910-05-08,8.4,15.5,19.9,1.1,Вытегра
1026348,1910-05-09,7.7,14.6,22.4,2.1,Вытегра
1026349,1910-05-10,9.7,18.6,25.4,0,Вытегра
1026350,1910-05-11,8.7,18.5,26.4,0,Вытегра
1026351,1910-05-12,9.4,15.5,18.7,0,Вытегра
1026352,1910-05-13,3.9,10.3,14.5,0,Вытегра
1026353,1910-05-14,3.1,15.5,20.9,0,Вытегра
1026354,1910-05-15,6.4,15.7,22.9,4.6,Вытегра
1026355,1910-05-16,1.1,5,7.4,0,Вытегра
1026356,1910-05-17,-2.2,2.1,4.9,0,Вытегра
1026357,1910-05-18,-3.6,6.7,10.5,0,Вытегра
1026358,1910-05-19,3.3,9.3,12.4,0,Вытегра
1026359,1910-05-20,3.1,4.5,8.4,0.5,Вытегра
1026360,1910-05-21,0.3,3.5,6.4,0,Вытегра
1026361,1910-05-22,-2.2,8.9,13.4,4.4,Вытегра
1026362,1910-05-23,5,7.5,12.4,6.2,Вытегра
1026363,1910-05-24,-1,6.9,10.9,1.1,Вытегра
1026364,1910-05-25,-0.8,4.6,7.9,0,Вытегра
1026365,1910-05-26,2.1,5.1,8.9,0.5,Вытегра
1026366,1910-05-27,0.5,4.9,7.4,0,Вытегра
1026367,1910-05-28,-0.8,8.9,13.9,0.1,Вытегра
1026368,1910-05-29,4.6,6.9,10.4,22.1,Вытегра
1026369,1910-05-30,0.6,3.9,5.9,1.4,Вытегра
1026370,1910-05-31,3.6,10.6,14.7,2.7,Вытегра
