,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1052018,1926-05-21,17.4,22.7,24.6,0,Гасан-Кули
1052019,1926-05-22,20.2,22.9,24.3,0,Гасан-Кули
1052020,1926-05-23,19.1,21.9,24.1,0.6,Гасан-Кули
1052021,1926-05-24,19.6,22.4,23.7,0,Гасан-Кули
1052022,1926-05-25,18.7,21.5,22.9,0,Гасан-Кули
1052023,1926-05-26,20.2,21.6,23.2,0,Гасан-Кули
1052024,1926-05-27,16.9,24.5,28.8,0,Гасан-Кули
1052025,1926-05-28,17.6,24.4,28.2,0,Гасан-Кули
1052026,1926-05-29,22.4,24.2,24.8,0.2,Гасан-Кули
1052027,1926-05-30,17.8,24.3,29,0,Гасан-Кули
1052028,1926-05-31,21.5,25.3,28.3,0,Гасан-Кули
1054135,1926-06-01,18.8,24,25.6,0,Гасан-Кули
1054136,1926-06-02,17.3,23.9,26.8,0.1,Гасан-Кули
1054137,1926-06-03,18.2,20.7,22.2,2.8,Гасан-Кули
1054138,1926-06-04,14.8,18.9,21,0,Гасан-Кули
1054139,1926-06-05,15.2,20.9,22.7,0,Гасан-Кули
1054140,1926-06-06,15.5,21.2,23.5,0,Гасан-Кули
1054141,1926-06-07,16,23,26.2,0,Гасан-Кули
1054142,1926-06-08,18.9,22.5,23.3,0,Гасан-Кули
1054143,1926-06-09,18,23.3,26.1,0,Гасан-Кули
1054144,1926-06-10,17,26.5,30.8,0,Гасан-Кули
1054145,1926-06-11,22.5,26.2,27,0,Гасан-Кули
1054146,1926-06-12,22.7,23.7,24.7,0,Гасан-Кули
1054147,1926-06-13,22.4,23.9,25.4,0,Гасан-Кули
1054148,1926-06-14,21.3,24.4,27,0,Гасан-Кули
1054149,1926-06-15,21.4,23.6,25.4,0,Гасан-Кули
1054150,1926-06-16,21.3,23.5,25.6,0,Гасан-Кули
1054151,1926-06-17,17.8,25.7,28.6,0,Гасан-Кули
1054152,1926-06-18,20.4,26.1,27.6,0,Гасан-Кули
1054153,1926-06-19,22.9,24,25.2,0.2,Гасан-Кули
1054154,1926-06-20,22.6,24.2,25.8,0.4,Гасан-Кули
1054155,1926-06-21,21.4,22.8,23.2,4.7,Гасан-Кули
1054156,1926-06-22,20,21.7,22.4,0.2,Гасан-Кули
1054157,1926-06-23,20,22,22.5,26.7,Гасан-Кули
1054158,1926-06-24,19.2,22.8,24.3,0,Гасан-Кули
1054159,1926-06-25,18.2,25.9,29.7,0,Гасан-Кули
1054160,1926-06-26,18.8,25.7,27.9,0,Гасан-Кули
1054161,1926-06-27,21.8,28,30.6,0,Гасан-Кули
1054162,1926-06-28,25.3,26.6,27.8,0,Гасан-Кули
1054163,1926-06-29,24.7,26.1,27.5,0,Гасан-Кули
1054164,1926-06-30,24.2,25.9,27.4,0,Гасан-Кули
1047816,1927-03-01,-1.3,4.8,8.4,0,Гасан-Кули
1047817,1927-03-02,0.5,5.9,10.5,0,Гасан-Кули
1047818,1927-03-03,0.2,6,11.5,0,Гасан-Кули
1047819,1927-03-04,1.3,5.6,9.4,0,Гасан-Кули
1047820,1927-03-05,-0.6,7.8,16.9,0,Гасан-Кули
1047821,1927-03-06,5.1,8.8,11.6,0,Гасан-Кули
1047822,1927-03-07,7.4,10,12.1,0,Гасан-Кули
1047823,1927-03-08,3.9,8.5,12.4,0,Гасан-Кули
1047824,1927-03-09,1.1,11.3,21.7,0,Гасан-Кули
1047825,1927-03-10,0.9,9,13.9,0.5,Гасан-Кули
1047826,1927-03-11,9.9,10.9,13.1,0,Гасан-Кули
1047827,1927-03-12,8.5,9.9,10.9,0,Гасан-Кули
1047828,1927-03-13,7.6,9.6,12.8,0.5,Гасан-Кули
1047829,1927-03-14,5.3,8.2,11.6,4.3,Гасан-Кули
1047830,1927-03-15,2.4,10.3,17.8,0,Гасан-Кули
1047831,1927-03-16,5.2,10.7,13.9,0,Гасан-Кули
1047832,1927-03-17,4.4,7.2,10.4,0.1,Гасан-Кули
1047833,1927-03-18,1.9,6,10.4,1.6,Гасан-Кули
1047834,1927-03-19,4.7,7.6,10.1,2.6,Гасан-Кули
1047835,1927-03-20,1.1,7,11.1,0,Гасан-Кули
1047836,1927-03-21,0.7,6.7,13,0,Гасан-Кули
1047837,1927-03-22,0.6,8.8,13.5,0,Гасан-Кули
1047838,1927-03-23,3.1,13,21.8,0,Гасан-Кули
1047839,1927-03-24,3.2,16,27.4,0,Гасан-Кули
1047840,1927-03-25,10.6,14.8,18.5,2,Гасан-Кули
1047841,1927-03-26,9.6,11.4,14.1,0.1,Гасан-Кули
1047842,1927-03-27,7.9,10.9,13.5,0,Гасан-Кули
1047843,1927-03-28,5.3,11.3,23.8,0,Гасан-Кули
1047844,1927-03-29,7.1,9,12.1,3.2,Гасан-Кули
1047845,1927-03-30,1.8,4.5,7.3,1.6,Гасан-Кули
1047846,1927-03-31,0.4,6.2,9.9,0,Гасан-Кули
1049952,1927-04-01,4.8,7.8,11.4,0,Гасан-Кули
1049953,1927-04-02,-0.1,7.8,14.9,0,Гасан-Кули
1049954,1927-04-03,0.4,8.6,12.3,0,Гасан-Кули
1049955,1927-04-04,3,11.1,16.1,0,Гасан-Кули
1049956,1927-04-05,6.8,11.3,14.5,0,Гасан-Кули
1049957,1927-04-06,5.8,13.4,20.4,0,Гасан-Кули
1049958,1927-04-07,6.3,13.3,16.9,0,Гасан-Кули
1049959,1927-04-08,13,14.5,17.4,0,Гасан-Кули
1049960,1927-04-09,7.9,14.8,18,0.4,Гасан-Кули
1049961,1927-04-10,12,13,14.9,3.3,Гасан-Кули
1049962,1927-04-11,10.3,11.7,13.6,0.6,Гасан-Кули
1049963,1927-04-12,10.1,11.6,13.4,1,Гасан-Кули
1049964,1927-04-13,10.1,12,14.2,0,Гасан-Кули
1049965,1927-04-14,6.1,13.1,18.3,0,Гасан-Кули
1049966,1927-04-15,6.7,17.6,26.7,0,Гасан-Кули
1049967,1927-04-16,12.5,13.7,20.5,0,Гасан-Кули
1049968,1927-04-17,9.3,14,16.9,0,Гасан-Кули
1049969,1927-04-18,8.1,15.7,22.4,0,Гасан-Кули
1049970,1927-04-19,10.2,15.7,22.6,0,Гасан-Кули
1049971,1927-04-20,11.8,16.3,21.3,0,Гасан-Кули
1049972,1927-04-21,15.1,16.6,18.4,0,Гасан-Кули
1049973,1927-04-22,12.7,14.1,16.1,0,Гасан-Кули
1049974,1927-04-23,13.3,16.8,23.3,0,Гасан-Кули
1049975,1927-04-24,12.6,14.5,16.3,0.3,Гасан-Кули
1049976,1927-04-25,11.5,12.7,15.9,1.3,Гасан-Кули
1049977,1927-04-26,7.1,17.4,23.7,0,Гасан-Кули
1049978,1927-04-27,9.4,17.7,24.7,0,Гасан-Кули
1049979,1927-04-28,14.4,16.1,18.2,0,Гасан-Кули
1049980,1927-04-29,14.8,16.6,18.1,0,Гасан-Кули
1049981,1927-04-30,11.6,18.3,20.4,0,Гасан-Кули
1052029,1927-05-01,14,17.7,19.2,0,Гасан-Кули
1052030,1927-05-02,12.1,18.1,21,0,Гасан-Кули
1052031,1927-05-03,13.4,20.2,25.1,0,Гасан-Кули
1052032,1927-05-04,17.6,19.5,21.9,0,Гасан-Кули
1052033,1927-05-05,16.2,18.2,20.7,0,Гасан-Кули
1052034,1927-05-06,14.8,16.1,17.9,0,Гасан-Кули
1052035,1927-05-07,14.7,17,19.3,0,Гасан-Кули
1052036,1927-05-08,11.3,18,19.8,0,Гасан-Кули
1052037,1927-05-09,11.6,18.3,20.5,0,Гасан-Кули
1052038,1927-05-10,14.8,18.4,20.5,0,Гасан-Кули
1052039,1927-05-11,14.4,16.3,18.4,0,Гасан-Кули
1052040,1927-05-12,9.6,17,21.6,0,Гасан-Кули
1052041,1927-05-13,11.9,17.8,20.7,0,Гасан-Кули
1052042,1927-05-14,11.6,23.4,34.4,0,Гасан-Кули
1052043,1927-05-15,17.7,18.6,25.7,0,Гасан-Кули
1052044,1927-05-16,13.3,18.8,21.2,0,Гасан-Кули
1052045,1927-05-17,16.9,19.5,22.6,0,Гасан-Кули
1052046,1927-05-18,17.3,19.7,21.9,0,Гасан-Кули
1052047,1927-05-19,18.2,19.9,21.9,0.2,Гасан-Кули
1052048,1927-05-20,18.1,19.4,22.7,0.3,Гасан-Кули
