,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1068392,1903-01-01,1.9,2.6,3.3,0,Геническ
1068393,1903-01-02,0.5,3.3,5.7,6.1,Геническ
1068394,1903-01-03,1.5,2.5,3.1,0,Геническ
1068395,1903-01-04,-2.6,-1.2,-0.7,0,Геническ
1068396,1903-01-05,-2.7,-0.4,0.7,2.7,Геническ
1068397,1903-01-06,-0.8,0.1,0.3,0.2,Геническ
1068398,1903-01-07,-0.7,1.7,3.3,0,Геническ
1068399,1903-01-08,1.9,2.7,3.7,0,Геническ
1068400,1903-01-09,1.1,2.3,3.3,0,Геническ
1068401,1903-01-10,1.3,4.2,5.7,0,Геническ
1068402,1903-01-11,0.7,3,4.1,0,Геническ
1068403,1903-01-12,1.7,6.8,8,0,Геническ
1068404,1903-01-13,3.5,7.3,11.6,0,Геническ
1068405,1903-01-14,-4.1,-2.3,-0.7,2.7,Геническ
1068406,1903-01-15,-6.7,-4.5,-2.9,0,Геническ
1068407,1903-01-16,-9.1,-7.8,-6.9,0,Геническ
1068408,1903-01-17,-13.3,-9.9,-7.9,0,Геническ
1068409,1903-01-18,-12.3,-4.8,-2.5,0,Геническ
1068410,1903-01-19,-8.7,-7.1,-6.1,0,Геническ
1068411,1903-01-20,-10.9,-8.9,-7.5,0,Геническ
1068412,1903-01-21,-10.5,-9.4,-8.7,0,Геническ
1068413,1903-01-22,-12.1,-5.6,-4.7,0,Геническ
1068414,1903-01-23,-7.9,-6.2,-4.9,0,Геническ
1068415,1903-01-24,-12.5,-7.2,-3.9,0,Геническ
1068416,1903-01-25,-16.7,-9.3,-6.3,0,Геническ
1068417,1903-01-26,-16.1,-11.3,-8.5,1,Геническ
1068418,1903-01-27,-13.3,-10.4,-8.9,0.4,Геническ
1068419,1903-01-28,-14.5,-7.5,0.3,0,Геническ
1068420,1903-01-29,-1.3,0.1,1.1,0,Геническ
1068421,1903-01-30,-2.1,1.2,3.3,0,Геническ
1068422,1903-01-31,1.5,2.2,2.9,3,Геническ
1070832,1903-02-01,0.7,3.1,6.5,0,Геническ
1070833,1903-02-02,-0.7,1.4,2.3,0,Геническ
1070834,1903-02-03,1.3,6.4,9,0,Геническ
1070835,1903-02-04,1.5,2.5,4.5,0,Геническ
1070836,1903-02-05,-1.1,0.1,2.3,0,Геническ
1070837,1903-02-06,-1.7,1.1,1.5,1,Геническ
1070838,1903-02-07,0.7,2,2.9,0,Геническ
1070839,1903-02-08,1.5,2,2.9,0.1,Геническ
1070840,1903-02-09,1.7,4.4,5.1,1.6,Геническ
1070841,1903-02-10,-0.1,1.2,2.1,0,Геническ
1070842,1903-02-11,-2.1,0.6,2.1,2.4,Геническ
1070843,1903-02-12,1.3,4.4,6.5,0,Геническ
1070844,1903-02-13,-1.5,1.8,4.3,0.9,Геническ
1070845,1903-02-14,-5.5,-3.2,-2.1,0,Геническ
