,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1108415,1938-08-11,15.5,21.9,29.7,0,Грозный
1108416,1938-08-12,14.6,22.2,30.4,0.2,Грозный
1108417,1938-08-13,17.4,21.1,26.1,14.5,Грозный
1108418,1938-08-14,16.1,22.8,30.4,2.3,Грозный
1108419,1938-08-15,15.7,23.7,33.8,0,Грозный
1108420,1938-08-16,17.9,25,35.2,0,Грозный
1108421,1938-08-17,19.3,27.9,37.1,0,Грозный
1108422,1938-08-18,18.8,28.4,37.9,0,Грозный
1108423,1938-08-19,22,28.1,32.7,0,Грозный
1108424,1938-08-20,19.1,26.8,32.3,0,Грозный
1108425,1938-08-21,20.7,23,29.1,13.8,Грозный
1108426,1938-08-22,15.3,21.5,28.8,0,Грозный
1108427,1938-08-23,15.4,22.2,31.2,0,Грозный
1108428,1938-08-24,17.6,24.2,33.6,0,Грозный
1108429,1938-08-25,18.1,25.9,34.3,0,Грозный
1108430,1938-08-26,15.9,24.8,35.1,0,Грозный
1108431,1938-08-27,13.8,24.8,34.4,0,Грозный
1108432,1938-08-28,13.2,24,35.3,0,Грозный
1108433,1938-08-29,16.6,24.4,33.6,0,Грозный
1108434,1938-08-30,18.3,24.2,32.9,0,Грозный
1108435,1938-08-31,19.9,23.4,30.4,0,Грозный
1110141,1938-09-01,12.2,20.9,29.1,0,Грозный
1110142,1938-09-02,11.7,20.7,29.8,0,Грозный
1110143,1938-09-03,13.1,21.6,29.4,0,Грозный
1110144,1938-09-04,13.1,22,31.6,0,Грозный
1110145,1938-09-05,16.8,22.7,30.5,0,Грозный
1110146,1938-09-06,14.6,22.8,33.1,0,Грозный
1110147,1938-09-07,16.1,23.4,30.9,0,Грозный
1110148,1938-09-08,18.3,23.4,30.6,0,Грозный
1110149,1938-09-09,14.9,21.9,29.6,0,Грозный
1110150,1938-09-10,19.9,21.7,27.3,2.6,Грозный
1110151,1938-09-11,17.4,20.9,26.8,1.3,Грозный
1110152,1938-09-12,15.5,21.4,29.1,0,Грозный
1110153,1938-09-13,14.3,21.7,30.6,0,Грозный
1110154,1938-09-14,14.6,23,32.1,0,Грозный
1110155,1938-09-15,14.2,22.7,33,0,Грозный
1110156,1938-09-16,14.9,22.9,33.1,0,Грозный
1110157,1938-09-17,20.5,24.5,32.5,0,Грозный
1110158,1938-09-18,15.4,21.3,29.6,0.3,Грозный
1110159,1938-09-19,18.5,21.1,25.6,0,Грозный
1110160,1938-09-20,13.1,20.9,27.5,0,Грозный
