,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1160886,1939-10-10,-1,3.8,9.8,0,Дальнереченск
1160887,1939-10-11,-1.3,8.8,20.1,0,Дальнереченск
1160888,1939-10-12,1.5,4.2,15.6,0,Дальнереченск
1160889,1939-10-13,-3.9,5.9,16.7,0,Дальнереченск
1160890,1939-10-14,1.7,6.9,14,0,Дальнереченск
1160891,1939-10-15,2.5,5.3,9.1,0,Дальнереченск
1160892,1939-10-16,-1.2,2.3,8.1,0,Дальнереченск
1160893,1939-10-17,-6.6,-1.1,4.6,0,Дальнереченск
1160894,1939-10-18,-3.6,-0.8,1.4,1.6,Дальнереченск
1160895,1939-10-19,-2,-0.9,2.1,1.8,Дальнереченск
1160896,1939-10-20,-7.2,-4,0.3,1,Дальнереченск
1160897,1939-10-21,-7.3,-4,-0.5,0,Дальнереченск
1160898,1939-10-22,-7.3,-1.8,5.1,0,Дальнереченск
1160899,1939-10-23,-2.2,1.7,6.5,0,Дальнереченск
1160900,1939-10-24,-4.1,1.7,9.3,0,Дальнереченск
1160901,1939-10-25,-2.6,4,12.1,0,Дальнереченск
1160902,1939-10-26,-4.6,3.4,13.9,0,Дальнереченск
1160903,1939-10-27,-5.4,2.8,13.5,0,Дальнереченск
1160904,1939-10-28,-5.4,3.7,11.6,0,Дальнереченск
1160905,1939-10-29,-4.3,2.2,7.5,0,Дальнереченск
1160906,1939-10-30,-7.3,-2.1,1.3,0,Дальнереченск
1160907,1939-10-31,-12.4,-4,3.5,0,Дальнереченск
1162594,1939-11-01,-5.5,-0.9,6,0,Дальнереченск
1162595,1939-11-02,-2.6,3.4,10.1,0,Дальнереченск
1162596,1939-11-03,-4.7,2.7,9.7,0,Дальнереченск
1162597,1939-11-04,-0.5,4.4,11.9,2.9,Дальнереченск
1162598,1939-11-05,-4,2.5,10.6,0,Дальнереченск
1162599,1939-11-06,-3.1,4.4,14.4,0,Дальнереченск
1162600,1939-11-07,3.1,8.3,14.9,0,Дальнереченск
1162601,1939-11-08,-1.7,1.8,9.3,0,Дальнереченск
1162602,1939-11-09,-8.2,-4.4,-1.5,4.8,Дальнереченск
1162603,1939-11-11,-10.3,-5,0,0,Дальнереченск
1162604,1939-11-12,-12.4,-9,0.3,0,Дальнереченск
1162605,1939-11-13,-20.5,-15.6,-9,0,Дальнереченск
1162606,1939-11-14,-16.3,-10.4,-4.1,0,Дальнереченск
1162607,1939-11-15,-13.6,-11.1,-6.5,0,Дальнереченск
1162608,1939-11-16,-16.6,-13.3,-10.9,1,Дальнереченск
1162609,1939-11-17,-19.4,-12.5,-5.3,0,Дальнереченск
1162610,1939-11-18,-15.5,-7,1.5,0,Дальнереченск
1162611,1939-11-19,-6,2.1,5.4,0.3,Дальнереченск
1162612,1939-11-20,-7.3,-3.4,4.4,5.3,Дальнереченск
1162613,1939-11-21,-13.1,-10.6,-6.1,0,Дальнереченск
1162614,1939-11-22,-14.5,-12,-7.3,0,Дальнереченск
1162615,1939-11-23,-16.5,-12,-6.5,0,Дальнереченск
