,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1165947,1936-01-01,-6.1,-3.2,-1.2,0,Дебальцево
1165948,1936-01-02,-4.1,-2.7,-1.3,0,Дебальцево
1165949,1936-01-03,-3.9,-2.8,-1.7,0,Дебальцево
1165950,1936-01-04,-2.7,-1.8,-1.1,0,Дебальцево
1165951,1936-01-05,-2.5,-1.4,-0.9,0.5,Дебальцево
1165952,1936-01-06,-3.3,-2.2,0.1,0.1,Дебальцево
1165953,1936-01-07,-4.8,-4,-2.9,0,Дебальцево
1165954,1936-01-08,-3.9,-3.2,-1.9,0,Дебальцево
1165955,1936-01-09,-4.9,-3.1,-1.3,0,Дебальцево
1165956,1936-01-10,-4.1,-2,-0.3,3.5,Дебальцево
1165957,1936-01-11,-1.8,-1,0.1,1.8,Дебальцево
1165958,1936-01-12,-0.5,0.6,1.3,3.4,Дебальцево
1165959,1936-01-13,-2,-1.2,0.6,9.4,Дебальцево
1165960,1936-01-14,-4.1,-3,-0.4,1.2,Дебальцево
1165961,1936-01-15,-7.1,-4.8,-2.9,0.4,Дебальцево
1165962,1936-01-16,-6.6,-3.9,-2.7,0.7,Дебальцево
1165963,1936-01-17,-7.3,-5,-1.3,0,Дебальцево
1165964,1936-01-18,-11.1,-7.4,-4.4,0,Дебальцево
1165965,1936-01-19,-5,-3.9,-2.7,1.2,Дебальцево
1165966,1936-01-20,-6.7,-3.6,-0.9,0.9,Дебальцево
1165967,1936-01-21,-1.4,-0.6,0,0,Дебальцево
1165968,1936-01-22,-2.5,-0.8,1.2,4.2,Дебальцево
1165969,1936-01-23,0.2,2.5,4.5,0.1,Дебальцево
1165970,1936-01-24,0,1.5,4.5,0.6,Дебальцево
1165971,1936-01-25,-2.5,-1.4,0.1,0,Дебальцево
1165972,1936-01-26,-2.4,-0.8,4,0,Дебальцево
1165973,1936-01-27,-5.5,-3,-1.4,3.2,Дебальцево
1165974,1936-01-28,-2.3,0.5,2,4.6,Дебальцево
1165975,1936-01-29,-0.1,1.6,2.6,0.8,Дебальцево
1165976,1936-01-30,-8.8,-2.7,2.1,11.2,Дебальцево
1165977,1936-01-31,-16.9,-14.6,-8.7,0.3,Дебальцево
1167673,1936-02-01,-20,-14.8,-9.8,0,Дебальцево
1167674,1936-02-02,-11.1,-7.7,-3.3,1.1,Дебальцево
1167675,1936-02-03,-3.6,-1,1.6,0,Дебальцево
1167676,1936-02-04,-2.2,-0.8,1.2,0.1,Дебальцево
1167677,1936-02-05,-3,-1.8,0.3,0,Дебальцево
1167678,1936-02-06,-2,-0.9,0.6,2.3,Дебальцево
1167679,1936-02-07,-5.6,-3.4,-0.4,0,Дебальцево
1167680,1936-02-08,-8.7,-7.4,-3.1,0,Дебальцево
1167681,1936-02-09,-11.3,-8.9,-6.7,0,Дебальцево
1167682,1936-02-10,-6.9,-3.2,-1.4,0.1,Дебальцево
1167683,1936-02-11,-18.6,-16,-2.7,0,Дебальцево
1167684,1936-02-12,-18.7,-17.1,-14.9,1.1,Дебальцево
1167685,1936-02-13,-15.3,-13,-11.3,0.1,Дебальцево
1167686,1936-02-14,-15.1,-9.6,-5.2,0.3,Дебальцево
1167687,1936-02-15,-14.6,-11.8,-9.9,0.5,Дебальцево
1167688,1936-02-16,-15.7,-14,-11.4,0.2,Дебальцево
1167689,1936-02-17,-23.6,-19.3,-14.4,0,Дебальцево
1167690,1936-02-18,-19.3,-15.6,-10.9,0,Дебальцево
1167691,1936-02-19,-19.7,-16.5,-14.5,0.1,Дебальцево
1167692,1936-02-20,-17.7,-15.6,-11.5,0.5,Дебальцево
1167693,1936-02-21,-17.3,-13,-9.7,0.6,Дебальцево
1167694,1936-02-22,-10.4,-8.4,-6.7,1.3,Дебальцево
1167695,1936-02-23,-10.3,-8.9,-5.9,0,Дебальцево
1167696,1936-02-24,-13.4,-8.8,-3.3,0,Дебальцево
1167697,1936-02-25,-15.4,-9.6,-5.7,0,Дебальцево
1167698,1936-02-26,-13.6,-8.1,-3.5,0,Дебальцево
1167699,1936-02-27,-10.1,-5.4,-0.9,0,Дебальцево
1167700,1936-02-28,-2,-0.8,0.2,0.2,Дебальцево
1167701,1936-02-29,-1.5,-0.4,1.6,0,Дебальцево
1169253,1936-03-01,-2,-0.7,0.6,0,Дебальцево
1169254,1936-03-02,-2.9,-0.6,1.7,0,Дебальцево
1169255,1936-03-03,-1.5,-0.2,1.7,1,Дебальцево
1169256,1936-03-04,-2,0.3,2.4,0,Дебальцево
1169257,1936-03-05,-2,-0.8,1.6,0,Дебальцево
1169258,1936-03-06,-2.9,0.3,3,0,Дебальцево
1169259,1936-03-07,-4.7,-1.8,1.3,0,Дебальцево
1169260,1936-03-08,-7.3,-3,1.5,0,Дебальцево
1169261,1936-03-09,-5.2,-3.1,-0.7,0,Дебальцево
1169262,1936-03-10,-5.2,-2,1.1,0,Дебальцево
1169263,1936-03-11,-2.8,-0.9,0.6,0,Дебальцево
1169264,1936-03-12,-1.1,1,4.1,0.1,Дебальцево
1169265,1936-03-13,-0.4,2,6.1,0,Дебальцево
1169266,1936-03-14,0.5,3.5,7.6,0,Дебальцево
1169267,1936-03-15,1,2.6,5.7,0,Дебальцево
1169268,1936-03-16,-1.6,0,2.3,0.4,Дебальцево
1169269,1936-03-17,-1,0.6,3,0,Дебальцево
1169270,1936-03-18,-1.5,-0.6,1.6,0,Дебальцево
1169271,1936-03-19,-1.9,0.6,4.7,0,Дебальцево
1169272,1936-03-20,-0.4,1,4.9,0.1,Дебальцево
1169273,1936-03-21,-6,-2.3,1.6,0,Дебальцево
1169274,1936-03-22,-10.9,-4.1,0.7,0.6,Дебальцево
1169275,1936-03-23,-2.5,1.5,8.1,0,Дебальцево
1169276,1936-03-24,0.3,3.2,8.6,0,Дебальцево
1169277,1936-03-25,-3.4,-1.5,5.8,0,Дебальцево
1169278,1936-03-26,-9.1,-4.6,0.9,0,Дебальцево
1169279,1936-03-27,-5.5,-2.4,1.2,0.3,Дебальцево
1169280,1936-03-28,-2.5,-1.6,0.1,0.1,Дебальцево
1169281,1936-03-29,-7.9,-4.8,-1.7,0,Дебальцево
1169282,1936-03-30,-9.6,-4.6,-0.2,0,Дебальцево
1169283,1936-03-31,-6.9,-2.5,3.6,0,Дебальцево
1170988,1936-04-01,-5.1,-1.4,3.8,0,Дебальцево
1170989,1936-04-02,-5.2,1,8.1,0,Дебальцево
1170990,1936-04-03,-2.6,3,9.9,0,Дебальцево
1170991,1936-04-04,0.8,4.4,9.5,0.4,Дебальцево
