,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1191805,1926-04-01,10,13.1,17.5,0,Душанбе
1191806,1926-04-02,7.7,9.4,13.1,31.5,Душанбе
1191807,1926-04-03,6.3,8.5,12.6,4.5,Душанбе
1191808,1926-04-04,9,12.8,19.2,0,Душанбе
1191809,1926-04-05,11.8,16,23.5,0,Душанбе
1191810,1926-04-06,12.1,16.1,23.7,0,Душанбе
1191811,1926-04-07,11.3,17.6,25.8,0.1,Душанбе
1191812,1926-04-08,15.2,18.1,23,25.3,Душанбе
1191813,1926-04-09,10.8,11.3,17.8,3.8,Душанбе
1191814,1926-04-10,2.2,4.7,10.8,2,Душанбе
1191815,1926-04-11,5.8,10.7,17,0,Душанбе
1191816,1926-04-12,9.2,13.2,19.7,0,Душанбе
1191817,1926-04-13,11.1,15.7,22,0,Душанбе
1191818,1926-04-14,14,15.4,18.5,13.7,Душанбе
1191819,1926-04-15,9,9.9,14.8,11.4,Душанбе
1191820,1926-04-16,8,9.7,13,12.9,Душанбе
1191821,1926-04-17,-0.5,2.2,8,25,Душанбе
1191822,1926-04-18,1.6,4.5,8.1,0.5,Душанбе
1191823,1926-04-19,5,7.7,11.6,1.7,Душанбе
1191824,1926-04-20,6.7,8.4,13,0,Душанбе
1191825,1926-04-21,6.4,10.1,16.5,0,Душанбе
1191826,1926-04-22,8.9,12.8,19.5,0,Душанбе
1191827,1926-04-23,11.4,15.5,21.9,0,Душанбе
1191828,1926-04-24,11.4,13.3,18,14.5,Душанбе
1191829,1926-04-25,8.4,9.8,14.5,4.5,Душанбе
1191830,1926-04-26,9.6,12.4,18,0,Душанбе
1191831,1926-04-27,11.4,14.8,21.5,0,Душанбе
1191832,1926-04-28,12.4,15.7,23.8,0,Душанбе
1191833,1926-04-29,12.6,16.8,24.5,0,Душанбе
1191834,1926-04-30,12.8,16.5,23,0.3,Душанбе
1195737,1926-06-01,16,17.3,21,1,Душанбе
1195738,1926-06-02,14.5,15.4,21,7,Душанбе
1195739,1926-06-03,14.5,19.3,24,8.5,Душанбе
1195740,1926-06-04,13.8,15.3,19.5,15,Душанбе
1195741,1926-06-05,14,16.8,23,0,Душанбе
1195742,1926-06-06,14.4,17.7,24,0,Душанбе
1195743,1926-06-07,16.2,19.4,25,0,Душанбе
1195744,1926-06-08,16.2,20.7,27.5,0,Душанбе
1195745,1926-06-09,18.8,23.1,30.5,0,Душанбе
1195746,1926-06-10,18.6,19.5,24,8.8,Душанбе
1195747,1926-06-11,16.2,21,28,0,Душанбе
1195748,1926-06-12,19.8,24.4,31.5,0,Душанбе
1195749,1926-06-13,21.2,25.5,33.6,0,Душанбе
1195750,1926-06-14,23.6,27,35,0,Душанбе
1195751,1926-06-15,23.8,27.3,34.9,0,Душанбе
1195752,1926-06-16,23.8,27.4,33,0,Душанбе
1195753,1926-06-17,22.2,24.9,32.3,0,Душанбе
1195754,1926-06-18,22.2,26.8,32,0,Душанбе
1195755,1926-06-19,22.4,25.9,31.5,0.1,Душанбе
1195756,1926-06-20,22.4,25.5,32,0,Душанбе
1195757,1926-06-21,22.2,26.2,33.5,0,Душанбе
1195758,1926-06-22,24.2,27.4,34.6,0,Душанбе
1195759,1926-06-23,24.2,27.7,34.8,0,Душанбе
1195760,1926-06-24,24.9,28.4,34.9,0,Душанбе
1195761,1926-06-25,23.8,26.4,32.5,1.6,Душанбе
1195762,1926-06-26,18.4,19.5,24.4,15.4,Душанбе
1195763,1926-06-27,18.1,21.8,28.5,0,Душанбе
1195764,1926-06-28,20.7,25.5,32,0,Душанбе
1195765,1926-06-29,22.9,25.4,31.7,0,Душанбе
1195766,1926-06-30,22.2,26.1,31.6,0,Душанбе
1197716,1926-07-01,21.4,23,25.6,0.1,Душанбе
1197717,1926-07-02,22.2,25.4,32,0,Душанбе
1197718,1926-07-03,19,20.3,24.4,1.9,Душанбе
1197719,1926-07-04,19,23.1,29,0,Душанбе
1197720,1926-07-05,20.9,24.6,31,0,Душанбе
1197721,1926-07-06,23,27.2,34.5,0,Душанбе
1197722,1926-07-07,25.5,29.3,36,0,Душанбе
1197723,1926-07-08,27.4,31.9,39.2,0,Душанбе
1197724,1926-07-09,26,29.8,36.5,0,Душанбе
1197725,1926-07-10,25.1,28.6,36,0,Душанбе
1197726,1926-07-11,25.1,29.9,36,0,Душанбе
1197727,1926-07-12,22.7,27.2,33.2,0,Душанбе
1197728,1926-07-13,22.8,24.7,29.2,0,Душанбе
1197729,1926-07-14,20.6,24.4,31.5,0,Душанбе
1197730,1926-07-15,22.2,25.9,34,0,Душанбе
1197731,1926-07-16,22.6,27.6,35,0,Душанбе
1197732,1926-07-17,24.8,29.9,37.2,0,Душанбе
1197733,1926-07-18,25.4,28.9,35.5,0,Душанбе
1197734,1926-07-19,25.8,30.2,36.5,0,Душанбе
1197735,1926-07-20,26.6,29.5,36.3,0,Душанбе
1197736,1926-07-21,27.2,30.6,38,0,Душанбе
1197737,1926-07-22,26.1,29.7,36.5,0,Душанбе
1197738,1926-07-23,25,28.3,36,0,Душанбе
1197739,1926-07-24,24.4,28.4,36,0,Душанбе
1197740,1926-07-25,24.7,28.5,36,0,Душанбе
1197741,1926-07-26,24.2,28.9,37.2,0,Душанбе
1197742,1926-07-27,24.6,30.2,37.8,0,Душанбе
1197743,1926-07-28,25.9,30.4,38.4,0,Душанбе
1197744,1926-07-29,26.1,29.9,37.6,0,Душанбе
1197745,1926-07-30,26.1,29.1,36,0,Душанбе
1197746,1926-07-31,24.9,28.8,36.2,0,Душанбе
1201723,1926-09-01,22.4,27.3,37,0,Душанбе
1201724,1926-09-02,23.4,28.1,38,0,Душанбе
1201725,1926-09-03,22.8,27.9,38,0,Душанбе
1201726,1926-09-04,22.4,28.2,37.9,0,Душанбе
1201727,1926-09-05,22.4,27.3,36.5,0,Душанбе
1201728,1926-09-06,22.7,26.6,34.1,0,Душанбе
1201729,1926-09-07,22.2,25.9,33.8,0,Душанбе
1201730,1926-09-08,19.6,23.8,31.8,0,Душанбе
1201731,1926-09-09,20.6,24.4,32.2,0,Душанбе
1201732,1926-09-10,18.8,23.4,31.4,0,Душанбе
1201733,1926-09-11,18,22.2,31.2,0,Душанбе
1201734,1926-09-12,17.1,22,31.6,0,Душанбе
1201735,1926-09-13,18.2,23.3,31.9,0,Душанбе
1201736,1926-09-14,18.2,19.8,24.5,0,Душанбе
1201737,1926-09-15,13.6,17.9,24.1,0,Душанбе
1201738,1926-09-16,13.2,17.8,26.8,0,Душанбе
1201739,1926-09-17,14.8,20,28.4,0,Душанбе
1201740,1926-09-18,15.2,20.4,29.5,0,Душанбе
1201741,1926-09-19,15.6,22.6,29.8,0,Душанбе
1201742,1926-09-20,18,22.7,33.5,0,Душанбе
1201743,1926-09-21,18,23.2,32,0,Душанбе
1201744,1926-09-22,17.2,21.4,30,0,Душанбе
1201745,1926-09-23,17,21.3,28,0,Душанбе
1201746,1926-09-24,15.8,20,28.6,0,Душанбе
1201747,1926-09-25,16.1,19.5,27.6,0,Душанбе
1201748,1926-09-26,14.4,19.1,27.6,0,Душанбе
1201749,1926-09-27,14.6,19.4,28.2,0,Душанбе
1201750,1926-09-28,13.3,18.6,27.6,0,Душанбе
1201751,1926-09-29,13.2,18.3,27.8,0,Душанбе
1201752,1926-09-30,14.2,19.1,26.5,0,Душанбе
1203733,1926-10-01,10,16,26.1,0.3,Душанбе
1203734,1926-10-02,10.4,12.7,17.3,0.6,Душанбе
1203735,1926-10-03,3.3,13.5,23.5,0,Душанбе
1203736,1926-10-04,6.1,13,20.2,0,Душанбе
1203737,1926-10-05,3.2,13.1,25,0,Душанбе
1203738,1926-10-06,4.4,16.6,29,0,Душанбе
1203739,1926-10-07,6.2,17.1,29,0,Душанбе
1203740,1926-10-08,7,18.9,30.5,0,Душанбе
1203741,1926-10-09,6.8,16.2,25.5,0,Душанбе
1203742,1926-10-10,10.6,15.7,20.5,0,Душанбе
1203743,1926-10-11,5.5,13.7,22,0,Душанбе
1203744,1926-10-12,5.7,13.2,21.9,0,Душанбе
1203745,1926-10-13,4,13,23,0,Душанбе
1203746,1926-10-14,4.2,12.3,22.5,0,Душанбе
1203747,1926-10-15,3.4,13.5,22.5,0,Душанбе
1203748,1926-10-16,3,12.6,23.5,0,Душанбе
1203749,1926-10-17,3.4,13.4,23,0,Душанбе
1203750,1926-10-18,2.6,13.4,24,0,Душанбе
1203751,1926-10-19,3.2,13.7,25,0,Душанбе
1203752,1926-10-20,5.2,16.7,25.5,0,Душанбе
1203753,1926-10-21,10,17.9,26.8,0,Душанбе
1203754,1926-10-22,8,18.5,24.7,0,Душанбе
1203755,1926-10-23,6,15.3,24,0,Душанбе
1203756,1926-10-24,5.1,14.7,23.8,0,Душанбе
1203757,1926-10-25,4.6,13.9,25.5,0,Душанбе
1203758,1926-10-26,4.4,14.4,26.5,0,Душанбе
1203759,1926-10-27,5.2,15,26.7,0,Душанбе
1203760,1926-10-28,5,14.3,27,0,Душанбе
1203761,1926-10-29,5,14.9,26.7,0,Душанбе
1203762,1926-10-30,4.8,15.2,27.9,0,Душанбе
1203763,1926-10-31,3.6,13.5,23.8,0,Душанбе
1205773,1926-11-01,4,11.3,19,0,Душанбе
1205774,1926-11-02,7.5,12.4,16.6,0,Душанбе
1205775,1926-11-03,7.2,10.8,16,1.4,Душанбе
1205776,1926-11-04,3.5,10.2,16.5,3.8,Душанбе
1205777,1926-11-05,-2.5,-0.5,9.8,1.3,Душанбе
1205778,1926-11-06,-7.8,1.6,11.4,0,Душанбе
1205779,1926-11-07,-2.8,6.8,18,0,Душанбе
1205780,1926-11-08,-1.1,6.7,17.3,0,Душанбе
1205781,1926-11-09,-1.5,6.2,14,0,Душанбе
1205782,1926-11-10,-1.1,3.3,9.8,0,Душанбе
1205783,1926-11-11,-5.5,1.3,8,0,Душанбе
1205784,1926-11-12,-5.4,1.5,10.7,0,Душанбе
1205785,1926-11-13,-5.1,2.6,13.5,0,Душанбе
1205786,1926-11-14,-5,1.9,11,0,Душанбе
1205787,1926-11-15,-2,3.2,10.5,0,Душанбе
1205788,1926-11-16,-4.9,3.1,14,0,Душанбе
1205789,1926-11-17,-2.5,8.9,18,0,Душанбе
1205790,1926-11-18,7.6,12.5,19.5,6,Душанбе
1205791,1926-11-19,5.3,7.1,11.2,38.4,Душанбе
1205792,1926-11-20,0.3,1.1,5.5,1,Душанбе
1205793,1926-11-21,-2.5,1.7,7,0,Душанбе
1205794,1926-11-22,-2.3,4.1,12.2,0,Душанбе
1205795,1926-11-23,-2.5,3.1,11,0,Душанбе
1205796,1926-11-24,-3,2.8,8.1,0,Душанбе
1205797,1926-11-25,1.1,3.6,8,0,Душанбе
1205798,1926-11-26,-2.5,3.7,9.9,0,Душанбе
1205799,1926-11-27,-2.3,5.1,15.5,0,Душанбе
1205800,1926-11-28,-0.9,7.2,18.3,0,Душанбе
1205801,1926-11-29,0.4,8.7,19,0,Душанбе
1205802,1926-11-30,2.2,8.4,16.5,0,Душанбе
1207723,1926-12-01,3,7.8,13.6,0,Душанбе
1207724,1926-12-02,2.1,6.2,13.2,0,Душанбе
1207725,1926-12-03,1,8.6,16.5,0,Душанбе
1207726,1926-12-04,5.2,5.4,7.6,0,Душанбе
1207727,1926-12-05,3.6,4.8,5,0,Душанбе
1207728,1926-12-06,1.5,5.4,11.5,8.9,Душанбе
1207729,1926-12-07,-0.4,5.1,13.5,2.6,Душанбе
1207730,1926-12-08,-1.2,4.9,11.6,0,Душанбе
1207731,1926-12-09,-0.5,5.1,13.5,0,Душанбе
1207732,1926-12-10,-0.1,6.2,14.6,0,Душанбе
1207733,1926-12-11,0.4,5.6,10.4,0,Душанбе
1207734,1926-12-12,0.2,5.2,11.5,0,Душанбе
1207735,1926-12-13,2.1,6.1,11,0,Душанбе
1207736,1926-12-14,3,4.4,5.6,7.1,Душанбе
1207737,1926-12-15,3,4.2,7.4,9.1,Душанбе
1207738,1926-12-16,-0.2,3.6,10.7,0.8,Душанбе
1207739,1926-12-17,-1.1,5.7,11.3,0,Душанбе
1207740,1926-12-18,3.6,7.2,9.9,0,Душанбе
1207741,1926-12-19,3.5,6.3,10.5,3.5,Душанбе
1207742,1926-12-20,2.3,3.4,6,5.2,Душанбе
1207743,1926-12-21,-0.6,1.7,10,0.7,Душанбе
1207744,1926-12-22,-2.4,1.8,13,0,Душанбе
1207745,1926-12-23,-4,2.4,13.5,0,Душанбе
1207746,1926-12-24,1,3.6,6,0,Душанбе
1207747,1926-12-25,-1.2,4.4,11,0,Душанбе
1207748,1926-12-26,2.8,6,11,1.6,Душанбе
1207749,1926-12-27,0.8,1.5,3,0,Душанбе
1207750,1926-12-28,-2,-0.1,1.5,0,Душанбе
1207751,1926-12-29,0,2.6,6.5,5,Душанбе
1207752,1926-12-30,0,5.5,13.5,0,Душанбе
1207753,1926-12-31,0.8,6.5,14.6,0,Душанбе
1185890,1927-01-01,2.6,8.8,17,0,Душанбе
1185891,1927-01-02,0.4,6.3,15,0,Душанбе
1185892,1927-01-03,1.6,9.5,18.6,0,Душанбе
1185893,1927-01-04,-4,2.3,8,0,Душанбе
1185894,1927-01-05,-9.2,-8,-6.5,0,Душанбе
1185895,1927-01-06,-18.5,-13.8,-7,20,Душанбе
1185896,1927-01-07,-19.4,-12,-3.3,0,Душанбе
1185897,1927-01-08,-16,-5.5,4.2,0,Душанбе
1185898,1927-01-09,-8.8,-0.6,7,0,Душанбе
1185899,1927-01-10,-2,0.7,6,0,Душанбе
1185900,1927-01-11,-2.1,1.6,5,0,Душанбе
1185901,1927-01-12,-2.2,2.5,8,0,Душанбе
1185902,1927-01-13,1.2,1.6,4,0,Душанбе
1185903,1927-01-14,0.4,3.8,7.5,9.5,Душанбе
1185904,1927-01-15,0,0.9,2,6.4,Душанбе
1185905,1927-01-16,0,1.7,4,11.3,Душанбе
1185906,1927-01-17,-5.6,-3.4,0.2,0,Душанбе
1185907,1927-01-18,-7,-5.3,-2.5,13.8,Душанбе
1185908,1927-01-19,-10.2,-6,-2.9,4.4,Душанбе
1185909,1927-01-20,-7,-5.3,-1.9,0.3,Душанбе
1185910,1927-01-21,-11.7,-8.7,-5.5,0,Душанбе
1185911,1927-01-22,-15,-11,-7,0.3,Душанбе
1185912,1927-01-23,-17.6,-10.3,-4,0,Душанбе
1185913,1927-01-24,-11.8,-2.8,3,0,Душанбе
1185914,1927-01-25,-4.8,1.6,5.5,0,Душанбе
1185915,1927-01-26,-0.4,2,6.5,0,Душанбе
1185916,1927-01-27,-2,3.1,9,0,Душанбе
1185917,1927-01-28,-1.6,0.1,2,4.9,Душанбе
1185918,1927-01-29,-4.4,-2.3,-1,15,Душанбе
1185919,1927-01-30,-5,-1.6,1.2,5.2,Душанбе
1185920,1927-01-31,-7,-4.8,-0.5,0,Душанбе
1187935,1927-02-01,-9.7,-2.3,4.5,0,Душанбе
1187936,1927-02-02,-7.1,-0.1,7,0,Душанбе
1187937,1927-02-03,-3.9,2.1,9.9,0,Душанбе
1187938,1927-02-04,-1.9,2.7,7.7,0,Душанбе
1187939,1927-02-05,-1.9,2.9,9,0,Душанбе
