,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-24.3,-19.7,-16.5,0,Екатеринбург (Свердловск)
2,1900-01-02,-16.5,-14.5,-13.7,0,Екатеринбург (Свердловск)
3,1900-01-03,-15.3,-14,-13.5,0,Екатеринбург (Свердловск)
4,1900-01-04,-15.5,-12.6,-10.8,0,Екатеринбург (Свердловск)
5,1900-01-05,-25.8,-22.4,-15.2,0,Екатеринбург (Свердловск)
6,1900-01-06,-22.8,-19.9,-17.8,0.3,Екатеринбург (Свердловск)
7,1900-01-07,-28.1,-26.3,-18.3,0.8,Екатеринбург (Свердловск)
8,1900-01-08,-32.3,-28.4,-25.5,0.4,Екатеринбург (Свердловск)
9,1900-01-09,-36.5,-27.8,-21.4,0,Екатеринбург (Свердловск)
10,1900-01-10,-22.8,-16.5,-15.1,0.3,Екатеринбург (Свердловск)
11,1900-01-11,-17.2,-15.9,-15.1,0.1,Екатеринбург (Свердловск)
12,1900-01-12,-19.7,-18.1,-16,0,Екатеринбург (Свердловск)
13,1900-01-13,-19,-16.3,-14.3,0.8,Екатеринбург (Свердловск)
14,1900-01-14,-18.4,-10.1,-7,0,Екатеринбург (Свердловск)
15,1900-01-15,-14.2,-12.5,-9.7,0,Екатеринбург (Свердловск)
16,1900-01-16,-17.8,-15.6,-12.5,0,Екатеринбург (Свердловск)
17,1900-01-17,-22,-17.7,-12.5,0,Екатеринбург (Свердловск)
18,1900-01-18,-21.6,-18,-12.3,0,Екатеринбург (Свердловск)
19,1900-01-19,-23.8,-17.6,-12.4,0,Екатеринбург (Свердловск)
20,1900-01-20,-27,-24.8,-15,0,Екатеринбург (Свердловск)
21,1900-01-21,-27.1,-19.8,-16.8,0,Екатеринбург (Свердловск)
22,1900-01-22,-21.3,-17.3,-13.1,0,Екатеринбург (Свердловск)
23,1900-01-23,-18,-13.9,-11.6,0,Екатеринбург (Свердловск)
24,1900-01-24,-20.7,-17.2,-11.7,0,Екатеринбург (Свердловск)
25,1900-01-25,-22.8,-20,-14.6,0,Екатеринбург (Свердловск)
26,1900-01-26,-28.2,-23.3,-17.9,0,Екатеринбург (Свердловск)
27,1900-01-27,-29.3,-23.8,-16.4,0,Екатеринбург (Свердловск)
28,1900-01-28,-27.8,-21.5,-13.4,0,Екатеринбург (Свердловск)
29,1900-01-29,-24,-17.7,-12.6,0,Екатеринбург (Свердловск)
30,1900-01-30,-16.9,-13.7,-10.4,0,Екатеринбург (Свердловск)
31,1900-01-31,-13.4,-9.4,-6.5,0,Екатеринбург (Свердловск)
33,1900-02-01,-11.6,-9.9,-7.9,0,Екатеринбург (Свердловск)
34,1900-02-02,-12.7,-10.5,-7.9,0,Екатеринбург (Свердловск)
35,1900-02-03,-14.3,-12.1,-10.7,0,Екатеринбург (Свердловск)
36,1900-02-04,-16.2,-14.3,-12.1,0,Екатеринбург (Свердловск)
37,1900-02-05,-15.8,-11.8,-8.5,0,Екатеринбург (Свердловск)
38,1900-02-06,-15.6,-11.2,-6.5,0,Екатеринбург (Свердловск)
39,1900-02-07,-11.2,-8.2,-3.7,0,Екатеринбург (Свердловск)
40,1900-02-08,-14,-10.6,-3.7,0,Екатеринбург (Свердловск)
41,1900-02-09,-19.4,-13.5,-4.7,0,Екатеринбург (Свердловск)
42,1900-02-10,-18.1,-10.6,-0.2,0,Екатеринбург (Свердловск)
43,1900-02-11,-17.2,-11,-4.1,0,Екатеринбург (Свердловск)
44,1900-02-12,-17.1,-8.9,-0.5,0,Екатеринбург (Свердловск)
45,1900-02-13,-11,-9.5,-5.7,0,Екатеринбург (Свердловск)
46,1900-02-14,-16.5,-11.5,-5.7,0,Екатеринбург (Свердловск)
47,1900-02-15,-11.7,-8.5,-4.7,0,Екатеринбург (Свердловск)
48,1900-02-16,-20,-15.7,-11.4,0,Екатеринбург (Свердловск)
49,1900-02-17,-24.7,-19.8,-13.9,8,Екатеринбург (Свердловск)
50,1900-02-18,-25,-23.6,-18.4,0,Екатеринбург (Свердловск)
51,1900-02-19,-28.8,-25,-20.8,0,Екатеринбург (Свердловск)
52,1900-02-20,-29.7,-23,-15.9,0,Екатеринбург (Свердловск)
53,1900-02-21,-24.5,-18.4,-11.6,0,Екатеринбург (Свердловск)
54,1900-02-22,-20.4,-12.1,-6.9,0,Екатеринбург (Свердловск)
55,1900-02-23,-14.5,-9.3,-2.9,0,Екатеринбург (Свердловск)
56,1900-02-24,-13.7,-7.2,1.3,0,Екатеринбург (Свердловск)
57,1900-02-25,-12.4,-5.8,-0.2,0,Екатеринбург (Свердловск)
