,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1966-01-01,-24.9,-21.8,-17.6,0,Екатерино-Никольское
2,1966-01-02,-23.6,-19.9,-14.1,0,Екатерино-Никольское
3,1966-01-03,-24,-17.6,-8.8,0,Екатерино-Никольское
4,1966-01-04,-23.7,-18.3,-8.9,0,Екатерино-Никольское
5,1966-01-05,-23.1,-18.4,-8.9,0,Екатерино-Никольское
6,1966-01-06,-22.4,-18.1,-15.3,1.8,Екатерино-Никольское
7,1966-01-07,-21.3,-17,-12.3,0.8,Екатерино-Никольское
8,1966-01-08,-18.9,-16.1,-13.1,0.3,Екатерино-Никольское
9,1966-01-09,-29.6,-22.9,-17.2,0,Екатерино-Никольское
10,1966-01-10,-28.7,-25,-19.9,0.4,Екатерино-Никольское
11,1966-01-11,-26.4,-21.7,-17.1,0.4,Екатерино-Никольское
12,1966-01-12,-29.4,-24.6,-18.8,0,Екатерино-Никольское
13,1966-01-13,-24,-19.2,-14.4,0.8,Екатерино-Никольское
14,1966-01-14,-32.5,-23.9,-17.8,0,Екатерино-Никольское
15,1966-01-15,-30.3,-24.5,-16.3,0,Екатерино-Никольское
16,1966-01-16,-25.4,-21.6,-17.1,0.8,Екатерино-Никольское
17,1966-01-17,-23.7,-20.3,-17.1,2.6,Екатерино-Никольское
18,1966-01-18,-34.7,-28.5,-23.7,0,Екатерино-Никольское
19,1966-01-19,-27.8,-24.6,-18.7,0,Екатерино-Никольское
20,1966-01-20,-23.6,-21.6,-18,0,Екатерино-Никольское
21,1966-01-21,-26.1,-20.5,-15.5,0,Екатерино-Никольское
22,1966-01-22,-27.1,-22.2,-15.9,0,Екатерино-Никольское
23,1966-01-23,-27.5,-21.2,-14,0,Екатерино-Никольское
24,1966-01-24,-21.6,-15.5,-6.3,0,Екатерино-Никольское
25,1966-01-25,-23.5,-18,-11.3,0.3,Екатерино-Никольское
26,1966-01-26,-19.8,-16.4,-12.5,0.4,Екатерино-Никольское
27,1966-01-27,-23.5,-17.7,-9.2,0,Екатерино-Никольское
28,1966-01-28,-26.2,-19.2,-12.1,0,Екатерино-Никольское
29,1966-01-29,-20.5,-17.2,-13.2,0,Екатерино-Никольское
30,1966-01-30,-26.8,-21.5,-15.7,0,Екатерино-Никольское
31,1966-01-31,-27.1,-22.2,-14.5,0,Екатерино-Никольское
33,1966-02-01,-28,-23.2,-17.7,0,Екатерино-Никольское
34,1966-02-02,-29.9,-25,-20.3,2.5,Екатерино-Никольское
35,1966-02-03,-25.9,-22.2,-20.3,1.3,Екатерино-Никольское
36,1966-02-04,-28.1,-24.6,-19.4,0,Екатерино-Никольское
37,1966-02-05,-29,-25.3,-19.8,0,Екатерино-Никольское
38,1966-02-06,-24.1,-21.8,-16.6,0,Екатерино-Никольское
39,1966-02-07,-26.4,-18.8,-10.1,0,Екатерино-Никольское
40,1966-02-08,-16.1,-13.1,-10.1,0.8,Екатерино-Никольское
41,1966-02-09,-22.6,-17.8,-12.1,3.4,Екатерино-Никольское
42,1966-02-10,-20.9,-17.1,-14.1,2.4,Екатерино-Никольское
43,1966-02-11,-25.5,-22.3,-17,0,Екатерино-Никольское
44,1966-02-12,-28.1,-24.2,-18.6,0,Екатерино-Никольское
45,1966-02-13,-26.6,-22.7,-17.6,0,Екатерино-Никольское
46,1966-02-14,-34,-25,-15.7,0,Екатерино-Никольское
47,1966-02-15,-29,-22.2,-15.5,1.4,Екатерино-Никольское
48,1966-02-16,-26.4,-19.6,-13.2,0.7,Екатерино-Никольское
49,1966-02-17,-15.2,-13.1,-10.6,3.9,Екатерино-Никольское
50,1966-02-18,-23.6,-19,-14.3,0,Екатерино-Никольское
51,1966-02-19,-29.5,-22.8,-14.3,0,Екатерино-Никольское
52,1966-02-20,-20.5,-16,-8.2,1.9,Екатерино-Никольское
53,1966-02-21,-24.1,-19.5,-13,0,Екатерино-Никольское
54,1966-02-22,-32.4,-23.7,-15.4,0,Екатерино-Никольское
55,1966-02-23,-32.9,-24,-15.4,0,Екатерино-Никольское
56,1966-02-24,-28.4,-21.6,-11.3,0,Екатерино-Никольское
57,1966-02-25,-19.1,-14.4,-7,0,Екатерино-Никольское
58,1966-02-26,-23.1,-13.5,-4.1,0,Екатерино-Никольское
59,1966-02-27,-13.2,-6,4.3,0,Екатерино-Никольское
60,1966-02-28,-7.6,0.8,5.4,0,Екатерино-Никольское
62,1966-03-01,-16.3,-12,4.6,0.8,Екатерино-Никольское
63,1966-03-02,-16.9,-15.7,-12.9,5.8,Екатерино-Никольское
64,1966-03-03,-23.9,-19.5,-15.4,0,Екатерино-Никольское
65,1966-03-04,-22.6,-17.4,-8.7,0.3,Екатерино-Никольское
66,1966-03-05,-19.9,-15.3,-9.7,0,Екатерино-Никольское
67,1966-03-06,-25.2,-17.3,-9.3,0,Екатерино-Никольское
68,1966-03-07,-20.4,-16,-8.8,0,Екатерино-Никольское
69,1966-03-08,-16,-10.2,-4.7,0,Екатерино-Никольское
70,1966-03-09,-21.8,-11.4,-0.3,0,Екатерино-Никольское
71,1966-03-10,-18.8,-8.8,1,0,Екатерино-Никольское
72,1966-03-11,-11.3,-4.1,3.4,0,Екатерино-Никольское
73,1966-03-12,-5.3,-0.2,7.9,0,Екатерино-Никольское
74,1966-03-13,-9.7,-6.6,4.1,0.4,Екатерино-Никольское
75,1966-03-14,-18.1,-10.2,-3.3,0,Екатерино-Никольское
76,1966-03-15,-19.4,-11.1,-2.9,0,Екатерино-Никольское
77,1966-03-16,-11.7,-9,-4.6,0,Екатерино-Никольское
78,1966-03-17,-15.3,-9.7,-3.5,0,Екатерино-Никольское
79,1966-03-18,-13.9,-8.6,-2.7,0,Екатерино-Никольское
80,1966-03-19,-11.3,-9,-4.5,0,Екатерино-Никольское
81,1966-03-20,-10.4,-8.3,-4.7,0,Екатерино-Никольское
82,1966-03-21,-8.2,-4.6,0,0,Екатерино-Никольское
83,1966-03-22,-13.9,-7.4,-0.9,0,Екатерино-Никольское
84,1966-03-23,-4.9,-2.7,0.6,0,Екатерино-Никольское
85,1966-03-24,-4,-2.2,0.7,0.2,Екатерино-Никольское
86,1966-03-25,-5,-1.3,4.4,0.4,Екатерино-Никольское
87,1966-03-26,-3.5,0.2,5.4,0,Екатерино-Никольское
88,1966-03-27,-3.4,0.9,6.4,0,Екатерино-Никольское
89,1966-03-28,-5.7,0.9,7.8,0,Екатерино-Никольское
90,1966-03-29,-2.8,1.4,6.4,0,Екатерино-Никольское
91,1966-03-30,-6.4,0.4,6.5,0,Екатерино-Никольское
92,1966-03-31,-4.9,0.3,7.1,0,Екатерино-Никольское
94,1966-04-01,-5.2,1.9,10.4,0,Екатерино-Никольское
95,1966-04-02,-1.7,2.4,7.9,4.2,Екатерино-Никольское
96,1966-04-03,-10.4,-7,4.1,0.3,Екатерино-Никольское
97,1966-04-04,-10,-4.9,1.7,0,Екатерино-Никольское
98,1966-04-05,-6.1,0.7,9.1,0,Екатерино-Никольское
99,1966-04-06,-3.5,2.1,10.1,0,Екатерино-Никольское
100,1966-04-07,-6.6,0.3,7.6,0,Екатерино-Никольское
101,1966-04-08,-7.5,-3.8,6.4,0,Екатерино-Никольское
102,1966-04-09,-8.8,-2.8,3.5,0,Екатерино-Никольское
103,1966-04-10,-5.8,-0.6,4.9,0,Екатерино-Никольское
104,1966-04-11,-8.9,0.2,10,0,Екатерино-Никольское
105,1966-04-12,-3.1,0.1,8.6,0.4,Екатерино-Никольское
106,1966-04-13,-7.9,-0.1,7.5,0,Екатерино-Никольское
107,1966-04-14,-5.9,1,8.4,0,Екатерино-Никольское
108,1966-04-15,0.8,3.2,7.6,0,Екатерино-Никольское
109,1966-04-16,1.7,3,6.1,0,Екатерино-Никольское
110,1966-04-17,-0.9,3,8.9,0.2,Екатерино-Никольское
111,1966-04-18,-6.9,2.9,11.4,0,Екатерино-Никольское
112,1966-04-19,-4.1,4.5,14.2,0.3,Екатерино-Никольское
113,1966-04-20,-3.5,5.3,13.9,0,Екатерино-Никольское
114,1966-04-21,-3.5,4.7,13.1,0,Екатерино-Никольское
115,1966-04-22,0.7,3.1,10.3,13.3,Екатерино-Никольское
116,1966-04-23,1.4,5.6,10.4,5.9,Екатерино-Никольское
117,1966-04-24,0.4,6,12.4,0.3,Екатерино-Никольское
118,1966-04-25,1.4,8.1,15.4,0.2,Екатерино-Никольское
119,1966-04-26,2.9,7.3,15.1,0,Екатерино-Никольское
120,1966-04-27,-0.9,4.5,9.7,0,Екатерино-Никольское
121,1966-04-28,-2.4,2.6,8.6,0,Екатерино-Никольское
122,1966-04-29,-1.9,4.9,12.9,0,Екатерино-Никольское
123,1966-04-30,-1.1,5.7,11.5,0,Екатерино-Никольское
125,1966-05-01,-3.6,5.7,12.4,0,Екатерино-Никольское
126,1966-05-02,-2.3,5.6,13,0,Екатерино-Никольское
127,1966-05-03,-1.2,7.9,16.4,0,Екатерино-Никольское
128,1966-05-04,-2.9,8.6,17.8,0,Екатерино-Никольское
129,1966-05-05,-1,9.9,19.6,0,Екатерино-Никольское
130,1966-05-06,0.4,8,16.3,0,Екатерино-Никольское
131,1966-05-07,0.6,7.6,14.3,0,Екатерино-Никольское
132,1966-05-08,-0.7,9.1,16.4,1.4,Екатерино-Никольское
133,1966-05-09,4,11,17.3,0,Екатерино-Никольское
134,1966-05-10,3,10.5,16.6,0,Екатерино-Никольское
135,1966-05-11,0.6,9.8,18.1,0,Екатерино-Никольское
136,1966-05-12,4.5,8.9,15.9,1.6,Екатерино-Никольское
137,1966-05-13,0.4,8.4,15.9,0,Екатерино-Никольское
138,1966-05-14,4.8,10,17.3,5.4,Екатерино-Никольское
139,1966-05-15,5.8,10.8,17.5,4,Екатерино-Никольское
140,1966-05-16,2.7,13.9,24.1,0,Екатерино-Никольское
141,1966-05-17,6.4,19.1,30.9,0,Екатерино-Никольское
142,1966-05-18,8.5,21.9,31.8,0,Екатерино-Никольское
143,1966-05-19,14.7,22.8,32,0,Екатерино-Никольское
144,1966-05-20,10.3,21.2,29.5,0,Екатерино-Никольское
145,1966-05-21,11.6,17.2,28.1,0,Екатерино-Никольское
146,1966-05-22,2.6,13.4,24.1,0,Екатерино-Никольское
147,1966-05-23,4.5,15.8,26.6,0,Екатерино-Никольское
148,1966-05-24,7.3,18.2,29.6,0,Екатерино-Никольское
149,1966-05-25,7.5,18.5,27.9,0,Екатерино-Никольское
150,1966-05-26,13.6,19.7,24.1,0.3,Екатерино-Никольское
151,1966-05-27,12.7,18.5,25,0.6,Екатерино-Никольское
152,1966-05-28,7.7,15,23.5,0.8,Екатерино-Никольское
153,1966-05-29,9.9,13.8,20.7,0,Екатерино-Никольское
154,1966-05-30,6.5,14.9,23.3,0,Екатерино-Никольское
155,1966-05-31,8.3,17.4,25.1,0,Екатерино-Никольское
157,1966-06-01,7.8,17.6,26.4,0,Екатерино-Никольское
158,1966-06-02,9.2,18.9,27.7,0.4,Екатерино-Никольское
159,1966-06-03,8.5,17.8,26.1,0,Екатерино-Никольское
160,1966-06-04,7.6,16.9,24.6,0,Екатерино-Никольское
161,1966-06-05,9.8,17.5,23.9,0,Екатерино-Никольское
162,1966-06-06,11.9,17.1,22.5,1.7,Екатерино-Никольское
163,1966-06-07,8.9,17,25,0,Екатерино-Никольское
164,1966-06-08,10.1,16.8,23.3,0,Екатерино-Никольское
165,1966-06-09,11.1,16.7,21.1,0,Екатерино-Никольское
166,1966-06-10,10.8,17.8,24.9,0,Екатерино-Никольское
167,1966-06-11,8.5,17.6,25.2,0,Екатерино-Никольское
168,1966-06-12,7.8,15.6,24.2,4.8,Екатерино-Никольское
169,1966-06-13,12,16.6,21,11,Екатерино-Никольское
170,1966-06-14,15.3,20.2,26.7,9.2,Екатерино-Никольское
171,1966-06-15,16.6,22,29.6,0,Екатерино-Никольское
172,1966-06-16,15.8,21.5,27.6,0.6,Екатерино-Никольское
173,1966-06-17,14.1,21.3,28.4,0,Екатерино-Никольское
174,1966-06-18,16.4,18.9,27,0,Екатерино-Никольское
175,1966-06-19,17,19.3,24.5,34,Екатерино-Никольское
176,1966-06-20,14.9,19.1,24.2,0,Екатерино-Никольское
177,1966-06-21,15.5,19.6,25.3,4.7,Екатерино-Никольское
178,1966-06-22,17.1,21.4,28.2,0,Екатерино-Никольское
179,1966-06-23,18.2,20.5,26.3,1.9,Екатерино-Никольское
180,1966-06-24,11.2,19.1,27.4,0,Екатерино-Никольское
181,1966-06-25,11.1,18.6,25.3,0,Екатерино-Никольское
182,1966-06-26,12.5,18,24.9,8.6,Екатерино-Никольское
183,1966-06-27,13,17.3,22.5,0,Екатерино-Никольское
184,1966-06-28,12.5,16.5,21.1,0,Екатерино-Никольское
185,1966-06-29,15.6,19.2,23.3,1.6,Екатерино-Никольское
186,1966-06-30,11.8,19.4,26.5,0,Екатерино-Никольское
188,1966-07-01,12,20.3,27.7,0,Екатерино-Никольское
189,1966-07-02,13.5,20.9,27.9,0,Екатерино-Никольское
190,1966-07-03,14.6,21.1,26.9,0,Екатерино-Никольское
191,1966-07-04,11.9,19.9,27.9,0,Екатерино-Никольское
192,1966-07-05,13.6,21.7,31.8,0,Екатерино-Никольское
193,1966-07-06,15,22.7,31.5,0,Екатерино-Никольское
194,1966-07-07,18.9,21.3,27.9,3.6,Екатерино-Никольское
195,1966-07-08,16.1,18.3,22.1,12.9,Екатерино-Никольское
196,1966-07-09,15.5,16.8,19.9,14.3,Екатерино-Никольское
197,1966-07-10,14.8,19.2,24.9,0.5,Екатерино-Никольское
198,1966-07-11,14.2,20.7,27.4,0,Екатерино-Никольское
199,1966-07-12,14.4,20.6,27.3,0,Екатерино-Никольское
200,1966-07-13,15.5,20.1,27.9,2.1,Екатерино-Никольское
201,1966-07-14,17.3,19.4,21.6,3.8,Екатерино-Никольское
202,1966-07-15,17.2,21.8,26.3,3.3,Екатерино-Никольское
203,1966-07-16,15.6,21.4,29.6,66.2,Екатерино-Никольское
204,1966-07-17,17.5,21.1,26.9,2,Екатерино-Никольское
205,1966-07-18,16,23,29.9,0,Екатерино-Никольское
206,1966-07-19,18.3,23,29.4,33.4,Екатерино-Никольское
207,1966-07-20,16.4,21.5,26.7,0,Екатерино-Никольское
208,1966-07-21,14,17.9,23.3,0,Екатерино-Никольское
209,1966-07-22,9.7,17.7,26.4,0.4,Екатерино-Никольское
210,1966-07-23,13.5,20.3,28.1,0,Екатерино-Никольское
211,1966-07-24,18.1,20.2,26.6,4.6,Екатерино-Никольское
212,1966-07-25,14.6,20.1,27.1,4.9,Екатерино-Никольское
213,1966-07-26,13.8,21.8,30,0,Екатерино-Никольское
214,1966-07-27,16.7,22.1,29.4,0,Екатерино-Никольское
215,1966-07-28,18.2,20.6,25.4,1.5,Екатерино-Никольское
216,1966-07-29,14.5,21,27,0,Екатерино-Никольское
217,1966-07-30,18.1,20.7,26,5.8,Екатерино-Никольское
218,1966-07-31,16.6,20.5,24.9,0.8,Екатерино-Никольское
220,1966-08-01,13.7,20.8,27.9,0,Екатерино-Никольское
221,1966-08-02,18,21.7,26.9,4.7,Екатерино-Никольское
222,1966-08-03,17.6,22.2,28.4,0.8,Екатерино-Никольское
223,1966-08-04,16.8,19.3,28.2,0,Екатерино-Никольское
224,1966-08-05,13.8,16.3,20.2,7.7,Екатерино-Никольское
225,1966-08-06,15.6,17.4,20.9,10,Екатерино-Никольское
226,1966-08-07,17.2,19.9,24.5,0,Екатерино-Никольское
227,1966-08-08,13.5,19,24.4,0.3,Екатерино-Никольское
228,1966-08-09,19.1,20.5,23.7,1.2,Екатерино-Никольское
229,1966-08-10,19.3,20.1,22.1,2.4,Екатерино-Никольское
230,1966-08-11,15.9,18.6,22,0,Екатерино-Никольское
231,1966-08-12,16.4,19.7,22.7,0,Екатерино-Никольское
232,1966-08-13,14.9,18.6,21.5,0,Екатерино-Никольское
233,1966-08-14,17.1,19.7,24.9,0.6,Екатерино-Никольское
234,1966-08-15,17.1,18.1,21.3,28.1,Екатерино-Никольское
235,1966-08-16,16.3,20.2,25.1,0.4,Екатерино-Никольское
236,1966-08-17,17.2,18.6,23.2,31,Екатерино-Никольское
237,1966-08-18,16.4,18.5,22.4,79.9,Екатерино-Никольское
238,1966-08-19,13.2,15.4,21.5,11,Екатерино-Никольское
239,1966-08-20,14.6,16.3,19.6,5.6,Екатерино-Никольское
240,1966-08-21,14.7,18.7,23.7,0,Екатерино-Никольское
241,1966-08-22,16,20.3,26.3,0,Екатерино-Никольское
242,1966-08-23,17.4,21.6,27.7,0,Екатерино-Никольское
243,1966-08-24,16.5,21.4,27,0,Екатерино-Никольское
