,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1916-04-01,-4.2,0.5,3.5,0,Елатьма
2,1916-04-02,0.4,0.9,2,5.1,Елатьма
3,1916-04-03,-4.9,-1.5,1,0,Елатьма
4,1916-04-04,-1.3,-0.1,3,0,Елатьма
5,1916-04-05,-2.5,4.2,10,0,Елатьма
6,1916-04-06,0.5,6.1,11,0,Елатьма
7,1916-04-07,-5.1,1.1,6,3,Елатьма
8,1916-04-08,-8,-5.2,-2,0,Елатьма
9,1916-04-09,-9,-4,1,0,Елатьма
10,1916-04-10,-5,0.3,5,3.6,Елатьма
11,1916-04-11,-1.5,-0.2,2,3,Елатьма
12,1916-04-12,-2.5,3,9.5,0,Елатьма
13,1916-04-13,0.2,1,3.2,0,Елатьма
14,1916-04-14,0,4.7,11,0,Елатьма
15,1916-04-15,2.6,7.5,11.5,0,Елатьма
16,1916-04-16,2.8,8.7,13.5,8,Елатьма
17,1916-04-17,4.9,9.2,13.5,0,Елатьма
18,1916-04-18,4.9,8.5,13.5,2,Елатьма
19,1916-04-19,5.6,7.9,12.4,2.8,Елатьма
20,1916-04-20,2,9,14,0.5,Елатьма
21,1916-04-21,6.4,10.2,16.7,5.3,Елатьма
22,1916-04-22,7,8.4,12,5.4,Елатьма
23,1916-04-23,4.1,8,12,0.7,Елатьма
24,1916-04-24,3.4,4.8,8,0,Елатьма
25,1916-04-25,1.4,8.1,13.8,0,Елатьма
26,1916-04-26,1,11.5,16.4,0,Елатьма
27,1916-04-27,2.7,13,19.4,0,Елатьма
28,1916-04-28,5.5,14.4,20.7,0,Елатьма
29,1916-04-29,7.3,14.6,22.7,0,Елатьма
30,1916-04-30,9.8,13.5,17.6,1.3,Елатьма
32,1916-05-01,7.9,13.1,19.4,0,Елатьма
33,1916-05-02,9.3,12.4,18,4.4,Елатьма
34,1916-05-03,8.1,10.9,14.6,0.5,Елатьма
35,1916-05-04,2.1,8.8,13,0,Елатьма
36,1916-05-05,4.5,13.6,20,0,Елатьма
37,1916-05-06,10.6,18.3,24,0,Елатьма
38,1916-05-07,12.1,19.1,26,0,Елатьма
39,1916-05-08,9.7,14.8,19,0,Елатьма
40,1916-05-09,8.7,13,18.5,0,Елатьма
41,1916-05-10,6.9,11.9,16,1.6,Елатьма
42,1916-05-11,9.9,13.1,17.5,0.7,Елатьма
43,1916-05-12,6.9,15.6,20.8,0,Елатьма
44,1916-05-13,12.9,17.1,20.5,6.9,Елатьма
45,1916-05-14,5.4,9.3,17.3,7.3,Елатьма
46,1916-05-15,1.6,7.5,11.8,0,Елатьма
47,1916-05-16,4.6,13.7,18.4,0,Елатьма
48,1916-05-17,7.3,13,18.5,5.1,Елатьма
49,1916-05-18,7.1,11.8,17.4,4.3,Елатьма
50,1916-05-19,7.1,10.5,14.4,8.8,Елатьма
51,1916-05-20,5.8,8.2,11.7,2.4,Елатьма
52,1916-05-21,4.5,10.5,15,0.6,Елатьма
53,1916-05-22,4,9.7,15.4,0.8,Елатьма
54,1916-05-23,7.1,11.5,14,15.8,Елатьма
55,1916-05-24,7.9,9.3,13,0,Елатьма
56,1916-05-25,3.5,9.3,13.2,0,Елатьма
57,1916-05-26,1.6,6.5,10.2,1.5,Елатьма
58,1916-05-27,0.6,2.6,4.5,0,Елатьма
59,1916-05-28,1.1,3.8,8,0.8,Елатьма
60,1916-05-29,1.8,4.4,8.6,0,Елатьма
61,1916-05-30,1.1,9.7,16,0.5,Елатьма
62,1916-05-31,2.3,6.2,11,8.2,Елатьма
64,1916-06-01,-2.5,1.3,5,0.3,Елатьма
65,1916-06-02,-1,4.9,9.6,0,Елатьма
