,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1923-01-01,-26.7,-23.1,-21.1,0.8,Енисейск
2,1923-01-02,-21.3,-10,-7.1,0.7,Енисейск
3,1923-01-03,-9.8,-9.4,-9.2,0.4,Енисейск
4,1923-01-04,-33.5,-23,-14.1,0,Енисейск
5,1923-01-05,-36.9,-29.7,-27.9,0,Енисейск
6,1923-01-06,-40.9,-30.6,-23,3,Енисейск
7,1923-01-07,-22.8,-15.3,-11.9,1.6,Енисейск
8,1923-01-08,-19.5,-16,-15.4,3,Енисейск
9,1923-01-09,-38.4,-28,-18.7,0.2,Енисейск
10,1923-01-10,-46.2,-34,-24.7,2.5,Енисейск
11,1923-01-11,-24.7,-20.6,-19.4,2.9,Енисейск
12,1923-01-12,-21.2,-19.6,-18.9,1.5,Енисейск
13,1923-01-13,-34.4,-22.8,-18.1,1.1,Енисейск
14,1923-01-14,-18.3,-13.2,-11.5,1.3,Енисейск
15,1923-01-15,-12.4,-10.9,-9.6,0.7,Енисейск
16,1923-01-16,-14.8,-13.8,-13,0.6,Енисейск
17,1923-01-17,-39.4,-28.6,-20.3,0,Енисейск
18,1923-01-18,-45.2,-41.6,-37.3,0,Енисейск
19,1923-01-19,-51.3,-47.6,-43.5,0,Енисейск
20,1923-01-20,-51.1,-34.6,-26.7,1.4,Енисейск
21,1923-01-21,-37,-29.3,-25.3,0.1,Енисейск
22,1923-01-22,-26.4,-21.6,-20.6,0.3,Енисейск
23,1923-01-23,-20.7,-18.9,-18.4,0,Енисейск
24,1923-01-24,-34.5,-26.7,-22.9,0,Енисейск
25,1923-01-25,-37.9,-30.5,-25.1,0,Енисейск
26,1923-01-26,-34.5,-28.5,-22.6,0,Енисейск
27,1923-01-27,-37.1,-29.9,-23.8,0,Енисейск
28,1923-01-28,-38.2,-25.5,-18.4,0.4,Енисейск
29,1923-01-29,-24.2,-10.2,-1.1,0.1,Енисейск
30,1923-01-30,-1.8,-0.5,0.2,0,Енисейск
31,1923-01-31,-7.8,-3.5,-0.8,0,Енисейск
33,1923-02-01,-24.7,-17,-13.7,0,Енисейск
34,1923-02-02,-14.8,-9.9,-8.4,0,Енисейск
35,1923-02-03,-21.3,-13.4,-7.5,0,Енисейск
36,1923-02-04,-29.1,-18.6,-12,0,Енисейск
37,1923-02-05,-24.5,-17.9,-13.2,0,Енисейск
38,1923-02-06,-28.8,-15.6,-12.9,1.5,Енисейск
39,1923-02-07,-13.7,-12.6,-11.6,1,Енисейск
40,1923-02-08,-21.8,-18.3,-13.8,0.2,Енисейск
41,1923-02-09,-28.9,-24.3,-21.6,0.4,Енисейск
42,1923-02-10,-30.8,-26,-21.8,0.8,Енисейск
43,1923-02-11,-37.1,-32.6,-27.4,0.5,Енисейск
44,1923-02-12,-45.3,-37.3,-33.2,0,Енисейск
45,1923-02-13,-48,-37.1,-32.1,0.9,Енисейск
46,1923-02-14,-37.4,-31.7,-28.6,0.2,Енисейск
47,1923-02-15,-44.4,-37.6,-31.4,0.2,Енисейск
48,1923-02-16,-48.2,-40.7,-33,0,Енисейск
49,1923-02-17,-51.2,-42.6,-36.9,0,Енисейск
50,1923-02-18,-46.2,-38,-33.4,0.4,Енисейск
51,1923-02-19,-37.7,-32.4,-25.2,0,Енисейск
52,1923-02-20,-44.2,-28.4,-22,0.5,Енисейск
53,1923-02-21,-23.2,-19.9,-18.3,0,Енисейск
54,1923-02-22,-21.2,-18.3,-16.1,0,Енисейск
55,1923-02-23,-23.1,-15.5,-10.6,0,Енисейск
56,1923-02-24,-29.2,-16.9,-11.6,0,Енисейск
57,1923-02-25,-16.2,-8.8,-4,0,Енисейск
58,1923-02-26,-27.3,-13.4,-7.8,0.7,Енисейск
59,1923-02-27,-22.2,-13.5,-7.2,0,Енисейск
60,1923-02-28,-29.8,-19.6,-12.8,0,Енисейск
62,1923-03-01,-14.7,-8.6,-7.1,0.5,Енисейск
63,1923-03-02,-16.1,-11,-8.8,0.7,Енисейск
64,1923-03-03,-13.7,-8.2,-5.4,0.4,Енисейск
65,1923-03-04,-16.7,-13.4,-11.8,1.8,Енисейск
66,1923-03-05,-23.9,-18.1,-13.8,0.5,Енисейск
67,1923-03-06,-25,-17.1,-14,0.3,Енисейск
